Player,Country,Team,Assists,Season
Mo Salah,Egypt,Liverpool FC,13,2021-2022
Trent Alexander-Arnold,England,Liverpool FC,12,2021-2022
Harvey Barnes,England,Leicester City,10,2021-2022
Jarrod Bowen,England,West Ham United,10,2021-2022
Mason Mount,England,Chelsea FC,10,2021-2022
Andy Robertson,Scotland,Liverpool FC,10,2021-2022
Reece James,England,Chelsea FC,9,2021-2022
Harry Kane,England,Tottenham Hotspur,9,2021-2022
Paul Pogba,France,Manchester United,9,2021-2022
Michail Antonio,Jamaica,West Ham United,8,2021-2022
Kevin De Bruyne,Belgium,Manchester City,8,2021-2022
Gabriel Jesus,Brazil,Manchester City,8,2021-2022
Dejan Kulusevski,Sweden,Tottenham Hotspur,8,2021-2022
James Maddison,England,Leicester City,8,2021-2022
João Cancelo,Portugal,Manchester City,7,2021-2022
Alexandre Lacazette,France,Arsenal FC,7,2021-2022
Bryan Mbeumo,Cameroon,Brentford FC,7,2021-2022
Bukayo Saka,England,Arsenal FC,7,2021-2022
Heung-min Son,South Korea,Tottenham Hotspur,7,2021-2022
Saïd Benrahma,Algeria,West Ham United,6,2021-2022
Bruno Fernandes,Portugal,Manchester United,6,2021-2022
Emiliano Buendia,Argentina,Aston Villa,6,2021-2022
Emmanuel Dennis,Nigeria,Watford FC,6,2021-2022
Gabriel Martinelli,Brazil,Arsenal FC,6,2021-2022
Danny Ings,England,Aston Villa,6,2021-2022
Lucas Moura,Brazil,Tottenham Hotspur,6,2021-2022
Phil Foden,England,Manchester City,5,2021-2022
Jordan Henderson,England,Liverpool FC,5,2021-2022
Kelechi Iheanacho,Nigeria,Leicester City,5,2021-2022
Kiko Femenía,Spain,Watford FC,5,2021-2022
Mateo Kovačić,Croatia,Chelsea FC,5,2021-2022
Riyad Mahrez,Algeria,Manchester City,5,2021-2022
Michael Olise,France,Crystal Palace,5,2021-2022
Nathan Redmond,England,Southampton FC,5,2021-2022
Richarlison,Brazil,Everton FC,5,2021-2022
Allan Saint-Maximin,France,Newcastle United,5,2021-2022
Raheem Sterling,England,Manchester City,5,2021-2022
Ivan Toney,England,Brentford FC,5,2021-2022
James Ward-Prowse,England,Southampton FC,5,2021-2022
Alex Telles,Brazil,Manchester United,4,2021-2022
Rodrigo Bentancur,Uruguay,Tottenham Hotspur,4,2021-2022
Bernardo Silva,Portugal,Manchester City,4,2021-2022
Vladimír Coufal,Czech Republic,West Ham United,4,2021-2022
Lucas Digne,France,Everton FC,4,2021-2022
Diogo Jota,Portugal,Liverpool FC,4,2021-2022
Matt Doherty,Ireland,Tottenham Hotspur,4,2021-2022
Abdoulaye Doucouré,Mali,Everton FC,4,2021-2022
Christian Eriksen,Denmark,Brentford FC,4,2021-2022
Fred,Brazil,Manchester United,4,2021-2022
Demarai Gray,Jamaica,Everton FC,4,2021-2022
Pascal Groß,Germany,Brighton & Hove Albion,4,2021-2022
İlkay Gündoğan,Germany,Manchester City,4,2021-2022
Dan James,Wales,Manchester United,4,2021-2022
Raúl Jiménez,Mexico,Wolverhampton Wanderers,4,2021-2022
N'Golo Kanté,France,Chelsea FC,4,2021-2022
Marcos Alonso,Spain,Chelsea FC,4,2021-2022
Nemanja Matić,Serbia,Manchester United,4,2021-2022
John McGinn,Scotland,Aston Villa,4,2021-2022
Enock Mwepu,Zambia,Brighton & Hove Albion,4,2021-2022
Christian Nørgaard,Denmark,Brentford FC,4,2021-2022
Martin Ødegaard,Norway,Arsenal FC,4,2021-2022
Declan Rice,England,West Ham United,4,2021-2022
Roberto Firmino,Brazil,Liverpool FC,4,2021-2022
Rúben Dias,Portugal,Manchester City,4,2021-2022
Thiago,Spain,Liverpool FC,4,2021-2022
Youri Tielemans,Belgium,Leicester City,4,2021-2022
Oleksandr Zinchenko,Ukraine,Manchester City,4,2021-2022
Ché Adams,Scotland,Southampton FC,3,2021-2022
Kristoffer Ajer,Norway,Brentford FC,3,2021-2022
Joachim Andersen,Denmark,Crystal Palace,3,2021-2022
Jordan Ayew,Ghana,Crystal Palace,3,2021-2022
Ayoze Pérez,Spain,Leicester City,3,2021-2022
Josh Brownhill,England,Burnley FC,3,2021-2022
Matty Cash,Poland,Aston Villa,3,2021-2022
Chiquinho,Portugal,Wolverhampton Wanderers,3,2021-2022
Aaron Cresswell,England,West Ham United,3,2021-2022
Cristiano Ronaldo,Portugal,Manchester United,3,2021-2022
Patson Daka,Zambia,Leicester City,3,2021-2022
Luis Díaz,Colombia,Liverpool FC,3,2021-2022
Douglas Luiz,Brazil,Aston Villa,3,2021-2022
Odsonne Édouard,France,Crystal Palace,3,2021-2022
Ryan Fraser,Scotland,Newcastle United,3,2021-2022
Conor Gallagher,England,Crystal Palace,3,2021-2022
Jack Grealish,England,Manchester City,3,2021-2022
Kai Havertz,Germany,Chelsea FC,3,2021-2022
Joshua King,Norway,Watford FC,3,2021-2022
Manuel Lanzini,Argentina,West Ham United,3,2021-2022
Joel Matip,Cameroon,Liverpool FC,3,2021-2022
James McArthur,Scotland,Crystal Palace,3,2021-2022
Tyrone Mings,England,Aston Villa,3,2021-2022
Jakub Moder,Poland,Brighton & Hove Albion,3,2021-2022
Pablo Fornals,Spain,West Ham United,3,2021-2022
Philippe Coutinho,Brazil,Aston Villa,3,2021-2022
Daniel Podence,Portugal,Wolverhampton Wanderers,3,2021-2022
Teemu Pukki,Finland,Norwich City,3,2021-2022
Raphinha,Brazil,Leeds United,3,2021-2022
Reguilón,Spain,Tottenham Hotspur,3,2021-2022
Ricardo Pereira,Portugal,Leicester City,3,2021-2022
Jadon Sancho,England,Manchester United,3,2021-2022
Luke Shaw,England,Manchester United,3,2021-2022
Charlie Taylor,England,Burnley FC,3,2021-2022
Kieran Tierney,Scotland,Arsenal FC,3,2021-2022
Leandro Trossard,Belgium,Brighton & Hove Albion,3,2021-2022
Matěj Vydra,Czech Republic,Burnley FC,3,2021-2022
Wout Weghorst,Netherlands,Burnley FC,3,2021-2022
Ashley Westwood,England,Burnley FC,3,2021-2022
Hakim Ziyech,Morocco,Chelsea FC,3,2021-2022
Max Aarons,England,Norwich City,2,2021-2022
Rayan Aït Nouri,Algeria,Wolverhampton Wanderers,2,2021-2022
Marc Albrighton,England,Leicester City,2,2021-2022
Allan,Brazil,Everton FC,2,2021-2022
Adam Armstrong,England,Southampton FC,2,2021-2022
Luke Ayling,England,Leeds United,2,2021-2022
Azpilicueta,Spain,Chelsea FC,2,2021-2022
Leon Bailey,Jamaica,Aston Villa,2,2021-2022
Patrick Bamford,England,Leeds United,2,2021-2022
Yves Bissouma,Mali,Brighton & Hove Albion,2,2021-2022
Dominic Calvert-Lewin,England,Everton FC,2,2021-2022
Tom Cleverley,England,Watford FC,2,2021-2022
Craig Dawson,England,West Ham United,2,2021-2022
Leander Dendoncker,Belgium,Wolverhampton Wanderers,2,2021-2022
Kiernan Dewsbury-Hall,England,Leicester City,2,2021-2022
Ibrahima Diallo,France,Southampton FC,2,2021-2022
Anthony Elanga,Sweden,Manchester United,2,2021-2022
Mohamed Elneny,Egypt,Arsenal FC,2,2021-2022
Mohamed Elyounoussi,Norway,Southampton FC,2,2021-2022
Junior Firpo,Dom. Republic,Leeds United,2,2021-2022
Joe Gelhardt,England,Leeds United,2,2021-2022
Anthony Gordon,England,Everton FC,2,2021-2022
Sam Greenwood,England,Leeds United,2,2021-2022
Cucho Hernández,Colombia,Watford FC,2,2021-2022
Pierre-Emile Højbjerg,Denmark,Tottenham Hotspur,2,2021-2022
Callum Hudson-Odoi,England,Chelsea FC,2,2021-2022
Alex Iwobi,Nigeria,Everton FC,2,2021-2022
Jorginho,Italy,Chelsea FC,2,2021-2022
Michael Keane,England,Everton FC,2,2021-2022
Mateusz Klich,Poland,Leeds United,2,2021-2022
Tariq Lamptey,Ghana,Brighton & Hove Albion,2,2021-2022
Victor Lindelöf,Sweden,Manchester United,2,2021-2022
Ruben Loftus-Cheek,England,Chelsea FC,2,2021-2022
Matthew Lowton,England,Burnley FC,2,2021-2022
