Player,Country,Team,Assists,Season
Pascal Groß,Germany,Brighton & Hove Albion,4,2019-2020
Joshua King,Norway,AFC Bournemouth,4,2019-2020
Alexandre Lacazette,France,Arsenal FC,4,2019-2020
Lucas Moura,Brazil,Tottenham Hotspur,4,2019-2020
Lys Mousset,France,Sheffield United,4,2019-2020
Erik Pieters,Netherlands,Burnley FC,4,2019-2020
Christian Pulišić,USA,Chelsea FC,4,2019-2020
Nathan Redmond,England,Southampton FC,4,2019-2020
Allan Saint-Maximin,France,Newcastle United,4,2019-2020
Ismaïla Sarr,Senegal,Watford FC,4,2019-2020
Djibril Sidibé,France,Everton FC,4,2019-2020
Enda Stevens,Ireland,Sheffield United,4,2019-2020
Kyle Walker,England,Manchester City,4,2019-2020
Aaron Wan-Bissaka,England,Manchester United,4,2019-2020
Tammy Abraham,England,Chelsea FC,3,2019-2020
Sergio Agüero,Argentina,Manchester City,3,2019-2020
Marc Albrighton,England,Leicester City,3,2019-2020
Andreas Pereira,Brazil,Manchester United,3,2019-2020
Michail Antonio,Jamaica,West Ham United,3,2019-2020
Stuart Armstrong,Scotland,Southampton FC,3,2019-2020
Christian Atsu,Ghana,Newcastle United,3,2019-2020
Pierre-Emerick Aubameyang,Gabon,Arsenal FC,3,2019-2020
George Baldock,Greece,Sheffield United,3,2019-2020
Étienne Capoue,France,Watford FC,3,2019-2020
Ben Chilwell,England,Leicester City,3,2019-2020
Matt Doherty,Ireland,Wolverhampton Wanderers,3,2019-2020
Lewis Dunk,England,Brighton & Hove Albion,3,2019-2020
Fabinho,Brazil,Liverpool FC,3,2019-2020
Ryan Fredericks,England,West Ham United,3,2019-2020
Demarai Gray,Jamaica,Leicester City,3,2019-2020
Mason Holgate,England,Everton FC,3,2019-2020
Kelechi Iheanacho,Nigeria,Leicester City,3,2019-2020
Naby Keïta,Guinea,Liverpool FC,3,2019-2020
Mateo Kovačić,Croatia,Chelsea FC,3,2019-2020
John Lundstram,England,Sheffield United,3,2019-2020
James Maddison,England,Leicester City,3,2019-2020
Neal Maupay,France,Brighton & Hove Albion,3,2019-2020
James McArthur,Scotland,Crystal Palace,3,2019-2020
John McGinn,Scotland,Aston Villa,3,2019-2020
Mark Noble,England,West Ham United,3,2019-2020
Pedro Neto,Portugal,Wolverhampton Wanderers,3,2019-2020
Paul Pogba,France,Manchester United,3,2019-2020
Teemu Pukki,Finland,Norwich City,3,2019-2020
Declan Rice,England,West Ham United,3,2019-2020
Richarlison,Brazil,Everton FC,3,2019-2020
Gylfi Sigurðsson,Iceland,Everton FC,3,2019-2020
Jack Stephens,England,Southampton FC,3,2019-2020
Leandro Trossard,Belgium,Brighton & Hove Albion,3,2019-2020
Theo Walcott,England,Everton FC,3,2019-2020
James Ward-Prowse,England,Southampton FC,3,2019-2020
Wilfried Zaha,Ivory Coast,Crystal Palace,3,2019-2020
Ché Adams,Scotland,Southampton FC,2,2019-2020
Nathan Aké,Netherlands,AFC Bournemouth,2,2019-2020
Toby Alderweireld,Belgium,Tottenham Hotspur,2,2019-2020
Miguel Almirón,Paraguay,Newcastle United,2,2019-2020
Jordan Ayew,Ghana,Crystal Palace,2,2019-2020
Bernard,Brazil,Everton FC,2,2019-2020
Sofiane Boufal,Morocco,Southampton FC,2,2019-2020
Robbie Brady,Ireland,Burnley FC,2,2019-2020
Todd Cantwell,England,Norwich City,2,2019-2020
Dani Ceballos,Spain,Arsenal FC,2,2019-2020
Troy Deeney,England,Watford FC,2,2019-2020
Eric Dier,England,Tottenham Hotspur,2,2019-2020
Moussa Djénépo,Mali,Southampton FC,2,2019-2020
Abdoulaye Doucouré,Mali,Watford FC,2,2019-2020
Douglas Luiz,Brazil,Aston Villa,2,2019-2020
Christian Eriksen,Denmark,Tottenham Hotspur,2,2019-2020
Federico Fernández,Argentina,Newcastle United,2,2019-2020
John Fleck,Scotland,Sheffield United,2,2019-2020
Phil Foden,England,Manchester City,2,2019-2020
Dwight Gayle,England,Newcastle United,2,2019-2020
Frédéric Guilbert,France,Aston Villa,2,2019-2020
Isaac Hayden,England,Newcastle United,2,2019-2020
Jeff Hendrick,Ireland,Burnley FC,2,2019-2020
Onel Hernández,Cuba,Norwich City,2,2019-2020
Danny Ings,England,Southampton FC,2,2019-2020
Reece James,England,Chelsea FC,2,2019-2020
Joelinton,Brazil,Newcastle United,2,2019-2020
Jonny,Spain,Wolverhampton Wanderers,2,2019-2020
Jorginho,Italy,Chelsea FC,2,2019-2020
Juan Mata,Spain,Manchester United,2,2019-2020
Christian Kabasele,Belgium,Watford FC,2,2019-2020
Harry Kane,England,Tottenham Hotspur,2,2019-2020
Moise Kean,Italy,Everton FC,2,2019-2020
Sead Kolašinac,Bosnia-Herzegovina,Arsenal FC,2,2019-2020
Érik Lamela,Argentina,Tottenham Hotspur,2,2019-2020
Manuel Lanzini,Argentina,West Ham United,2,2019-2020
Jefferson Lerma,Colombia,AFC Bournemouth,2,2019-2020
Giovani Lo Celso,Argentina,Tottenham Hotspur,2,2019-2020
Shane Long,Ireland,Southampton FC,2,2019-2020
Ainsley Maitland-Niles,England,Arsenal FC,2,2019-2020
Marcos Alonso,Spain,Chelsea FC,2,2019-2020
Nemanja Matić,Serbia,Manchester United,2,2019-2020
David McGoldrick,Ireland,Sheffield United,2,2019-2020
Benjamin Mendy,France,Manchester City,2,2019-2020
James Milner,England,Liverpool FC,2,2019-2020
Tyrone Mings,England,Aston Villa,2,2019-2020
Aaron Mooy,Australia,Brighton & Hove Albion,2,2019-2020
Tanguy Ndombèlé,France,Tottenham Hotspur,2,2019-2020
Michael Obafemi,Ireland,Southampton FC,2,2019-2020
Mesut Özil,Germany,Arsenal FC,2,2019-2020
Dennis Praet,Belgium,Leicester City,2,2019-2020
Davy Pröpper,Netherlands,Brighton & Hove Albion,2,2019-2020
Ricardo Pereira,Portugal,Leicester City,2,2019-2020
Rodri,Spain,Manchester City,2,2019-2020
Rúben Neves,Portugal,Wolverhampton Wanderers,2,2019-2020
Billy Sharp,England,Sheffield United,2,2019-2020
Jonjo Shelvey,England,Newcastle United,2,2019-2020
Will Smallbone,Ireland,Southampton FC,2,2019-2020
Jack Stacey,England,AFC Bournemouth,2,2019-2020
Matt Targett,England,Aston Villa,2,2019-2020
James Tarkowski,England,Burnley FC,2,2019-2020
Patrick van Aanholt,Netherlands,Crystal Palace,2,2019-2020
Jetro Willems,Netherlands,Newcastle United,2,2019-2020
Granit Xhaka,Switzerland,Arsenal FC,2,2019-2020
Max Aarons,England,Norwich City,1,2019-2020
Alisson Becker,Brazil,Liverpool FC,1,2019-2020
André Gomes,Portugal,Everton FC,1,2019-2020
Phil Bardsley,Scotland,Burnley FC,1,2019-2020
Chris Basham,England,Sheffield United,1,2019-2020
Michy Batshuayi,Belgium,Chelsea FC,1,2019-2020
Jan Bednarek,Poland,Southampton FC,1,2019-2020
Christian Benteke,Belgium,Crystal Palace,1,2019-2020
Sander Berge,Norway,Sheffield United,1,2019-2020
Steven Bergwijn,Netherlands,Tottenham Hotspur,1,2019-2020
Ryan Bertrand,England,Southampton FC,1,2019-2020
Philip Billing,Denmark,AFC Bournemouth,1,2019-2020
Willy Boly,Ivory Coast,Wolverhampton Wanderers,1,2019-2020
Gary Cahill,England,Crystal Palace,1,2019-2020
Dominic Calvert-Lewin,England,Everton FC,1,2019-2020
Cédric,Portugal,Southampton FC,1,2019-2020
Nathaniel Chalobah,England,Watford FC,1,2019-2020
Calum Chambers,England,Arsenal FC,1,2019-2020
Hamza Choudhury,England,Leicester City,1,2019-2020
Séamus Coleman,Ireland,Everton FC,1,2019-2020
Aaron Connolly,Ireland,Brighton & Hove Albion,1,2019-2020
Scott Dann,England,Crystal Palace,1,2019-2020
Kevin Danso,Austria,Southampton FC,1,2019-2020
David Luiz,Brazil,Arsenal FC,1,2019-2020
Diogo Jota,Portugal,Wolverhampton Wanderers,1,2019-2020
Issa Diop,France,West Ham United,1,2019-2020
Ahmed Elmohamady,Egypt,Aston Villa,1,2019-2020
Jonny Evans,Northern Ireland,Leicester City,1,2019-2020
Fernandinho,Brazil,Manchester City,1,2019-2020
Anthony Gordon,England,Everton FC,1,2019-2020
Dan Gosling,England,AFC Bournemouth,1,2019-2020
Mason Greenwood,England,Manchester United,1,2019-2020
Jóhann Guðmundsson,Iceland,Burnley FC,1,2019-2020
Mattéo Guendouzi,France,Arsenal FC,1,2019-2020
İlkay Gündoğan,Germany,Manchester City,1,2019-2020
Sébastien Haller,Ivory Coast,West Ham United,1,2019-2020
Pierre-Emile Højbjerg,Denmark,Southampton FC,1,2019-2020
Will Hughes,England,Watford FC,1,2019-2020
Daryl Janmaat,Netherlands,Watford FC,1,2019-2020
James Justin,England,Leicester City,1,2019-2020
Martin Kelly,England,Crystal Palace,1,2019-2020
Ezri Konsa,England,Aston Villa,1,2019-2020
Cheikhou Kouyaté,Senegal,Crystal Palace,1,2019-2020
Emil Krafth,Sweden,Newcastle United,1,2019-2020
Adam Lallana,England,Liverpool FC,1,2019-2020
Tariq Lamptey,Ghana,Chelsea FC,1,2019-2020
Ruben Loftus-Cheek,England,Chelsea FC,1,2019-2020
Sean Longstaff,England,Newcastle United,1,2019-2020
Dejan Lovren,Croatia,Liverpool FC,1,2019-2020
Matthew Lowton,England,Burnley FC,1,2019-2020
Manquillo,Spain,Newcastle United,1,2019-2020
Solly March,England,Brighton & Hove Albion,1,2019-2020
Martín Montoya,Spain,Brighton & Hove Albion,1,2019-2020
Arthur Masuaku,Congo DR,West Ham United,1,2019-2020
Kenny McLean,Scotland,Norwich City,1,2019-2020
Scott McTominay,Scotland,Manchester United,1,2019-2020
Ben Mee,England,Burnley FC,1,2019-2020
Luka Milivojević,Serbia,Crystal Palace,1,2019-2020
Yerry Mina,Colombia,Everton FC,1,2019-2020
Glenn Murray,England,Brighton & Hove Albion,1,2019-2020
Shkodran Mustafi,Germany,Arsenal FC,1,2019-2020
Wilfred Ndidi,Nigeria,Leicester City,1,2019-2020
Oliver Norwood,Northern Ireland,Sheffield United,1,2019-2020
Jack O'Connell,England,Sheffield United,1,2019-2020
Divock Origi,Belgium,Liverpool FC,1,2019-2020
Alex Oxlade-Chamberlain,England,Liverpool FC,1,2019-2020
Pedro,Spain,Chelsea FC,1,2019-2020
Jota Peleteiro,Spain,Aston Villa,1,2019-2020
Aaron Ramsdale,England,AFC Bournemouth,1,2019-2020
Matt Ritchie,Scotland,Newcastle United,1,2019-2020
Callum Robinson,Ireland,Sheffield United,1,2019-2020
Jay Rodriguez,England,Burnley FC,1,2019-2020
Romain Saïss,Morocco,Wolverhampton Wanderers,1,2019-2020
Jeffrey Schlupp,Ghana,Crystal Palace,1,2019-2020
Moussa Sissoko,France,Tottenham Hotspur,1,2019-2020
Adam Smith,England,AFC Bournemouth,1,2019-2020
Dominic Solanke,England,AFC Bournemouth,1,2019-2020
Çağlar Söyüncü,Turkey,Leicester City,1,2019-2020
Dale Stephens,England,Brighton & Hove Albion,1,2019-2020
Raheem Sterling,England,Manchester City,1,2019-2020
Charlie Taylor,England,Burnley FC,1,2019-2020
Alexander Tettey,Norway,Norwich City,1,2019-2020
Luke Thomas,England,Leicester City,1,2019-2020
Kieran Tierney,Scotland,Arsenal FC,1,2019-2020
James Tomkins,England,Crystal Palace,1,2019-2020
Lucas Torreira,Uruguay,Arsenal FC,1,2019-2020
Andros Townsend,England,Crystal Palace,1,2019-2020
Trézéguet,Egypt,Aston Villa,1,2019-2020
Virgil van Dijk,Netherlands,Liverpool FC,1,2019-2020
Jan Vertonghen,Belgium,Tottenham Hotspur,1,2019-2020
Matěj Vydra,Czech Republic,Burnley FC,1,2019-2020
Adam Webster,England,Brighton & Hove Albion,1,2019-2020
Wesley,Brazil,Aston Villa,1,2019-2020
Connor Wickham,England,Crystal Palace,1,2019-2020
Joe Willock,England,Arsenal FC,1,2019-2020
Callum Wilson,England,AFC Bournemouth,1,2019-2020
Chris Wood,New Zealand,Burnley FC,1,2019-2020
Andrey Yarmolenko,Ukraine,West Ham United,1,2019-2020
Christoph Zimmermann,Germany,Norwich City,1,2019-2020
