Player,Country,Team,Assists,Season
Kevin De Bruyne,Belgium,Manchester City,20,2019-2020
Trent Alexander-Arnold,England,Liverpool FC,13,2019-2020
Andy Robertson,Scotland,Liverpool FC,12,2019-2020
David Silva,Spain,Manchester City,10,2019-2020
Mo Salah,Egypt,Liverpool FC,10,2019-2020
Heung-min Son,South Korea,Tottenham Hotspur,10,2019-2020
Adama Traoré,Spain,Wolverhampton Wanderers,9,2019-2020
Riyad Mahrez,Algeria,Manchester City,9,2019-2020
Harvey Barnes,England,Leicester City,8,2019-2020
Roberto Firmino,Brazil,Liverpool FC,8,2019-2020
Bernardo Silva,Portugal,Manchester City,7,2019-2020
Bruno Fernandes,Portugal,Manchester United,7,2019-2020
Emiliano Buendia,Argentina,Norwich City,7,2019-2020
Lucas Digne,France,Everton FC,7,2019-2020
Gabriel Jesus,Brazil,Manchester City,7,2019-2020
Sadio Mané,Senegal,Liverpool FC,7,2019-2020
Marcus Rashford,England,Manchester United,7,2019-2020
Willian,Brazil,Chelsea FC,7,2019-2020
Azpilicueta,Spain,Chelsea FC,6,2019-2020
Dan James,Wales,Manchester United,6,2019-2020
Raúl Jiménez,Mexico,Wolverhampton Wanderers,6,2019-2020
João Moutinho,Portugal,Wolverhampton Wanderers,6,2019-2020
Anthony Martial,France,Manchester United,6,2019-2020
Dwight McNeil,England,Burnley FC,6,2019-2020
Youri Tielemans,Belgium,Leicester City,6,2019-2020
Ashley Westwood,England,Burnley FC,6,2019-2020
Sèrge Aurier,Ivory Coast,Tottenham Hotspur,5,2019-2020
Gerard Deulofeu,Spain,Watford FC,5,2019-2020
Jack Grealish,England,Aston Villa,5,2019-2020
Jordan Henderson,England,Liverpool FC,5,2019-2020
Conor Hourihane,Ireland,Aston Villa,5,2019-2020
Callum Hudson-Odoi,England,Chelsea FC,5,2019-2020
Mason Mount,England,Chelsea FC,5,2019-2020
Pablo Fornals,Spain,West Ham United,5,2019-2020
Nicolas Pépé,Ivory Coast,Arsenal FC,5,2019-2020
Bukayo Saka,England,Arsenal FC,5,2019-2020
Robert Snodgrass,Scotland,West Ham United,5,2019-2020
Jamie Vardy,England,Leicester City,5,2019-2020
Dele Alli,England,Tottenham Hotspur,4,2019-2020
Ayoze Pérez,Spain,Leicester City,4,2019-2020
Ross Barkley,England,Chelsea FC,4,2019-2020
Jarrod Bowen,England,West Ham United,4,2019-2020
Andy Carroll,England,Newcastle United,4,2019-2020
Diego Rico,Spain,AFC Bournemouth,4,2019-2020
Anwar el Ghazi,Netherlands,Aston Villa,4,2019-2020
Felipe Anderson,Brazil,West Ham United,4,2019-2020
Ryan Fraser,Scotland,AFC Bournemouth,4,2019-2020
