Player,Country,Team,Assists,Season
Kevin De Bruyne,Belgium,Manchester City,16,2022-2023
Mo Salah,Egypt,Liverpool FC,12,2022-2023
Leandro Trossard,Belgium,Brighton & Hove Albion,12,2022-2023
Michael Olise,France,Crystal Palace,11,2022-2023
Bukayo Saka,England,Arsenal FC,11,2022-2023
Riyad Mahrez,Algeria,Manchester City,10,2022-2023
Trent Alexander-Arnold,England,Liverpool FC,9,2022-2023
Morgan Gibbs-White,England,Wolverhampton Wanderers,9,2022-2023
James Maddison,England,Leicester City,9,2022-2023
Bruno Fernandes,Portugal,Manchester United,8,2022-2023
Christian Eriksen,Denmark,Manchester United,8,2022-2023
Pascal Groß,Germany,Brighton & Hove Albion,8,2022-2023
Erling Haaland,Norway,Manchester City,8,2022-2023
Bryan Mbeumo,Cameroon,Brentford FC,8,2022-2023
Ivan Perišić,Croatia,Tottenham Hotspur,8,2022-2023
Andy Robertson,Scotland,Liverpool FC,8,2022-2023
Jack Grealish,England,Manchester City,7,2022-2023
Jack Harrison,England,Leeds United,7,2022-2023
Alex Iwobi,Nigeria,Everton FC,7,2022-2023
Dejan Kulusevski,Sweden,Tottenham Hotspur,7,2022-2023
Solly March,England,Brighton & Hove Albion,7,2022-2023
Martin Ødegaard,Norway,Arsenal FC,7,2022-2023
Jacob Ramsey,England,Aston Villa,7,2022-2023
Dominic Solanke,England,AFC Bournemouth,7,2022-2023
Kieran Trippier,England,Newcastle United,7,2022-2023
Granit Xhaka,Switzerland,Arsenal FC,7,2022-2023
Andreas Pereira,Brazil,Fulham FC,6,2022-2023
Douglas Luiz,Brazil,Aston Villa,6,2022-2023
Phil Foden,England,Manchester City,6,2022-2023
Gabriel Jesus,Brazil,Arsenal FC,6,2022-2023
Mathias Jensen,Denmark,Brentford FC,6,2022-2023
Kaoru Mitoma,Japan,Brighton & Hove Albion,6,2022-2023
Rodri,Spain,Manchester City,6,2022-2023
Heung-min Son,South Korea,Tottenham Hotspur,6,2022-2023
Ollie Watkins,England,Aston Villa,6,2022-2023
Joe Willock,England,Newcastle United,6,2022-2023
Bernardo Silva,Portugal,Manchester City,5,2022-2023
Jarrod Bowen,England,West Ham United,5,2022-2023
Bruno Guimarães,Brazil,Newcastle United,5,2022-2023
Pervis Estupiñán,Ecuador,Brighton & Hove Albion,5,2022-2023
Gabriel Martinelli,Brazil,Arsenal FC,5,2022-2023
Pierre-Emile Højbjerg,Denmark,Tottenham Hotspur,5,2022-2023
Kelechi Iheanacho,Nigeria,Leicester City,5,2022-2023
Marcus Rashford,England,Manchester United,5,2022-2023
Allan Saint-Maximin,France,Newcastle United,5,2022-2023
Kenny Tete,Netherlands,Fulham FC,5,2022-2023
Ben White,England,Arsenal FC,5,2022-2023
Willian,Brazil,Fulham FC,5,2022-2023
Callum Wilson,England,Newcastle United,5,2022-2023
Leon Bailey,Jamaica,Aston Villa,4,2022-2023
Patson Daka,Zambia,Leicester City,4,2022-2023
Diogo Jota,Portugal,Liverpool FC,4,2022-2023
Eberechi Eze,England,Crystal Palace,4,2022-2023
Wilfried Gnonto,Italy,Leeds United,4,2022-2023
İlkay Gündoğan,Germany,Manchester City,4,2022-2023
Sean Longstaff,England,Newcastle United,4,2022-2023
Harrison Reed,England,Fulham FC,4,2022-2023
Roberto Firmino,Brazil,Liverpool FC,4,2022-2023
Marcus Tavernier,England,AFC Bournemouth,4,2022-2023
Ivan Toney,England,Brentford FC,4,2022-2023
Kostas Tsimikas,Greece,Liverpool FC,4,2022-2023
Jamie Vardy,England,Leicester City,4,2022-2023
James Ward-Prowse,England,Southampton FC,4,2022-2023
Brenden Aaronson,USA,Leeds United,3,2022-2023
Ché Adams,Scotland,Southampton FC,3,2022-2023
Álex Moreno,Spain,Aston Villa,3,2022-2023
Michail Antonio,Jamaica,West Ham United,3,2022-2023
Jordan Ayew,Ghana,Crystal Palace,3,2022-2023
Saïd Benrahma,Algeria,West Ham United,3,2022-2023
Casemiro,Brazil,Manchester United,3,2022-2023
Timothy Castagne,Belgium,Leicester City,3,2022-2023
Cheick Doucouré,Mali,Crystal Palace,3,2022-2023
Brennan Johnson,Wales,Nottingham Forest,3,2022-2023
Harry Kane,England,Tottenham Hotspur,3,2022-2023
Neeskens Kebano,Congo DR,Fulham FC,3,2022-2023
Lucas Paquetá,Brazil,West Ham United,3,2022-2023
John McGinn,Scotland,Aston Villa,3,2022-2023
Dwight McNeil,England,Everton FC,3,2022-2023
Christian Nørgaard,Denmark,Brentford FC,3,2022-2023
Darwin Núñez,Uruguay,Liverpool FC,3,2022-2023
Dango Ouattara,Burkina Faso,AFC Bournemouth,3,2022-2023
Pedro Porro,Spain,Tottenham Hotspur,3,2022-2023
Richarlison,Brazil,Tottenham Hotspur,3,2022-2023
Jadon Sancho,England,Manchester United,3,2022-2023
Fabian Schär,Switzerland,Newcastle United,3,2022-2023
Tomáš Souček,Czech Republic,West Ham United,3,2022-2023
Raheem Sterling,England,Chelsea FC,3,2022-2023
Danny Welbeck,England,Brighton & Hove Albion,3,2022-2023
Harry Wilson,Wales,Fulham FC,3,2022-2023
Yoane Wissa,Congo DR,Brentford FC,3,2022-2023
Hakim Ziyech,Morocco,Chelsea FC,3,2022-2023
Carlos Alcaraz,Argentina,Southampton FC,2,2022-2023
Miguel Almirón,Paraguay,Newcastle United,2,2022-2023
Antony,Brazil,Manchester United,2,2022-2023
Armel Bella-Kotchap,Germany,Southampton FC,2,2022-2023
Rodrigo Bentancur,Uruguay,Tottenham Hotspur,2,2022-2023
Emiliano Buendia,Argentina,Aston Villa,2,2022-2023
Carlos Vinícius,Brazil,Fulham FC,2,2022-2023
Ben Chilwell,England,Chelsea FC,2,2022-2023
Levi Colwill,England,Brighton & Hove Albion,2,2022-2023
Lewis Cook,England,AFC Bournemouth,2,2022-2023
Cucurella,Spain,Chelsea FC,2,2022-2023
Danilo,Brazil,Nottingham Forest,2,2022-2023
Joshua Dasilva,England,Brentford FC,2,2022-2023
Ben Davies,Wales,Tottenham Hotspur,2,2022-2023
Emmanuel Dennis,Nigeria,Nottingham Forest,2,2022-2023
Kiernan Dewsbury-Hall,England,Leicester City,2,2022-2023
Luis Díaz,Colombia,Liverpool FC,2,2022-2023
Diogo Dalot,Portugal,Manchester United,2,2022-2023
Moussa Djénépo,Mali,Southampton FC,2,2022-2023
Abdoulaye Doucouré,Mali,Everton FC,2,2022-2023
Odsonne Édouard,France,Crystal Palace,2,2022-2023
Harvey Elliott,England,Liverpool FC,2,2022-2023
Julio Enciso,Paraguay,Brighton & Hove Albion,2,2022-2023
Fabinho,Brazil,Liverpool FC,2,2022-2023
Fábio Vieira,Portugal,Arsenal FC,2,2022-2023
Wout Faes,Belgium,Leicester City,2,2022-2023
Evan Ferguson,Ireland,Brighton & Hove Albion,2,2022-2023
Enzo Fernández,Argentina,Chelsea FC,2,2022-2023
Fred,Brazil,Manchester United,2,2022-2023
Cody Gakpo,Netherlands,Liverpool FC,2,2022-2023
Alejandro Garnacho,Argentina,Manchester United,2,2022-2023
Joe Gelhardt,England,Leeds United,2,2022-2023
Sam Greenwood,England,Leeds United,2,2022-2023
Jordan Henderson,England,Liverpool FC,2,2022-2023
Rico Henry,England,Brentford FC,2,2022-2023
Danny Ings,England,West Ham United,2,2022-2023
João Moutinho,Portugal,Wolverhampton Wanderers,2,2022-2023
Michael Keane,England,Everton FC,2,2022-2023
Thilo Kehrer,Germany,West Ham United,2,2022-2023
Lloyd Kelly,England,AFC Bournemouth,2,2022-2023
Mateo Kovačić,Croatia,Chelsea FC,2,2022-2023
Clément Lenglet,France,Tottenham Hotspur,2,2022-2023
