Player,Country,Team,Assists,Season
David Silva,Spain,Manchester City,17,2011-2012
Antonio Valencia,Ecuador,Manchester United,14,2011-2012
Juan Mata,Spain,Chelsea FC,13,2011-2012
Emmanuel Adebayor,Togo,Tottenham Hotspur,12,2011-2012
Gareth Bale,Wales,Tottenham Hotspur,11,2011-2012
Alex Song,Cameroon,Arsenal FC,11,2011-2012
Sergio Agüero,Argentina,Manchester City,10,2011-2012
Nani,Portugal,Manchester United,10,2011-2012
Robin van Persie,Netherlands,Arsenal FC,10,2011-2012
Theo Walcott,England,Arsenal FC,10,2011-2012
Samir Nasri,France,Manchester City,9,2011-2012
Stéphane Sessègnon,Benin,Sunderland AFC,9,2011-2012
Ashley Young,England,Manchester United,9,2011-2012
Kevin Doyle,Ireland,Wolverhampton Wanderers,8,2011-2012
Matthew Etherington,England,Stoke City,8,2011-2012
Ryan Giggs,Wales,Manchester United,8,2011-2012
Wes Hoolahan,Ireland,Norwich City,8,2011-2012
Yaya Touré,Ivory Coast,Manchester City,8,2011-2012
Gabriel Agbonlahor,England,Aston Villa,7,2011-2012
Hatem Ben Arfa,France,Newcastle United,7,2011-2012
Chris Brunt,Northern Ireland,West Bromwich Albion,7,2011-2012
Yohan Cabaye,France,Newcastle United,7,2011-2012
Chris Eagles,England,Bolton Wanderers,7,2011-2012
Wayne Routledge,England,Swansea City,7,2011-2012
Bobby Zamora,England,Queens Park Rangers,7,2011-2012
Charlie Adam,Scotland,Liverpool FC,6,2011-2012
Ashley Cole,England,Chelsea FC,6,2011-2012
Clint Dempsey,USA,Fulham FC,6,2011-2012
Patrice Evra,France,Manchester United,6,2011-2012
Fernando Torres,Spain,Chelsea FC,6,2011-2012
Gervinho,Ivory Coast,Arsenal FC,6,2011-2012
Aaron Lennon,England,Tottenham Hotspur,6,2011-2012
Danny Murphy,England,Fulham FC,6,2011-2012
David N'Gog,France,Liverpool FC,6,2011-2012
Jermaine Pennant,England,Stoke City,6,2011-2012
Steven Pienaar,South Africa,Tottenham Hotspur,6,2011-2012
Aaron Ramsey,Wales,Arsenal FC,6,2011-2012
Micah Richards,England,Manchester City,6,2011-2012
Hugo Rodallega,Colombia,Wigan Athletic,6,2011-2012
Rafael van der Vaart,Netherlands,Tottenham Hotspur,6,2011-2012
Jon Walters,Ireland,Stoke City,6,2011-2012
Shola Ameobi,Nigeria,Newcastle United,5,2011-2012
Benoît Assou-Ekotto,Cameroon,Tottenham Hotspur,5,2011-2012
