Player,Country,Team,Assists,Season
Eden Hazard,Belgium,Chelsea FC,13,2012-2013
Juan Mata,Spain,Chelsea FC,13,2012-2013
Santi Cazorla,Spain,Arsenal FC,12,2012-2013
Wayne Rooney,England,Manchester United,11,2012-2013
Theo Walcott,England,Arsenal FC,11,2012-2013
Lukas Podolski,Germany,Arsenal FC,10,2012-2013
Robin van Persie,Netherlands,Manchester United,10,2012-2013
David Silva,Spain,Manchester City,9,2012-2013
Steven Gerrard,England,Liverpool FC,9,2012-2013
Jean Beausejour,Chile,Wigan Athletic,8,2012-2013
Shaun Maloney,Scotland,Wigan Athletic,8,2012-2013
Carlos Tévez,Argentina,Manchester City,8,2012-2013
Damien Duff,Ireland,Fulham FC,7,2012-2013
Aaron Lennon,England,Tottenham Hotspur,7,2012-2013
Jobi McAnuff,Jamaica,Reading FC,7,2012-2013
Bryan Ruiz,Costa Rica,Fulham FC,7,2012-2013
Jonathan de Guzmán,Netherlands,Swansea City,6,2012-2013
Marouane Fellaini,Belgium,Everton FC,6,2012-2013
Fernando Torres,Spain,Chelsea FC,6,2012-2013
Samir Nasri,France,Manchester City,6,2012-2013
Pablo Hernández,Spain,Swansea City,6,2012-2013
Steven Pienaar,South Africa,Everton FC,6,2012-2013
Jay Rodriguez,England,Southampton FC,6,2012-2013
Robert Snodgrass,Scotland,Norwich City,6,2012-2013
Ashley Westwood,England,Aston Villa,6,2012-2013
Leighton Baines,England,Everton FC,5,2012-2013
Andy Carroll,England,West Ham United,5,2012-2013
Séamus Coleman,Ireland,Everton FC,5,2012-2013
Stewart Downing,England,Liverpool FC,5,2012-2013
Patrice Evra,France,Manchester United,5,2012-2013
Adam Johnson,England,Sunderland AFC,5,2012-2013
Glen Johnson,England,Liverpool FC,5,2012-2013
Arouna Koné,Ivory Coast,Wigan Athletic,5,2012-2013
Adam Lallana,England,Southampton FC,5,2012-2013
Philippe Coutinho,Brazil,Liverpool FC,5,2012-2013
Stéphane Sessègnon,Benin,Sunderland AFC,5,2012-2013
Gylfi Sigurðsson,Iceland,Tottenham Hotspur,5,2012-2013
Luis Suárez,Uruguay,Liverpool FC,5,2012-2013
Antonio Valencia,Ecuador,Manchester United,5,2012-2013
Gabriel Agbonlahor,England,Aston Villa,4,2012-2013
Victor Anichebe,Nigeria,Everton FC,4,2012-2013
Gareth Bale,Wales,Tottenham Hotspur,4,2012-2013
Christian Benteke,Belgium,Aston Villa,4,2012-2013
Michael Carrick,England,Manchester United,4,2012-2013
Peter Crouch,England,Stoke City,4,2012-2013
Clint Dempsey,USA,Tottenham Hotspur,4,2012-2013
Nathan Dyer,England,Swansea City,4,2012-2013
Edin Džeko,Bosnia-Herzegovina,Manchester City,4,2012-2013
Ian Harte,Ireland,Reading FC,4,2012-2013
Jordan Henderson,England,Liverpool FC,4,2012-2013
Tom Huddlestone,England,Tottenham Hotspur,4,2012-2013
José Enrique,Spain,Liverpool FC,4,2012-2013
Rickie Lambert,England,Southampton FC,4,2012-2013
Sebastian Larsson,Sweden,Sunderland AFC,4,2012-2013
Shane Long,Ireland,West Bromwich Albion,4,2012-2013
Romelu Lukaku,Belgium,West Bromwich Albion,4,2012-2013
Sylvain Marveaux,France,Newcastle United,4,2012-2013
James Morrison,Scotland,West Bromwich Albion,4,2012-2013
Alex Oxlade-Chamberlain,England,Arsenal FC,4,2012-2013
Ricardo Vaz Tê,Portugal,West Ham United,4,2012-2013
Nicky Shorey,England,Reading FC,4,2012-2013
Adel Taarabt,Morocco,Queens Park Rangers,4,2012-2013
Yaya Touré,Ivory Coast,Manchester City,4,2012-2013
Kyle Walker,England,Tottenham Hotspur,4,2012-2013
Danny Welbeck,England,Manchester United,4,2012-2013
Hope Akpan,Nigeria,Reading FC,3,2012-2013
Azpilicueta,Spain,Chelsea FC,3,2012-2013
Gareth Barry,England,Manchester City,3,2012-2013
Elliott Bennett,Jamaica,Norwich City,3,2012-2013
Dimitar Berbatov,Bulgaria,Manchester United,3,2012-2013
Chris Brunt,Northern Ireland,West Bromwich Albion,3,2012-2013
Jermain Defoe,England,Tottenham Hotspur,3,2012-2013
Graham Dorrans,Scotland,West Bromwich Albion,3,2012-2013
Gervinho,Ivory Coast,Arsenal FC,3,2012-2013
Kieran Gibbs,England,Arsenal FC,3,2012-2013
Ryan Giggs,Wales,Manchester United,3,2012-2013
Olivier Giroud,France,Arsenal FC,3,2012-2013
Javier Hernández,Mexico,Manchester United,3,2012-2013
Grant Holt,England,Norwich City,3,2012-2013
Wes Hoolahan,Ireland,Norwich City,3,2012-2013
Cameron Jerome,Grenada,Stoke City,3,2012-2013
Shinji Kagawa,Japan,Manchester United,3,2012-2013
Matthew Lowton,England,Aston Villa,3,2012-2013
Stéphane M'bia,Cameroon,Queens Park Rangers,3,2012-2013
James McClean,Ireland,Sunderland AFC,3,2012-2013
Mikel Arteta,Spain,Arsenal FC,3,2012-2013
James Milner,England,Manchester City,3,2012-2013
Kevin Mirallas,Belgium,Everton FC,3,2012-2013
Charles N'Zogbia,France,Aston Villa,3,2012-2013
Mark Noble,England,West Ham United,3,2012-2013
Joey O'Brien,Ireland,West Ham United,3,2012-2013
Peter Odemwingie,Nigeria,West Bromwich Albion,3,2012-2013
Oscar,Brazil,Chelsea FC,3,2012-2013
Ji-Sung Park,South Korea,Queens Park Rangers,3,2012-2013
Anthony Pilkington,Ireland,Norwich City,3,2012-2013
Rafael,Brazil,Manchester United,3,2012-2013
Ramires,Brazil,Chelsea FC,3,2012-2013
Sascha Riether,Germany,Fulham FC,3,2012-2013
Wayne Routledge,England,Swansea City,3,2012-2013
Daniel Sturridge,England,Liverpool FC,3,2012-2013
Matthew Taylor,England,West Ham United,3,2012-2013
Glenn Whelan,Ireland,Stoke City,3,2012-2013
Jack Wilshere,England,Arsenal FC,3,2012-2013
Ashley Young,England,Manchester United,3,2012-2013
Charlie Adam,Scotland,Stoke City,2,2012-2013
Sergio Agüero,Argentina,Manchester City,2,2012-2013
Sébastien Bassong,Cameroon,Norwich City,2,2012-2013
Hatem Ben Arfa,France,Newcastle United,2,2012-2013
Joe Bennett,England,Aston Villa,2,2012-2013
Yohan Cabaye,France,Newcastle United,2,2012-2013
Gary Cahill,England,Chelsea FC,2,2012-2013
