Player,Country,Team,Assists,Season
David Beckham,England,Manchester United,7,1999-2000
Paolo Di Canio,Italy,West Ham United,7,1999-2000
Ryan Giggs,Wales,Manchester United,5,1999-2000
Giorgi Kinkladze,Georgia,Derby County,5,1999-2000
Nick Barmby,England,Everton FC,4,1999-2000
Dennis Bergkamp,Netherlands,Arsenal FC,4,1999-2000
Thierry Henry,France,Arsenal FC,4,1999-2000
Neil Lennon,Northern Ireland,Leicester City,4,1999-2000
Steve Lomas,Northern Ireland,West Ham United,4,1999-2000
Paul Merson,England,Aston Villa,4,1999-2000
Mark Pembridge,Wales,Everton FC,4,1999-2000
Teddy Sheringham,England,Manchester United,4,1999-2000
Ole Gunnar Solskjær,Norway,Manchester United,4,1999-2000
Niclas Alexandersson,Sweden,Sheffield Wednesday,3,1999-2000
Darren Anderton,England,Tottenham Hotspur,3,1999-2000
Peter Beagrie,England,Bradford City,3,1999-2000
Andy Booth,England,Sheffield Wednesday,3,1999-2000
Benito Carbone,Italy,Sheffield Wednesday,3,1999-2000
Rory Delap,Ireland,Derby County,3,1999-2000
Didier Domi,France,Newcastle United,3,1999-2000
Dion Dublin,England,Aston Villa,3,1999-2000
Kieron Dyer,England,Newcastle United,3,1999-2000
Steven Gerrard,England,Liverpool FC,3,1999-2000
Mustapha Hadji,Morocco,Coventry City,3,1999-2000
Emile Heskey,England,Liverpool FC,3,1999-2000
Steffen Iversen,Norway,Tottenham Hotspur,3,1999-2000
Wim Jonk,Netherlands,Sheffield Wednesday,3,1999-2000
Nwankwo Kanu,Nigeria,Arsenal FC,3,1999-2000
Stephen McPhail,Ireland,Leeds United,3,1999-2000
Emmanuel Petit,France,Arsenal FC,3,1999-2000
Niall Quinn,Ireland,Sunderland AFC,3,1999-2000
Alex Rae,Scotland,Sunderland AFC,3,1999-2000
Alan Shearer,England,Newcastle United,3,1999-2000
Trevor Sinclair,England,West Ham United,3,1999-2000
Tommy Smith,England,Watford FC,3,1999-2000
George Weah,Liberia,Chelsea FC,3,1999-2000
Dennis Wise,England,Chelsea FC,3,1999-2000
Alan Wright,England,Aston Villa,3,1999-2000
Patrik Berger,Czech Republic,Liverpool FC,2,1999-2000
Lee Bowyer,England,Leeds United,2,1999-2000
Wayne Bridge,England,Southampton FC,2,1999-2000
Danny Cadamarteri,England,Everton FC,2,1999-2000
Andy Campbell,England,Middlesbrough FC,2,1999-2000
Kevin Campbell,England,Everton FC,2,1999-2000
Sol Campbell,England,Tottenham Hotspur,2,1999-2000
Stephen Carr,Ireland,Tottenham Hotspur,2,1999-2000
Malcolm Christie,England,Derby County,2,1999-2000
Brian Deane,England,Middlesbrough FC,2,1999-2000
Matt Elliott,Scotland,Leicester City,2,1999-2000
Marcus Gayle,Jamaica,Wimbledon FC,2,1999-2000
David Ginola,France,Tottenham Hotspur,2,1999-2000
Steve Guppy,England,Leicester City,2,1999-2000
Gunnar Halle,Norway,Bradford City,2,1999-2000
Ian Harte,Ireland,Leeds United,2,1999-2000
Aaron Hughes,Northern Ireland,Newcastle United,2,1999-2000
Stephen Hughes,England,Everton FC,2,1999-2000
Muzzy Izzet,Turkey,Leicester City,2,1999-2000
Seth Johnson,England,Derby County,2,1999-2000
Matty Jones,Wales,Leeds United,2,1999-2000
Harry Kewell,Australia,Leeds United,2,1999-2000
Dominic Matteo,Scotland,Liverpool FC,2,1999-2000
Scott Minto,England,West Ham United,2,1999-2000
Jody Morris,England,Chelsea FC,2,1999-2000
Gary Neville,England,Manchester United,2,1999-2000
Stefan Oakes,England,Leicester City,2,1999-2000
Matt Oakley,England,Southampton FC,2,1999-2000
Marc Overmars,Netherlands,Arsenal FC,2,1999-2000
Ray Parlour,England,Arsenal FC,2,1999-2000
Dan Petrescu,Romania,Chelsea FC,2,1999-2000
Kevin Phillips,England,Sunderland AFC,2,1999-2000
Alan Quinn,Ireland,Sheffield Wednesday,2,1999-2000
Cédric Roussel,Belgium,Coventry City,2,1999-2000
Alan Smith,England,Leeds United,2,1999-2000
Nolberto Solano,Peru,Newcastle United,2,1999-2000
Gary Speed,Wales,Newcastle United,2,1999-2000
Steve Stone,England,Aston Villa,2,1999-2000
Nicky Summerbee,England,Sunderland AFC,2,1999-2000
Chris Sutton,England,Chelsea FC,2,1999-2000
Sylvinho,Brazil,Arsenal FC,2,1999-2000
Mauricio Taricco,Argentina,Tottenham Hotspur,2,1999-2000
David Thompson,England,Liverpool FC,2,1999-2000
Patrick Vieira,France,Arsenal FC,2,1999-2000
Noel Whelan,England,Coventry City,2,1999-2000
Gianfranco Zola,Italy,Chelsea FC,2,1999-2000
Trond Andersen,Norway,Wimbledon FC,1,1999-2000
Neal Ardley,England,Wimbledon FC,1,1999-2000
Warren Barton,England,Newcastle United,1,1999-2000
Michael Bridges,England,Leeds United,1,1999-2000
Craig Burley,Scotland,Derby County,1,1999-2000
Michael Carrick,England,West Ham United,1,1999-2000
Andy Cole,England,Manchester United,1,1999-2000
Stan Collymore,England,Leicester City,1,1999-2000
Colin Cooper,England,Middlesbrough FC,1,1999-2000
Carl Cort,Guyana,Wimbledon FC,1,1999-2000
Tony Cottee,England,Leicester City,1,1999-2000
Kevin Davies,England,Southampton FC,1,1999-2000
Gilles De Bilde,Belgium,Sheffield Wednesday,1,1999-2000
Mark Delaney,Wales,Aston Villa,1,1999-2000
Roberto Di Matteo,Italy,Chelsea FC,1,1999-2000
Jason Dodd,England,Southampton FC,1,1999-2000
John Dreyer,England,Bradford City,1,1999-2000
Émerson Thome,Brazil,Sheffield Wednesday,1,1999-2000
Matthew Etherington,England,Tottenham Hotspur,1,1999-2000
Jason Euell,Jamaica,Wimbledon FC,1,1999-2000
John Eustace,England,Coventry City,1,1999-2000
Duncan Ferguson,Scotland,Newcastle United,1,1999-2000
Gianluca Festa,Italy,Middlesbrough FC,1,1999-2000
Curtis Fleming,Ireland,Middlesbrough FC,1,1999-2000
Tore André Flo,Norway,Chelsea FC,1,1999-2000
Quinton Fortune,South Africa,Manchester United,1,1999-2000
Steffen Freund,Germany,Tottenham Hotspur,1,1999-2000
Michael Gray,England,Sunderland AFC,1,1999-2000
Gilles Grimandi,France,Arsenal FC,1,1999-2000
Heiðar Helguson,Iceland,Watford FC,1,1999-2000
Andy Hinchcliffe,England,Sheffield Wednesday,1,1999-2000
Darren Holloway,England,Sunderland AFC,1,1999-2000
Darren Huckerby,England,Leeds United,1,1999-2000
Mark Hughes,Wales,Southampton FC,1,1999-2000
Michael Hughes,Northern Ireland,Wimbledon FC,1,1999-2000
Micah Hyde,Jamaica,Watford FC,1,1999-2000
Sami Hyypiä,Finland,Liverpool FC,1,1999-2000
Andy Impey,England,Leicester City,1,1999-2000
Phil Jevons,England,Everton FC,1,1999-2000
Julian Joachim,England,Aston Villa,1,1999-2000
Juninho Paulista,Brazil,Middlesbrough FC,1,1999-2000
Hassan Kachloul,Morocco,Southampton FC,1,1999-2000
Frédéric Kanouté,Mali,West Ham United,1,1999-2000
Roy Keane,Ireland,Manchester United,1,1999-2000
Peter Kennedy,Northern Ireland,Watford FC,1,1999-2000
Temur Ketsbaia,Georgia,Newcastle United,1,1999-2000
Kevin Kilbane,Ireland,Sunderland AFC,1,1999-2000
Alan Kimble,England,Wimbledon FC,1,1999-2000
Frank Lampard,England,West Ham United,1,1999-2000
Matt Le Tissier,England,Southampton FC,1,1999-2000
Rob Lee,England,Newcastle United,1,1999-2000
Andreas Lund,Norway,Wimbledon FC,1,1999-2000
Claus Lundekvam,Norway,Southampton FC,1,1999-2000
Stefan Malz,Germany,Arsenal FC,1,1999-2000
Javier Margas,Chile,West Ham United,1,1999-2000
Chris Marsden,England,Southampton FC,1,1999-2000
Stuart McCall,Scotland,Bradford City,1,1999-2000
Gavin McCann,England,Sunderland AFC,1,1999-2000
Mario Melchiot,Netherlands,Chelsea FC,1,1999-2000
Tommy Mooney,England,Watford FC,1,1999-2000
Joe-Max Moore,USA,Everton FC,1,1999-2000
Danny Murphy,England,Liverpool FC,1,1999-2000
Keith O'Neill,Ireland,Middlesbrough FC,1,1999-2000
John Oster,Wales,Sunderland AFC,1,1999-2000
Michael Owen,England,Liverpool FC,1,1999-2000
Marians Pahars,Latvia,Southampton FC,1,1999-2000
Darryl Powell,Jamaica,Derby County,1,1999-2000
Hámilton Ricard,Colombia,Middlesbrough FC,1,1999-2000
Éric Roy,France,Sunderland AFC,1,1999-2000
Stefan Schnoor,Germany,Derby County,1,1999-2000
Gerald Sibon,Netherlands,Sheffield Wednesday,1,1999-2000
Allan Smart,Scotland,Watford FC,1,1999-2000
Vladimír Šmicer,Czech Republic,Liverpool FC,1,1999-2000
Gareth Southgate,England,Aston Villa,1,1999-2000
Jaap Stam,Netherlands,Manchester United,1,1999-2000
Robbie Stockdale,Scotland,Middlesbrough FC,1,1999-2000
Alan Thompson,England,Aston Villa,1,1999-2000
Steve Vickers,England,Middlesbrough FC,1,1999-2000
Darren Ward,England,Watford FC,1,1999-2000
Steve Watson,England,Aston Villa,1,1999-2000
David Wetherall,England,Bradford City,1,1999-2000
Gareth Whalley,England,Bradford City,1,1999-2000
Jason Wilcox,England,Leeds United,1,1999-2000
Dean Windass,England,Bradford City,1,1999-2000
Nordin Wooter,Netherlands,Watford FC,1,1999-2000
Dwight Yorke,Trinidad & Tobago,Manchester United,1,1999-2000
Christian Ziege,Germany,Middlesbrough FC,1,1999-2000
