Player,Country,Team,Assists,Season
Cesc Fàbregas,Spain,Chelsea FC,19,2014-2015
Santi Cazorla,Spain,Arsenal FC,12,2014-2015
Ángel Di María,Argentina,Manchester United,11,2014-2015
Eden Hazard,Belgium,Chelsea FC,10,2014-2015
Gylfi Sigurðsson,Iceland,Swansea City,10,2014-2015
Jamie Vardy,England,Leicester City,10,2014-2015
Sergio Agüero,Argentina,Manchester City,9,2014-2015
Leighton Baines,England,Everton FC,9,2014-2015
Chris Brunt,Northern Ireland,West Bromwich Albion,9,2014-2015
David Silva,Spain,Manchester City,9,2014-2015
Jordan Henderson,England,Liverpool FC,9,2014-2015
Yannick Bolasie,Congo DR,Crystal Palace,8,2014-2015
Stewart Downing,England,West Ham United,8,2014-2015
Jesús Navas,Spain,Manchester City,8,2014-2015
Oscar,Brazil,Chelsea FC,8,2014-2015
Matthew Phillips,Scotland,Queens Park Rangers,8,2014-2015
Alexis Sánchez,Chile,Arsenal FC,8,2014-2015
Raheem Sterling,England,Liverpool FC,8,2014-2015
Charlie Austin,England,Queens Park Rangers,7,2014-2015
Daryl Janmaat,Netherlands,Newcastle United,7,2014-2015
Érik Lamela,Argentina,Tottenham Hotspur,7,2014-2015
James Milner,England,Manchester City,7,2014-2015
Jefferson Montero,Ecuador,Swansea City,7,2014-2015
Jason Puncheon,England,Crystal Palace,7,2014-2015
Dušan Tadić,Serbia,Southampton FC,7,2014-2015
Jack Colback,England,Newcastle United,6,2014-2015
Shane Long,Ireland,Southampton FC,6,2014-2015
Samir Nasri,France,Manchester City,6,2014-2015
Philippe Coutinho,Brazil,Liverpool FC,6,2014-2015
Aaron Ramsey,Wales,Arsenal FC,6,2014-2015
James Ward-Prowse,England,Southampton FC,6,2014-2015
Marko Arnautović,Austria,Stoke City,5,2014-2015
Leandro Bacuna,Curaçao,Aston Villa,5,2014-2015
Nacer Chadli,Belgium,Tottenham Hotspur,5,2014-2015
Ahmed Elmohamady,Egypt,Hull City,5,2014-2015
Radamel Falcao,Colombia,Manchester United,5,2014-2015
Branislav Ivanović,Serbia,Chelsea FC,5,2014-2015
Harry Kane,England,Tottenham Hotspur,5,2014-2015
Romelu Lukaku,Belgium,Everton FC,5,2014-2015
Mesut Özil,Germany,Arsenal FC,5,2014-2015
Wayne Rooney,England,Manchester United,5,2014-2015
Danny Rose,England,Tottenham Hotspur,5,2014-2015
Jonjo Shelvey,England,Swansea City,5,2014-2015
Patrick van Aanholt,Netherlands,Sunderland AFC,5,2014-2015
Ashley Young,England,Manchester United,5,2014-2015
Ander Herrera,Spain,Manchester United,4,2014-2015
Aaron Cresswell,England,West Ham United,4,2014-2015
Craig Gardner,England,West Bromwich Albion,4,2014-2015
Danny Ings,England,Burnley FC,4,2014-2015
Juan Mata,Spain,Manchester United,4,2014-2015
Sadio Mané,Senegal,Southampton FC,4,2014-2015
Ryan Mason,England,Tottenham Hotspur,4,2014-2015
Victor Moses,Nigeria,Stoke City,4,2014-2015
Ramires,Brazil,Chelsea FC,4,2014-2015
Kieran Trippier,England,Burnley FC,4,2014-2015
Jon Walters,Ireland,Stoke City,4,2014-2015
Danny Welbeck,England,Manchester United,4,2014-2015
Pablo Zabaleta,Argentina,Manchester City,4,2014-2015
Bobby Zamora,England,Queens Park Rangers,4,2014-2015
Marc Albrighton,England,Leicester City,3,2014-2015
