Player,Country,Team,Assists,Season
Mesut Özil,Germany,Arsenal FC,19,2015-2016
Christian Eriksen,Denmark,Tottenham Hotspur,13,2015-2016
Riyad Mahrez,Algeria,Leicester City,12,2015-2016
Dimitri Payet,France,West Ham United,12,2015-2016
Dušan Tadić,Serbia,Southampton FC,12,2015-2016
Jamie Vardy,England,Leicester City,12,2015-2016
David Silva,Spain,Manchester City,11,2015-2016
James Milner,England,Liverpool FC,11,2015-2016
Dele Alli,England,Tottenham Hotspur,10,2015-2016
Ross Barkley,England,Everton FC,9,2015-2016
Kevin De Bruyne,Belgium,Manchester City,9,2015-2016
Érik Lamela,Argentina,Tottenham Hotspur,9,2015-2016
Moussa Sissoko,France,Newcastle United,9,2015-2016
Troy Deeney,England,Watford FC,8,2015-2016
Danny Drinkwater,England,Leicester City,8,2015-2016
Gerard Deulofeu,Spain,Everton FC,8,2015-2016
Wes Hoolahan,Ireland,Norwich City,8,2015-2016
Jesús Navas,Spain,Manchester City,8,2015-2016
Willian,Brazil,Chelsea FC,8,2015-2016
Marko Arnautović,Austria,Stoke City,7,2015-2016
Cesc Fàbregas,Spain,Chelsea FC,7,2015-2016
Romelu Lukaku,Belgium,Everton FC,7,2015-2016
Sadio Mané,Senegal,Southampton FC,7,2015-2016
Graziano Pellè,Italy,Southampton FC,7,2015-2016
Roberto Firmino,Brazil,Liverpool FC,7,2015-2016
Marc Albrighton,England,Leicester City,6,2015-2016
Diego Costa,Brazil,Chelsea FC,6,2015-2016
Olivier Giroud,France,Arsenal FC,6,2015-2016
Adam Johnson,England,Sunderland AFC,6,2015-2016
Adam Lallana,England,Liverpool FC,6,2015-2016
Matt Ritchie,Scotland,AFC Bournemouth,6,2015-2016
Wayne Rooney,England,Manchester United,6,2015-2016
Xherdan Shaqiri,Switzerland,Stoke City,6,2015-2016
Jordan Veretout,France,Aston Villa,6,2015-2016
André Ayew,Ghana,Swansea City,5,2015-2016
Tom Cleverley,England,Everton FC,5,2015-2016
Charlie Daniels,England,AFC Bournemouth,5,2015-2016
Héctor Bellerín,Spain,Arsenal FC,5,2015-2016
Odion Ighalo,Nigeria,Watford FC,5,2015-2016
Juan Mata,Spain,Manchester United,5,2015-2016
Yann M'Vila,France,Sunderland AFC,5,2015-2016
Anthony Martial,France,Manchester United,5,2015-2016
Aleksandar Mitrović,Serbia,Newcastle United,5,2015-2016
Mark Noble,England,West Ham United,5,2015-2016
Philippe Coutinho,Brazil,Liverpool FC,5,2015-2016
Jonjo Shelvey,England,Swansea City,5,2015-2016
Georginio Wijnaldum,Netherlands,Newcastle United,5,2015-2016
Alberto Moreno,Spain,Liverpool FC,4,2015-2016
Michail Antonio,Jamaica,West Ham United,4,2015-2016
Azpilicueta,Spain,Chelsea FC,4,2015-2016
Christian Benteke,Belgium,Liverpool FC,4,2015-2016
Ryan Bertrand,England,Southampton FC,4,2015-2016
Yannick Bolasie,Congo DR,Crystal Palace,4,2015-2016
Aaron Cresswell,England,West Ham United,4,2015-2016
Simon Francis,England,AFC Bournemouth,4,2015-2016
