Player,Country,Team,Assists,Season
Muzzy Izzet,Turkey,Leicester City,14,2003-2004
Paolo Di Canio,Italy,Charlton Athletic,12,2003-2004
Brett Emerton,Australia,Blackburn Rovers,11,2003-2004
Ryan Giggs,Wales,Manchester United,11,2003-2004
Steed Malbranque,France,Fulham FC,10,2003-2004
Kevin Davies,England,Bolton Wanderers,9,2003-2004
Damien Duff,Ireland,Chelsea FC,9,2003-2004
Gareth Barry,England,Aston Villa,8,2003-2004
Robert Pirés,France,Arsenal FC,8,2003-2004
Dennis Bergkamp,Netherlands,Arsenal FC,7,2003-2004
Steven Gerrard,England,Liverpool FC,7,2003-2004
Tugay Kerimoğlu,Turkey,Blackburn Rovers,7,2003-2004
Louis Saha,France,Manchester United,7,2003-2004
James Beattie,England,Southampton FC,6,2003-2004
Andy Cole,England,Blackburn Rovers,6,2003-2004
Thierry Henry,France,Arsenal FC,6,2003-2004
Thomas Hitzlsperger,Germany,Aston Villa,6,2003-2004
Jermaine Pennant,England,Leeds United,6,2003-2004
Laurent Robert,France,Newcastle United,6,2003-2004
Patrik Berger,Czech Republic,Portsmouth FC,5,2003-2004
Joe Cole,England,Chelsea FC,5,2003-2004
Jimmy Floyd Hasselbaink,Netherlands,Chelsea FC,5,2003-2004
Claus Jensen,Denmark,Charlton Athletic,5,2003-2004
Mark Kennedy,Ireland,Wolverhampton Wanderers,5,2003-2004
Frank Lampard,England,Chelsea FC,5,2003-2004
Stan Lazaridis,Australia,Birmingham City,5,2003-2004
Freddie Ljungberg,Sweden,Arsenal FC,5,2003-2004
Gary Naysmith,Scotland,Everton FC,5,2003-2004
Steve Stone,England,Portsmouth FC,5,2003-2004
Darren Anderton,England,Tottenham Hotspur,4,2003-2004
Nicolas Anelka,France,Manchester City,4,2003-2004
Boa Morte,Portugal,Fulham FC,4,2003-2004
Wayne Bridge,England,Chelsea FC,4,2003-2004
Cristiano Ronaldo,Portugal,Manchester United,4,2003-2004
Diego Forlán,Uruguay,Manchester United,4,2003-2004
Paul Gallagher,Scotland,Blackburn Rovers,4,2003-2004
Gilberto Silva,Brazil,Arsenal FC,4,2003-2004
Ian Harte,Ireland,Leeds United,4,2003-2004
Emile Heskey,England,Liverpool FC,4,2003-2004
Damien Johnson,Northern Ireland,Birmingham City,4,2003-2004
Seth Johnson,England,Leeds United,4,2003-2004
Ledley King,England,Tottenham Hotspur,4,2003-2004
Mendieta,Spain,Middlesbrough FC,4,2003-2004
Clinton Morrison,Ireland,Birmingham City,4,2003-2004
Adrian Mutu,Romania,Chelsea FC,4,2003-2004
Geremi Njitap,Cameroon,Chelsea FC,4,2003-2004
Jay Jay Okocha,Nigeria,Bolton Wanderers,4,2003-2004
Tomasz Radzinski,Canada,Everton FC,4,2003-2004
John Arne Riise,Norway,Liverpool FC,4,2003-2004
Wayne Rooney,England,Everton FC,4,2003-2004
Jlloyd Samuel,Trinidad & Tobago,Aston Villa,4,2003-2004
Robbie Savage,Wales,Birmingham City,4,2003-2004
Alan Shearer,England,Newcastle United,4,2003-2004
Teddy Sheringham,England,Portsmouth FC,4,2003-2004
Antoine Sibierski,France,Manchester City,4,2003-2004
Nolberto Solano,Peru,Newcastle United,4,2003-2004
Jihai Sun,China,Manchester City,4,2003-2004
Michael Tarnat,Germany,Manchester City,4,2003-2004
Patrick Vieira,France,Arsenal FC,4,2003-2004
Peter Whittingham,England,Aston Villa,4,2003-2004
Boudewijn Zenden,Netherlands,Middlesbrough FC,4,2003-2004
Yakubu Ayegbeni,Nigeria,Portsmouth FC,3,2003-2004
Markus Babbel,Germany,Blackburn Rovers,3,2003-2004
Milan Baroš,Czech Republic,Liverpool FC,3,2003-2004
Marcus Bent,England,Leicester City,3,2003-2004
Olivier Bernard,France,Newcastle United,3,2003-2004
Lee Clark,England,Fulham FC,3,2003-2004
Ashley Cole,England,Arsenal FC,3,2003-2004
Peter Crouch,England,Aston Villa,3,2003-2004
Arjan de Zeeuw,Netherlands,Portsmouth FC,3,2003-2004
Paul Dickov,Scotland,Leicester City,3,2003-2004
Youri Djorkaeff,France,Bolton Wanderers,3,2003-2004
Jason Dodd,England,Southampton FC,3,2003-2004
Kieron Dyer,England,Newcastle United,3,2003-2004
Stylianos Giannakopoulos,Greece,Bolton Wanderers,3,2003-2004
Joseph-Désiré Job,Cameroon,Middlesbrough FC,3,2003-2004
Robbie Keane,Ireland,Tottenham Hotspur,3,2003-2004
Roy Keane,Ireland,Manchester United,3,2003-2004
Harry Kewell,Australia,Liverpool FC,3,2003-2004
Kléberson,Brazil,Manchester United,3,2003-2004
Paul Konchesky,England,Tottenham Hotspur,3,2003-2004
Danny Murphy,England,Liverpool FC,3,2003-2004
Gary Neville,England,Manchester United,3,2003-2004
Michael Owen,England,Liverpool FC,3,2003-2004
Kevin Phillips,England,Southampton FC,3,2003-2004
Alex Rae,Scotland,Wolverhampton Wanderers,3,2003-2004
Paul Scholes,England,Manchester United,3,2003-2004
James Scowcroft,England,Leicester City,3,2003-2004
Alan Smith,England,Leeds United,3,2003-2004
Gary Speed,Wales,Newcastle United,3,2003-2004
Matthew Taylor,England,Portsmouth FC,3,2003-2004
Mark Viduka,Australia,Leeds United,3,2003-2004
Steve Watson,England,Everton FC,3,2003-2004
Darren Ambrose,England,Newcastle United,2,2003-2004
Shola Ameobi,Nigeria,Newcastle United,2,2003-2004
Celestine Babayaro,Nigeria,Chelsea FC,2,2003-2004
Joey Barton,England,Manchester City,2,2003-2004
Nathan Blake,Wales,Wolverhampton Wanderers,2,2003-2004
George Boateng,Netherlands,Middlesbrough FC,2,2003-2004
Henri Camara,Senegal,Wolverhampton Wanderers,2,2003-2004
Stephen Carr,Ireland,Tottenham Hotspur,2,2003-2004
Simon Charlton,England,Bolton Wanderers,2,2003-2004
Carl Cort,Guyana,Wolverhampton Wanderers,2,2003-2004
Kenny Cunningham,Ireland,Birmingham City,2,2003-2004
Sean Davis,England,Fulham FC,2,2003-2004
Mark Delaney,Wales,Aston Villa,2,2003-2004
Rory Delap,Ireland,Southampton FC,2,2003-2004
El-Hadji Diouf,Senegal,Liverpool FC,2,2003-2004
Doriva,Brazil,Middlesbrough FC,2,2003-2004
Edu Gaspar,Brazil,Arsenal FC,2,2003-2004
Jason Euell,Jamaica,Charlton Athletic,2,2003-2004
Les Ferdinand,England,Leicester City,2,2003-2004
Duncan Ferguson,Scotland,Everton FC,2,2003-2004
Fabrice Fernandes,France,Southampton FC,2,2003-2004
Steve Finnan,Ireland,Liverpool FC,2,2003-2004
Quinton Fortune,South Africa,Manchester United,2,2003-2004
Thomas Gravesen,Denmark,Everton FC,2,2003-2004
Jesper Grønkjær,Denmark,Chelsea FC,2,2003-2004
Eiður Guðjohnsen,Iceland,Chelsea FC,2,2003-2004
Steve Guppy,England,Leicester City,2,2003-2004
Dietmar Hamann,Germany,Liverpool FC,2,2003-2004
Barry Hayles,Jamaica,Fulham FC,2,2003-2004
Lee Hendrie,England,Aston Villa,2,2003-2004
Paul Ince,England,Wolverhampton Wanderers,2,2003-2004
Denis Irwin,Ireland,Wolverhampton Wanderers,2,2003-2004
Johnnie Jackson,England,Tottenham Hotspur,2,2003-2004
Matt Jansen,England,Blackburn Rovers,2,2003-2004
Jermaine Jenas,England,Newcastle United,2,2003-2004
Juninho Paulista,Brazil,Middlesbrough FC,2,2003-2004
Nwankwo Kanu,Nigeria,Arsenal FC,2,2003-2004
Tobias Linderoth,Sweden,Everton FC,2,2003-2004
Claus Lundekvam,Norway,Southampton FC,2,2003-2004
Massimo Maccarone,Italy,Middlesbrough FC,2,2003-2004
Jon Macken,Ireland,Manchester City,2,2003-2004
Szilárd Németh,Slovakia,Middlesbrough FC,2,2003-2004
Phil Neville,England,Manchester United,2,2003-2004
Scott Parker,England,Chelsea FC,2,2003-2004
Mark Pembridge,Wales,Fulham FC,2,2003-2004
David Prutton,England,Southampton FC,2,2003-2004
Riccardo Scimeca,England,Leicester City,2,2003-2004
Ole Gunnar Solskjær,Norway,Manchester United,2,2003-2004
Gareth Southgate,England,Middlesbrough FC,2,2003-2004
Jordan Stewart,England,Leicester City,2,2003-2004
Anders Svensson,Sweden,Southampton FC,2,2003-2004
Paul Telfer,Scotland,Southampton FC,2,2003-2004
John Terry,England,Chelsea FC,2,2003-2004
Ruud van Nistelrooy,Netherlands,Manchester United,2,2003-2004
