Player,Country,Team,Assists,Season
David Beckham,England,Manchester United,12,2000-2001
Nolberto Solano,Peru,Newcastle United,10,2000-2001
Jimmy Floyd Hasselbaink,Netherlands,Chelsea FC,9,2000-2001
Thierry Henry,France,Arsenal FC,9,2000-2001
Vladimír Šmicer,Czech Republic,Liverpool FC,9,2000-2001
Ryan Giggs,Wales,Manchester United,8,2000-2001
Graham Stuart,England,Charlton Athletic,8,2000-2001
Stephen Clemence,England,Tottenham Hotspur,7,2000-2001
Paolo Di Canio,Italy,West Ham United,7,2000-2001
Hassan Kachloul,Morocco,Southampton FC,7,2000-2001
Roy Keane,Ireland,Manchester United,7,2000-2001
Robert Pirés,France,Arsenal FC,7,2000-2001
Gustavo Poyet,Uruguay,Chelsea FC,7,2000-2001
Stefano Eranio,Italy,Derby County,6,2000-2001
Eiður Guðjohnsen,Iceland,Chelsea FC,6,2000-2001
Ian Harte,Ireland,Leeds United,6,2000-2001
Don Hutchison,Scotland,Sunderland AFC,6,2000-2001
Paul Merson,England,Aston Villa,6,2000-2001
Marians Pahars,Latvia,Southampton FC,6,2000-2001
Teddy Sheringham,England,Manchester United,6,2000-2001
Alan Smith,England,Leeds United,6,2000-2001
Paul Telfer,Scotland,Coventry City,6,2000-2001
Celestine Babayaro,Nigeria,Chelsea FC,5,2000-2001
Patrik Berger,Czech Republic,Liverpool FC,5,2000-2001
Lee Bowyer,England,Leeds United,5,2000-2001
Kieron Dyer,England,Newcastle United,5,2000-2001
Lee Hendrie,England,Aston Villa,5,2000-2001
Matt Holland,Ireland,Ipswich Town,5,2000-2001
Seth Johnson,England,Derby County,5,2000-2001
Jim Magilton,Northern Ireland,Ipswich Town,5,2000-2001
Gary McAllister,Scotland,Liverpool FC,5,2000-2001
Paul Scholes,England,Manchester United,5,2000-2001
Julio Arca,Argentina,Sunderland AFC,4,2000-2001
James Beattie,England,Southampton FC,4,2000-2001
Benito Carbone,Italy,Bradford City,4,2000-2001
Dion Dublin,England,Aston Villa,4,2000-2001
David Ginola,France,Aston Villa,4,2000-2001
Emile Heskey,England,Liverpool FC,4,2000-2001
Hermann Hreiðarsson,Iceland,Ipswich Town,4,2000-2001
Eoin Jess,Scotland,Bradford City,4,2000-2001
Frédéric Kanouté,Mali,West Ham United,4,2000-2001
Nwankwo Kanu,Nigeria,Arsenal FC,4,2000-2001
Christian Karembeu,France,Middlesbrough FC,4,2000-2001
Mark Kennedy,Ireland,Manchester City,4,2000-2001
Harry Kewell,Australia,Leeds United,4,2000-2001
Øyvind Leonhardsen,Norway,Tottenham Hotspur,4,2000-2001
Kevin Phillips,England,Sunderland AFC,4,2000-2001
Serhiy Rebrov,Ukraine,Tottenham Hotspur,4,2000-2001
Ole Gunnar Solskjær,Norway,Manchester United,4,2000-2001
Marcus Stewart,England,Ipswich Town,4,2000-2001
Dean Sturridge,England,Leicester City,4,2000-2001
Mark Viduka,Australia,Leeds United,4,2000-2001
Patrick Vieira,France,Arsenal FC,4,2000-2001
Ashley Ward,England,Bradford City,4,2000-2001
Jeff Whitley,Northern Ireland,Manchester City,4,2000-2001
Sylvain Wiltord,France,Arsenal FC,4,2000-2001
Dennis Wise,England,Chelsea FC,4,2000-2001
Alan Wright,England,Aston Villa,4,2000-2001
Dwight Yorke,Trinidad & Tobago,Manchester United,4,2000-2001
Gianfranco Zola,Italy,Chelsea FC,4,2000-2001
Darren Anderton,England,Tottenham Hotspur,3,2000-2001
Markus Babbel,Germany,Liverpool FC,3,2000-2001
Nick Barmby,England,Liverpool FC,3,2000-2001
Dennis Bergkamp,Netherlands,Arsenal FC,3,2000-2001
Alen Bokšić,Croatia,Middlesbrough FC,3,2000-2001
Michael Bridges,England,Leeds United,3,2000-2001
Michael Carrick,England,West Ham United,3,2000-2001
Jamie Clapham,England,Ipswich Town,3,2000-2001
Andy Cole,England,Manchester United,3,2000-2001
Olivier Dacourt,France,Leeds United,3,2000-2001
Samuele Dalla Bona,Italy,Chelsea FC,3,2000-2001
Kevin Davies,England,Southampton FC,3,2000-2001
Simon Davies,Wales,Tottenham Hotspur,3,2000-2001
Tore André Flo,Norway,Chelsea FC,3,2000-2001
