Player,Country,Team,Assists,Season
Frank Lampard,England,Chelsea FC,18,2004-2005
Thierry Henry,France,Arsenal FC,14,2004-2005
Dennis Bergkamp,Netherlands,Arsenal FC,12,2004-2005
Stewart Downing,England,Middlesbrough FC,11,2004-2005
Reyes,Spain,Arsenal FC,10,2004-2005
Boa Morte,Portugal,Fulham FC,9,2004-2005
Ryan Giggs,Wales,Manchester United,9,2004-2005
Jonathan Greening,England,West Bromwich Albion,9,2004-2005
Arjen Robben,Netherlands,Chelsea FC,9,2004-2005
Wayne Routledge,England,Crystal Palace,9,2004-2005
Freddie Ljungberg,Sweden,Arsenal FC,8,2004-2005
Damien Duff,Ireland,Chelsea FC,7,2004-2005
Jimmy Floyd Hasselbaink,Netherlands,Middlesbrough FC,7,2004-2005
Danny Murphy,England,Charlton Athletic,7,2004-2005
John Arne Riise,Norway,Liverpool FC,7,2004-2005
Peter Crouch,England,Southampton FC,6,2004-2005
Thomas Gravesen,Denmark,Everton FC,6,2004-2005
Eiður Guðjohnsen,Iceland,Chelsea FC,6,2004-2005
Dietmar Hamann,Germany,Liverpool FC,6,2004-2005
Darren Huckerby,England,Norwich City,6,2004-2005
Frédéric Kanouté,Mali,Tottenham Hotspur,6,2004-2005
Steed Malbranque,France,Fulham FC,6,2004-2005
Patrick Vieira,France,Arsenal FC,6,2004-2005
Juan Pablo Ángel,Colombia,Aston Villa,5,2004-2005
Joey Barton,England,Manchester City,5,2004-2005
Patrik Berger,Czech Republic,Portsmouth FC,5,2004-2005
Tim Cahill,Australia,Everton FC,5,2004-2005
Cesc Fàbregas,Spain,Arsenal FC,5,2004-2005
Ulises De la Cruz,Ecuador,Aston Villa,5,2004-2005
Didier Drogba,Ivory Coast,Chelsea FC,5,2004-2005
Robbie Fowler,England,Manchester City,5,2004-2005
Robbie Keane,Ireland,Tottenham Hotspur,5,2004-2005
Mark Pembridge,Wales,Fulham FC,5,2004-2005
Laurent Robert,France,Newcastle United,5,2004-2005
Nolberto Solano,Peru,Aston Villa,5,2004-2005
Gary Speed,Wales,Bolton Wanderers,5,2004-2005
Craig Bellamy,Wales,Newcastle United,4,2004-2005
Marcus Bent,England,Everton FC,4,2004-2005
Eyal Berkovic,Israel,Portsmouth FC,4,2004-2005
Michael Carrick,England,Tottenham Hotspur,4,2004-2005
Andy Cole,England,Fulham FC,4,2004-2005
Carlton Cole,England,Aston Villa,4,2004-2005
Cristiano Ronaldo,Portugal,Manchester United,4,2004-2005
Rory Delap,Ireland,Southampton FC,4,2004-2005
El-Hadji Diouf,Senegal,Bolton Wanderers,4,2004-2005
Brett Emerton,Australia,Blackburn Rovers,4,2004-2005
Lauren Etame Mayer,Cameroon,Arsenal FC,4,2004-2005
Fabrice Fernandes,France,Southampton FC,4,2004-2005
Steven Gerrard,England,Liverpool FC,4,2004-2005
Stylianos Giannakopoulos,Greece,Bolton Wanderers,4,2004-2005
Emile Heskey,England,Birmingham City,4,2004-2005
Luis García,Spain,Liverpool FC,4,2004-2005
Brian McBride,USA,Fulham FC,4,2004-2005
Leon McKenzie,England,Norwich City,4,2004-2005
Robert Pirés,France,Arsenal FC,4,2004-2005
Franck Queudrue,France,Middlesbrough FC,4,2004-2005
Tomasz Radzinski,Canada,Fulham FC,4,2004-2005
Steven Reid,Ireland,Blackburn Rovers,4,2004-2005
