Player,Country,Team,Assists,Season
Robert Pirés,France,Arsenal FC,15,2001-2002
Dennis Bergkamp,Netherlands,Arsenal FC,13,2001-2002
Ryan Giggs,Wales,Manchester United,12,2001-2002
Laurent Robert,France,Newcastle United,11,2001-2002
Nolberto Solano,Peru,Newcastle United,10,2001-2002
Ole Gunnar Solskjær,Norway,Manchester United,9,2001-2002
David Beckham,England,Manchester United,8,2001-2002
Benito Carbone,Italy,Middlesbrough FC,8,2001-2002
Steed Malbranque,France,Fulham FC,8,2001-2002
Danny Murphy,England,Liverpool FC,8,2001-2002
Mark Venus,England,Ipswich Town,8,2001-2002
Steven Gerrard,England,Liverpool FC,7,2001-2002
Emile Heskey,England,Liverpool FC,7,2001-2002
Graeme Le Saux,England,Chelsea FC,7,2001-2002
Trevor Sinclair,England,West Ham United,7,2001-2002
Mark Viduka,Australia,Leeds United,7,2001-2002
Sylvain Wiltord,France,Arsenal FC,7,2001-2002
Paolo Di Canio,Italy,West Ham United,6,2001-2002
Damien Duff,Ireland,Blackburn Rovers,6,2001-2002
Eiður Guðjohnsen,Iceland,Chelsea FC,6,2001-2002
Jimmy Floyd Hasselbaink,Netherlands,Chelsea FC,6,2001-2002
Sebastien Schemmel,France,West Ham United,6,2001-2002
Vladimír Šmicer,Czech Republic,Liverpool FC,6,2001-2002
Christian Ziege,Germany,Tottenham Hotspur,6,2001-2002
Darren Anderton,England,Tottenham Hotspur,5,2001-2002
Lee Bowyer,England,Leeds United,5,2001-2002
Andy Cole,England,Manchester United,5,2001-2002
David Dunn,England,Blackburn Rovers,5,2001-2002
Per Frandsen,Denmark,Bolton Wanderers,5,2001-2002
Ricardo Gardner,Jamaica,Bolton Wanderers,5,2001-2002
Thomas Gravesen,Denmark,Everton FC,5,2001-2002
Thierry Henry,France,Arsenal FC,5,2001-2002
Matt Jansen,England,Blackburn Rovers,5,2001-2002
Paul Scholes,England,Manchester United,5,2001-2002
Mikaël Silvestre,France,Manchester United,5,2001-2002
Anders Svensson,Sweden,Southampton FC,5,2001-2002
