Player,Country,Team,Assists,Season
Nani,Portugal,Manchester United,17,2010-2011
Cesc Fàbregas,Spain,Arsenal FC,14,2010-2011
Didier Drogba,Ivory Coast,Chelsea FC,14,2010-2011
Andrey Arshavin,Russia,Arsenal FC,11,2010-2011
Ashley Young,England,Aston Villa,11,2010-2011
Leighton Baines,England,Everton FC,10,2010-2011
Chris Brunt,Northern Ireland,West Bromwich Albion,10,2010-2011
Wayne Rooney,England,Manchester United,10,2010-2011
Joey Barton,England,Newcastle United,9,2010-2011
Rafael van der Vaart,Netherlands,Tottenham Hotspur,9,2010-2011
Charlie Adam,Scotland,Blackpool FC,8,2010-2011
Peter Crouch,England,Tottenham Hotspur,8,2010-2011
David Silva,Spain,Manchester City,8,2010-2011
Andy Carroll,England,Newcastle United,7,2010-2011
Stewart Downing,England,Aston Villa,7,2010-2011
Matthew Etherington,England,Stoke City,7,2010-2011
Ryan Giggs,Wales,Manchester United,7,2010-2011
Matthew Jarvis,England,Wolverhampton Wanderers,7,2010-2011
Cameron Jerome,Grenada,Birmingham City,7,2010-2011
Dirk Kuyt,Netherlands,Liverpool FC,7,2010-2011
Sebastian Larsson,Sweden,Birmingham City,7,2010-2011
Charles N'Zogbia,France,Wigan Athletic,7,2010-2011
Peter Odemwingie,Nigeria,West Bromwich Albion,7,2010-2011
Jermaine Pennant,England,Stoke City,7,2010-2011
Robin van Persie,Netherlands,Arsenal FC,7,2010-2011
Bobby Zamora,England,Fulham FC,7,2010-2011
Shola Ameobi,Nigeria,Newcastle United,6,2010-2011
Kevin Davies,England,Bolton Wanderers,6,2010-2011
Darren Fletcher,Scotland,Manchester United,6,2010-2011
Chung-yong Lee,South Korea,Bolton Wanderers,6,2010-2011
James Milner,England,Manchester City,6,2010-2011
Morten Pedersen,Norway,Blackburn Rovers,6,2010-2011
Raúl Meireles,Portugal,Liverpool FC,6,2010-2011
Steven Reid,Ireland,West Bromwich Albion,6,2010-2011
Carlos Tévez,Argentina,Manchester City,6,2010-2011
Jerome Thomas,England,West Bromwich Albion,6,2010-2011
Theo Walcott,England,Arsenal FC,6,2010-2011
Marc Albrighton,England,Aston Villa,5,2010-2011
Kevin Doyle,Ireland,Wolverhampton Wanderers,5,2010-2011
