Player,Country,Team,Assists,Season
Kevin De Bruyne,Belgium,Manchester City,16,2017-2018
Leroy Sané,Germany,Manchester City,15,2017-2018
David Silva,Spain,Manchester City,11,2017-2018
Raheem Sterling,England,Manchester City,11,2017-2018
Dele Alli,England,Tottenham Hotspur,10,2017-2018
Riyad Mahrez,Algeria,Leicester City,10,2017-2018
Paul Pogba,France,Manchester United,10,2017-2018
Mo Salah,Egypt,Liverpool FC,10,2017-2018
Christian Eriksen,Denmark,Tottenham Hotspur,9,2017-2018
Henrikh Mkhitaryan,Armenia,Manchester United,9,2017-2018
Pascal Groß,Germany,Brighton & Hove Albion,8,2017-2018
Jóhann Guðmundsson,Iceland,Burnley FC,8,2017-2018
Mesut Özil,Germany,Arsenal FC,8,2017-2018
Aaron Ramsey,Wales,Arsenal FC,8,2017-2018
Marc Albrighton,England,Leicester City,7,2017-2018
Chris Brunt,Northern Ireland,West Bromwich Albion,7,2017-2018
Aaron Cresswell,England,West Ham United,7,2017-2018
Romelu Lukaku,Belgium,Manchester United,7,2017-2018
Sadio Mané,Senegal,Liverpool FC,7,2017-2018
Alex Oxlade-Chamberlain,England,Liverpool FC,7,2017-2018
Roberto Firmino,Brazil,Liverpool FC,7,2017-2018
Xherdan Shaqiri,Switzerland,Stoke City,7,2017-2018
Andros Townsend,England,Crystal Palace,7,2017-2018
Willian,Brazil,Chelsea FC,7,2017-2018
Granit Xhaka,Switzerland,Arsenal FC,7,2017-2018
Sergio Agüero,Argentina,Manchester City,6,2017-2018
Joe Allen,Wales,Stoke City,6,2017-2018
Álvaro Morata,Spain,Chelsea FC,6,2017-2018
Marko Arnautović,Austria,West Ham United,6,2017-2018
Azpilicueta,Spain,Chelsea FC,6,2017-2018
Dominic Calvert-Lewin,England,Everton FC,6,2017-2018
Ben Davies,Wales,Tottenham Hotspur,6,2017-2018
Jordon Ibe,England,AFC Bournemouth,6,2017-2018
Manuel Lanzini,Argentina,West Ham United,6,2017-2018
Philippe Coutinho,Brazil,Liverpool FC,6,2017-2018
Alexis Sánchez,Chile,Manchester United,6,2017-2018
Heung-min Son,South Korea,Tottenham Hotspur,6,2017-2018
Kyle Walker,England,Manchester City,6,2017-2018
Ayoze Pérez,Spain,Newcastle United,5,2017-2018
Christian Benteke,Belgium,Crystal Palace,5,2017-2018
Eric Maxim Choupo-Moting,Cameroon,Stoke City,5,2017-2018
Alex Iwobi,Nigeria,Arsenal FC,5,2017-2018
Juan Mata,Spain,Manchester United,5,2017-2018
Jesse Lingard,England,Manchester United,5,2017-2018
Anthony Martial,France,Manchester United,5,2017-2018
Marcus Rashford,England,Manchester United,5,2017-2018
Matt Ritchie,Scotland,Newcastle United,5,2017-2018
Andy Robertson,Scotland,Liverpool FC,5,2017-2018
