Player,Country,Team,Assists,Season
Didier Drogba,Ivory Coast,Chelsea FC,11,2005-2006
Reyes,Spain,Arsenal FC,10,2005-2006
Boa Morte,Portugal,Fulham FC,9,2005-2006
Wayne Rooney,England,Manchester United,9,2005-2006
Thierry Henry,France,Arsenal FC,8,2005-2006
Frank Lampard,England,Chelsea FC,8,2005-2006
James Milner,England,Newcastle United,8,2005-2006
Danny Murphy,England,Tottenham Hotspur,8,2005-2006
Charles N'Zogbia,France,Newcastle United,8,2005-2006
Ji-Sung Park,South Korea,Manchester United,8,2005-2006
Kevin Davies,England,Bolton Wanderers,7,2005-2006
Ryan Giggs,Wales,Manchester United,7,2005-2006
Mikel Arteta,Spain,Everton FC,7,2005-2006
Darius Vassell,England,Manchester City,7,2005-2006
Xabi Alonso,Spain,Liverpool FC,7,2005-2006
Yakubu Ayegbeni,Nigeria,Middlesbrough FC,6,2005-2006
Yossi Benayoun,Israel,West Ham United,6,2005-2006
Michael Carrick,England,Tottenham Hotspur,6,2005-2006
Cristiano Ronaldo,Portugal,Manchester United,6,2005-2006
Mido,Egypt,Tottenham Hotspur,6,2005-2006
Jermaine Pennant,England,Birmingham City,6,2005-2006
Dean Whitehead,England,Sunderland AFC,6,2005-2006
Bobby Zamora,England,West Ham United,6,2005-2006
Cesc Fàbregas,Spain,Arsenal FC,5,2005-2006
Andy Cole,England,Manchester City,5,2005-2006
Peter Crouch,England,Liverpool FC,5,2005-2006
Jermain Defoe,England,Tottenham Hotspur,5,2005-2006
Del Horno,Spain,Chelsea FC,5,2005-2006
Matthew Etherington,England,West Ham United,5,2005-2006
Steven Gerrard,England,Liverpool FC,5,2005-2006
Eiður Guðjohnsen,Iceland,Chelsea FC,5,2005-2006
Aaron Hughes,Northern Ireland,Aston Villa,5,2005-2006
Morientes,Spain,Liverpool FC,5,2005-2006
James Morrison,Scotland,Middlesbrough FC,5,2005-2006
Morten Pedersen,Norway,Blackburn Rovers,5,2005-2006
Emmanuel Adebayor,Togo,Arsenal FC,4,2005-2006
Joey Barton,England,Manchester City,4,2005-2006
Darren Bent,England,Charlton Athletic,4,2005-2006
Jimmy Bullard,England,Wigan Athletic,4,2005-2006
Joe Cole,England,Chelsea FC,4,2005-2006
Stewart Downing,England,Middlesbrough FC,4,2005-2006
Damien Duff,Ireland,Chelsea FC,4,2005-2006
Stylianos Giannakopoulos,Greece,Bolton Wanderers,4,2005-2006
Jonathan Greening,England,West Bromwich Albion,4,2005-2006
Marlon Harewood,England,West Ham United,4,2005-2006
Emile Heskey,England,Birmingham City,4,2005-2006
Jermaine Jenas,England,Tottenham Hotspur,4,2005-2006
Paul Konchesky,England,West Ham United,4,2005-2006
Shefki Kuqi,Finland,Blackburn Rovers,4,2005-2006
Steed Malbranque,France,Fulham FC,4,2005-2006
Kevin Nolan,England,Bolton Wanderers,4,2005-2006
Leon Osman,England,Everton FC,4,2005-2006
Kevin Phillips,England,Aston Villa,4,2005-2006
Robert Pirés,France,Arsenal FC,4,2005-2006
