Player,Country,Team,Assists,Season
Cesc Fàbregas,Spain,Arsenal FC,19,2007-2008
Ashley Young,England,Aston Villa,14,2007-2008
Wayne Rooney,England,Manchester United,11,2007-2008
Gareth Barry,England,Aston Villa,10,2007-2008
David Bentley,England,Blackburn Rovers,10,2007-2008
Dimitar Berbatov,Bulgaria,Tottenham Hotspur,10,2007-2008
Steven Gerrard,England,Liverpool FC,9,2007-2008
Kenwyne Jones,Trinidad & Tobago,Sunderland AFC,9,2007-2008
Nicky Shorey,England,Reading FC,9,2007-2008
Simon Davies,Wales,Fulham FC,8,2007-2008
Elano,Brazil,Manchester City,8,2007-2008
Salomon Kalou,Ivory Coast,Chelsea FC,8,2007-2008
Frank Lampard,England,Chelsea FC,8,2007-2008
Martin Petrov,Bulgaria,Manchester City,8,2007-2008
Gabriel Agbonlahor,England,Aston Villa,7,2007-2008
Nicolas Anelka,France,Chelsea FC,7,2007-2008
Carlton Cole,England,West Ham United,7,2007-2008
Cristiano Ronaldo,Portugal,Manchester United,7,2007-2008
El-Hadji Diouf,Senegal,Bolton Wanderers,7,2007-2008
Tom Huddlestone,England,Tottenham Hotspur,7,2007-2008
Robbie Keane,Ireland,Tottenham Hotspur,7,2007-2008
Dirk Kuyt,Netherlands,Liverpool FC,7,2007-2008
Mikel Arteta,Spain,Everton FC,7,2007-2008
Nani,Portugal,Manchester United,7,2007-2008
Jason Roberts,Grenada,Blackburn Rovers,7,2007-2008
Jérémie Aliadiére,France,Middlesbrough FC,6,2007-2008
Gaël Clichy,France,Arsenal FC,6,2007-2008
Joe Cole,England,Chelsea FC,6,2007-2008
Didier Drogba,Ivory Coast,Chelsea FC,6,2007-2008
Aliaksandr Hleb,Belarus,Arsenal FC,6,2007-2008
Geremi Njitap,Cameroon,Newcastle United,6,2007-2008
Steven Pienaar,South Africa,Everton FC,6,2007-2008
Carlos Tévez,Argentina,Manchester United,6,2007-2008
Julio Arca,Argentina,Middlesbrough FC,5,2007-2008
Pascal Chimbonda,France,Tottenham Hotspur,5,2007-2008
Stewart Downing,England,Middlesbrough FC,5,2007-2008
Ryan Giggs,Wales,Manchester United,5,2007-2008
Stephen Hunt,Ireland,Reading FC,5,2007-2008
Jermaine Jenas,England,Tottenham Hotspur,5,2007-2008
Steed Malbranque,France,Tottenham Hotspur,5,2007-2008
James McFadden,Scotland,Everton FC,5,2007-2008
Roque Santa Cruz,Paraguay,Blackburn Rovers,5,2007-2008
John Utaka,Nigeria,Portsmouth FC,5,2007-2008
Emmanuel Adebayor,Togo,Arsenal FC,4,2007-2008
Emre Belözoğlu,Turkey,Newcastle United,4,2007-2008
Darren Bent,England,Tottenham Hotspur,4,2007-2008
Scott Carson,England,Aston Villa,4,2007-2008
Kevin Davies,England,Bolton Wanderers,4,2007-2008
Kevin Doyle,Ireland,Reading FC,4,2007-2008
David Dunn,England,Blackburn Rovers,4,2007-2008
Eduardo,Croatia,Arsenal FC,4,2007-2008
Fábio Rochemback,Brazil,Middlesbrough FC,4,2007-2008
Fernando Torres,Spain,Liverpool FC,4,2007-2008
Andy Johnson,England,Everton FC,4,2007-2008
Jason Koumas,Wales,Wigan Athletic,4,2007-2008
Grant Leadbitter,England,Sunderland AFC,4,2007-2008
Aaron Lennon,England,Tottenham Hotspur,4,2007-2008
George McCartney,Northern Ireland,West Ham United,4,2007-2008
Gary McSheffrey,England,Birmingham City,4,2007-2008
Mario Melchiot,Netherlands,Wigan Athletic,4,2007-2008
Sulley Ali Muntari,Ghana,Portsmouth FC,4,2007-2008
Mark Noble,England,West Ham United,4,2007-2008
Gary O'Neil,England,Portsmouth FC,4,2007-2008
Morten Pedersen,Norway,Blackburn Rovers,4,2007-2008
Liam Ridgewell,England,Birmingham City,4,2007-2008
Bacary Sagna,France,Arsenal FC,4,2007-2008
Antonio Valencia,Ecuador,Wigan Athletic,4,2007-2008
Yakubu Ayegbeni,Nigeria,Middlesbrough FC,3,2007-2008
Joey Barton,England,Newcastle United,3,2007-2008
Nicklas Bendtner,Denmark,Arsenal FC,3,2007-2008
Boa Morte,Portugal,West Ham United,3,2007-2008
Jimmy Bullard,England,Fulham FC,3,2007-2008
Tim Cahill,Australia,Everton FC,3,2007-2008
Lee Carsley,Ireland,Everton FC,3,2007-2008
Vedran Ćorluka,Croatia,Manchester City,3,2007-2008
Emmanuel Eboué,Ivory Coast,Arsenal FC,3,2007-2008
Michael Essien,Ghana,Chelsea FC,3,2007-2008
Steve Howard,Scotland,Derby County,3,2007-2008
Stephen Ireland,Ireland,Manchester City,3,2007-2008
Phil Jagielka,England,Everton FC,3,2007-2008
Glen Johnson,England,Portsmouth FC,3,2007-2008
Michael Johnson,England,Manchester City,3,2007-2008
Nwankwo Kanu,Nigeria,Portsmouth FC,3,2007-2008
Niko Kranjčar,Croatia,Portsmouth FC,3,2007-2008
Sebastian Larsson,Sweden,Birmingham City,3,2007-2008
Freddie Ljungberg,Sweden,West Ham United,3,2007-2008
Shane Long,Ireland,Reading FC,3,2007-2008
Lucas Leiva,Brazil,Liverpool FC,3,2007-2008
Manuel Fernandes,Portugal,Everton FC,3,2007-2008
Obafemi Martins,Nigeria,Newcastle United,3,2007-2008
Kenny Miller,Scotland,Derby County,3,2007-2008
Daryl Murphy,Ireland,Sunderland AFC,3,2007-2008
Charles N'Zogbia,France,Newcastle United,3,2007-2008
Kevin Nolan,England,Bolton Wanderers,3,2007-2008
Pedro Mendes,Portugal,Portsmouth FC,3,2007-2008
Tuncay Şanlı,Turkey,Middlesbrough FC,3,2007-2008
Paul Scholes,England,Manchester United,3,2007-2008
Matthew Taylor,England,Portsmouth FC,3,2007-2008
Ryan Taylor,England,Wigan Athletic,3,2007-2008
Darius Vassell,England,Manchester City,3,2007-2008
Shaun Wright-Phillips,England,Chelsea FC,3,2007-2008
Arbeloa,Spain,Liverpool FC,2,2007-2008
Ryan Babel,Netherlands,Liverpool FC,2,2007-2008
Milan Baroš,Czech Republic,Portsmouth FC,2,2007-2008
Yossi Benayoun,Israel,Liverpool FC,2,2007-2008
Marcus Bent,England,Wigan Athletic,2,2007-2008
Habib Beye,Senegal,Newcastle United,2,2007-2008
George Boateng,Netherlands,Middlesbrough FC,2,2007-2008
Lee Bowyer,England,West Ham United,2,2007-2008
Wes Brown,England,Manchester United,2,2007-2008
John Carew,Norway,Aston Villa,2,2007-2008
Jamie Carragher,England,Liverpool FC,2,2007-2008
Michael Carrick,England,Manchester United,2,2007-2008
Bobby Convey,USA,Reading FC,2,2007-2008
Jermain Defoe,England,Tottenham Hotspur,2,2007-2008
Papa Bouba Diop,Senegal,Portsmouth FC,2,2007-2008
Sylvain Distin,France,Portsmouth FC,2,2007-2008
Brett Emerton,Australia,Blackburn Rovers,2,2007-2008
Steve Finnan,Ireland,Liverpool FC,2,2007-2008
Mikael Forssell,Finland,Birmingham City,2,2007-2008
Gilberto Silva,Brazil,Arsenal FC,2,2007-2008
Emile Heskey,England,Wigan Athletic,2,2007-2008
Diomansy Kamara,Senegal,Fulham FC,2,2007-2008
Zat Knight,England,Fulham FC,2,2007-2008
Dean Leacock,England,Derby County,2,2007-2008
Florent Malouda,French Guyana,Chelsea FC,2,2007-2008
Liam Miller,Ireland,Sunderland AFC,2,2007-2008
James Milner,England,Newcastle United,2,2007-2008
Fabrice Muamba,England,Birmingham City,2,2007-2008
Danny Murphy,England,Fulham FC,2,2007-2008
David Murphy,England,Birmingham City,2,2007-2008
Mehdi Nafti,Tunisia,Birmingham City,2,2007-2008
Lucas Neill,Australia,West Ham United,2,2007-2008
Phil Neville,England,Everton FC,2,2007-2008
John Oster,Wales,Reading FC,2,2007-2008
Jermaine Pennant,England,Liverpool FC,2,2007-2008
Andy Reid,Ireland,Sunderland AFC,2,2007-2008
Nigel Reo-Coker,England,Aston Villa,2,2007-2008
Kieran Richardson,England,Sunderland AFC,2,2007-2008
John Arne Riise,Norway,Liverpool FC,2,2007-2008
