Player,Country,Team,Assists,Season
Harry Kane,England,Tottenham Hotspur,14,2020-2021
Bruno Fernandes,Portugal,Manchester United,12,2020-2021
Kevin De Bruyne,Belgium,Manchester City,12,2020-2021
Jack Grealish,England,Aston Villa,10,2020-2021
Heung-min Son,South Korea,Tottenham Hotspur,10,2020-2021
Raphinha,Brazil,Leeds United,9,2020-2021
Marcus Rashford,England,Manchester United,9,2020-2021
Jamie Vardy,England,Leicester City,9,2020-2021
Aaron Cresswell,England,West Ham United,8,2020-2021
Pascal Groß,Germany,Brighton & Hove Albion,8,2020-2021
Jack Harrison,England,Leeds United,8,2020-2021
Timo Werner,Germany,Chelsea FC,8,2020-2021
Trent Alexander-Arnold,England,Liverpool FC,7,2020-2021
Patrick Bamford,England,Leeds United,7,2020-2021
Vladimír Coufal,Czech Republic,West Ham United,7,2020-2021
Lucas Digne,France,Everton FC,7,2020-2021
Sadio Mané,Senegal,Liverpool FC,7,2020-2021
Roberto Firmino,Brazil,Liverpool FC,7,2020-2021
Andy Robertson,Scotland,Liverpool FC,7,2020-2021
Raheem Sterling,England,Manchester City,7,2020-2021
James Ward-Prowse,England,Southampton FC,7,2020-2021
Saïd Benrahma,Algeria,West Ham United,6,2020-2021
Bernardo Silva,Portugal,Manchester City,6,2020-2021
Eberechi Eze,England,Crystal Palace,6,2020-2021
Riyad Mahrez,Algeria,Manchester City,6,2020-2021
Matheus Pereira,Brazil,West Bromwich Albion,6,2020-2021
Pedro Neto,Portugal,Wolverhampton Wanderers,6,2020-2021
Bertrand Traoré,Burkina Faso,Aston Villa,6,2020-2021
Ché Adams,Scotland,Southampton FC,5,2020-2021
Marc Albrighton,England,Leicester City,5,2020-2021
Michail Antonio,Jamaica,West Ham United,5,2020-2021
Stuart Armstrong,Scotland,Southampton FC,5,2020-2021
Jarrod Bowen,England,West Ham United,5,2020-2021
Ben Chilwell,England,Chelsea FC,5,2020-2021
Phil Foden,England,Manchester City,5,2020-2021
Mateusz Klich,Poland,Leeds United,5,2020-2021
James Maddison,England,Leicester City,5,2020-2021
John McGinn,Scotland,Aston Villa,5,2020-2021
Dwight McNeil,England,Burnley FC,5,2020-2021
Mason Mount,England,Chelsea FC,5,2020-2021
Mo Salah,Egypt,Liverpool FC,5,2020-2021
Luke Shaw,England,Manchester United,5,2020-2021
Gylfi Sigurðsson,Iceland,Everton FC,5,2020-2021
Andros Townsend,England,Crystal Palace,5,2020-2021
Leandro Trossard,Belgium,Brighton & Hove Albion,5,2020-2021
Ollie Watkins,England,Aston Villa,5,2020-2021
Willian,Brazil,Arsenal FC,5,2020-2021
Callum Wilson,England,Newcastle United,5,2020-2021
Harvey Barnes,England,Leicester City,4,2020-2021
Gabriel Jesus,Brazil,Manchester City,4,2020-2021
Pierre-Emile Højbjerg,Denmark,Tottenham Hotspur,4,2020-2021
Danny Ings,England,Southampton FC,4,2020-2021
Jesse Lingard,England,West Ham United,4,2020-2021
Ademola Lookman,Nigeria,Fulham FC,4,2020-2021
Lucas Moura,Brazil,Tottenham Hotspur,4,2020-2021
Wilfred Ndidi,Nigeria,Leicester City,4,2020-2021
Pablo Fornals,Spain,West Ham United,4,2020-2021
James Rodríguez,Colombia,Everton FC,4,2020-2021
Allan Saint-Maximin,France,Newcastle United,4,2020-2021
Emile Smith Rowe,England,Arsenal FC,4,2020-2021
Youri Tielemans,Belgium,Leicester City,4,2020-2021
Aaron Wan-Bissaka,England,Manchester United,4,2020-2021
Ezgjan Alioski,North Macedonia,Leeds United,3,2020-2021
Frank Anguissa,Cameroon,Fulham FC,3,2020-2021
Pierre-Emerick Aubameyang,Gabon,Arsenal FC,3,2020-2021
Sèrge Aurier,Ivory Coast,Tottenham Hotspur,3,2020-2021
Jordan Ayew,Ghana,Crystal Palace,3,2020-2021
Steven Bergwijn,Netherlands,Tottenham Hotspur,3,2020-2021
Timothy Castagne,Belgium,Leicester City,3,2020-2021
Édinson Cavani,Uruguay,Manchester United,3,2020-2021
Séamus Coleman,Ireland,Everton FC,3,2020-2021
Dani Ceballos,Spain,Arsenal FC,3,2020-2021
Abdoulaye Doucouré,Mali,Everton FC,3,2020-2021
Fábio Silva,Portugal,Wolverhampton Wanderers,3,2020-2021
Darnell Furlong,England,West Bromwich Albion,3,2020-2021
Kai Havertz,Germany,Chelsea FC,3,2020-2021
Hélder Costa,Angola,Leeds United,3,2020-2021
Callum Hudson-Odoi,England,Chelsea FC,3,2020-2021
João Cancelo,Portugal,Manchester City,3,2020-2021
Anthony Martial,France,Manchester United,3,2020-2021
Aleksandar Mitrović,Serbia,Fulham FC,3,2020-2021
Jacob Murphy,England,Newcastle United,3,2020-2021
Paul Pogba,France,Manchester United,3,2020-2021
Nathan Redmond,England,Southampton FC,3,2020-2021
Reguilón,Spain,Tottenham Hotspur,3,2020-2021
Richarlison,Brazil,Everton FC,3,2020-2021
Bukayo Saka,England,Arsenal FC,3,2020-2021
Jeffrey Schlupp,Ghana,Crystal Palace,3,2020-2021
Jonjo Shelvey,England,Newcastle United,3,2020-2021
Kieran Tierney,Scotland,Arsenal FC,3,2020-2021
Theo Walcott,England,Southampton FC,3,2020-2021
Ashley Westwood,England,Burnley FC,3,2020-2021
Chris Wood,New Zealand,Burnley FC,3,2020-2021
Hakim Ziyech,Morocco,Chelsea FC,3,2020-2021
Adama Traoré,Spain,Wolverhampton Wanderers,2,2020-2021
Alex Telles,Brazil,Manchester United,2,2020-2021
Azpilicueta,Spain,Chelsea FC,2,2020-2021
George Baldock,Greece,Sheffield United,2,2020-2021
Gareth Bale,Wales,Tottenham Hotspur,2,2020-2021
Matty Cash,Poland,Aston Villa,2,2020-2021
Calum Chambers,England,Arsenal FC,2,2020-2021
Stuart Dallas,Northern Ireland,Leeds United,2,2020-2021
Bobby De Cordova-Reid,Jamaica,Fulham FC,2,2020-2021
Mbaye Diagne,Senegal,West Bromwich Albion,2,2020-2021
Matt Doherty,Ireland,Tottenham Hotspur,2,2020-2021
Douglas Luiz,Brazil,Aston Villa,2,2020-2021
Jonny Evans,Northern Ireland,Leicester City,2,2020-2021
Fernandinho,Brazil,Manchester City,2,2020-2021
Ferran Torres,Spain,Manchester City,2,2020-2021
John Fleck,Scotland,Sheffield United,2,2020-2021
Ryan Fraser,Scotland,Newcastle United,2,2020-2021
Conor Gallagher,England,West Bromwich Albion,2,2020-2021
Ben Godfrey,England,Everton FC,2,2020-2021
Mason Greenwood,England,Manchester United,2,2020-2021
İlkay Gündoğan,Germany,Manchester City,2,2020-2021
Héctor Bellerín,Spain,Arsenal FC,2,2020-2021
Kelechi Iheanacho,Nigeria,Leicester City,2,2020-2021
Alex Iwobi,Nigeria,Everton FC,2,2020-2021
Reece James,England,Chelsea FC,2,2020-2021
Joelinton,Brazil,Newcastle United,2,2020-2021
Curtis Jones,England,Liverpool FC,2,2020-2021
Juan Mata,Spain,Manchester United,2,2020-2021
N'Golo Kanté,France,Chelsea FC,2,2020-2021
Alexandre Lacazette,France,Arsenal FC,2,2020-2021
John Lundstram,England,Sheffield United,2,2020-2021
Arthur Masuaku,Congo DR,West Ham United,2,2020-2021
Joel Matip,Cameroon,Liverpool FC,2,2020-2021
Neal Maupay,France,Brighton & Hove Albion,2,2020-2021
James McArthur,Scotland,Crystal Palace,2,2020-2021
Tyrone Mings,England,Aston Villa,2,2020-2021
Tanguy Ndombèlé,France,Tottenham Hotspur,2,2020-2021
Martin Ødegaard,Norway,Arsenal FC,2,2020-2021
Pablo Hernández,Spain,Leeds United,2,2020-2021
Thomas Partey,Ghana,Arsenal FC,2,2020-2021
Kalvin Phillips,England,Leeds United,2,2020-2021
Daniel Podence,Portugal,Wolverhampton Wanderers,2,2020-2021
Christian Pulišić,USA,Chelsea FC,2,2020-2021
Harrison Reed,England,Fulham FC,2,2020-2021
Matt Ritchie,Scotland,Newcastle United,2,2020-2021
Tyler Roberts,Wales,Leeds United,2,2020-2021
Rodri,Spain,Manchester City,2,2020-2021
Rodrigo,Spain,Leeds United,2,2020-2021
Jay Rodriguez,England,Burnley FC,2,2020-2021
Xherdan Shaqiri,Switzerland,Liverpool FC,2,2020-2021
Matt Targett,England,Aston Villa,2,2020-2021
Conor Townsend,England,West Bromwich Albion,2,2020-2021
Cengiz Ünder,Turkey,Leicester City,2,2020-2021
