Player,Country,Team,Assists,Season
Steven Gerrard,England,Liverpool FC,14,2013-2014
Luis Suárez,Uruguay,Liverpool FC,13,2013-2014
David Silva,Spain,Manchester City,10,2013-2014
Rickie Lambert,England,Southampton FC,10,2013-2014
Wayne Rooney,England,Manchester United,10,2013-2014
Christian Eriksen,Denmark,Tottenham Hotspur,9,2013-2014
Mesut Özil,Germany,Arsenal FC,9,2013-2014
Yaya Touré,Ivory Coast,Manchester City,9,2013-2014
Olivier Giroud,France,Arsenal FC,8,2013-2014
Samir Nasri,France,Manchester City,8,2013-2014
Marko Arnautović,Austria,Stoke City,7,2013-2014
Steven Davis,Northern Ireland,Southampton FC,7,2013-2014
Eden Hazard,Belgium,Chelsea FC,7,2013-2014
Jesús Navas,Spain,Manchester City,7,2013-2014
Aleksandar Kolarov,Serbia,Manchester City,7,2013-2014
Adam Lallana,England,Southampton FC,7,2013-2014
Kevin Mirallas,Belgium,Everton FC,7,2013-2014
Pablo Hernández,Spain,Swansea City,7,2013-2014
Philippe Coutinho,Brazil,Liverpool FC,7,2013-2014
Aaron Ramsey,Wales,Arsenal FC,7,2013-2014
Santi Cazorla,Spain,Arsenal FC,7,2013-2014
Daniel Sturridge,England,Liverpool FC,7,2013-2014
Gabriel Agbonlahor,England,Aston Villa,6,2013-2014
Sergio Agüero,Argentina,Manchester City,6,2013-2014
Jordan Henderson,England,Liverpool FC,6,2013-2014
Adam Johnson,England,Sunderland AFC,6,2013-2014
Romelu Lukaku,Belgium,Everton FC,6,2013-2014
Jonjo Shelvey,England,Swansea City,6,2013-2014
Moussa Sissoko,France,Newcastle United,6,2013-2014
Raheem Sterling,England,Liverpool FC,6,2013-2014
Peter Whittingham,England,Cardiff City,6,2013-2014
Pablo Zabaleta,Argentina,Manchester City,6,2013-2014
Chris Brunt,Northern Ireland,West Bromwich Albion,5,2013-2014
Peter Crouch,England,Stoke City,5,2013-2014
Jonathan de Guzmán,Netherlands,Swansea City,5,2013-2014
Fernando Torres,Spain,Chelsea FC,5,2013-2014
Juan Mata,Spain,Manchester United,5,2013-2014
James Milner,England,Manchester City,5,2013-2014
Jordon Mutch,England,Cardiff City,5,2013-2014
Kevin Nolan,England,West Ham United,5,2013-2014
Jack Wilshere,England,Arsenal FC,5,2013-2014
Charlie Adam,Scotland,Stoke City,4,2013-2014
Emmanuel Adebayor,Togo,Tottenham Hotspur,4,2013-2014
Marc Albrighton,England,Aston Villa,4,2013-2014
Leighton Baines,England,Everton FC,4,2013-2014
Yannick Bolasie,Congo DR,Crystal Palace,4,2013-2014
Wilfried Bony,Ivory Coast,Swansea City,4,2013-2014
Nathaniel Clyne,England,Southampton FC,4,2013-2014
Edin Džeko,Bosnia-Herzegovina,Manchester City,4,2013-2014
Johan Elmander,Sweden,Norwich City,4,2013-2014
Samuel Eto'o,Cameroon,Chelsea FC,4,2013-2014
Emanuele Giaccherini,Italy,Sunderland AFC,4,2013-2014
Aaron Lennon,England,Tottenham Hotspur,4,2013-2014
Jake Livermore,England,Hull City,4,2013-2014
Nemanja Matić,Serbia,Chelsea FC,4,2013-2014
Oscar,Brazil,Chelsea FC,4,2013-2014
Leon Osman,England,Everton FC,4,2013-2014
Wayne Routledge,England,Swansea City,4,2013-2014
Theo Walcott,England,Arsenal FC,4,2013-2014
Sone Aluko,Nigeria,Hull City,3,2013-2014
Álvaro Negredo,Spain,Manchester City,3,2013-2014
Morgan Amalfitano,France,West Bromwich Albion,3,2013-2014
Victor Anichebe,Nigeria,West Bromwich Albion,3,2013-2014
Gareth Barry,England,Everton FC,3,2013-2014
Hatem Ben Arfa,France,Newcastle United,3,2013-2014
Yohan Cabaye,France,Newcastle United,3,2013-2014
Fraizer Campbell,England,Cardiff City,3,2013-2014
Nacer Chadli,Belgium,Tottenham Hotspur,3,2013-2014
Patrice Evra,France,Manchester United,3,2013-2014
Fernandinho,Brazil,Manchester City,3,2013-2014
Gerard Deulofeu,Spain,Everton FC,3,2013-2014
Yoan Gouffran,France,Newcastle United,3,2013-2014
Javier Hernández,Mexico,Manchester United,3,2013-2014
Lewis Holtby,Germany,Tottenham Hotspur,3,2013-2014
Gary Hooper,England,Norwich City,3,2013-2014
Tom Huddlestone,England,Hull City,3,2013-2014
Adnan Januzaj,Belgium,Manchester United,3,2013-2014
Shinji Kagawa,Japan,Manchester United,3,2013-2014
Sebastian Larsson,Sweden,Sunderland AFC,3,2013-2014
James McCarthy,Ireland,Everton FC,3,2013-2014
James Morrison,Scotland,West Bromwich Albion,3,2013-2014
Mark Noble,England,West Ham United,3,2013-2014
Lukas Podolski,Germany,Arsenal FC,3,2013-2014
Ramires,Brazil,Chelsea FC,3,2013-2014
Gastón Ramírez,Uruguay,Southampton FC,3,2013-2014
Nathan Redmond,England,Norwich City,3,2013-2014
Loïc Rémy,France,Newcastle United,3,2013-2014
Kieran Richardson,England,Fulham FC,3,2013-2014
Jay Rodriguez,England,Southampton FC,3,2013-2014
Bryan Ruiz,Costa Rica,Fulham FC,3,2013-2014
Soldado,Spain,Tottenham Hotspur,3,2013-2014
Antonio Valencia,Ecuador,Manchester United,3,2013-2014
Robin van Persie,Netherlands,Manchester United,3,2013-2014
Matěj Vydra,Czech Republic,West Bromwich Albion,3,2013-2014
Andreas Weimann,Austria,Aston Villa,3,2013-2014
Jozy Altidore,USA,Sunderland AFC,2,2013-2014
Demba Ba,Senegal,Chelsea FC,2,2013-2014
Darren Bent,England,Fulham FC,2,2013-2014
Christian Benteke,Belgium,Aston Villa,2,2013-2014
Fabio Borini,Italy,Sunderland AFC,2,2013-2014
George Boyd,Scotland,Hull City,2,2013-2014
Andy Carroll,England,West Ham United,2,2013-2014
Marouane Chamakh,Morocco,Crystal Palace,2,2013-2014
Papiss Demba Cissé,Senegal,Newcastle United,2,2013-2014
Jack Colback,England,Sunderland AFC,2,2013-2014
Ashley Cole,England,Chelsea FC,2,2013-2014
Don Cowie,Scotland,Cardiff City,2,2013-2014
Craig Dawson,England,West Bromwich Albion,2,2013-2014
Mathieu Debuchy,France,Newcastle United,2,2013-2014
Ashkan Dejagah,Iran,Fulham FC,2,2013-2014
Fabian Delph,England,Aston Villa,2,2013-2014
Momo Diamé,Senegal,West Ham United,2,2013-2014
Stewart Downing,England,West Ham United,2,2013-2014
Damien Duff,Ireland,Fulham FC,2,2013-2014
Nathan Dyer,England,Swansea City,2,2013-2014
Ahmed Elmohamady,Egypt,Hull City,2,2013-2014
Jon Flanagan,England,Liverpool FC,2,2013-2014
Craig Gardner,England,Sunderland AFC,2,2013-2014
Aron Gunnarsson,Iceland,Cardiff City,2,2013-2014
Stephen Ireland,Ireland,Stoke City,2,2013-2014
Matthew Jarvis,England,West Ham United,2,2013-2014
Carl Jenkinson,England,Arsenal FC,2,2013-2014
Cameron Jerome,Grenada,Stoke City,2,2013-2014
Glen Johnson,England,Liverpool FC,2,2013-2014
Phil Jones,England,Manchester United,2,2013-2014
José Enrique,Spain,Liverpool FC,2,2013-2014
Alexander Kačaniklić,Sweden,Fulham FC,2,2013-2014
Roland Lamah,Belgium,Swansea City,2,2013-2014
Frank Lampard,England,Chelsea FC,2,2013-2014
Shane Long,Ireland,West Bromwich Albion,2,2013-2014
Matthew Lowton,England,Aston Villa,2,2013-2014
Modibo Maïga,Mali,West Ham United,2,2013-2014
Michu,Spain,Swansea City,2,2013-2014
Ravel Morrison,Jamaica,West Ham United,2,2013-2014
Youssuf Mulumbu,Congo DR,West Bromwich Albion,2,2013-2014
Steven Naismith,Scotland,Everton FC,2,2013-2014
Peter Odemwingie,Nigeria,Stoke City,2,2013-2014
Bryan Oviedo,Costa Rica,Everton FC,2,2013-2014
Paulinho,Brazil,Tottenham Hotspur,2,2013-2014
Steven Pienaar,South Africa,Everton FC,2,2013-2014
Erik Pieters,Netherlands,Stoke City,2,2013-2014
Jason Puncheon,England,Crystal Palace,2,2013-2014
Liam Ridgewell,England,West Bromwich Albion,2,2013-2014
Sascha Riether,Germany,Fulham FC,2,2013-2014
Hugo Rodallega,Colombia,Fulham FC,2,2013-2014
Danny Rose,England,Tottenham Hotspur,2,2013-2014
Liam Rosenior,England,Hull City,2,2013-2014
Yannick Sagbo,Ivory Coast,Hull City,2,2013-2014
Bacary Sagna,France,Arsenal FC,2,2013-2014
André Schürrle,Germany,Chelsea FC,2,2013-2014
Steven Sidwell,England,Fulham FC,2,2013-2014
Robert Snodgrass,Scotland,Norwich City,2,2013-2014
Kolo Touré,Ivory Coast,Liverpool FC,2,2013-2014
Kyle Walker,England,Tottenham Hotspur,2,2013-2014
Jon Walters,Ireland,Stoke City,2,2013-2014
Joel Ward,England,Crystal Palace,2,2013-2014
James Ward-Prowse,England,Southampton FC,2,2013-2014
Danny Welbeck,England,Manchester United,2,2013-2014
Ashley Westwood,England,Aston Villa,2,2013-2014
Daniel Agger,Denmark,Liverpool FC,1,2013-2014
Álvaro,Spain,Swansea City,1,2013-2014
Àngel Rangel,Spain,Swansea City,1,2013-2014
Vurnon Anita,Curaçao,Newcastle United,1,2013-2014
Leandro Bacuna,Curaçao,Aston Villa,1,2013-2014
Barry Bannan,Scotland,Crystal Palace,1,2013-2014
Craig Bellamy,Wales,Cardiff City,1,2013-2014
Nabil Bentaleb,Algeria,Tottenham Hotspur,1,2013-2014
Saido Berahino,Burundi,West Bromwich Albion,1,2013-2014
Dimitar Berbatov,Bulgaria,Fulham FC,1,2013-2014
Artur Boruc,Poland,Southampton FC,1,2013-2014
Jordan Bowery,England,Aston Villa,1,2013-2014
Robbie Brady,Ireland,Hull City,1,2013-2014
Leon Britton,England,Swansea City,1,2013-2014
Wes Brown,England,Sunderland AFC,1,2013-2014
Alex Bruce,Northern Ireland,Hull City,1,2013-2014
Gary Cahill,England,Chelsea FC,1,2013-2014
Geoff Cameron,USA,Stoke City,1,2013-2014
Aly Cissokho,France,Liverpool FC,1,2013-2014
Carlton Cole,England,West Ham United,1,2013-2014
Séamus Coleman,Ireland,Everton FC,1,2013-2014
Jack Cork,England,Southampton FC,1,2013-2014
David Luiz,Brazil,Chelsea FC,1,2013-2014
Ben Davies,Wales,Swansea City,1,2013-2014
Curtis Davies,England,Hull City,1,2013-2014
Kevin De Bruyne,Belgium,Chelsea FC,1,2013-2014
Luuk de Jong,Netherlands,Newcastle United,1,2013-2014
Damien Delaney,Ireland,Crystal Palace,1,2013-2014
Mousa Dembélé,Belgium,Tottenham Hotspur,1,2013-2014
Martín Demichelis,Argentina,Manchester City,1,2013-2014
Magnus Eikrem,Norway,Cardiff City,1,2013-2014
Karim El Ahmadi,Morocco,Aston Villa,1,2013-2014
Marvin Emnes,Netherlands,Swansea City,1,2013-2014
Marouane Fellaini,Belgium,Manchester United,1,2013-2014
Leroy Fer,Netherlands,Norwich City,1,2013-2014
Danny Fox,Scotland,Southampton FC,1,2013-2014
Zoltán Gera,Hungary,West Bromwich Albion,1,2013-2014
Kieran Gibbs,England,Arsenal FC,1,2013-2014
Serge Gnabry,Germany,Arsenal FC,1,2013-2014
Danny Graham,England,Hull City,1,2013-2014
Brad Guzan,USA,Aston Villa,1,2013-2014
John Heitinga,Netherlands,Fulham FC,1,2013-2014
Wes Hoolahan,Ireland,Norwich City,1,2013-2014
Tim Howard,USA,Everton FC,1,2013-2014
Robert Huth,Germany,Stoke City,1,2013-2014
Tom Ince,England,Crystal Palace,1,2013-2014
Branislav Ivanović,Serbia,Chelsea FC,1,2013-2014
Jussi Jääskeläinen,Finland,West Ham United,1,2013-2014
Phil Jagielka,England,Everton FC,1,2013-2014
Mile Jedinak,Australia,Crystal Palace,1,2013-2014
Nikica Jelavić,Croatia,Hull City,1,2013-2014
Bradley Johnson,England,Norwich City,1,2013-2014
Kenwyne Jones,Trinidad & Tobago,Stoke City,1,2013-2014
José Campaña,Spain,Crystal Palace,1,2013-2014
Stevan Jovetić,Montenegro,Manchester City,1,2013-2014
Younès Kaboul,France,Tottenham Hotspur,1,2013-2014
Sung-yueng Ki,South Korea,Swansea City,1,2013-2014
Vincent Kompany,Belgium,Manchester City,1,2013-2014
Érik Lamela,Argentina,Tottenham Hotspur,1,2013-2014
Joe Ledley,Wales,Crystal Palace,1,2013-2014
Dejan Lovren,Croatia,Southampton FC,1,2013-2014
Luis Alberto,Spain,Liverpool FC,1,2013-2014
Marcos Alonso,Spain,Sunderland AFC,1,2013-2014
Adrian Mariappa,Jamaica,Crystal Palace,1,2013-2014
Aiden McGeady,Ireland,Everton FC,1,2013-2014
Gary Medel,Chile,Cardiff City,1,2013-2014
Per Mertesacker,Germany,Arsenal FC,1,2013-2014
David Meyler,Ireland,Hull City,1,2013-2014
Dean Moxey,England,Crystal Palace,1,2013-2014
Glenn Murray,England,Crystal Palace,1,2013-2014
Nacho Monreal,Spain,Arsenal FC,1,2013-2014
Craig Noone,England,Cardiff City,1,2013-2014
John Mikel Obi,Nigeria,Chelsea FC,1,2013-2014
Martin Olsson,Sweden,Norwich City,1,2013-2014
Alex Oxlade-Chamberlain,England,Arsenal FC,1,2013-2014
Scott Parker,England,Fulham FC,1,2013-2014
Anthony Pilkington,Ireland,Norwich City,1,2013-2014
Rafael,Brazil,Manchester United,1,2013-2014
Valentin Roberge,Cyprus,Sunderland AFC,1,2013-2014
Tomáš Rosický,Czech Republic,Arsenal FC,1,2013-2014
Mo Salah,Egypt,Chelsea FC,1,2013-2014
