,Player,Country,Team,Assists,Season,season_start
0,David Beckham,England,Manchester United,12,2000-2001,2000
1,Nolberto Solano,Peru,Newcastle United,10,2000-2001,2000
2,Jimmy Floyd Hasselbaink,Netherlands,Chelsea FC,9,2000-2001,2000
3,Thierry Henry,France,Arsenal FC,9,2000-2001,2000
4,Vladimír Šmicer,Czech Republic,Liverpool FC,9,2000-2001,2000
5,Ryan Giggs,Wales,Manchester United,8,2000-2001,2000
6,Graham Stuart,England,Charlton Athletic,8,2000-2001,2000
7,Stephen Clemence,England,Tottenham Hotspur,7,2000-2001,2000
8,Paolo Di Canio,Italy,West Ham United,7,2000-2001,2000
9,Hassan Kachloul,Morocco,Southampton FC,7,2000-2001,2000
10,Roy Keane,Ireland,Manchester United,7,2000-2001,2000
11,Robert Pirés,France,Arsenal FC,7,2000-2001,2000
12,Gustavo Poyet,Uruguay,Chelsea FC,7,2000-2001,2000
13,Stefano Eranio,Italy,Derby County,6,2000-2001,2000
14,Eiður Guðjohnsen,Iceland,Chelsea FC,6,2000-2001,2000
15,Ian Harte,Ireland,Leeds United,6,2000-2001,2000
16,Don Hutchison,Scotland,Sunderland AFC,6,2000-2001,2000
17,Paul Merson,England,Aston Villa,6,2000-2001,2000
18,Marians Pahars,Latvia,Southampton FC,6,2000-2001,2000
19,Teddy Sheringham,England,Manchester United,6,2000-2001,2000
20,Alan Smith,England,Leeds United,6,2000-2001,2000
21,Paul Telfer,Scotland,Coventry City,6,2000-2001,2000
22,Celestine Babayaro,Nigeria,Chelsea FC,5,2000-2001,2000
23,Patrik Berger,Czech Republic,Liverpool FC,5,2000-2001,2000
24,Lee Bowyer,England,Leeds United,5,2000-2001,2000
25,Kieron Dyer,England,Newcastle United,5,2000-2001,2000
26,Lee Hendrie,England,Aston Villa,5,2000-2001,2000
27,Matt Holland,Ireland,Ipswich Town,5,2000-2001,2000
28,Seth Johnson,England,Derby County,5,2000-2001,2000
29,Jim Magilton,Northern Ireland,Ipswich Town,5,2000-2001,2000
30,Gary McAllister,Scotland,Liverpool FC,5,2000-2001,2000
31,Paul Scholes,England,Manchester United,5,2000-2001,2000
32,Julio Arca,Argentina,Sunderland AFC,4,2000-2001,2000
33,James Beattie,England,Southampton FC,4,2000-2001,2000
34,Benito Carbone,Italy,Bradford City,4,2000-2001,2000
35,Dion Dublin,England,Aston Villa,4,2000-2001,2000
36,David Ginola,France,Aston Villa,4,2000-2001,2000
37,Emile Heskey,England,Liverpool FC,4,2000-2001,2000
38,Hermann Hreiðarsson,Iceland,Ipswich Town,4,2000-2001,2000
39,Eoin Jess,Scotland,Bradford City,4,2000-2001,2000
40,Frédéric Kanouté,Mali,West Ham United,4,2000-2001,2000
41,Nwankwo Kanu,Nigeria,Arsenal FC,4,2000-2001,2000
42,Christian Karembeu,France,Middlesbrough FC,4,2000-2001,2000
43,Mark Kennedy,Ireland,Manchester City,4,2000-2001,2000
44,Harry Kewell,Australia,Leeds United,4,2000-2001,2000
45,Øyvind Leonhardsen,Norway,Tottenham Hotspur,4,2000-2001,2000
46,Kevin Phillips,England,Sunderland AFC,4,2000-2001,2000
47,Serhiy Rebrov,Ukraine,Tottenham Hotspur,4,2000-2001,2000
48,Ole Gunnar Solskjær,Norway,Manchester United,4,2000-2001,2000
49,Marcus Stewart,England,Ipswich Town,4,2000-2001,2000
50,Dean Sturridge,England,Leicester City,4,2000-2001,2000
51,Mark Viduka,Australia,Leeds United,4,2000-2001,2000
52,Patrick Vieira,France,Arsenal FC,4,2000-2001,2000
53,Ashley Ward,England,Bradford City,4,2000-2001,2000
54,Jeff Whitley,Northern Ireland,Manchester City,4,2000-2001,2000
55,Sylvain Wiltord,France,Arsenal FC,4,2000-2001,2000
56,Dennis Wise,England,Chelsea FC,4,2000-2001,2000
57,Alan Wright,England,Aston Villa,4,2000-2001,2000
58,Dwight Yorke,Trinidad & Tobago,Manchester United,4,2000-2001,2000
59,Gianfranco Zola,Italy,Chelsea FC,4,2000-2001,2000
60,Darren Anderton,England,Tottenham Hotspur,3,2000-2001,2000
61,Markus Babbel,Germany,Liverpool FC,3,2000-2001,2000
62,Nick Barmby,England,Liverpool FC,3,2000-2001,2000
63,Dennis Bergkamp,Netherlands,Arsenal FC,3,2000-2001,2000
64,Alen Bokšić,Croatia,Middlesbrough FC,3,2000-2001,2000
65,Michael Bridges,England,Leeds United,3,2000-2001,2000
66,Michael Carrick,England,West Ham United,3,2000-2001,2000
67,Jamie Clapham,England,Ipswich Town,3,2000-2001,2000
68,Andy Cole,England,Manchester United,3,2000-2001,2000
69,Olivier Dacourt,France,Leeds United,3,2000-2001,2000
70,Samuele Dalla Bona,Italy,Chelsea FC,3,2000-2001,2000
71,Kevin Davies,England,Southampton FC,3,2000-2001,2000
72,Simon Davies,Wales,Tottenham Hotspur,3,2000-2001,2000
73,Tore André Flo,Norway,Chelsea FC,3,2000-2001,2000
74,Robbie Fowler,England,Liverpool FC,3,2000-2001,2000
75,Steve Guppy,England,Leicester City,3,2000-2001,2000
76,Mustapha Hadji,Morocco,Coventry City,3,2000-2001,2000
77,Dietmar Hamann,Germany,Liverpool FC,3,2000-2001,2000
78,Claus Jensen,Denmark,Charlton Athletic,3,2000-2001,2000
79,Robbie Keane,Ireland,Leeds United,3,2000-2001,2000
80,Gary Kelly,Ireland,Leeds United,3,2000-2001,2000
81,Giorgi Kinkladze,Georgia,Derby County,3,2000-2001,2000
82,Radostin Kishishev,Bulgaria,Charlton Athletic,3,2000-2001,2000
83,Frank Lampard,England,West Ham United,3,2000-2001,2000
84,Neil Lennon,Northern Ireland,Leicester City,3,2000-2001,2000
85,Freddie Ljungberg,Sweden,Arsenal FC,3,2000-2001,2000
86,Chris Makin,England,Sunderland AFC,3,2000-2001,2000
87,Gavin McCann,England,Sunderland AFC,3,2000-2001,2000
88,Mario Melchiot,Netherlands,Chelsea FC,3,2000-2001,2000
89,Danny Murphy,England,Liverpool FC,3,2000-2001,2000
90,Richard Naylor,England,Ipswich Town,3,2000-2001,2000
91,Michael Owen,England,Liverpool FC,3,2000-2001,2000
92,Alex Rae,Scotland,Sunderland AFC,3,2000-2001,2000
93,Hámilton Ricard,Colombia,Middlesbrough FC,3,2000-2001,2000
94,Stefan Schwarz,Sweden,Sunderland AFC,3,2000-2001,2000
95,James Scowcroft,England,Ipswich Town,3,2000-2001,2000
96,Tim Sherwood,England,Tottenham Hotspur,3,2000-2001,2000
97,Trevor Sinclair,England,West Ham United,3,2000-2001,2000
98,Gary Speed,Wales,Newcastle United,3,2000-2001,2000
99,David Thompson,England,Coventry City,3,2000-2001,2000
100,Danny Tiatto,Australia,Manchester City,3,2000-2001,2000
101,David Unsworth,England,Everton FC,3,2000-2001,2000
102,Paulo Wanchope,Costa Rica,Manchester City,3,2000-2001,2000
103,Steve Watson,England,Everton FC,3,2000-2001,2000
104,Fabian Wilnis,Netherlands,Ipswich Town,3,2000-2001,2000
105,Jermaine Wright,England,Ipswich Town,3,2000-2001,2000
106,Tony Adams,England,Arsenal FC,2,2000-2001,2000
107,Ade Akinbiyi,England,Leicester City,2,2000-2001,2000
108,John Aloisi,Australia,Coventry City,2,2000-2001,2000
109,Shola Ameobi,Nigeria,Newcastle United,2,2000-2001,2000
110,Alun Armstrong,England,Ipswich Town,2,2000-2001,2000
111,Peter Atherton,England,Bradford City,2,2000-2001,2000
112,Gary Breen,Ireland,Coventry City,2,2000-2001,2000
113,Wayne Bridge,England,Southampton FC,2,2000-2001,2000
114,Craig Burley,Scotland,Derby County,2,2000-2001,2000
115,Deon Burton,Jamaica,Derby County,2,2000-2001,2000
116,Nicky Butt,England,Manchester United,2,2000-2001,2000
117,Danny Cadamarteri,England,Everton FC,2,2000-2001,2000
118,Kevin Campbell,England,Everton FC,2,2000-2001,2000
119,Stephen Carr,Ireland,Tottenham Hotspur,2,2000-2001,2000
120,Joe Cole,England,West Ham United,2,2000-2001,2000
121,Carl Cort,Guyana,Newcastle United,2,2000-2001,2000
122,Paul Dickov,Scotland,Manchester City,2,2000-2001,2000
123,Lee Dixon,England,Arsenal FC,2,2000-2001,2000
124,Duncan Ferguson,Scotland,Everton FC,2,2000-2001,2000
125,Steven Gerrard,England,Liverpool FC,2,2000-2001,2000
126,Dean Gordon,England,Middlesbrough FC,2,2000-2001,2000
127,Thomas Gravesen,Denmark,Everton FC,2,2000-2001,2000
128,Michael Gray,England,Sunderland AFC,2,2000-2001,2000
129,Gilles Grimandi,France,Arsenal FC,2,2000-2001,2000
130,Denis Irwin,Ireland,Manchester United,2,2000-2001,2000
131,Jonatan Johansson,Finland,Charlton Athletic,2,2000-2001,2000
132,Kevin Kilbane,Ireland,Sunderland AFC,2,2000-2001,2000
133,Mark Kinsella,Ireland,Charlton Athletic,2,2000-2001,2000
134,Paul Konchesky,England,Charlton Athletic,2,2000-2001,2000
135,Graeme Le Saux,England,Chelsea FC,2,2000-2001,2000
136,Kevin Lisbie,Jamaica,Charlton Athletic,2,2000-2001,2000
137,Lomana LuaLua,Congo DR,Newcastle United,2,2000-2001,2000
138,Stefan Oakes,England,Leicester City,2,2000-2001,2000
139,Gary Pallister,England,Middlesbrough FC,2,2000-2001,2000
140,Dan Petrescu,Romania,Southampton FC,2,2000-2001,2000
141,Chris Powell,England,Charlton Athletic,2,2000-2001,2000
142,Niall Quinn,Ireland,Sunderland AFC,2,2000-2001,2000
143,Martijn Reuser,Netherlands,Ipswich Town,2,2000-2001,2000
144,Chris Riggott,England,Derby County,2,2000-2001,2000
145,John Robinson,Wales,Charlton Athletic,2,2000-2001,2000
146,Alan Shearer,England,Newcastle United,2,2000-2001,2000
147,Mikaël Silvestre,France,Manchester United,2,2000-2001,2000
148,Frank Sinclair,Jamaica,Leicester City,2,2000-2001,2000
149,Steve Staunton,Ireland,Liverpool FC,2,2000-2001,2000
150,Steve Stone,England,Aston Villa,2,2000-2001,2000
151,Sylvinho,Brazil,Arsenal FC,2,2000-2001,2000
152,Ian Taylor,England,Aston Villa,2,2000-2001,2000
153,Jo Tessem,Norway,Southampton FC,2,2000-2001,2000
154,David Weir,Scotland,Everton FC,2,2000-2001,2000
155,Dean Windass,England,Middlesbrough FC,2,2000-2001,2000
156,Christian Ziege,Germany,Liverpool FC,2,2000-2001,2000
157,Niclas Alexandersson,Sweden,Everton FC,1,2000-2001,2000
158,Juan Pablo Ángel,Colombia,Aston Villa,1,2000-2001,2000
159,Eirik Bakke,Norway,Leeds United,1,2000-2001,2000
160,Shaun Bartlett,South Africa,Charlton Athletic,1,2000-2001,2000
161,Peter Beagrie,England,Bradford City,1,2000-2001,2000
162,Craig Bellamy,Wales,Coventry City,1,2000-2001,2000
163,Paul Boertien,England,Derby County,1,2000-2001,2000
164,Bjørn Otto Bragstad,Norway,Derby County,1,2000-2001,2000
165,Mark Burchill,Scotland,Ipswich Town,1,2000-2001,2000
166,Andy Campbell,England,Middlesbrough FC,1,2000-2001,2000
167,Lee Carsley,Ireland,Coventry City,1,2000-2001,2000
168,Patrice Carteron,France,Sunderland AFC,1,2000-2001,2000
169,Laurent Charvet,France,Newcastle United,1,2000-2001,2000
170,Malcolm Christie,England,Derby County,1,2000-2001,2000
171,Daniel Cordone,Argentina,Newcastle United,1,2000-2001,2000
172,Jody Craddock,England,Sunderland AFC,1,2000-2001,2000
173,Callum Davidson,Scotland,Leicester City,1,2000-2001,2000
174,Brian Deane,England,Middlesbrough FC,1,2000-2001,2000
175,Marcel Desailly,France,Chelsea FC,1,2000-2001,2000
176,Roberto Di Matteo,Italy,Chelsea FC,1,2000-2001,2000
177,Danny Dichio,England,Sunderland AFC,1,2000-2001,2000
178,Jason Dodd,England,Southampton FC,1,2000-2001,2000
179,Gary Doherty,Ireland,Tottenham Hotspur,1,2000-2001,2000
180,Mark Draper,England,Southampton FC,1,2000-2001,2000
181,Darren Eadie,England,Leicester City,1,2000-2001,2000
182,Ugo Ehiogu,England,Middlesbrough FC,1,2000-2001,2000
183,Matt Elliott,Scotland,Leicester City,1,2000-2001,2000
184,John Eustace,England,Coventry City,1,2000-2001,2000
185,Les Ferdinand,England,Tottenham Hotspur,1,2000-2001,2000
186,Curtis Fleming,Ireland,Middlesbrough FC,1,2000-2001,2000
187,Paul Gascoigne,England,Everton FC,1,2000-2001,2000
188,Scott Gemmill,Scotland,Everton FC,1,2000-2001,2000
189,Alain Goma,France,Newcastle United,1,2000-2001,2000
190,Danny Granville,England,Manchester City,1,2000-2001,2000
191,Jonathan Greening,England,Manchester United,1,2000-2001,2000
192,Jesper Grønkjær,Denmark,Chelsea FC,1,2000-2001,2000
193,Arnar Gunnlaugsson,Iceland,Leicester City,1,2000-2001,2000
194,Alf-Inge Håland,Norway,Manchester City,1,2000-2001,2000
195,Danny Higginbotham,Gibraltar,Derby County,1,2000-2001,2000
196,Kevin Horlock,Northern Ireland,Manchester City,1,2000-2001,2000
197,Stephen Howey,England,Manchester City,1,2000-2001,2000
198,Darren Huckerby,England,Manchester City,1,2000-2001,2000
199,Aaron Hughes,Northern Ireland,Newcastle United,1,2000-2001,2000
200,Stephen Hughes,England,Everton FC,1,2000-2001,2000
201,Andy Hunt,England,Charlton Athletic,1,2000-2001,2000
202,Sami Hyypiä,Finland,Liverpool FC,1,2000-2001,2000
203,Andy Impey,England,Leicester City,1,2000-2001,2000
204,Paul Ince,England,Middlesbrough FC,1,2000-2001,2000
205,Steffen Iversen,Norway,Tottenham Hotspur,1,2000-2001,2000
206,Muzzy Izzet,Turkey,Leicester City,1,2000-2001,2000
207,Francis Jeffers,England,Everton FC,1,2000-2001,2000
208,Julian Joachim,England,Aston Villa,1,2000-2001,2000
209,Joseph-Désiré Job,Cameroon,Middlesbrough FC,1,2000-2001,2000
210,David Johnson,Jamaica,Ipswich Town,1,2000-2001,2000
211,Slaviša Jokanović,Serbia,Chelsea FC,1,2000-2001,2000
212,Andrey Kanchelskis,Russia,Manchester City,1,2000-2001,2000
213,Ledley King,England,Tottenham Hotspur,1,2000-2001,2000
214,Kevin Kyle,Scotland,Sunderland AFC,1,2000-2001,2000
215,Jamie Lawrence,Jamaica,Bradford City,1,2000-2001,2000
216,Oleg Luzhniy,Ukraine,Arsenal FC,1,2000-2001,2000
217,Chris Marsden,England,Southampton FC,1,2000-2001,2000
218,Lee Marshall,England,Leicester City,1,2000-2001,2000
219,Lilian Martin,France,Derby County,1,2000-2001,2000
220,Nigel Martyn,England,Leeds United,1,2000-2001,2000
221,Dominic Matteo,Scotland,Leeds United,1,2000-2001,2000
222,Danny Mills,England,Leeds United,1,2000-2001,2000
223,Joe-Max Moore,USA,Everton FC,1,2000-2001,2000
224,Robbie Mustoe,England,Middlesbrough FC,1,2000-2001,2000
225,Gary Naysmith,Scotland,Everton FC,1,2000-2001,2000
226,Gary Neville,England,Manchester United,1,2000-2001,2000
227,Shaun Newton,England,Charlton Athletic,1,2000-2001,2000
228,Keith O'Neill,Ireland,Middlesbrough FC,1,2000-2001,2000
229,Paul Okon,Australia,Middlesbrough FC,1,2000-2001,2000
230,Stuart Pearce,England,West Ham United,1,2000-2001,2000
231,Barry Quinn,Ireland,Coventry City,1,2000-2001,2000
232,Wayne Quinn,England,Newcastle United,1,2000-2001,2000
233,Gary Rowett,England,Leicester City,1,2000-2001,2000
234,Richard Rufus,England,Charlton Athletic,1,2000-2001,2000
235,John Salako,England,Charlton Athletic,1,2000-2001,2000
236,Stefan Schnoor,Germany,Derby County,1,2000-2001,2000
237,Lee Sharpe,England,Bradford City,1,2000-2001,2000
238,Gareth Southgate,England,Aston Villa,1,2000-2001,2000
239,Philip Stamp,England,Middlesbrough FC,1,2000-2001,2000
240,Mathias Svensson,Sweden,Charlton Athletic,1,2000-2001,2000
241,Gerry Taggart,Northern Ireland,Leicester City,1,2000-2001,2000
242,Svetoslav Todorov,Bulgaria,West Ham United,1,2000-2001,2000
243,Simo Valakari,Finland,Derby County,1,2000-2001,2000
244,Darius Vassell,England,Aston Villa,1,2000-2001,2000
245,Nelson Vivas,Argentina,Arsenal FC,1,2000-2001,2000
246,George Weah,Liberia,Manchester City,1,2000-2001,2000
247,Gareth Whalley,England,Bradford City,1,2000-2001,2000
248,Noel Whelan,England,Middlesbrough FC,1,2000-2001,2000
249,Jason Wilcox,England,Leeds United,1,2000-2001,2000
250,Paul Williams,England,Coventry City,1,2000-2001,2000
251,Nigel Winterburn,England,West Ham United,1,2000-2001,2000
252,Stephen Wright,England,Liverpool FC,1,2000-2001,2000
253,Robert Pirés,France,Arsenal FC,15,2001-2002,2001
254,Dennis Bergkamp,Netherlands,Arsenal FC,13,2001-2002,2001
255,Ryan Giggs,Wales,Manchester United,12,2001-2002,2001
256,Laurent Robert,France,Newcastle United,11,2001-2002,2001
257,Nolberto Solano,Peru,Newcastle United,10,2001-2002,2001
258,Ole Gunnar Solskjær,Norway,Manchester United,9,2001-2002,2001
259,David Beckham,England,Manchester United,8,2001-2002,2001
260,Benito Carbone,Italy,Middlesbrough FC,8,2001-2002,2001
261,Steed Malbranque,France,Fulham FC,8,2001-2002,2001
262,Danny Murphy,England,Liverpool FC,8,2001-2002,2001
263,Mark Venus,England,Ipswich Town,8,2001-2002,2001
264,Steven Gerrard,England,Liverpool FC,7,2001-2002,2001
265,Emile Heskey,England,Liverpool FC,7,2001-2002,2001
266,Graeme Le Saux,England,Chelsea FC,7,2001-2002,2001
267,Trevor Sinclair,England,West Ham United,7,2001-2002,2001
268,Mark Viduka,Australia,Leeds United,7,2001-2002,2001
269,Sylvain Wiltord,France,Arsenal FC,7,2001-2002,2001
270,Paolo Di Canio,Italy,West Ham United,6,2001-2002,2001
271,Damien Duff,Ireland,Blackburn Rovers,6,2001-2002,2001
272,Eiður Guðjohnsen,Iceland,Chelsea FC,6,2001-2002,2001
273,Jimmy Floyd Hasselbaink,Netherlands,Chelsea FC,6,2001-2002,2001
274,Sebastien Schemmel,France,West Ham United,6,2001-2002,2001
275,Vladimír Šmicer,Czech Republic,Liverpool FC,6,2001-2002,2001
276,Christian Ziege,Germany,Tottenham Hotspur,6,2001-2002,2001
277,Darren Anderton,England,Tottenham Hotspur,5,2001-2002,2001
278,Lee Bowyer,England,Leeds United,5,2001-2002,2001
279,Andy Cole,England,Manchester United,5,2001-2002,2001
280,David Dunn,England,Blackburn Rovers,5,2001-2002,2001
281,Per Frandsen,Denmark,Bolton Wanderers,5,2001-2002,2001
282,Ricardo Gardner,Jamaica,Bolton Wanderers,5,2001-2002,2001
283,Thomas Gravesen,Denmark,Everton FC,5,2001-2002,2001
284,Thierry Henry,France,Arsenal FC,5,2001-2002,2001
285,Matt Jansen,England,Blackburn Rovers,5,2001-2002,2001
286,Paul Scholes,England,Manchester United,5,2001-2002,2001
287,Mikaël Silvestre,France,Manchester United,5,2001-2002,2001
288,Anders Svensson,Sweden,Southampton FC,5,2001-2002,2001
289,Niclas Alexandersson,Sweden,Everton FC,4,2001-2002,2001
290,Julio Arca,Argentina,Sunderland AFC,4,2001-2002,2001
291,James Beattie,England,Southampton FC,4,2001-2002,2001
292,Craig Bellamy,Wales,Newcastle United,4,2001-2002,2001
293,Jason Dodd,England,Southampton FC,4,2001-2002,2001
294,Kieron Dyer,England,Newcastle United,4,2001-2002,2001
295,Robbie Elliott,England,Newcastle United,4,2001-2002,2001
296,Robbie Fowler,England,Liverpool FC,4,2001-2002,2001
297,Scott Gemmill,Scotland,Everton FC,4,2001-2002,2001
298,Keith Gillespie,Northern Ireland,Blackburn Rovers,4,2001-2002,2001
299,Dietmar Hamann,Germany,Liverpool FC,4,2001-2002,2001
300,Ian Harte,Ireland,Leeds United,4,2001-2002,2001
301,Aaron Hughes,Northern Ireland,Newcastle United,4,2001-2002,2001
302,Robbie Keane,Ireland,Leeds United,4,2001-2002,2001
303,Roy Keane,Ireland,Manchester United,4,2001-2002,2001
304,Gary McAllister,Scotland,Liverpool FC,4,2001-2002,2001
305,Gary Naysmith,Scotland,Everton FC,4,2001-2002,2001
306,Marians Pahars,Latvia,Southampton FC,4,2001-2002,2001
307,Kevin Phillips,England,Sunderland AFC,4,2001-2002,2001
308,Gustavo Poyet,Uruguay,Tottenham Hotspur,4,2001-2002,2001
309,Martijn Reuser,Netherlands,Ipswich Town,4,2001-2002,2001
310,Stefan Schwarz,Sweden,Sunderland AFC,4,2001-2002,2001
311,Alan Shearer,England,Newcastle United,4,2001-2002,2001
312,Marcus Stewart,England,Ipswich Town,4,2001-2002,2001
313,Steve Stone,England,Aston Villa,4,2001-2002,2001
314,Ruud van Nistelrooy,Netherlands,Manchester United,4,2001-2002,2001
315,Gianfranco Zola,Italy,Chelsea FC,4,2001-2002,2001
316,Juan Pablo Ángel,Colombia,Aston Villa,3,2001-2002,2001
317,Gareth Barry,England,Aston Villa,3,2001-2002,2001
318,Guðni Bergsson,Iceland,Bolton Wanderers,3,2001-2002,2001
319,Rufus Brevett,England,Fulham FC,3,2001-2002,2001
320,Deon Burton,Jamaica,Derby County,3,2001-2002,2001
321,Ashley Cole,England,Arsenal FC,3,2001-2002,2001
322,Callum Davidson,Scotland,Leicester City,3,2001-2002,2001
323,Simon Davies,Wales,Tottenham Hotspur,3,2001-2002,2001
324,Dion Dublin,England,Aston Villa,3,2001-2002,2001
325,Jason Euell,Jamaica,Charlton Athletic,3,2001-2002,2001
326,Corrado Grabbi,Italy,Blackburn Rovers,3,2001-2002,2001
327,Jesper Grønkjær,Denmark,Chelsea FC,3,2001-2002,2001
328,Barry Hayles,Jamaica,Fulham FC,3,2001-2002,2001
329,Lee Hendrie,England,Aston Villa,3,2001-2002,2001
330,Craig Hignett,England,Blackburn Rovers,3,2001-2002,2001
331,Matt Holland,Ireland,Ipswich Town,3,2001-2002,2001
332,Jonatan Johansson,Finland,Charlton Athletic,3,2001-2002,2001
333,Frédéric Kanouté,Mali,West Ham United,3,2001-2002,2001
334,Gary Kelly,Ireland,Leeds United,3,2001-2002,2001
335,Tugay Kerimoğlu,Turkey,Blackburn Rovers,3,2001-2002,2001
336,Harry Kewell,Australia,Leeds United,3,2001-2002,2001
337,Frank Lampard,England,Chelsea FC,3,2001-2002,2001
338,Rob Lee,England,Newcastle United,3,2001-2002,2001
339,Freddie Ljungberg,Sweden,Arsenal FC,3,2001-2002,2001
340,Lomana LuaLua,Congo DR,Newcastle United,3,2001-2002,2001
341,Carlos Marinelli,Argentina,Middlesbrough FC,3,2001-2002,2001
342,Steve Marlet,France,Fulham FC,3,2001-2002,2001
343,Jason McAteer,Ireland,Sunderland AFC,3,2001-2002,2001
344,Richard Naylor,England,Ipswich Town,3,2001-2002,2001
345,Gary Neville,England,Manchester United,3,2001-2002,2001
346,Mark Pembridge,Wales,Everton FC,3,2001-2002,2001
347,Emmanuel Petit,France,Chelsea FC,3,2001-2002,2001
348,Franck Queudrue,France,Middlesbrough FC,3,2001-2002,2001
349,Niall Quinn,Ireland,Sunderland AFC,3,2001-2002,2001
350,Tomasz Radzinski,Canada,Everton FC,3,2001-2002,2001
351,Fabrizio Ravanelli,Italy,Derby County,3,2001-2002,2001
352,Serhiy Rebrov,Ukraine,Tottenham Hotspur,3,2001-2002,2001
353,John Arne Riise,Norway,Liverpool FC,3,2001-2002,2001
354,Jlloyd Samuel,Trinidad & Tobago,Aston Villa,3,2001-2002,2001
355,Teddy Sheringham,England,Tottenham Hotspur,3,2001-2002,2001
356,Alan Smith,England,Leeds United,3,2001-2002,2001
357,Steve Staunton,Ireland,Aston Villa,3,2001-2002,2001
358,Abel Xavier,Portugal,Liverpool FC,2,2001-2002,2001
359,Nicolas Anelka,France,Liverpool FC,2,2001-2002,2001
360,Chris Bart-Williams,England,Charlton Athletic,2,2001-2002,2001
361,David Batty,England,Leeds United,2,2001-2002,2001
362,Marcus Bent,England,Ipswich Town,2,2001-2002,2001
363,Henning Berg,Norway,Blackburn Rovers,2,2001-2002,2001
364,Patrik Berger,Czech Republic,Liverpool FC,2,2001-2002,2001
365,Fredi Bobic,Germany,Bolton Wanderers,2,2001-2002,2001
366,Wayne Bridge,England,Southampton FC,2,2001-2002,2001
367,Craig Burley,Scotland,Derby County,2,2001-2002,2001
368,Michael Carrick,England,West Ham United,2,2001-2002,2001
369,Luke Chadwick,England,Manchester United,2,2001-2002,2001
370,Jamie Clapham,England,Ipswich Town,2,2001-2002,2001
371,Joe Cole,England,West Ham United,2,2001-2002,2001
372,Peter Crouch,England,Aston Villa,2,2001-2002,2001
373,Rory Delap,Ireland,Southampton FC,2,2001-2002,2001
374,Matt Elliott,Scotland,Leicester City,2,2001-2002,2001
375,Les Ferdinand,England,Tottenham Hotspur,2,2001-2002,2001
376,Mark Fish,South Africa,Charlton Athletic,2,2001-2002,2001
377,Gary Flitcroft,England,Blackburn Rovers,2,2001-2002,2001
378,Mikael Forssell,Finland,Chelsea FC,2,2001-2002,2001
379,Finidi George,Nigeria,Ipswich Town,2,2001-2002,2001
380,Mustapha Hadji,Morocco,Aston Villa,2,2001-2002,2001
381,Thomas Hitzlsperger,Germany,Aston Villa,2,2001-2002,2001
382,Don Hutchison,Scotland,West Ham United,2,2001-2002,2001
383,Paul Ince,England,Middlesbrough FC,2,2001-2002,2001
384,Paul Konchesky,England,Charlton Athletic,2,2001-2002,2001
385,Vladimír Labant,Slovakia,West Ham United,2,2001-2002,2001
386,Paul Merson,England,Aston Villa,2,2001-2002,2001
387,Danny Mills,England,Leeds United,2,2001-2002,2001
388,Stefan Oakes,England,Leicester City,2,2001-2002,2001
389,Brett Ormerod,England,Southampton FC,2,2001-2002,2001
390,Scott Parker,England,Charlton Athletic,2,2001-2002,2001
391,Sixto Peralta,Argentina,Ipswich Town,2,2001-2002,2001
392,Michael Ricketts,England,Bolton Wanderers,2,2001-2002,2001
393,Chris Riggott,England,Derby County,2,2001-2002,2001
394,Robbie Savage,Wales,Leicester City,2,2001-2002,2001
395,James Scowcroft,England,Leicester City,2,2001-2002,2001
396,Mario Stanić,Croatia,Chelsea FC,2,2001-2002,2001
397,Paul Telfer,Scotland,Southampton FC,2,2001-2002,2001
398,Hakan Ünsal,Turkey,Blackburn Rovers,2,2001-2002,2001
399,Darius Vassell,England,Aston Villa,2,2001-2002,2001
400,Patrick Vieira,France,Arsenal FC,2,2001-2002,2001
401,Rodney Wallace,England,Bolton Wanderers,2,2001-2002,2001
402,Steve Watson,England,Everton FC,2,2001-2002,2001
403,David Weir,Scotland,Everton FC,2,2001-2002,2001
404,Mike Whitlow,England,Bolton Wanderers,2,2001-2002,2001
405,Paul Williams,England,Southampton FC,2,2001-2002,2001
406,Boudewijn Zenden,Netherlands,Chelsea FC,2,2001-2002,2001
407,Ade Akinbiyi,England,Leicester City,1,2001-2002,2001
408,Celestine Babayaro,Nigeria,Chelsea FC,1,2001-2002,2001
409,Eirik Bakke,Norway,Leeds United,1,2001-2002,2001
410,Warren Barton,England,Newcastle United,1,2001-2002,2001
411,Stig Inge Bjørnebye,Norway,Blackburn Rovers,1,2001-2002,2001
412,Boa Morte,Portugal,Fulham FC,1,2001-2002,2001
413,George Boateng,Netherlands,Aston Villa,1,2001-2002,2001
414,Paul Boertien,England,Derby County,1,2001-2002,2001
415,Alen Bokšić,Croatia,Middlesbrough FC,1,2001-2002,2001
416,Goran Bunjevčević,Serbia,Tottenham Hotspur,1,2001-2002,2001
417,Thomas Butler,Ireland,Sunderland AFC,1,2001-2002,2001
418,Nicky Butt,England,Manchester United,1,2001-2002,2001
419,Kevin Campbell,England,Everton FC,1,2001-2002,2001
420,Sol Campbell,England,Arsenal FC,1,2001-2002,2001
421,Jamie Carragher,England,Liverpool FC,1,2001-2002,2001
422,Simon Charlton,England,Bolton Wanderers,1,2001-2002,2001
423,Malcolm Christie,England,Derby County,1,2001-2002,2001
424,Carl Cort,Guyana,Newcastle United,1,2001-2002,2001
425,Laurent Courtois,France,West Ham United,1,2001-2002,2001
