Player,Country,Team,Goals,Season
Thierry Henry,France,Arsenal FC,30,2003-2004
Alan Shearer,England,Newcastle United,22,2003-2004
Louis Saha,France,Manchester United,20,2003-2004
Ruud van Nistelrooy,Netherlands,Manchester United,20,2003-2004
Mikael Forssell,Finland,Birmingham City,17,2003-2004
Nicolas Anelka,France,Manchester City,16,2003-2004
Juan Pablo Ángel,Colombia,Aston Villa,16,2003-2004
Yakubu Ayegbeni,Nigeria,Portsmouth FC,16,2003-2004
Michael Owen,England,Liverpool FC,16,2003-2004
James Beattie,England,Southampton FC,14,2003-2004
Robbie Keane,Ireland,Tottenham Hotspur,14,2003-2004
Robert Pirés,France,Arsenal FC,14,2003-2004
Les Ferdinand,England,Leicester City,12,2003-2004
Jimmy Floyd Hasselbaink,Netherlands,Chelsea FC,12,2003-2004
Kevin Phillips,England,Southampton FC,12,2003-2004
Andy Cole,England,Blackburn Rovers,11,2003-2004
Paul Dickov,Scotland,Leicester City,11,2003-2004
Mark Viduka,Australia,Leeds United,11,2003-2004
Hernán Crespo,Argentina,Chelsea FC,10,2003-2004
Jason Euell,Jamaica,Charlton Athletic,10,2003-2004
Frank Lampard,England,Chelsea FC,10,2003-2004
Marcus Bent,England,Leicester City,9,2003-2004
Boa Morte,Portugal,Fulham FC,9,2003-2004
Kevin Davies,England,Bolton Wanderers,9,2003-2004
Szilárd Németh,Slovakia,Middlesbrough FC,9,2003-2004
Kevin Nolan,England,Bolton Wanderers,9,2003-2004
Wayne Rooney,England,Everton FC,9,2003-2004
Paul Scholes,England,Manchester United,9,2003-2004
Teddy Sheringham,England,Portsmouth FC,9,2003-2004
Alan Smith,England,Leeds United,9,2003-2004
Darius Vassell,England,Aston Villa,9,2003-2004
Youri Djorkaeff,France,Bolton Wanderers,8,2003-2004
Juninho Paulista,Brazil,Middlesbrough FC,8,2003-2004
Tomasz Radzinski,Canada,Everton FC,8,2003-2004
Shola Ameobi,Nigeria,Newcastle United,7,2003-2004
Henri Camara,Senegal,Wolverhampton Wanderers,7,2003-2004
Jermain Defoe,England,Tottenham Hotspur,7,2003-2004
Robbie Fowler,England,Manchester City,7,2003-2004
Ryan Giggs,Wales,Manchester United,7,2003-2004
Emile Heskey,England,Liverpool FC,7,2003-2004
Frédéric Kanouté,Mali,Tottenham Hotspur,7,2003-2004
Harry Kewell,Australia,Liverpool FC,7,2003-2004
Henrik Pedersen,Denmark,Bolton Wanderers,7,2003-2004
Eiður Guðjohnsen,Iceland,Chelsea FC,6,2003-2004
Matt Holland,Ireland,Charlton Athletic,6,2003-2004
Massimo Maccarone,Italy,Middlesbrough FC,6,2003-2004
Steed Malbranque,France,Fulham FC,6,2003-2004
Adrian Mutu,Romania,Chelsea FC,6,2003-2004
Laurent Robert,France,Newcastle United,6,2003-2004
Jon Stead,England,Blackburn Rovers,6,2003-2004
Paulo Wanchope,Costa Rica,Manchester City,6,2003-2004
Shaun Wright-Phillips,England,Manchester City,6,2003-2004
Shaun Bartlett,South Africa,Charlton Athletic,5,2003-2004
Patrik Berger,Czech Republic,Portsmouth FC,5,2003-2004
Carl Cort,Guyana,Wolverhampton Wanderers,5,2003-2004
Sean Davis,England,Fulham FC,5,2003-2004
Damien Duff,Ireland,Chelsea FC,5,2003-2004
Duncan Ferguson,Scotland,Everton FC,5,2003-2004
Joseph-Désiré Job,Cameroon,Middlesbrough FC,5,2003-2004
Danny Murphy,England,Liverpool FC,5,2003-2004
Brett Ormerod,England,Southampton FC,5,2003-2004
Alex Rae,Scotland,Wolverhampton Wanderers,5,2003-2004
James Scowcroft,England,Leicester City,5,2003-2004
Antoine Sibierski,France,Manchester City,5,2003-2004
Steve Watson,England,Everton FC,5,2003-2004
Craig Bellamy,Wales,Newcastle United,4,2003-2004
Dennis Bergkamp,Netherlands,Arsenal FC,4,2003-2004
Colin Cameron,Scotland,Wolverhampton Wanderers,4,2003-2004
Carlton Cole,England,Chelsea FC,4,2003-2004
Cristiano Ronaldo,Portugal,Manchester United,4,2003-2004
Peter Crouch,England,Aston Villa,4,2003-2004
Paolo Di Canio,Italy,Charlton Athletic,4,2003-2004
Diego Forlán,Uruguay,Manchester United,4,2003-2004
Steven Gerrard,England,Liverpool FC,4,2003-2004
Gilberto Silva,Brazil,Arsenal FC,4,2003-2004
Barry Hayles,Jamaica,Fulham FC,4,2003-2004
Sami Hyypiä,Finland,Liverpool FC,4,2003-2004
Iván Campo,Spain,Bolton Wanderers,4,2003-2004
Steffen Iversen,Norway,Wolverhampton Wanderers,4,2003-2004
Claus Jensen,Denmark,Charlton Athletic,4,2003-2004
Jonatan Johansson,Finland,Charlton Athletic,4,2003-2004
Collins John,Netherlands,Fulham FC,4,2003-2004
Stern John,St. Lucia,Birmingham City,4,2003-2004
Kevin Lisbie,Jamaica,Charlton Athletic,4,2003-2004
Freddie Ljungberg,Sweden,Arsenal FC,4,2003-2004
Lomana LuaLua,Congo DR,Portsmouth FC,4,2003-2004
Brian McBride,USA,Fulham FC,4,2003-2004
Clinton Morrison,Ireland,Birmingham City,4,2003-2004
Dwight Yorke,Trinidad & Tobago,Blackburn Rovers,4,2003-2004
Boudewijn Zenden,Netherlands,Middlesbrough FC,4,2003-2004
Lorenzo Amoruso,Italy,Blackburn Rovers,3,2003-2004
Markus Babbel,Germany,Blackburn Rovers,3,2003-2004
Gareth Barry,England,Aston Villa,3,2003-2004
Stéphane Dalmat,France,Tottenham Hotspur,3,2003-2004
Michael Duberry,England,Leeds United,3,2003-2004
Dion Dublin,England,Aston Villa,3,2003-2004
Gary Flitcroft,England,Blackburn Rovers,3,2003-2004
Paul Gallagher,Scotland,Blackburn Rovers,3,2003-2004
Ionel Ganea,Romania,Wolverhampton Wanderers,3,2003-2004
Thomas Hitzlsperger,Germany,Aston Villa,3,2003-2004
Bryan Hughes,England,Birmingham City,3,2003-2004
Glen Johnson,England,Chelsea FC,3,2003-2004
Roy Keane,Ireland,Manchester United,3,2003-2004
Kevin Kilbane,Ireland,Everton FC,3,2003-2004
James Milner,England,Leeds United,3,2003-2004
Scott Parker,England,Chelsea FC,3,2003-2004
Gustavo Poyet,Uruguay,Tottenham Hotspur,3,2003-2004
Robbie Savage,Wales,Birmingham City,3,2003-2004
Vladimír Šmicer,Czech Republic,Liverpool FC,3,2003-2004
Gary Speed,Wales,Newcastle United,3,2003-2004
Dejan Stefanović,Serbia,Portsmouth FC,3,2003-2004
Graham Stuart,England,Charlton Athletic,3,2003-2004
Michael Tarnat,Germany,Manchester City,3,2003-2004
David Unsworth,England,Everton FC,3,2003-2004
Patrick Vieira,France,Arsenal FC,3,2003-2004
Sylvain Wiltord,France,Arsenal FC,3,2003-2004
Darren Ambrose,England,Newcastle United,2,2003-2004
David Bellion,France,Manchester United,2,2003-2004
Lee Bowyer,England,Newcastle United,2,2003-2004
Lee Carsley,Ireland,Everton FC,2,2003-2004
Bruno Cheyrou,France,Liverpool FC,2,2003-2004
Lee Clark,England,Fulham FC,2,2003-2004
Stephen Clemence,England,Birmingham City,2,2003-2004
Simon Davies,Wales,Tottenham Hotspur,2,2003-2004
Sylvain Distin,France,Manchester City,2,2003-2004
David Dunn,England,Birmingham City,2,2003-2004
Edu Gaspar,Brazil,Arsenal FC,2,2003-2004
Brett Emerton,Australia,Blackburn Rovers,2,2003-2004
Jonathan Fortune,England,Charlton Athletic,2,2003-2004
Stylianos Giannakopoulos,Greece,Bolton Wanderers,2,2003-2004
Thomas Gravesen,Denmark,Everton FC,2,2003-2004
Léandre Griffit,France,Southampton FC,2,2003-2004
Jesper Grønkjær,Denmark,Chelsea FC,2,2003-2004
Dietmar Hamann,Germany,Liverpool FC,2,2003-2004
Lee Hendrie,England,Aston Villa,2,2003-2004
Hermann Hreiðarsson,Iceland,Charlton Athletic,2,2003-2004
Junichi Inamoto,Japan,Fulham FC,2,2003-2004
Paul Ince,England,Wolverhampton Wanderers,2,2003-2004
Muzzy Izzet,Turkey,Leicester City,2,2003-2004
Matt Jansen,England,Blackburn Rovers,2,2003-2004
Jermaine Jenas,England,Newcastle United,2,2003-2004
Seth Johnson,England,Leeds United,2,2003-2004
Jeff Kenna,Ireland,Birmingham City,2,2003-2004
Mark Kennedy,Ireland,Wolverhampton Wanderers,2,2003-2004
Matt Kilgallon,England,Leeds United,2,2003-2004
Kléberson,Brazil,Manchester United,2,2003-2004
Stan Lazaridis,Australia,Birmingham City,2,2003-2004
Dominic Matteo,Scotland,Leeds United,2,2003-2004
Mario Melchiot,Netherlands,Chelsea FC,2,2003-2004
Mendieta,Spain,Middlesbrough FC,2,2003-2004
Kenny Miller,Scotland,Wolverhampton Wanderers,2,2003-2004
Bruno N'Gotty,France,Bolton Wanderers,2,2003-2004
Gary Naysmith,Scotland,Everton FC,2,2003-2004
Lucas Neill,Australia,Blackburn Rovers,2,2003-2004
Gary Neville,England,Manchester United,2,2003-2004
Gary O'Neil,England,Portsmouth FC,2,2003-2004
John O'Shea,Ireland,Manchester United,2,2003-2004
Marians Pahars,Latvia,Southampton FC,2,2003-2004
Jermaine Pennant,England,Leeds United,2,2003-2004
Reyes,Spain,Arsenal FC,2,2003-2004
Michael Ricketts,England,Middlesbrough FC,2,2003-2004
Jlloyd Samuel,Trinidad & Tobago,Aston Villa,2,2003-2004
Florent Sinama-Pongolle,France,Liverpool FC,2,2003-2004
Steve Stone,England,Portsmouth FC,2,2003-2004
Jihai Sun,China,Manchester City,2,2003-2004
Michael Svensson,Sweden,Southampton FC,2,2003-2004
John Terry,England,Chelsea FC,2,2003-2004
Joseph Yobo,Nigeria,Everton FC,2,2003-2004
