Player,Country,Team,Goals,Season
Marcus Allbäck,Sweden,Aston Villa,1,2003-2004
Darren Anderton,England,Tottenham Hotspur,1,2003-2004
Celestine Babayaro,Nigeria,Chelsea FC,1,2003-2004
Dino Baggio,Italy,Blackburn Rovers,1,2003-2004
Eirik Bakke,Norway,Leeds United,1,2003-2004
Milan Baroš,Czech Republic,Liverpool FC,1,2003-2004
Joey Barton,England,Manchester City,1,2003-2004
Eyal Berkovic,Israel,Portsmouth FC,1,2003-2004
Olivier Bernard,France,Newcastle United,1,2003-2004
Nathan Blake,Wales,Wolverhampton Wanderers,1,2003-2004
Wayne Bridge,England,Chelsea FC,1,2003-2004
Michael Brown,England,Tottenham Hotspur,1,2003-2004
Paul Butler,Ireland,Wolverhampton Wanderers,1,2003-2004
Nicky Butt,England,Manchester United,1,2003-2004
Steven Caldwell,Scotland,Newcastle United,1,2003-2004
Zoumana Camara,France,Leeds United,1,2003-2004
Kevin Campbell,England,Everton FC,1,2003-2004
Sol Campbell,England,Arsenal FC,1,2003-2004
Stephen Carr,Ireland,Tottenham Hotspur,1,2003-2004
Malcolm Christie,England,Middlesbrough FC,1,2003-2004
Joe Cole,England,Chelsea FC,1,2003-2004
Jody Craddock,England,Wolverhampton Wanderers,1,2003-2004
Arjan de Zeeuw,Netherlands,Portsmouth FC,1,2003-2004
Rory Delap,Ireland,Southampton FC,1,2003-2004
Jonathan Douglas,Ireland,Blackburn Rovers,1,2003-2004
Christophe Dugarry,France,Birmingham City,1,2003-2004
Kieron Dyer,England,Newcastle United,1,2003-2004
Barry Ferguson,Scotland,Blackburn Rovers,1,2003-2004
Fabrice Fernandes,France,Southampton FC,1,2003-2004
Hayden Foxe,Australia,Portsmouth FC,1,2003-2004
Per Frandsen,Denmark,Bolton Wanderers,1,2003-2004
Brad Friedel,USA,Blackburn Rovers,1,2003-2004
Martin Grainger,England,Birmingham City,1,2003-2004
Jonathan Greening,England,Middlesbrough FC,1,2003-2004
Vratislav Greško,Slovakia,Blackburn Rovers,1,2003-2004
Ian Harte,Ireland,Leeds United,1,2003-2004
Hélder Postiga,Portugal,Tottenham Hotspur,1,2003-2004
Craig Hignett,England,Leicester City,1,2003-2004
Stephen Howey,England,Leicester City,1,2003-2004
Nicky Hunt,England,Bolton Wanderers,1,2003-2004
Johnnie Jackson,England,Tottenham Hotspur,1,2003-2004
Ronny Johnsen,Norway,Aston Villa,1,2003-2004
Damien Johnson,Northern Ireland,Birmingham City,1,2003-2004
Nwankwo Kanu,Nigeria,Arsenal FC,1,2003-2004
Tugay Kerimoğlu,Turkey,Blackburn Rovers,1,2003-2004
Ledley King,England,Tottenham Hotspur,1,2003-2004
Claus Lundekvam,Norway,Southampton FC,1,2003-2004
Mbulelo Mabizela,South Africa,Tottenham Hotspur,1,2003-2004
Jon Macken,Ireland,Manchester City,1,2003-2004
Carlos Marinelli,Argentina,Middlesbrough FC,1,2003-2004
Steve Marlet,France,Fulham FC,1,2003-2004
Stephen McPhail,Ireland,Leeds United,1,2003-2004
Olof Mellberg,Sweden,Aston Villa,1,2003-2004
Stefan Moore,England,Aston Villa,1,2003-2004
Ivica Mornar,Croatia,Portsmouth FC,1,2003-2004
Lilian Nalis,France,Leicester City,1,2003-2004
Geremi Njitap,Cameroon,Chelsea FC,1,2003-2004
Andy O'Brien,Ireland,Newcastle United,1,2003-2004
Leon Osman,England,Everton FC,1,2003-2004
Alpay Özalan,Turkey,Aston Villa,1,2003-2004
Mark Pembridge,Wales,Fulham FC,1,2003-2004
Chris Perry,England,Charlton Athletic,1,2003-2004
David Prutton,England,Southampton FC,1,2003-2004
Nigel Quashie,Scotland,Portsmouth FC,1,2003-2004
Jamie Redknapp,England,Tottenham Hotspur,1,2003-2004
Claudio Reyna,USA,Manchester City,1,2003-2004
Rohan Ricketts,England,Tottenham Hotspur,1,2003-2004
Jason Roberts,Grenada,Portsmouth FC,1,2003-2004
Lamine Sakho,Senegal,Leeds United,1,2003-2004
Facundo Sava,Argentina,Fulham FC,1,2003-2004
Riccardo Scimeca,England,Leicester City,1,2003-2004
Craig Short,England,Blackburn Rovers,1,2003-2004
Frank Sinclair,Jamaica,Leicester City,1,2003-2004
Trevor Sinclair,England,Manchester City,1,2003-2004
David Sommeil,Guadeloupe,Manchester City,1,2003-2004
Gareth Southgate,England,Middlesbrough FC,1,2003-2004
Jordan Stewart,England,Leicester City,1,2003-2004
Mauricio Taricco,Argentina,Tottenham Hotspur,1,2003-2004
Martin Taylor,England,Blackburn Rovers,1,2003-2004
Ben Thatcher,Wales,Leicester City,1,2003-2004
David Thompson,England,Blackburn Rovers,1,2003-2004
Kolo Touré,Ivory Coast,Arsenal FC,1,2003-2004
Juan Sebastián Verón,Argentina,Chelsea FC,1,2003-2004
