Player,Country,Team,Goals,Season
Yaya Touré,Ivory Coast,Manchester City,11,2014-2015
Shane Long,Ireland,Southampton FC,11,2014-2015
Philippe Coutinho,Brazil,Liverpool FC,11,2014-2015
Dušan Tadić,Serbia,Southampton FC,11,2014-2015
Matthew Phillips,Scotland,Queens Park Rangers,11,2014-2015
Leighton Baines,England,Everton FC,11,2014-2015
Chris Brunt,Northern Ireland,West Bromwich Albion,11,2014-2015
Steven Gerrard,England,Liverpool FC,10,2014-2015
Peter Crouch,England,Stoke City,10,2014-2015
Glenn Murray,England,Crystal Palace,10,2014-2015
Ander Herrera,Spain,Manchester United,10,2014-2015
Jack Colback,England,Newcastle United,10,2014-2015
Nikica Jelavić,Croatia,Hull City,9,2014-2015
Sung-yueng Ki,South Korea,Swansea City,9,2014-2015
Radamel Falcao,Colombia,Manchester United,9,2014-2015
Branislav Ivanović,Serbia,Chelsea FC,9,2014-2015
Mesut Özil,Germany,Arsenal FC,9,2014-2015
Érik Lamela,Argentina,Tottenham Hotspur,9,2014-2015
Charlie Adam,Scotland,Stoke City,8,2014-2015
Kevin Mirallas,Belgium,Everton FC,8,2014-2015
Steven Naismith,Scotland,Everton FC,8,2014-2015
Leroy Fer,Netherlands,Queens Park Rangers,8,2014-2015
Frank Lampard,England,Manchester City,8,2014-2015
Mile Jedinak,Australia,Crystal Palace,8,2014-2015
Stevan Jovetić,Montenegro,Manchester City,8,2014-2015
Adam Lallana,England,Liverpool FC,8,2014-2015
Danny Welbeck,England,Arsenal FC,8,2014-2015
Danny Rose,England,Tottenham Hotspur,8,2014-2015
Jonjo Shelvey,England,Swansea City,8,2014-2015
Samir Nasri,France,Manchester City,8,2014-2015
Daryl Janmaat,Netherlands,Newcastle United,8,2014-2015
Jefferson Montero,Ecuador,Swansea City,8,2014-2015
Jesús Navas,Spain,Manchester City,8,2014-2015
Ayoze Pérez,Spain,Newcastle United,7,2014-2015
Bafétimbi Gomis,France,Swansea City,7,2014-2015
Loïc Rémy,France,Queens Park Rangers,7,2014-2015
Gabriel Agbonlahor,England,Aston Villa,7,2014-2015
Marouane Fellaini,Belgium,Manchester United,7,2014-2015
Ashley Barnes,England,Burnley FC,7,2014-2015
George Boyd,Scotland,Burnley FC,7,2014-2015
Steven Fletcher,Scotland,Sunderland AFC,7,2014-2015
David Nugent,England,Leicester City,7,2014-2015
Edin Džeko,Bosnia-Herzegovina,Manchester City,7,2014-2015
Cheikhou Kouyaté,Senegal,West Ham United,7,2014-2015
Riyad Mahrez,Algeria,Leicester City,7,2014-2015
Enner Valencia,Ecuador,West Ham United,7,2014-2015
Craig Gardner,England,West Bromwich Albion,7,2014-2015
Victor Moses,Nigeria,Stoke City,7,2014-2015
Bobby Zamora,England,Queens Park Rangers,7,2014-2015
Ahmed Elmohamady,Egypt,Hull City,7,2014-2015
Ashley Young,England,Manchester United,7,2014-2015
James Ward-Prowse,England,Southampton FC,7,2014-2015
Esteban Cambiasso,Argentina,Leicester City,6,2014-2015
Andy Carroll,England,West Ham United,6,2014-2015
Dwight Gayle,England,Crystal Palace,6,2014-2015
Dame N'Doye,Senegal,Hull City,6,2014-2015
Connor Wickham,England,Sunderland AFC,6,2014-2015
Brown Ideye,Nigeria,West Bromwich Albion,6,2014-2015
Jordi Gómez,Spain,Sunderland AFC,6,2014-2015
Moussa Sissoko,France,Newcastle United,6,2014-2015
Daniel Sturridge,England,Liverpool FC,6,2014-2015
Wilfried Zaha,Ivory Coast,Crystal Palace,6,2014-2015
Fernandinho,Brazil,Manchester City,6,2014-2015
Sebastian Larsson,Sweden,Sunderland AFC,6,2014-2015
Aaron Cresswell,England,West Ham United,6,2014-2015
Ramires,Brazil,Chelsea FC,6,2014-2015
Marko Arnautović,Austria,Stoke City,6,2014-2015
John Terry,England,Chelsea FC,5,2014-2015
Theo Walcott,England,Arsenal FC,5,2014-2015
Bojan,Spain,Stoke City,5,2014-2015
Jermain Defoe,England,Sunderland AFC,5,2014-2015
Didier Drogba,Ivory Coast,Chelsea FC,5,2014-2015
Abel Hernández,Uruguay,Hull City,5,2014-2015
Adam Johnson,England,Sunderland AFC,5,2014-2015
Morgan Schneiderlin,France,Southampton FC,5,2014-2015
Séamus Coleman,Ireland,Everton FC,5,2014-2015
Nathan Dyer,England,Swansea City,5,2014-2015
Jeffrey Schlupp,Ghana,Leicester City,5,2014-2015
Eduardo Vargas,Chile,Queens Park Rangers,5,2014-2015
Andreas Weimann,Austria,Aston Villa,5,2014-2015
Marc Albrighton,England,Leicester City,5,2014-2015
Scott Dann,England,Crystal Palace,5,2014-2015
Aleksandar Kolarov,Serbia,Manchester City,5,2014-2015
Aaron Lennon,England,Everton FC,5,2014-2015
Mark Noble,England,West Ham United,5,2014-2015
Willian,Brazil,Chelsea FC,5,2014-2015
Ryan Mason,England,Tottenham Hotspur,5,2014-2015
Pablo Zabaleta,Argentina,Manchester City,5,2014-2015
Leandro Bacuna,Curaçao,Aston Villa,5,2014-2015
Patrick van Aanholt,Netherlands,Sunderland AFC,5,2014-2015
Fraizer Campbell,England,Crystal Palace,4,2014-2015
Momo Diamé,Senegal,Hull City,4,2014-2015
Phil Jagielka,England,Everton FC,4,2014-2015
Chris Smalling,England,Manchester United,4,2014-2015
Morgan Amalfitano,France,West Ham United,4,2014-2015
Victor Anichebe,Nigeria,West Bromwich Albion,4,2014-2015
Samuel Eto'o,Cameroon,Everton FC,4,2014-2015
Steven Nzonzi,France,Stoke City,4,2014-2015
Wayne Routledge,England,Swansea City,4,2014-2015
Victor Wanyama,Kenya,Southampton FC,4,2014-2015
Sammy Ameobi,England,Newcastle United,4,2014-2015
Ross Barkley,England,Everton FC,4,2014-2015
Ryan Bertrand,England,Southampton FC,4,2014-2015
Daley Blind,Netherlands,Manchester United,4,2014-2015
Eric Dier,England,Tottenham Hotspur,4,2014-2015
Fernando,Brazil,Manchester City,4,2014-2015
Rickie Lambert,England,Liverpool FC,4,2014-2015
James McCarthy,Ireland,Everton FC,4,2014-2015
Wes Morgan,Jamaica,Leicester City,4,2014-2015
Leon Osman,England,Everton FC,4,2014-2015
Andros Townsend,England,Tottenham Hotspur,4,2014-2015
Joey Barton,England,Queens Park Rangers,4,2014-2015
Gaël Clichy,France,Manchester City,4,2014-2015
Graham Dorrans,Scotland,West Bromwich Albion,4,2014-2015
Nemanja Matić,Serbia,Chelsea FC,4,2014-2015
Aiden McGeady,Ireland,Everton FC,4,2014-2015
Stephen Quinn,Ireland,Hull City,4,2014-2015
Stéphane Sessègnon,Benin,West Bromwich Albion,4,2014-2015
James Tomkins,England,West Ham United,4,2014-2015
Kieran Trippier,England,Burnley FC,4,2014-2015
Tom Cleverley,England,Aston Villa,3,2014-2015
Jack Cork,England,Swansea City,3,2014-2015
Laurent Koscielny,France,Arsenal FC,3,2014-2015
Jack Rodwell,England,Sunderland AFC,3,2014-2015
André Schürrle,Germany,Chelsea FC,3,2014-2015
Emmanuel Adebayor,Togo,Tottenham Hotspur,3,2014-2015
Scott Arfield,Canada,Burnley FC,3,2014-2015
Yoan Gouffran,France,Newcastle United,3,2014-2015
Brede Hangeland,Norway,Crystal Palace,3,2014-2015
Héctor Bellerín,Spain,Arsenal FC,3,2014-2015
Niko Kranjčar,Croatia,Queens Park Rangers,3,2014-2015
Joe Ledley,Wales,Crystal Palace,3,2014-2015
Lazar Marković,Serbia,Liverpool FC,3,2014-2015
James McArthur,Scotland,Crystal Palace,3,2014-2015
Ben Mee,England,Burnley FC,3,2014-2015
James Morrison,Scotland,West Bromwich Albion,3,2014-2015
Tomáš Rosický,Czech Republic,Arsenal FC,3,2014-2015
Ryan Shawcross,England,Stoke City,3,2014-2015
Jack Wilshere,England,Arsenal FC,3,2014-2015
Mauro Zárate,Argentina,Queens Park Rangers,3,2014-2015
Rémy Cabella,France,Newcastle United,3,2014-2015
Michael Carrick,England,Manchester United,3,2014-2015
Ciaran Clark,Ireland,Aston Villa,3,2014-2015
Michael Kightly,England,Burnley FC,3,2014-2015
Joleon Lescott,England,West Bromwich Albion,3,2014-2015
Gastón Ramírez,Uruguay,Hull City,3,2014-2015
Marcin Wasilewski,Poland,Leicester City,3,2014-2015
Azpilicueta,Spain,Chelsea FC,3,2014-2015
Steven Davis,Northern Ireland,Southampton FC,3,2014-2015
Fabian Delph,England,Aston Villa,3,2014-2015
Kieran Gibbs,England,Arsenal FC,3,2014-2015
Stephen Ireland,Ireland,Stoke City,3,2014-2015
Alex Song,Cameroon,West Ham United,3,2014-2015
Antonio Valencia,Ecuador,Manchester United,3,2014-2015
Alberto Moreno,Spain,Liverpool FC,2,2014-2015
Marouane Chamakh,Morocco,Crystal Palace,2,2014-2015
James Chester,Wales,Hull City,2,2014-2015
Nathaniel Clyne,England,Southampton FC,2,2014-2015
Carlton Cole,England,West Ham United,2,2014-2015
Craig Dawson,England,West Bromwich Albion,2,2014-2015
Eljero Elia,Netherlands,Southampton FC,2,2014-2015
Andy King,Wales,Leicester City,2,2014-2015
Andrej Kramarić,Croatia,Leicester City,2,2014-2015
Joe Allen,Wales,Liverpool FC,2,2014-2015
Fabio Borini,Italy,Liverpool FC,2,2014-2015
Calum Chambers,England,Arsenal FC,2,2014-2015
Joe Cole,England,Aston Villa,2,2014-2015
Mousa Dembélé,Belgium,Tottenham Hotspur,2,2014-2015
Mathieu Flamini,France,Arsenal FC,2,2014-2015
Danny Graham,England,Sunderland AFC,2,2014-2015
Jonás Gutiérrez,Argentina,Newcastle United,2,2014-2015
Paul Konchesky,England,Leicester City,2,2014-2015
Arouna Koné,Ivory Coast,Everton FC,2,2014-2015
Jake Livermore,England,Hull City,2,2014-2015
David Meyler,Ireland,Hull City,2,2014-2015
Kevin Nolan,England,West Ham United,2,2014-2015
Gabriel Obertan,France,Newcastle United,2,2014-2015
Alex Oxlade-Chamberlain,England,Arsenal FC,2,2014-2015
Emmanuel Rivière,Martinique,Newcastle United,2,2014-2015
Soldado,Spain,Tottenham Hotspur,2,2014-2015
Mike Williamson,England,Newcastle United,2,2014-2015
Maya Yoshida,Japan,Southampton FC,2,2014-2015
Gareth Barry,England,Everton FC,2,2014-2015
Nabil Bentaleb,Algeria,Tottenham Hotspur,2,2014-2015
Robbie Brady,Ireland,Hull City,2,2014-2015
Liam Bridcutt,Scotland,Sunderland AFC,2,2014-2015
Will Buckley,England,Sunderland AFC,2,2014-2015
Tom Huddlestone,England,Hull City,2,2014-2015
Mauricio Isla,Chile,Queens Park Rangers,2,2014-2015
Carl Jenkinson,England,West Ham United,2,2014-2015
Lukas Jutkiewicz,England,Burnley FC,2,2014-2015
Eliaquim Mangala,France,Manchester City,2,2014-2015
Charles N'Zogbia,France,Aston Villa,2,2014-2015
Nacho Monreal,Spain,Arsenal FC,2,2014-2015
Steven Pienaar,South Africa,Everton FC,2,2014-2015
Erik Pieters,Netherlands,Stoke City,2,2014-2015
Andy Robertson,Scotland,Hull City,2,2014-2015
Neil Taylor,Wales,Swansea City,2,2014-2015
Cheick Tioté,Ivory Coast,Newcastle United,2,2014-2015
Rolando Aarons,Jamaica,Newcastle United,1,2014-2015
Toby Alderweireld,Belgium,Southampton FC,1,2014-2015
Sone Aluko,Nigeria,Hull City,1,2014-2015
Mario Balotelli,Italy,Liverpool FC,1,2014-2015
Gary Cahill,England,Chelsea FC,1,2014-2015
Emre Can,Germany,Liverpool FC,1,2014-2015
Lee Cattermole,England,Sunderland AFC,1,2014-2015
Steven Caulker,Sierra Leone,Queens Park Rangers,1,2014-2015
Fabricio Coloccini,Argentina,Newcastle United,1,2014-2015
Michael Dawson,England,Hull City,1,2014-2015
Siem de Jong,Netherlands,Newcastle United,1,2014-2015
Mathieu Debuchy,France,Arsenal FC,1,2014-2015
Martín Demichelis,Argentina,Manchester City,1,2014-2015
Darren Fletcher,Scotland,West Bromwich Albion,1,2014-2015
Clint Hill,England,Queens Park Rangers,1,2014-2015
Robert Huth,Germany,Stoke City,1,2014-2015
Alan Hutton,Scotland,Aston Villa,1,2014-2015
Glen Johnson,England,Liverpool FC,1,2014-2015
Gareth McAuley,Northern Ireland,West Bromwich Albion,1,2014-2015
Paul McShane,Ireland,Hull City,1,2014-2015
Nélson Oliveira,Portugal,Swansea City,1,2014-2015
Jores Okore,Denmark,Aston Villa,1,2014-2015
Jonas Olsson,Sweden,West Bromwich Albion,1,2014-2015
Winston Reid,New Zealand,West Ham United,1,2014-2015
Carlos Sánchez,Colombia,Aston Villa,1,2014-2015
Sandro,Brazil,Queens Park Rangers,1,2014-2015
Scott Sinclair,England,Manchester City,1,2014-2015
Martin Škrtel,Slovakia,Liverpool FC,1,2014-2015
John Stones,England,Everton FC,1,2014-2015
Steven Taylor,England,Newcastle United,1,2014-2015
Varela,Portugal,West Bromwich Albion,1,2014-2015
Jan Vertonghen,Belgium,Tottenham Hotspur,1,2014-2015
Ross Wallace,Scotland,Burnley FC,1,2014-2015
Joel Ward,England,Crystal Palace,1,2014-2015
James Wilson,England,Manchester United,1,2014-2015
Chris Wood,New Zealand,Leicester City,1,2014-2015
Chuba Akpom,England,Arsenal FC,1,2014-2015
Adam Armstrong,England,Newcastle United,1,2014-2015
Oussama Assaidi,Morocco,Stoke City,1,2014-2015
Christian Atsu,Ghana,Everton FC,1,2014-2015
Phil Bardsley,Scotland,Stoke City,1,2014-2015
Modou Barrow,Gambia,Swansea City,1,2014-2015
Alex Bruce,Northern Ireland,Hull City,1,2014-2015
Geoff Cameron,USA,Stoke City,1,2014-2015
Carles Gil,Spain,Aston Villa,1,2014-2015
Juan Cuadrado,Colombia,Chelsea FC,1,2014-2015
Ben Davies,Wales,Tottenham Hotspur,1,2014-2015
Ritchie De Laet,Belgium,Leicester City,1,2014-2015
Gabriel Paulista,Brazil,Arsenal FC,1,2014-2015
Cristian Gamboa,Costa Rica,West Bromwich Albion,1,2014-2015
Jack Grealish,England,Aston Villa,1,2014-2015
Massadio Haïdara,France,Newcastle United,1,2014-2015
Matty James,England,Leicester City,1,2014-2015
Billy Jones,England,Sunderland AFC,1,2014-2015
Phil Jones,England,Manchester United,1,2014-2015
José Fonte,Portugal,Southampton FC,1,2014-2015
Michael Keane,England,Burnley FC,1,2014-2015
Martin Kelly,England,Crystal Palace,1,2014-2015
Tim Krul,Netherlands,Newcastle United,1,2014-2015
Matthew Lowton,England,Aston Villa,1,2014-2015
Callum McManaman,England,West Bromwich Albion,1,2014-2015
Per Mertesacker,Germany,Arsenal FC,1,2014-2015
Mikel Arteta,Spain,Arsenal FC,1,2014-2015
Jordon Mutch,England,Crystal Palace,1,2014-2015
Kyle Naughton,England,Swansea City,1,2014-2015
John Mikel Obi,Nigeria,Chelsea FC,1,2014-2015
Paulinho,Brazil,Tottenham Hotspur,1,2014-2015
Rafael,Brazil,Manchester United,1,2014-2015
Anthony Réveillère,France,Sunderland AFC,1,2014-2015
Jazz Richards,Wales,Swansea City,1,2014-2015
Kieran Richardson,England,Aston Villa,1,2014-2015
Liam Rosenior,England,Hull City,1,2014-2015
Matthew Taylor,England,Burnley FC,1,2014-2015
Ryan Taylor,England,Newcastle United,1,2014-2015
Ron Vlaar,Netherlands,Aston Villa,1,2014-2015
Ashley Westwood,England,Aston Villa,1,2014-2015
Andre Wisdom,England,West Bromwich Albion,1,2014-2015
