Player,Country,Team,Goals,Season
Sergio Agüero,Argentina,Manchester City,35,2014-2015
Harry Kane,England,Tottenham Hotspur,26,2014-2015
Charlie Austin,England,Queens Park Rangers,25,2014-2015
Alexis Sánchez,Chile,Arsenal FC,24,2014-2015
Eden Hazard,Belgium,Chelsea FC,24,2014-2015
Diego Costa,Brazil,Chelsea FC,23,2014-2015
Cesc Fàbregas,Spain,Chelsea FC,22,2014-2015
David Silva,Spain,Manchester City,21,2014-2015
Santi Cazorla,Spain,Arsenal FC,19,2014-2015
Saido Berahino,Burundi,West Bromwich Albion,17,2014-2015
Olivier Giroud,France,Arsenal FC,17,2014-2015
Wayne Rooney,England,Manchester United,17,2014-2015
Gylfi Sigurðsson,Iceland,Swansea City,17,2014-2015
Nacer Chadli,Belgium,Tottenham Hotspur,16,2014-2015
Christian Benteke,Belgium,Aston Villa,15,2014-2015
Mame Diouf,Senegal,Stoke City,15,2014-2015
Danny Ings,England,Burnley FC,15,2014-2015
Romelu Lukaku,Belgium,Everton FC,15,2014-2015
Raheem Sterling,England,Liverpool FC,15,2014-2015
Jordan Henderson,England,Liverpool FC,15,2014-2015
Jamie Vardy,England,Leicester City,15,2014-2015
Graziano Pellè,Italy,Southampton FC,14,2014-2015
Wilfried Bony,Ivory Coast,Swansea City,14,2014-2015
Leonardo Ulloa,Argentina,Leicester City,14,2014-2015
Sadio Mané,Senegal,Southampton FC,14,2014-2015
Stewart Downing,England,West Ham United,14,2014-2015
Oscar,Brazil,Chelsea FC,14,2014-2015
Ángel Di María,Argentina,Manchester United,14,2014-2015
Juan Mata,Spain,Manchester United,13,2014-2015
Jason Puncheon,England,Crystal Palace,13,2014-2015
Papiss Demba Cissé,Senegal,Newcastle United,12,2014-2015
Christian Eriksen,Denmark,Tottenham Hotspur,12,2014-2015
Diafra Sakho,Senegal,West Ham United,12,2014-2015
Robin van Persie,Netherlands,Manchester United,12,2014-2015
Jon Walters,Ireland,Stoke City,12,2014-2015
Aaron Ramsey,Wales,Arsenal FC,12,2014-2015
James Milner,England,Manchester City,12,2014-2015
Yannick Bolasie,Congo DR,Crystal Palace,12,2014-2015
