Player,Country,Team,Goals,Season
Thierry Henry,France,Arsenal FC,44,2002-2003
Ruud van Nistelrooy,Netherlands,Manchester United,29,2002-2003
James Beattie,England,Southampton FC,25,2002-2003
Michael Owen,England,Liverpool FC,24,2002-2003
Mark Viduka,Australia,Leeds United,23,2002-2003
Alan Shearer,England,Newcastle United,21,2002-2003
Harry Kewell,Australia,Leeds United,21,2002-2003
Gianfranco Zola,Italy,Chelsea FC,21,2002-2003
Nicolas Anelka,France,Manchester City,19,2002-2003
Jimmy Floyd Hasselbaink,Netherlands,Chelsea FC,18,2002-2003
Ryan Giggs,Wales,Manchester United,18,2002-2003
Robert Pirés,France,Arsenal FC,17,2002-2003
Paul Scholes,England,Manchester United,17,2002-2003
Teddy Sheringham,England,Tottenham Hotspur,16,2002-2003
Robbie Keane,Ireland,Tottenham Hotspur,15,2002-2003
Massimo Maccarone,Italy,Middlesbrough FC,15,2002-2003
Ole Gunnar Solskjær,Norway,Manchester United,15,2002-2003
Geremi Njitap,Cameroon,Middlesbrough FC,15,2002-2003
Tomasz Radzinski,Canada,Everton FC,14,2002-2003
Kevin Campbell,England,Everton FC,14,2002-2003
Sylvain Wiltord,France,Arsenal FC,14,2002-2003
Damien Duff,Ireland,Blackburn Rovers,14,2002-2003
Jermain Defoe,England,West Ham United,14,2002-2003
Danny Murphy,England,Liverpool FC,14,2002-2003
David Beckham,England,Manchester United,14,2002-2003
Dion Dublin,England,Aston Villa,13,2002-2003
Andy Cole,England,Blackburn Rovers,13,2002-2003
Nolberto Solano,Peru,Newcastle United,13,2002-2003
Claus Jensen,Denmark,Charlton Athletic,13,2002-2003
Dennis Bergkamp,Netherlands,Arsenal FC,13,2002-2003
Jason Euell,Jamaica,Charlton Athletic,12,2002-2003
Eiður Guðjohnsen,Iceland,Chelsea FC,12,2002-2003
Paolo Di Canio,Italy,West Ham United,12,2002-2003
David Dunn,England,Blackburn Rovers,12,2002-2003
Craig Bellamy,Wales,Newcastle United,12,2002-2003
Steven Gerrard,England,Liverpool FC,12,2002-2003
Laurent Robert,France,Newcastle United,12,2002-2003
Milan Baroš,Czech Republic,Liverpool FC,11,2002-2003
Darius Vassell,England,Aston Villa,11,2002-2003
Dwight Yorke,Trinidad & Tobago,Blackburn Rovers,11,2002-2003
Youri Djorkaeff,France,Bolton Wanderers,11,2002-2003
Steed Malbranque,France,Fulham FC,11,2002-2003
John Arne Riise,Norway,Liverpool FC,11,2002-2003
Jay Jay Okocha,Nigeria,Bolton Wanderers,10,2002-2003
Kevin Phillips,England,Sunderland AFC,10,2002-2003
Wayne Rooney,England,Everton FC,10,2002-2003
Stern John,St. Lucia,Birmingham City,10,2002-2003
Marc-Vivien Foé,Cameroon,Manchester City,9,2002-2003
Trevor Sinclair,England,West Ham United,9,2002-2003
Shaun Goater,Bermuda,Manchester City,9,2002-2003
Henrik Pedersen,Denmark,Bolton Wanderers,9,2002-2003
Emile Heskey,England,Liverpool FC,9,2002-2003
Frank Lampard,England,Chelsea FC,9,2002-2003
Nwankwo Kanu,Nigeria,Arsenal FC,9,2002-2003
Brett Ormerod,England,Southampton FC,9,2002-2003
