Player,Country,Team,Goals,Season
Jason Koumas,Wales,West Bromwich Albion,9,2002-2003
Robbie Savage,Wales,Birmingham City,9,2002-2003
Ali Benarbia,Algeria,Manchester City,9,2002-2003
Eyal Berkovic,Israel,Manchester City,9,2002-2003
Thomas Gravesen,Denmark,Everton FC,9,2002-2003
Szilárd Németh,Slovakia,Middlesbrough FC,8,2002-2003
Diego Forlán,Uruguay,Manchester United,8,2002-2003
Jermaine Jenas,England,Newcastle United,8,2002-2003
Simon Davies,Wales,Tottenham Hotspur,8,2002-2003
Gustavo Poyet,Uruguay,Tottenham Hotspur,8,2002-2003
Jesper Grønkjær,Denmark,Chelsea FC,8,2002-2003
Joseph-Désiré Job,Cameroon,Middlesbrough FC,8,2002-2003
Alan Smith,England,Leeds United,8,2002-2003
Stan Lazaridis,Australia,Birmingham City,8,2002-2003
Michael Ricketts,England,Bolton Wanderers,7,2002-2003
Freddie Ljungberg,Sweden,Arsenal FC,7,2002-2003
Clinton Morrison,Ireland,Birmingham City,7,2002-2003
Shola Ameobi,Nigeria,Newcastle United,7,2002-2003
Geoff Horsfield,England,Birmingham City,7,2002-2003
David Unsworth,England,Everton FC,7,2002-2003
Joe Cole,England,West Ham United,7,2002-2003
Kevin Lisbie,Jamaica,Charlton Athletic,7,2002-2003
Scott Parker,England,Charlton Athletic,7,2002-2003
David Thompson,England,Blackburn Rovers,7,2002-2003
Gareth Barry,England,Aston Villa,7,2002-2003
Hugo Viana,Portugal,Newcastle United,7,2002-2003
Mikaël Silvestre,France,Manchester United,7,2002-2003
Marcus Allbäck,Sweden,Aston Villa,6,2002-2003
Frédéric Kanouté,Mali,West Ham United,6,2002-2003
Louis Saha,France,Fulham FC,6,2002-2003
Facundo Sava,Argentina,Fulham FC,6,2002-2003
Steve Watson,England,Everton FC,6,2002-2003
Nick Barmby,England,Leeds United,6,2002-2003
Shaun Bartlett,South Africa,Charlton Athletic,6,2002-2003
Lee Hendrie,England,Aston Villa,6,2002-2003
Sylvain Legwinski,France,Fulham FC,6,2002-2003
Mario Stanić,Croatia,Chelsea FC,6,2002-2003
Fabrice Fernandes,France,Southampton FC,6,2002-2003
Ian Harte,Ireland,Leeds United,6,2002-2003
Juninho Paulista,Brazil,Middlesbrough FC,6,2002-2003
Patrick Vieira,France,Arsenal FC,6,2002-2003
Kieron Dyer,England,Newcastle United,6,2002-2003
Graeme Le Saux,England,Chelsea FC,6,2002-2003
Christian Ziege,Germany,Tottenham Hotspur,6,2002-2003
Emmanuel Petit,France,Chelsea FC,6,2002-2003
Boudewijn Zenden,Netherlands,Chelsea FC,6,2002-2003
Darren Anderton,England,Tottenham Hotspur,6,2002-2003
Danny Dichio,England,West Bromwich Albion,5,2002-2003
Scott Dobie,Scotland,West Bromwich Albion,5,2002-2003
Christophe Dugarry,France,Birmingham City,5,2002-2003
Les Ferdinand,England,West Ham United,5,2002-2003
Tore André Flo,Norway,Sunderland AFC,5,2002-2003
Robbie Fowler,England,Manchester City,5,2002-2003
William Gallas,France,Chelsea FC,5,2002-2003
Steve Marlet,France,Fulham FC,5,2002-2003
Brian McBride,USA,Everton FC,5,2002-2003
Lee Bowyer,England,West Ham United,5,2002-2003
Carlton Cole,England,Chelsea FC,5,2002-2003
El-Hadji Diouf,Senegal,Liverpool FC,5,2002-2003
Sami Hyypiä,Finland,Liverpool FC,5,2002-2003
Jonatan Johansson,Finland,Charlton Athletic,5,2002-2003
Øyvind Leonhardsen,Norway,Aston Villa,5,2002-2003
John Terry,England,Chelsea FC,5,2002-2003
Jonathan Greening,England,Middlesbrough FC,5,2002-2003
Thomas Hitzlsperger,Germany,Aston Villa,5,2002-2003
Derek McInnes,Scotland,West Bromwich Albion,5,2002-2003
Gary Speed,Wales,Newcastle United,5,2002-2003
Anders Svensson,Sweden,Southampton FC,5,2002-2003
Juan Sebastián Verón,Argentina,Manchester United,5,2002-2003
Ashley Cole,England,Arsenal FC,5,2002-2003
Franck Queudrue,France,Middlesbrough FC,5,2002-2003
Gary Kelly,Ireland,Leeds United,5,2002-2003
Malcolm Christie,England,Middlesbrough FC,4,2002-2003
Lee Carsley,Ireland,Everton FC,4,2002-2003
Neil Clement,England,West Bromwich Albion,4,2002-2003
Sean Davis,England,Fulham FC,4,2002-2003
Paul Devlin,Scotland,Birmingham City,4,2002-2003
Paul Konchesky,England,Charlton Athletic,4,2002-2003
Jermaine Pennant,England,Arsenal FC,4,2002-2003
Jamie Redknapp,England,Tottenham Hotspur,4,2002-2003
Jason Roberts,Grenada,West Bromwich Albion,4,2002-2003
Alen Bokšić,Croatia,Middlesbrough FC,4,2002-2003
Stephen Clemence,England,Birmingham City,4,2002-2003
Per Frandsen,Denmark,Bolton Wanderers,4,2002-2003
Jóhannes Guðjónsson,Iceland,Aston Villa,4,2002-2003
Dietmar Hamann,Germany,Liverpool FC,4,2002-2003
Junichi Inamoto,Japan,Fulham FC,4,2002-2003
Jihai Sun,China,Manchester City,4,2002-2003
Juan Pablo Ángel,Colombia,Aston Villa,4,2002-2003
Eirik Bakke,Norway,Leeds United,4,2002-2003
Matthew Etherington,England,Tottenham Hotspur,4,2002-2003
Steffen Iversen,Norway,Tottenham Hotspur,4,2002-2003
Chris Marsden,England,Southampton FC,4,2002-2003
Egil Østenstad,Norway,Blackburn Rovers,4,2002-2003
Shaun Wright-Phillips,England,Manchester City,4,2002-2003
Gary Neville,England,Manchester United,4,2002-2003
Vladimír Šmicer,Czech Republic,Liverpool FC,4,2002-2003
Ugo Ehiogu,England,Middlesbrough FC,3,2002-2003
Boa Morte,Portugal,Fulham FC,3,2002-2003
Lee Clark,England,Fulham FC,3,2002-2003
Ricardo Gardner,Jamaica,Bolton Wanderers,3,2002-2003
Bryan Hughes,England,Birmingham City,3,2002-2003
Iván Campo,Spain,Bolton Wanderers,3,2002-2003
Francis Jeffers,England,Arsenal FC,3,2002-2003
Darren Moore,Jamaica,West Bromwich Albion,3,2002-2003
Ian Pearce,England,West Ham United,3,2002-2003
Michael Proctor,England,Sunderland AFC,3,2002-2003
Hakan Şükür,Turkey,Blackburn Rovers,3,2002-2003
Michael Svensson,Sweden,Southampton FC,3,2002-2003
Kolo Touré,Ivory Coast,Arsenal FC,3,2002-2003
Wayne Bridge,England,Southampton FC,3,2002-2003
Michael Carrick,England,West Ham United,3,2002-2003
Ulises De la Cruz,Ecuador,Aston Villa,3,2002-2003
Michael Gray,England,Sunderland AFC,3,2002-2003
Barry Hayles,Jamaica,Fulham FC,3,2002-2003
Jeff Kenna,Ireland,Birmingham City,3,2002-2003
Kevin Kilbane,Ireland,Sunderland AFC,3,2002-2003
Gavin McCann,England,Sunderland AFC,3,2002-2003
Gary Naysmith,Scotland,Everton FC,3,2002-2003
Kevin Nolan,England,Bolton Wanderers,3,2002-2003
Giovanni van Bronckhorst,Netherlands,Arsenal FC,3,2002-2003
Jason Wilcox,England,Leeds United,3,2002-2003
Scott Gemmill,Scotland,Everton FC,3,2002-2003
Keith Gillespie,Northern Ireland,Blackburn Rovers,3,2002-2003
Kevin Horlock,Northern Ireland,Manchester City,3,2002-2003
Tie Li,China,Everton FC,3,2002-2003
Matt Oakley,England,Southampton FC,3,2002-2003
Igor Bališ,Slovakia,West Bromwich Albion,2,2002-2003
Olivier Bernard,France,Newcastle United,2,2002-2003
Sol Campbell,England,Arsenal FC,2,2002-2003
Marcel Desailly,France,Chelsea FC,2,2002-2003
Edu Gaspar,Brazil,Arsenal FC,2,2002-2003
Gary Flitcroft,England,Blackburn Rovers,2,2002-2003
Stephen Howey,England,Manchester City,2,2002-2003
Jovan Kirovski,USA,Birmingham City,2,2002-2003
Radostin Kishishev,Bulgaria,Charlton Athletic,2,2002-2003
Lomana LuaLua,Congo DR,Newcastle United,2,2002-2003
James Milner,England,Leeds United,2,2002-2003
Dean Richards,England,Tottenham Hotspur,2,2002-2003
Chris Riggott,England,Middlesbrough FC,2,2002-2003
Richard Rufus,England,Charlton Athletic,2,2002-2003
Gareth Southgate,England,Middlesbrough FC,2,2002-2003
Martin Taylor,England,Blackburn Rovers,2,2002-2003
Jo Tessem,Norway,Southampton FC,2,2002-2003
Salif Diao,Senegal,Liverpool FC,2,2002-2003
Martin Djetou,France,Fulham FC,2,2002-2003
Lauren Etame Mayer,Cameroon,Arsenal FC,2,2002-2003
Delroy Facey,Grenada,Bolton Wanderers,2,2002-2003
Andy Griffin,England,Newcastle United,2,2002-2003
Aaron Hughes,Northern Ireland,Newcastle United,2,2002-2003
Andy Johnson,England,West Bromwich Albion,2,2002-2003
Tugay Kerimoğlu,Turkey,Blackburn Rovers,2,2002-2003
Jason McAteer,Ireland,Sunderland AFC,2,2002-2003
Olof Mellberg,Sweden,Aston Villa,2,2002-2003
Danny Mills,England,Leeds United,2,2002-2003
Phil Neville,England,Manchester United,2,2002-2003
Mark Pembridge,Wales,Everton FC,2,2002-2003
Pierre Womé,Cameroon,Fulham FC,2,2002-2003
Milenko Ačimovič,Slovenia,Tottenham Hotspur,2,2002-2003
Djamel Belmadi,Algeria,Manchester City,2,2002-2003
Jamie Carragher,England,Liverpool FC,2,2002-2003
Steve Finnan,Ireland,Fulham FC,2,2002-2003
Gilberto Silva,Brazil,Arsenal FC,2,2002-2003
Glen Johnson,England,West Ham United,2,2002-2003
Steve Lomas,Northern Ireland,West Ham United,2,2002-2003
Dominic Matteo,Scotland,Leeds United,2,2002-2003
Mario Melchiot,Netherlands,Chelsea FC,2,2002-2003
Lucas Neill,Australia,Blackburn Rovers,2,2002-2003
Stuart Parnaby,England,Middlesbrough FC,2,2002-2003
Sebastien Schemmel,France,West Ham United,2,2002-2003
Ronnie Wallwork,England,West Bromwich Albion,2,2002-2003
Mike Whitlow,England,Bolton Wanderers,2,2002-2003
Jonathan Woodgate,England,Newcastle United,2,2002-2003
Jérémie Aliadiére,France,Arsenal FC,1,2002-2003
Celestine Babayaro,Nigeria,Chelsea FC,1,2002-2003
Chris Bart-Williams,England,Charlton Athletic,1,2002-2003
Joey Barton,England,Manchester City,1,2002-2003
David Bellion,France,Sunderland AFC,1,2002-2003
Henning Berg,Norway,Blackburn Rovers,1,2002-2003
Guðni Bergsson,Iceland,Bolton Wanderers,1,2002-2003
Steven Caldwell,Scotland,Newcastle United,1,2002-2003
Jody Craddock,England,Sunderland AFC,1,2002-2003
Pascal Cygan,France,Arsenal FC,1,2002-2003
Kevin Davies,England,Southampton FC,1,2002-2003
Gary Doherty,Ireland,Tottenham Hotspur,1,2002-2003
Gareth Farrelly,Ireland,Bolton Wanderers,1,2002-2003
Mark Fish,South Africa,Charlton Athletic,1,2002-2003
Jonathan Fortune,England,Charlton Athletic,1,2002-2003
Anthony Gardner,England,Tottenham Hotspur,1,2002-2003
Corrado Grabbi,Italy,Blackburn Rovers,1,2002-2003
Sean Gregan,England,West Bromwich Albion,1,2002-2003
Jon Harley,England,Fulham FC,1,2002-2003
Craig Hignett,England,Blackburn Rovers,1,2002-2003
Darren Huckerby,England,Manchester City,1,2002-2003
Niclas Jensen,Denmark,Manchester City,1,2002-2003
Damien Johnson,Northern Ireland,Birmingham City,1,2002-2003
Seth Johnson,England,Leeds United,1,2002-2003
Teddy Lučić,Sweden,Leeds United,1,2002-2003
Lee Marshall,England,West Bromwich Albion,1,2002-2003
Stefan Moore,England,Aston Villa,1,2002-2003
Bruno N'Gotty,France,Bolton Wanderers,1,2002-2003
Marians Pahars,Latvia,Southampton FC,1,2002-2003
Chris Perry,England,Tottenham Hotspur,1,2002-2003
Darren Purse,England,Birmingham City,1,2002-2003
Gary Rowett,England,Charlton Athletic,1,2002-2003
Craig Short,England,Blackburn Rovers,1,2002-2003
David Sommeil,Guadeloupe,Manchester City,1,2002-2003
Marcus Stewart,England,Sunderland AFC,1,2002-2003
Mauricio Taricco,Argentina,Tottenham Hotspur,1,2002-2003
Sean Thornton,Ireland,Sunderland AFC,1,2002-2003
Andy Todd,England,Blackburn Rovers,1,2002-2003
Noel Whelan,England,Middlesbrough FC,1,2002-2003
Abel Xavier,Portugal,Liverpool FC,1,2002-2003
Julio Arca,Argentina,Sunderland AFC,1,2002-2003
Wes Brown,England,Manchester United,1,2002-2003
Goran Bunjevčević,Serbia,Tottenham Hotspur,1,2002-2003
Nicky Butt,England,Manchester United,1,2002-2003
Stephen Carr,Ireland,Tottenham Hotspur,1,2002-2003
Simon Charlton,England,Bolton Wanderers,1,2002-2003
Christian Dailly,Scotland,West Ham United,1,2002-2003
Rory Delap,Ireland,Southampton FC,1,2002-2003
Sylvain Distin,France,Manchester City,1,2002-2003
Michael Duberry,England,Leeds United,1,2002-2003
Richard Dunne,Ireland,Manchester City,1,2002-2003
Rio Ferdinand,England,Manchester United,1,2002-2003
Quinton Fortune,South Africa,Manchester United,1,2002-2003
Martin Grainger,England,Birmingham City,1,2002-2003
Tony Hibbert,England,Everton FC,1,2002-2003
Dean Holdsworth,England,Bolton Wanderers,1,2002-2003
Roy Keane,Ireland,Manchester United,1,2002-2003
Kasey Keller,USA,Tottenham Hotspur,1,2002-2003
Martin Keown,England,Arsenal FC,1,2002-2003
Ledley King,England,Tottenham Hotspur,1,2002-2003
Mark Kinsella,Ireland,Aston Villa,1,2002-2003
Oleg Luzhniy,Ukraine,Arsenal FC,1,2002-2003
Stephen McPhail,Ireland,Leeds United,1,2002-2003
Jody Morris,England,Chelsea FC,1,2002-2003
John Robinson,Wales,Charlton Athletic,1,2002-2003
Paul Robinson,England,Leeds United,1,2002-2003
Jlloyd Samuel,Trinidad & Tobago,Aston Villa,1,2002-2003
Lárus Sigurðsson,Iceland,West Bromwich Albion,1,2002-2003
Steve Staunton,Ireland,Aston Villa,1,2002-2003
Andrejs Štolcers,Latvia,Fulham FC,1,2002-2003
Graham Stuart,England,Charlton Athletic,1,2002-2003
Mathias Svensson,Sweden,Charlton Athletic,1,2002-2003
Ian Taylor,England,Aston Villa,1,2002-2003
Stig Tøfting,Denmark,Bolton Wanderers,1,2002-2003
David Weir,Scotland,Everton FC,1,2002-2003
Alan Wright,England,Aston Villa,1,2002-2003
Richard Wright,England,Everton FC,1,2002-2003
