Player,Country,Team,Goals,Season
Erling Haaland,Norway,Manchester City,27,2023-2024
Cole Palmer,England,Manchester City,22,2023-2024
Alexander Isak,Sweden,Newcastle United,21,2023-2024
Phil Foden,England,Manchester City,19,2023-2024
Dominic Solanke,England,AFC Bournemouth,19,2023-2024
Ollie Watkins,England,Aston Villa,19,2023-2024
Mo Salah,Egypt,Liverpool FC,18,2023-2024
Heung-min Son,South Korea,Tottenham Hotspur,17,2023-2024
Jarrod Bowen,England,West Ham United,16,2023-2024
Jean-Philippe Mateta,France,Crystal Palace,16,2023-2024
Bukayo Saka,England,Arsenal FC,16,2023-2024
Nicolas Jackson,Senegal,Chelsea FC,14,2023-2024
Chris Wood,New Zealand,Nottingham Forest,14,2023-2024
Kai Havertz,Germany,Arsenal FC,13,2023-2024
Hee-chan Hwang,South Korea,Wolverhampton Wanderers,12,2023-2024
Matheus Cunha,Brazil,Wolverhampton Wanderers,12,2023-2024
Leandro Trossard,Belgium,Arsenal FC,12,2023-2024
Yoane Wissa,Congo DR,Brentford FC,12,2023-2024
Julián Alvarez,Argentina,Manchester City,11,2023-2024
Eberechi Eze,England,Crystal Palace,11,2023-2024
Anthony Gordon,England,Newcastle United,11,2023-2024
Carlton Morris,England,Luton Town,11,2023-2024
Darwin Núñez,Uruguay,Liverpool FC,11,2023-2024
Richarlison,Brazil,Tottenham Hotspur,11,2023-2024
Elijah Adebayo,England,Luton Town,10,2023-2024
Leon Bailey,Jamaica,Aston Villa,10,2023-2024
Bruno Fernandes,Portugal,Manchester United,10,2023-2024
Diogo Jota,Portugal,Liverpool FC,10,2023-2024
Rasmus Højlund,Denmark,Manchester United,10,2023-2024
Michael Olise,France,Crystal Palace,10,2023-2024
Douglas Luiz,Brazil,Aston Villa,9,2023-2024
João Pedro,Brazil,Brighton & Hove Albion,9,2023-2024
Bryan Mbeumo,Cameroon,Brentford FC,9,2023-2024
Rodrigo Muniz,Brazil,Fulham FC,9,2023-2024
Callum Wilson,England,Newcastle United,9,2023-2024
Luis Díaz,Colombia,Liverpool FC,8,2023-2024
Cody Gakpo,Netherlands,Liverpool FC,8,2023-2024
Callum Hudson-Odoi,England,Nottingham Forest,8,2023-2024
Mohammed Kudus,Ghana,West Ham United,8,2023-2024
Dejan Kulusevski,Sweden,Tottenham Hotspur,8,2023-2024
Martin Ødegaard,Norway,Arsenal FC,8,2023-2024
Rodri,Spain,Manchester City,8,2023-2024
Antoine Semenyo,Ghana,AFC Bournemouth,8,2023-2024
Raheem Sterling,England,Chelsea FC,8,2023-2024
Bruno Guimarães,Brazil,Newcastle United,7,2023-2024
Dominic Calvert-Lewin,England,Everton FC,7,2023-2024
Abdoulaye Doucouré,Mali,Everton FC,7,2023-2024
Odsonne Édouard,France,Crystal Palace,7,2023-2024
Alejandro Garnacho,Argentina,Manchester United,7,2023-2024
Raúl Jiménez,Mexico,Fulham FC,7,2023-2024
Justin Kluivert,Netherlands,AFC Bournemouth,7,2023-2024
Scott McTominay,Scotland,Manchester United,7,2023-2024
Marcus Rashford,England,Manchester United,7,2023-2024
Declan Rice,England,Arsenal FC,7,2023-2024
Tomáš Souček,Czech Republic,West Ham United,7,2023-2024
James Ward-Prowse,England,West Ham United,7,2023-2024
Simon Adingra,Ivory Coast,Brighton & Hove Albion,6,2023-2024
Michail Antonio,Jamaica,West Ham United,6,2023-2024
Taiwo Awoniyi,Nigeria,Nottingham Forest,6,2023-2024
Bernardo Silva,Portugal,Manchester City,6,2023-2024
Ben Brereton,Chile,Sheffield United,6,2023-2024
Jacob Bruun Larsen,Denmark,Burnley FC,6,2023-2024
Bobby De Cordova-Reid,Jamaica,Fulham FC,6,2023-2024
Moussa Diaby,France,Aston Villa,6,2023-2024
Evan Ferguson,Ireland,Brighton & Hove Albion,6,2023-2024
Gabriel Martinelli,Brazil,Arsenal FC,6,2023-2024
