Player,Country,Team,Goals,Season
Didier Drogba,Ivory Coast,Chelsea FC,39,2009-2010
Frank Lampard,England,Chelsea FC,38,2009-2010
Carlos Tévez,Argentina,Manchester City,30,2009-2010
Wayne Rooney,England,Manchester United,29,2009-2010
Cesc Fàbregas,Spain,Arsenal FC,29,2009-2010
Darren Bent,England,Sunderland AFC,26,2009-2010
Jermain Defoe,England,Tottenham Hotspur,23,2009-2010
Florent Malouda,French Guyana,Chelsea FC,22,2009-2010
Fernando Torres,Spain,Liverpool FC,21,2009-2010
Craig Bellamy,Wales,Manchester City,19,2009-2010
James Milner,England,Aston Villa,19,2009-2010
Gabriel Agbonlahor,England,Aston Villa,18,2009-2010
Dimitar Berbatov,Bulgaria,Manchester United,18,2009-2010
Nicolas Anelka,France,Chelsea FC,18,2009-2010
Emmanuel Adebayor,Togo,Manchester City,17,2009-2010
Hugo Rodallega,Colombia,Wigan Athletic,16,2009-2010
Steven Gerrard,England,Liverpool FC,16,2009-2010
Robin van Persie,Netherlands,Arsenal FC,16,2009-2010
Peter Crouch,England,Tottenham Hotspur,16,2009-2010
Louis Saha,France,Everton FC,14,2009-2010
John Carew,Norway,Aston Villa,14,2009-2010
Kevin Davies,England,Bolton Wanderers,14,2009-2010
Ryan Giggs,Wales,Manchester United,14,2009-2010
Antonio Valencia,Ecuador,Manchester United,14,2009-2010
Andrey Arshavin,Russia,Arsenal FC,13,2009-2010
Carlton Cole,England,West Ham United,13,2009-2010
Cameron Jerome,Grenada,Birmingham City,13,2009-2010
Kenwyne Jones,Trinidad & Tobago,Sunderland AFC,13,2009-2010
Dirk Kuyt,Netherlands,Liverpool FC,13,2009-2010
Bobby Zamora,England,Fulham FC,13,2009-2010
Aaron Lennon,England,Tottenham Hotspur,13,2009-2010
Tim Cahill,Australia,Everton FC,12,2009-2010
Steven Fletcher,Scotland,Burnley FC,12,2009-2010
Alessandro Diamanti,Italy,West Ham United,12,2009-2010
Damien Duff,Ireland,Fulham FC,12,2009-2010
Matthew Etherington,England,Stoke City,12,2009-2010
Ashley Young,England,Aston Villa,12,2009-2010
Shaun Wright-Phillips,England,Manchester City,12,2009-2010
Matthew Taylor,England,Bolton Wanderers,11,2009-2010
Yossi Benayoun,Israel,Liverpool FC,11,2009-2010
Stephen Hunt,Ireland,Hull City,11,2009-2010
Niko Kranjčar,Croatia,Portsmouth FC,11,2009-2010
Charles N'Zogbia,France,Wigan Athletic,11,2009-2010
Darren Fletcher,Scotland,Manchester United,11,2009-2010
Kevin Doyle,Ireland,Wolverhampton Wanderers,10,2009-2010
David Dunn,England,Blackburn Rovers,10,2009-2010
Aruna Dindane,Ivory Coast,Portsmouth FC,10,2009-2010
Clint Dempsey,USA,Fulham FC,10,2009-2010
Nicklas Bendtner,Denmark,Arsenal FC,10,2009-2010
Nani,Portugal,Manchester United,10,2009-2010
Ivan Klasnić,Croatia,Bolton Wanderers,9,2009-2010
Abou Diaby,France,Arsenal FC,9,2009-2010
Yakubu Ayegbeni,Nigeria,Everton FC,9,2009-2010
Michael Ballack,Germany,Chelsea FC,9,2009-2010
Fraizer Campbell,England,Sunderland AFC,9,2009-2010
Wade Elliott,England,Burnley FC,9,2009-2010
Chung-yong Lee,South Korea,Bolton Wanderers,9,2009-2010
Morten Pedersen,Norway,Blackburn Rovers,9,2009-2010
Leighton Baines,England,Everton FC,9,2009-2010
Graham Alexander,Scotland,Burnley FC,8,2009-2010
Thomas Vermaelen,Belgium,Arsenal FC,8,2009-2010
Diniyar Bilyaletdinov,Russia,Everton FC,8,2009-2010
David Nugent,England,Burnley FC,8,2009-2010
Guillermo Franco,Mexico,West Ham United,8,2009-2010
James McFadden,Scotland,Birmingham City,8,2009-2010
Frédéric Piquionne,Martinique,Portsmouth FC,8,2009-2010
Eduardo,Croatia,Arsenal FC,8,2009-2010
Steven Pienaar,South Africa,Everton FC,8,2009-2010
Paul Scharner,Austria,Wigan Athletic,8,2009-2010
Gareth Bale,Wales,Tottenham Hotspur,8,2009-2010
Gareth Barry,England,Manchester City,8,2009-2010
Joe Cole,England,Chelsea FC,8,2009-2010
Robbie Keane,Ireland,Tottenham Hotspur,7,2009-2010
Mikel Arteta,Spain,Everton FC,7,2009-2010
Lee Bowyer,England,Birmingham City,7,2009-2010
Gary Cahill,England,Bolton Wanderers,7,2009-2010
Jody Craddock,England,Wolverhampton Wanderers,7,2009-2010
Salomon Kalou,Ivory Coast,Chelsea FC,7,2009-2010
Roman Pavlyuchenko,Russia,Tottenham Hotspur,7,2009-2010
Jason Roberts,Grenada,Blackburn Rovers,7,2009-2010
Ashley Cole,England,Chelsea FC,7,2009-2010
Martin Petrov,Bulgaria,Manchester City,7,2009-2010
Christian Benítez,Ecuador,Birmingham City,7,2009-2010
Ricardo Fuller,Jamaica,Stoke City,7,2009-2010
Matthew Jarvis,England,Wolverhampton Wanderers,7,2009-2010
Glen Johnson,England,Liverpool FC,7,2009-2010
Luka Modrić,Croatia,Tottenham Hotspur,7,2009-2010
Erik Nevland,Norway,Fulham FC,7,2009-2010
