Player,Country,Team,Goals,Season
Kevin Phillips,England,Sunderland AFC,30,1999-2000
Alan Shearer,England,Newcastle United,23,1999-2000
Dwight Yorke,Trinidad & Tobago,Manchester United,20,1999-2000
Michael Bridges,England,Leeds United,19,1999-2000
Andy Cole,England,Manchester United,19,1999-2000
Thierry Henry,France,Arsenal FC,17,1999-2000
Paolo Di Canio,Italy,West Ham United,16,1999-2000
Chris Armstrong,England,Tottenham Hotspur,14,1999-2000
Steffen Iversen,Norway,Tottenham Hotspur,14,1999-2000
Niall Quinn,Ireland,Sunderland AFC,14,1999-2000
Tony Cottee,England,Leicester City,13,1999-2000
Marians Pahars,Latvia,Southampton FC,13,1999-2000
Kevin Campbell,England,Everton FC,12,1999-2000
Dion Dublin,England,Aston Villa,12,1999-2000
Nwankwo Kanu,Nigeria,Arsenal FC,12,1999-2000
Robbie Keane,Ireland,Coventry City,12,1999-2000
Hámilton Ricard,Colombia,Middlesbrough FC,12,1999-2000
Ole Gunnar Solskjær,Norway,Manchester United,12,1999-2000
Paulo Wanchope,Costa Rica,West Ham United,12,1999-2000
Gary McAllister,Scotland,Coventry City,11,1999-2000
Michael Owen,England,Liverpool FC,11,1999-2000
Gilles De Bilde,Belgium,Sheffield Wednesday,10,1999-2000
Tore André Flo,Norway,Chelsea FC,10,1999-2000
Emile Heskey,England,Liverpool FC,10,1999-2000
Harry Kewell,Australia,Leeds United,10,1999-2000
Gustavo Poyet,Uruguay,Chelsea FC,10,1999-2000
Dean Windass,England,Bradford City,10,1999-2000
Nick Barmby,England,Everton FC,9,1999-2000
Patrik Berger,Czech Republic,Liverpool FC,9,1999-2000
Titi Camara,Guinea,Liverpool FC,9,1999-2000
Carl Cort,Guyana,Wimbledon FC,9,1999-2000
Brian Deane,England,Middlesbrough FC,9,1999-2000
John Hartson,Wales,Wimbledon FC,9,1999-2000
Paul Scholes,England,Manchester United,9,1999-2000
Gary Speed,Wales,Newcastle United,9,1999-2000
Rory Delap,Ireland,Derby County,8,1999-2000
Muzzy Izzet,Turkey,Leicester City,8,1999-2000
Tim Sherwood,England,Tottenham Hotspur,8,1999-2000
Davor Šuker,Croatia,Arsenal FC,8,1999-2000
Peter Beagrie,England,Bradford City,7,1999-2000
Marcus Gayle,Jamaica,Wimbledon FC,7,1999-2000
Frank Lampard,England,West Ham United,7,1999-2000
Marc Overmars,Netherlands,Arsenal FC,7,1999-2000
Trevor Sinclair,England,West Ham United,7,1999-2000
David Beckham,England,Manchester United,6,1999-2000
Dennis Bergkamp,Netherlands,Arsenal FC,6,1999-2000
Kevin Davies,England,Southampton FC,6,1999-2000
Matt Elliott,Scotland,Leicester City,6,1999-2000
Duncan Ferguson,Scotland,Newcastle United,6,1999-2000
Ryan Giggs,Wales,Manchester United,6,1999-2000
Mustapha Hadji,Morocco,Coventry City,6,1999-2000
Ian Harte,Ireland,Leeds United,6,1999-2000
Heiðar Helguson,Iceland,Watford FC,6,1999-2000
Don Hutchison,Scotland,Everton FC,6,1999-2000
Francis Jeffers,England,Everton FC,6,1999-2000
Julian Joachim,England,Aston Villa,6,1999-2000
Freddie Ljungberg,Sweden,Arsenal FC,6,1999-2000
Joe-Max Moore,USA,Everton FC,6,1999-2000
Cédric Roussel,Belgium,Coventry City,6,1999-2000
Dean Sturridge,England,Derby County,6,1999-2000
Gerry Taggart,Northern Ireland,Leicester City,6,1999-2000
David Unsworth,England,Everton FC,6,1999-2000
Christian Ziege,Germany,Middlesbrough FC,6,1999-2000
Niclas Alexandersson,Sweden,Sheffield Wednesday,5,1999-2000
Lee Bowyer,England,Leeds United,5,1999-2000
Craig Burley,Scotland,Derby County,5,1999-2000
Benito Carbone,Italy,Sheffield Wednesday,5,1999-2000
Malcolm Christie,England,Derby County,5,1999-2000
Hassan Kachloul,Morocco,Southampton FC,5,1999-2000
Roy Keane,Ireland,Manchester United,5,1999-2000
Paul Merson,England,Aston Villa,5,1999-2000
Lee Mills,England,Bradford City,5,1999-2000
Michel Ngonge,Congo DR,Watford FC,5,1999-2000
Teddy Sheringham,England,Manchester United,5,1999-2000
Gerald Sibon,Netherlands,Sheffield Wednesday,5,1999-2000
Allan Smart,Scotland,Watford FC,5,1999-2000
Branko Strupar,Belgium,Derby County,5,1999-2000
Ian Taylor,England,Aston Villa,5,1999-2000
Deon Burton,Jamaica,Derby County,4,1999-2000
Andy Campbell,England,Middlesbrough FC,4,1999-2000
Stan Collymore,England,Leicester City,4,1999-2000
Nikolaos Dabizas,Greece,Newcastle United,4,1999-2000
