Player,Country,Team,Goals,Season
Didier Drogba,Ivory Coast,Chelsea FC,20,2006-2007
Benni McCarthy,South Africa,Blackburn Rovers,18,2006-2007
Cristiano Ronaldo,Portugal,Manchester United,17,2006-2007
Wayne Rooney,England,Manchester United,14,2006-2007
Mark Viduka,Australia,Middlesbrough FC,14,2006-2007
Darren Bent,England,Charlton Athletic,13,2006-2007
Kevin Doyle,Ireland,Reading FC,13,2006-2007
Yakubu Ayegbeni,Nigeria,Middlesbrough FC,12,2006-2007
Dimitar Berbatov,Bulgaria,Tottenham Hotspur,12,2006-2007
Dirk Kuyt,Netherlands,Liverpool FC,12,2006-2007
Nicolas Anelka,France,Bolton Wanderers,11,2006-2007
Andy Johnson,England,Everton FC,11,2006-2007
Robbie Keane,Ireland,Tottenham Hotspur,11,2006-2007
Frank Lampard,England,Chelsea FC,11,2006-2007
Obafemi Martins,Nigeria,Newcastle United,11,2006-2007
Robin van Persie,Netherlands,Arsenal FC,11,2006-2007
Bobby Zamora,England,West Ham United,11,2006-2007
Jermain Defoe,England,Tottenham Hotspur,10,2006-2007
Gilberto Silva,Brazil,Arsenal FC,10,2006-2007
Thierry Henry,France,Arsenal FC,10,2006-2007
Nwankwo Kanu,Nigeria,Portsmouth FC,10,2006-2007
Gabriel Agbonlahor,England,Aston Villa,9,2006-2007
Peter Crouch,England,Liverpool FC,9,2006-2007
Emile Heskey,England,Wigan Athletic,9,2006-2007
Brian McBride,USA,Fulham FC,9,2006-2007
Mikel Arteta,Spain,Everton FC,9,2006-2007
Emmanuel Adebayor,Togo,Arsenal FC,8,2006-2007
Gareth Barry,England,Aston Villa,8,2006-2007
Kevin Davies,England,Bolton Wanderers,8,2006-2007
Rob Hulse,England,Sheffield United,8,2006-2007
Louis Saha,France,Manchester United,8,2006-2007
Gary Speed,Wales,Bolton Wanderers,8,2006-2007
Matthew Taylor,England,Portsmouth FC,8,2006-2007
Craig Bellamy,Wales,Liverpool FC,7,2006-2007
Steven Gerrard,England,Liverpool FC,7,2006-2007
Salomon Kalou,Ivory Coast,Chelsea FC,7,2006-2007
Leroy Lita,England,Reading FC,7,2006-2007
Shabani Nonda,Congo DR,Blackburn Rovers,7,2006-2007
Ole Gunnar Solskjær,Norway,Manchester United,7,2006-2007
Carlos Tévez,Argentina,West Ham United,7,2006-2007
Joey Barton,England,Manchester City,6,2006-2007
Benjani,Zimbabwe,Portsmouth FC,6,2006-2007
Henri Camara,Senegal,Wigan Athletic,6,2006-2007
Jermaine Jenas,England,Tottenham Hotspur,6,2006-2007
Morten Pedersen,Norway,Blackburn Rovers,6,2006-2007
Paul Scholes,England,Manchester United,6,2006-2007
Michael Ballack,Germany,Chelsea FC,5,2006-2007
Carlos Bocanegra,USA,Fulham FC,5,2006-2007
Hameur Bouazza,Algeria,Watford FC,5,2006-2007
Tim Cahill,Australia,Everton FC,5,2006-2007
Matt Derbyshire,England,Blackburn Rovers,5,2006-2007
El-Hadji Diouf,Senegal,Bolton Wanderers,5,2006-2007
Kieron Dyer,England,Newcastle United,5,2006-2007
Ji-Sung Park,South Korea,Manchester United,5,2006-2007
Jon Stead,England,Sheffield United,5,2006-2007
Ashley Young,England,Watford FC,5,2006-2007
Juan Pablo Ángel,Colombia,Aston Villa,4,2006-2007
David Bentley,England,Blackburn Rovers,4,2006-2007
Damien Francis,Jamaica,Watford FC,4,2006-2007
Ryan Giggs,Wales,Manchester United,4,2006-2007
Heiðar Helguson,Iceland,Fulham FC,4,2006-2007
Stephen Hunt,Ireland,Reading FC,4,2006-2007
Iván Campo,Spain,Bolton Wanderers,4,2006-2007
Phil Jagielka,England,Sheffield United,4,2006-2007
Marlon King,Jamaica,Watford FC,4,2006-2007
Lee McCulloch,Scotland,Wigan Athletic,4,2006-2007
Luke Moore,England,Aston Villa,4,2006-2007
John O'Shea,Ireland,Manchester United,4,2006-2007
Jason Roberts,Grenada,Blackburn Rovers,4,2006-2007
Georgios Samaras,Greece,Manchester City,4,2006-2007
Ki-hyeon Seol,South Korea,Reading FC,4,2006-2007
Andriy Shevchenko,Ukraine,Chelsea FC,4,2006-2007
Steven Sidwell,England,Reading FC,4,2006-2007
James Vaughan,England,Everton FC,4,2006-2007
Xabi Alonso,Spain,Liverpool FC,4,2006-2007
Darren Ambrose,England,Charlton Athletic,3,2006-2007
Shola Ameobi,Nigeria,Newcastle United,3,2006-2007
Victor Anichebe,Nigeria,Everton FC,3,2006-2007
Leighton Baines,England,Wigan Athletic,3,2006-2007
DaMarcus Beasley,USA,Manchester City,3,2006-2007
Yossi Benayoun,Israel,West Ham United,3,2006-2007
John Carew,Norway,Aston Villa,3,2006-2007
Michael Carrick,England,Manchester United,3,2006-2007
Andy Cole,England,Portsmouth FC,3,2006-2007
Bernardo Corradi,Italy,Manchester City,3,2006-2007
Talal El-Karkouri,Morocco,Charlton Athletic,3,2006-2007
Mathieu Flamini,France,Arsenal FC,3,2006-2007
Darren Fletcher,Scotland,Manchester United,3,2006-2007
Robbie Fowler,England,Liverpool FC,3,2006-2007
William Gallas,France,Arsenal FC,3,2006-2007
Brynjar Gunnarsson,Iceland,Reading FC,3,2006-2007
Marlon Harewood,England,West Ham United,3,2006-2007
James Harper,England,Reading FC,3,2006-2007
Darius Henderson,England,Watford FC,3,2006-2007
Júlio Baptista,Brazil,Arsenal FC,3,2006-2007
Aaron Lennon,England,Tottenham Hotspur,3,2006-2007
Luis García,Spain,Liverpool FC,3,2006-2007
James Milner,England,Newcastle United,3,2006-2007
Émile Mpenza,Belgium,Manchester City,3,2006-2007
Christian Nadé,France,Sheffield United,3,2006-2007
Kevin Nolan,England,Bolton Wanderers,3,2006-2007
Leon Osman,England,Everton FC,3,2006-2007
Scott Parker,England,Newcastle United,3,2006-2007
Ricardo Carvalho,Portugal,Chelsea FC,3,2006-2007
Tomáš Rosický,Czech Republic,Arsenal FC,3,2006-2007
Paul Scharner,Austria,Wigan Athletic,3,2006-2007
