Player,Country,Team,Goals,Season
Mo Salah,Egypt,Liverpool FC,32,2017-2018
Harry Kane,England,Tottenham Hotspur,30,2017-2018
Sergio Agüero,Argentina,Manchester City,21,2017-2018
Jamie Vardy,England,Leicester City,20,2017-2018
Raheem Sterling,England,Manchester City,18,2017-2018
Romelu Lukaku,Belgium,Manchester United,16,2017-2018
Roberto Firmino,Brazil,Liverpool FC,15,2017-2018
Alexandre Lacazette,France,Arsenal FC,14,2017-2018
Gabriel Jesus,Brazil,Manchester City,13,2017-2018
Eden Hazard,Belgium,Chelsea FC,12,2017-2018
Riyad Mahrez,Algeria,Leicester City,12,2017-2018
Glenn Murray,England,Brighton & Hove Albion,12,2017-2018
Heung-min Son,South Korea,Tottenham Hotspur,12,2017-2018
Álvaro Morata,Spain,Chelsea FC,11,2017-2018
Marko Arnautović,Austria,West Ham United,11,2017-2018
Pierre-Emerick Aubameyang,Gabon,Arsenal FC,10,2017-2018
Christian Eriksen,Denmark,Tottenham Hotspur,10,2017-2018
Sadio Mané,Senegal,Liverpool FC,10,2017-2018
Luka Milivojević,Serbia,Crystal Palace,10,2017-2018
Wayne Rooney,England,Everton FC,10,2017-2018
Leroy Sané,Germany,Manchester City,10,2017-2018
Chris Wood,New Zealand,Burnley FC,10,2017-2018
Dele Alli,England,Tottenham Hotspur,9,2017-2018
Ashley Barnes,England,Burnley FC,9,2017-2018
David Silva,Spain,Manchester City,9,2017-2018
Anthony Martial,France,Manchester United,9,2017-2018
Alexis Sánchez,Chile,Manchester United,9,2017-2018
Wilfried Zaha,Ivory Coast,Crystal Palace,9,2017-2018
Ayoze Pérez,Spain,Newcastle United,8,2017-2018
Kevin De Bruyne,Belgium,Manchester City,8,2017-2018
Javier Hernández,Mexico,West Ham United,8,2017-2018
Joshua King,Norway,AFC Bournemouth,8,2017-2018
Jesse Lingard,England,Manchester United,8,2017-2018
Oumar Niasse,Senegal,Everton FC,8,2017-2018
Xherdan Shaqiri,Switzerland,Stoke City,8,2017-2018
Callum Wilson,England,AFC Bournemouth,8,2017-2018
Charlie Austin,England,Southampton FC,7,2017-2018
Jordan Ayew,Ghana,Swansea City,7,2017-2018
Abdoulaye Doucouré,Mali,Watford FC,7,2017-2018
Olivier Giroud,France,Chelsea FC,7,2017-2018
Pascal Groß,Germany,Brighton & Hove Albion,7,2017-2018
Marcos Alonso,Spain,Chelsea FC,7,2017-2018
Steve Mounié,Benin,Huddersfield Town,7,2017-2018
Philippe Coutinho,Brazil,Liverpool FC,7,2017-2018
Aaron Ramsey,Wales,Arsenal FC,7,2017-2018
Marcus Rashford,England,Manchester United,7,2017-2018
Jay Rodriguez,England,West Bromwich Albion,7,2017-2018
Salomón Rondón,Venezuela,West Bromwich Albion,7,2017-2018
Bernardo Silva,Portugal,Manchester City,6,2017-2018
Laurent Depoitre,Belgium,Huddersfield Town,6,2017-2018
Mame Diouf,Senegal,Stoke City,6,2017-2018
Dwight Gayle,England,Newcastle United,6,2017-2018
Shinji Okazaki,Japan,Leicester City,6,2017-2018
Paul Pogba,France,Manchester United,6,2017-2018
Dušan Tadić,Serbia,Southampton FC,6,2017-2018
Willian,Brazil,Chelsea FC,6,2017-2018
Tammy Abraham,England,Swansea City,5,2017-2018
Eric Maxim Choupo-Moting,Cameroon,Stoke City,5,2017-2018
Peter Crouch,England,Stoke City,5,2017-2018
Troy Deeney,England,Watford FC,5,2017-2018
Fernandinho,Brazil,Manchester City,5,2017-2018
Ryan Fraser,Scotland,AFC Bournemouth,5,2017-2018
Manolo Gabbiadini,Italy,Southampton FC,5,2017-2018
Andre Gray,Jamaica,Watford FC,5,2017-2018
José Izquierdo,Colombia,Brighton & Hove Albion,5,2017-2018
Manuel Lanzini,Argentina,West Ham United,5,2017-2018
James McArthur,Scotland,Crystal Palace,5,2017-2018
Nacho Monreal,Spain,Arsenal FC,5,2017-2018
Roberto Pereyra,Argentina,Watford FC,5,2017-2018
Richarlison,Brazil,Watford FC,5,2017-2018
Junior Stanislas,England,AFC Bournemouth,5,2017-2018
Cenk Tosun,Turkey,Everton FC,5,2017-2018
Patrick van Aanholt,Netherlands,Crystal Palace,5,2017-2018
Danny Welbeck,England,Arsenal FC,5,2017-2018
Dominic Calvert-Lewin,England,Everton FC,4,2017-2018
Jermain Defoe,England,AFC Bournemouth,4,2017-2018
Marouane Fellaini,Belgium,Manchester United,4,2017-2018
İlkay Gündoğan,Germany,Manchester City,4,2017-2018
Joselu,Spain,Newcastle United,4,2017-2018
Aaron Mooy,Australia,Huddersfield Town,4,2017-2018
Mark Noble,England,West Ham United,4,2017-2018
Nicolás Otamendi,Argentina,Manchester City,4,2017-2018
Mesut Özil,Germany,Arsenal FC,4,2017-2018
Pedro,Spain,Chelsea FC,4,2017-2018
Gylfi Sigurðsson,Iceland,Everton FC,4,2017-2018
Chris Smalling,England,Manchester United,4,2017-2018
Sam Vokes,Wales,Burnley FC,4,2017-2018
Michail Antonio,Jamaica,West Ham United,3,2017-2018
