Player,Country,Team,Goals,Season
Luis Suárez,Uruguay,Liverpool FC,44,2013-2014
Daniel Sturridge,England,Liverpool FC,29,2013-2014
Yaya Touré,Ivory Coast,Manchester City,29,2013-2014
Wayne Rooney,England,Manchester United,27,2013-2014
Steven Gerrard,England,Liverpool FC,27,2013-2014
Olivier Giroud,France,Arsenal FC,24,2013-2014
Sergio Agüero,Argentina,Manchester City,23,2013-2014
Rickie Lambert,England,Southampton FC,23,2013-2014
Wilfried Bony,Ivory Coast,Swansea City,21,2013-2014
Romelu Lukaku,Belgium,Everton FC,21,2013-2014
Eden Hazard,Belgium,Chelsea FC,21,2013-2014
Edin Džeko,Bosnia-Herzegovina,Manchester City,20,2013-2014
Jay Rodriguez,England,Southampton FC,18,2013-2014
Loïc Rémy,France,Newcastle United,17,2013-2014
Aaron Ramsey,Wales,Arsenal FC,17,2013-2014
David Silva,Spain,Manchester City,17,2013-2014
Adam Lallana,England,Southampton FC,16,2013-2014
Kevin Mirallas,Belgium,Everton FC,16,2013-2014
Christian Eriksen,Denmark,Tottenham Hotspur,16,2013-2014
Robin van Persie,Netherlands,Manchester United,15,2013-2014
Emmanuel Adebayor,Togo,Tottenham Hotspur,15,2013-2014
Raheem Sterling,England,Liverpool FC,15,2013-2014
Samir Nasri,France,Manchester City,15,2013-2014
Adam Johnson,England,Sunderland AFC,14,2013-2014
Mesut Özil,Germany,Arsenal FC,14,2013-2014
Samuel Eto'o,Cameroon,Chelsea FC,13,2013-2014
Christian Benteke,Belgium,Aston Villa,12,2013-2014
Álvaro Negredo,Spain,Manchester City,12,2013-2014
Charlie Adam,Scotland,Stoke City,12,2013-2014
Oscar,Brazil,Chelsea FC,12,2013-2014
Peter Crouch,England,Stoke City,12,2013-2014
Jordon Mutch,England,Cardiff City,12,2013-2014
Kevin Nolan,England,West Ham United,12,2013-2014
Jonjo Shelvey,England,Swansea City,12,2013-2014
Philippe Coutinho,Brazil,Liverpool FC,12,2013-2014
Danny Welbeck,England,Manchester United,11,2013-2014
Lukas Podolski,Germany,Arsenal FC,11,2013-2014
Juan Mata,Spain,Chelsea FC,11,2013-2014
Marko Arnautović,Austria,Stoke City,11,2013-2014
Jesús Navas,Spain,Manchester City,11,2013-2014
Santi Cazorla,Spain,Arsenal FC,11,2013-2014
André Schürrle,Germany,Chelsea FC,10,2013-2014
Yohan Cabaye,France,Newcastle United,10,2013-2014
Fernando Torres,Spain,Chelsea FC,10,2013-2014
Gabriel Agbonlahor,England,Aston Villa,10,2013-2014
Jordan Henderson,England,Liverpool FC,10,2013-2014
Fabio Borini,Italy,Liverpool FC,9,2013-2014
Shane Long,Ireland,Hull City,9,2013-2014
Peter Odemwingie,Nigeria,Cardiff City,9,2013-2014
Jason Puncheon,England,Crystal Palace,9,2013-2014
Steven Sidwell,England,Fulham FC,9,2013-2014
Fraizer Campbell,England,Cardiff City,9,2013-2014
Yoan Gouffran,France,Newcastle United,9,2013-2014
Gary Hooper,England,Norwich City,9,2013-2014
Soldado,Spain,Tottenham Hotspur,9,2013-2014
Leighton Baines,England,Everton FC,9,2013-2014
Theo Walcott,England,Arsenal FC,9,2013-2014
Jonathan de Guzmán,Netherlands,Swansea City,9,2013-2014
Moussa Sissoko,France,Newcastle United,9,2013-2014
Peter Whittingham,England,Cardiff City,9,2013-2014
Steven Davis,Northern Ireland,Southampton FC,9,2013-2014
Pablo Hernández,Spain,Swansea City,9,2013-2014
Martin Škrtel,Slovakia,Liverpool FC,8,2013-2014
Nathan Dyer,England,Swansea City,8,2013-2014
Frank Lampard,England,Chelsea FC,8,2013-2014
Paulinho,Brazil,Tottenham Hotspur,8,2013-2014
Robert Snodgrass,Scotland,Norwich City,8,2013-2014
Fernandinho,Brazil,Manchester City,8,2013-2014
Andreas Weimann,Austria,Aston Villa,8,2013-2014
Emanuele Giaccherini,Italy,Sunderland AFC,8,2013-2014
Chris Brunt,Northern Ireland,West Bromwich Albion,8,2013-2014
Jack Wilshere,England,Arsenal FC,8,2013-2014
Aleksandar Kolarov,Serbia,Manchester City,8,2013-2014
Dwight Gayle,England,Crystal Palace,7,2013-2014
Séamus Coleman,Ireland,Everton FC,7,2013-2014
Demba Ba,Senegal,Chelsea FC,7,2013-2014
Marouane Chamakh,Morocco,Crystal Palace,7,2013-2014
Ashkan Dejagah,Iran,Fulham FC,7,2013-2014
Steven Naismith,Scotland,Everton FC,7,2013-2014
Jon Walters,Ireland,Stoke City,7,2013-2014
Morgan Amalfitano,France,West Bromwich Albion,7,2013-2014
Javier Hernández,Mexico,Manchester United,7,2013-2014
Adnan Januzaj,Belgium,Manchester United,7,2013-2014
Kieran Richardson,England,Fulham FC,7,2013-2014
Jake Livermore,England,Hull City,7,2013-2014
Leon Osman,England,Everton FC,7,2013-2014
Pablo Zabaleta,Argentina,Manchester City,7,2013-2014
Ross Barkley,England,Everton FC,6,2013-2014
Leandro Bacuna,Curaçao,Aston Villa,6,2013-2014
Saido Berahino,Burundi,West Bromwich Albion,6,2013-2014
Carlton Cole,England,West Ham United,6,2013-2014
Nikica Jelavić,Croatia,Hull City,6,2013-2014
Stéphane Sessègnon,Benin,West Bromwich Albion,6,2013-2014
Connor Wickham,England,Sunderland AFC,6,2013-2014
Momo Diamé,Senegal,West Ham United,6,2013-2014
Victor Anichebe,Nigeria,West Bromwich Albion,6,2013-2014
Hatem Ben Arfa,France,Newcastle United,6,2013-2014
Gerard Deulofeu,Spain,Everton FC,6,2013-2014
Mark Noble,England,West Ham United,6,2013-2014
Matěj Vydra,Czech Republic,West Bromwich Albion,6,2013-2014
Wayne Routledge,England,Swansea City,6,2013-2014
James Milner,England,Manchester City,6,2013-2014
Steven Caulker,Sierra Leone,Cardiff City,5,2013-2014
Gylfi Sigurðsson,Iceland,Tottenham Hotspur,5,2013-2014
Dimitar Berbatov,Bulgaria,Fulham FC,5,2013-2014
Vincent Kompany,Belgium,Manchester City,5,2013-2014
Willian,Brazil,Chelsea FC,5,2013-2014
Darren Bent,England,Fulham FC,5,2013-2014
Jack Colback,England,Sunderland AFC,5,2013-2014
Fabian Delph,England,Aston Villa,5,2013-2014
Ravel Morrison,Jamaica,West Ham United,5,2013-2014
Ashley Westwood,England,Aston Villa,5,2013-2014
