Player,Country,Team,Goals,Season
Carlos Tévez,Argentina,Manchester City,27,2010-2011
Didier Drogba,Ivory Coast,Chelsea FC,26,2010-2011
Nani,Portugal,Manchester United,26,2010-2011
Dimitar Berbatov,Bulgaria,Manchester United,25,2010-2011
Robin van Persie,Netherlands,Arsenal FC,25,2010-2011
Peter Odemwingie,Nigeria,West Bromwich Albion,22,2010-2011
Rafael van der Vaart,Netherlands,Tottenham Hotspur,22,2010-2011
Wayne Rooney,England,Manchester United,21,2010-2011
Andy Carroll,England,Liverpool FC,20,2010-2011
Dirk Kuyt,Netherlands,Liverpool FC,20,2010-2011
Charlie Adam,Scotland,Blackpool FC,20,2010-2011
Darren Bent,England,Aston Villa,19,2010-2011
Ashley Young,England,Aston Villa,18,2010-2011
Florent Malouda,French Guyana,Chelsea FC,17,2010-2011
Andrey Arshavin,Russia,Arsenal FC,17,2010-2011
Cesc Fàbregas,Spain,Arsenal FC,17,2010-2011
Charles N'Zogbia,France,Wigan Athletic,16,2010-2011
DJ Campbell,England,Blackpool FC,15,2010-2011
Clint Dempsey,USA,Fulham FC,15,2010-2011
Johan Elmander,Sweden,Bolton Wanderers,15,2010-2011
Fernando Torres,Spain,Liverpool FC,15,2010-2011
Theo Walcott,England,Arsenal FC,15,2010-2011
Leighton Baines,England,Everton FC,15,2010-2011
Javier Hernández,Mexico,Manchester United,14,2010-2011
Kevin Nolan,England,Newcastle United,14,2010-2011
Asamoah Gyan,Ghana,Sunderland AFC,14,2010-2011
Frank Lampard,England,Chelsea FC,14,2010-2011
Roman Pavlyuchenko,Russia,Tottenham Hotspur,14,2010-2011
Kevin Davies,England,Bolton Wanderers,14,2010-2011
Stewart Downing,England,Aston Villa,14,2010-2011
Chris Brunt,Northern Ireland,West Bromwich Albion,14,2010-2011
Steven Fletcher,Scotland,Wolverhampton Wanderers,13,2010-2011
Salomon Kalou,Ivory Coast,Chelsea FC,13,2010-2011
Tim Cahill,Australia,Everton FC,13,2010-2011
Joey Barton,England,Newcastle United,13,2010-2011
Shola Ameobi,Nigeria,Newcastle United,12,2010-2011
Matthew Etherington,England,Stoke City,12,2010-2011
Bobby Zamora,England,Fulham FC,12,2010-2011
Peter Crouch,England,Tottenham Hotspur,12,2010-2011
David Silva,Spain,Manchester City,12,2010-2011
Samir Nasri,France,Arsenal FC,11,2010-2011
Marouane Chamakh,Morocco,Arsenal FC,11,2010-2011
Frédéric Piquionne,Martinique,West Ham United,11,2010-2011
Gary Taylor-Fletcher,England,Blackpool FC,11,2010-2011
Raúl Meireles,Portugal,Liverpool FC,11,2010-2011
Matthew Jarvis,England,Wolverhampton Wanderers,11,2010-2011
Sebastian Larsson,Sweden,Birmingham City,11,2010-2011
Maximiliano Rodríguez,Argentina,Liverpool FC,10,2010-2011
Hugo Rodallega,Colombia,Wigan Athletic,10,2010-2011
Jermaine Beckford,Jamaica,Everton FC,10,2010-2011
Nicolas Anelka,France,Chelsea FC,10,2010-2011
Peter Løvenkrands,Denmark,Newcastle United,10,2010-2011
Marc Albrighton,England,Aston Villa,10,2010-2011
Kevin Doyle,Ireland,Wolverhampton Wanderers,10,2010-2011
Morten Pedersen,Norway,Blackburn Rovers,10,2010-2011
Cameron Jerome,Grenada,Birmingham City,10,2010-2011
Jermaine Pennant,England,Stoke City,10,2010-2011
Kenwyne Jones,Trinidad & Tobago,Stoke City,9,2010-2011
Gareth Bale,Wales,Tottenham Hotspur,9,2010-2011
Sylvain Ebanks-Blake,England,Wolverhampton Wanderers,9,2010-2011
Louis Saha,France,Everton FC,9,2010-2011
Robert Huth,Germany,Stoke City,9,2010-2011
Yaya Touré,Ivory Coast,Manchester City,9,2010-2011
Jon Walters,Ireland,Stoke City,9,2010-2011
Jason Roberts,Grenada,Blackburn Rovers,9,2010-2011
Nikola Žigić,Serbia,Birmingham City,9,2010-2011
Steven Gerrard,England,Liverpool FC,9,2010-2011
Adam Johnson,England,Manchester City,9,2010-2011
Leon Osman,England,Everton FC,9,2010-2011
Chung-yong Lee,South Korea,Bolton Wanderers,9,2010-2011
Jerome Thomas,England,West Bromwich Albion,9,2010-2011
Ryan Giggs,Wales,Manchester United,9,2010-2011
Craig Gardner,England,Birmingham City,8,2010-2011
Daniel Sturridge,England,Bolton Wanderers,8,2010-2011
Ji-Sung Park,South Korea,Manchester United,8,2010-2011
Luke Varney,England,Blackpool FC,8,2010-2011
Simon Davies,Wales,Fulham FC,8,2010-2011
Brett Emerton,Australia,Blackburn Rovers,8,2010-2011
Branislav Ivanović,Serbia,Chelsea FC,8,2010-2011
Luis Suárez,Uruguay,Liverpool FC,8,2010-2011
Martin Petrov,Bulgaria,Bolton Wanderers,8,2010-2011
Darren Fletcher,Scotland,Manchester United,8,2010-2011
Demba Ba,Senegal,West Ham United,7,2010-2011
Mario Balotelli,Italy,Manchester City,7,2010-2011
Brede Hangeland,Norway,Fulham FC,7,2010-2011
Somen Tchoyi,Cameroon,West Bromwich Albion,7,2010-2011
Danny Welbeck,England,Sunderland AFC,7,2010-2011
Carlton Cole,England,West Ham United,7,2010-2011
Scott Parker,England,West Ham United,7,2010-2011
