Player,Country,Team,Goals,Season
Kevin De Bruyne,Belgium,Manchester City,33,2019-2020
Mo Salah,Egypt,Liverpool FC,29,2019-2020
Jamie Vardy,England,Leicester City,28,2019-2020
Pierre-Emerick Aubameyang,Gabon,Arsenal FC,25,2019-2020
Sadio Mané,Senegal,Liverpool FC,25,2019-2020
Danny Ings,England,Southampton FC,24,2019-2020
Marcus Rashford,England,Manchester United,24,2019-2020
Raúl Jiménez,Mexico,Wolverhampton Wanderers,23,2019-2020
Anthony Martial,France,Manchester United,23,2019-2020
Raheem Sterling,England,Manchester City,21,2019-2020
Gabriel Jesus,Brazil,Manchester City,21,2019-2020
Heung-min Son,South Korea,Tottenham Hotspur,21,2019-2020
Harry Kane,England,Tottenham Hotspur,20,2019-2020
Riyad Mahrez,Algeria,Manchester City,20,2019-2020
Sergio Agüero,Argentina,Manchester City,19,2019-2020
Tammy Abraham,England,Chelsea FC,18,2019-2020
Roberto Firmino,Brazil,Liverpool FC,17,2019-2020
Trent Alexander-Arnold,England,Liverpool FC,17,2019-2020
Richarlison,Brazil,Everton FC,16,2019-2020
Willian,Brazil,Chelsea FC,16,2019-2020
David Silva,Spain,Manchester City,16,2019-2020
Chris Wood,New Zealand,Burnley FC,15,2019-2020
Bruno Fernandes,Portugal,Manchester United,15,2019-2020
Dominic Calvert-Lewin,England,Everton FC,14,2019-2020
Teemu Pukki,Finland,Norwich City,14,2019-2020
Alexandre Lacazette,France,Arsenal FC,14,2019-2020
Harvey Barnes,England,Leicester City,14,2019-2020
Andy Robertson,Scotland,Liverpool FC,14,2019-2020
Michail Antonio,Jamaica,West Ham United,13,2019-2020
Neal Maupay,France,Brighton & Hove Albion,13,2019-2020
Christian Pulišić,USA,Chelsea FC,13,2019-2020
Jack Grealish,England,Aston Villa,13,2019-2020
Bernardo Silva,Portugal,Manchester City,13,2019-2020
Adama Traoré,Spain,Wolverhampton Wanderers,13,2019-2020
Troy Deeney,England,Watford FC,12,2019-2020
Dele Alli,England,Tottenham Hotspur,12,2019-2020
Ayoze Pérez,Spain,Leicester City,12,2019-2020
Mason Mount,England,Chelsea FC,12,2019-2020
Mason Greenwood,England,Manchester United,11,2019-2020
Jordan Ayew,Ghana,Crystal Palace,11,2019-2020
Joshua King,Norway,AFC Bournemouth,10,2019-2020
Lys Mousset,France,Sheffield United,10,2019-2020
Nicolas Pépé,Ivory Coast,Arsenal FC,10,2019-2020
Robert Snodgrass,Scotland,West Ham United,10,2019-2020
Jay Rodriguez,England,Burnley FC,9,2019-2020
Callum Wilson,England,AFC Bournemouth,9,2019-2020
James Maddison,England,Leicester City,9,2019-2020
Ismaïla Sarr,Senegal,Watford FC,9,2019-2020
Gerard Deulofeu,Spain,Watford FC,9,2019-2020
Jordan Henderson,England,Liverpool FC,9,2019-2020
Dan James,Wales,Manchester United,9,2019-2020
Youri Tielemans,Belgium,Leicester City,9,2019-2020
Olivier Giroud,France,Chelsea FC,8,2019-2020
Diogo Jota,Portugal,Wolverhampton Wanderers,8,2019-2020
Sébastien Haller,Ivory Coast,West Ham United,8,2019-2020
Todd Cantwell,England,Norwich City,8,2019-2020
Jonjo Shelvey,England,Newcastle United,8,2019-2020
Stuart Armstrong,Scotland,Southampton FC,8,2019-2020
Kelechi Iheanacho,Nigeria,Leicester City,8,2019-2020
John Lundstram,England,Sheffield United,8,2019-2020
Leandro Trossard,Belgium,Brighton & Hove Albion,8,2019-2020
James Ward-Prowse,England,Southampton FC,8,2019-2020
Anwar el Ghazi,Netherlands,Aston Villa,8,2019-2020
Lucas Moura,Brazil,Tottenham Hotspur,8,2019-2020
Nathan Redmond,England,Southampton FC,8,2019-2020
Conor Hourihane,Ireland,Aston Villa,8,2019-2020
Azpilicueta,Spain,Chelsea FC,8,2019-2020
Dwight McNeil,England,Burnley FC,8,2019-2020
Ashley Westwood,England,Burnley FC,8,2019-2020
Emiliano Buendia,Argentina,Norwich City,8,2019-2020
Harry Wilson,Wales,AFC Bournemouth,7,2019-2020
Trézéguet,Egypt,Aston Villa,7,2019-2020
John Fleck,Scotland,Sheffield United,7,2019-2020
Phil Foden,England,Manchester City,7,2019-2020
Matt Doherty,Ireland,Wolverhampton Wanderers,7,2019-2020
Mark Noble,England,West Ham United,7,2019-2020
Wilfried Zaha,Ivory Coast,Crystal Palace,7,2019-2020
Allan Saint-Maximin,France,Newcastle United,7,2019-2020
Pablo Fornals,Spain,West Ham United,7,2019-2020
João Moutinho,Portugal,Wolverhampton Wanderers,7,2019-2020
Lucas Digne,France,Everton FC,7,2019-2020
Ashley Barnes,England,Burnley FC,6,2019-2020
Oliver McBurnie,Scotland,Sheffield United,6,2019-2020
Virgil van Dijk,Netherlands,Liverpool FC,6,2019-2020
Wesley,Brazil,Aston Villa,6,2019-2020
Andrey Yarmolenko,Ukraine,West Ham United,6,2019-2020
Ché Adams,Scotland,Southampton FC,6,2019-2020
Miguel Almirón,Paraguay,Newcastle United,6,2019-2020
Abdoulaye Doucouré,Mali,Watford FC,6,2019-2020
Dwight Gayle,England,Newcastle United,6,2019-2020
Jorginho,Italy,Chelsea FC,6,2019-2020
Marcos Alonso,Spain,Chelsea FC,6,2019-2020
Ben Chilwell,England,Leicester City,6,2019-2020
Lewis Dunk,England,Brighton & Hove Albion,6,2019-2020
John McGinn,Scotland,Aston Villa,6,2019-2020
Pedro Neto,Portugal,Wolverhampton Wanderers,6,2019-2020
Pascal Groß,Germany,Brighton & Hove Albion,6,2019-2020
Enda Stevens,Ireland,Sheffield United,6,2019-2020
Sèrge Aurier,Ivory Coast,Tottenham Hotspur,6,2019-2020
Callum Hudson-Odoi,England,Chelsea FC,6,2019-2020
Bukayo Saka,England,Arsenal FC,6,2019-2020
Divock Origi,Belgium,Liverpool FC,5,2019-2020
Alex Oxlade-Chamberlain,England,Liverpool FC,5,2019-2020
Bernard,Brazil,Everton FC,5,2019-2020
Douglas Luiz,Brazil,Aston Villa,5,2019-2020
Michael Obafemi,Ireland,Southampton FC,5,2019-2020
Ricardo Pereira,Portugal,Leicester City,5,2019-2020
Rodri,Spain,Manchester City,5,2019-2020
Billy Sharp,England,Sheffield United,5,2019-2020
Patrick van Aanholt,Netherlands,Crystal Palace,5,2019-2020
George Baldock,Greece,Sheffield United,5,2019-2020
Fabinho,Brazil,Liverpool FC,5,2019-2020
Demarai Gray,Jamaica,Leicester City,5,2019-2020
Naby Keïta,Guinea,Liverpool FC,5,2019-2020
Gylfi Sigurðsson,Iceland,Everton FC,5,2019-2020
Theo Walcott,England,Everton FC,5,2019-2020
Ross Barkley,England,Chelsea FC,5,2019-2020
Jarrod Bowen,England,West Ham United,5,2019-2020
Felipe Anderson,Brazil,West Ham United,5,2019-2020
Ryan Fraser,Scotland,AFC Bournemouth,5,2019-2020
Kyle Walker,England,Manchester City,5,2019-2020
Leander Dendoncker,Belgium,Wolverhampton Wanderers,4,2019-2020
Georginio Wijnaldum,Netherlands,Liverpool FC,4,2019-2020
Steven Bergwijn,Netherlands,Tottenham Hotspur,4,2019-2020
Aaron Connolly,Ireland,Brighton & Hove Albion,4,2019-2020
Issa Diop,France,West Ham United,4,2019-2020
Dan Gosling,England,AFC Bournemouth,4,2019-2020
Scott McTominay,Scotland,Manchester United,4,2019-2020
Luka Milivojević,Serbia,Crystal Palace,4,2019-2020
Jeffrey Schlupp,Ghana,Crystal Palace,4,2019-2020
Dominic Solanke,England,AFC Bournemouth,4,2019-2020
Adam Webster,England,Brighton & Hove Albion,4,2019-2020
Nathan Aké,Netherlands,AFC Bournemouth,4,2019-2020
Toby Alderweireld,Belgium,Tottenham Hotspur,4,2019-2020
Moussa Djénépo,Mali,Southampton FC,4,2019-2020
Christian Eriksen,Denmark,Tottenham Hotspur,4,2019-2020
Federico Fernández,Argentina,Newcastle United,4,2019-2020
Jeff Hendrick,Ireland,Burnley FC,4,2019-2020
Joelinton,Brazil,Newcastle United,4,2019-2020
Jonny,Spain,Wolverhampton Wanderers,4,2019-2020
Moise Kean,Italy,Everton FC,4,2019-2020
Érik Lamela,Argentina,Tottenham Hotspur,4,2019-2020
Shane Long,Ireland,Southampton FC,4,2019-2020
David McGoldrick,Ireland,Sheffield United,4,2019-2020
James Milner,England,Liverpool FC,4,2019-2020
Tyrone Mings,England,Aston Villa,4,2019-2020
Aaron Mooy,Australia,Brighton & Hove Albion,4,2019-2020
Tanguy Ndombèlé,France,Tottenham Hotspur,4,2019-2020
Rúben Neves,Portugal,Wolverhampton Wanderers,4,2019-2020
James Tarkowski,England,Burnley FC,4,2019-2020
Jetro Willems,Netherlands,Newcastle United,4,2019-2020
Andreas Pereira,Brazil,Manchester United,4,2019-2020
Mateo Kovačić,Croatia,Chelsea FC,4,2019-2020
Paul Pogba,France,Manchester United,4,2019-2020
Declan Rice,England,West Ham United,4,2019-2020
Jack Stephens,England,Southampton FC,4,2019-2020
Andy Carroll,England,Newcastle United,4,2019-2020
Diego Rico,Spain,AFC Bournemouth,4,2019-2020
Erik Pieters,Netherlands,Burnley FC,4,2019-2020
Djibril Sidibé,France,Everton FC,4,2019-2020
Aaron Wan-Bissaka,England,Manchester United,4,2019-2020
Aaron Cresswell,England,West Ham United,3,2019-2020
Gabriel Martinelli,Brazil,Arsenal FC,3,2019-2020
N'Golo Kanté,France,Chelsea FC,3,2019-2020
Roberto Pereyra,Argentina,Watford FC,3,2019-2020
Tomáš Souček,Czech Republic,West Ham United,3,2019-2020
Junior Stanislas,England,AFC Bournemouth,3,2019-2020
Christian Benteke,Belgium,Crystal Palace,3,2019-2020
David Luiz,Brazil,Arsenal FC,3,2019-2020
İlkay Gündoğan,Germany,Manchester City,3,2019-2020
Yerry Mina,Colombia,Everton FC,3,2019-2020
Wilfred Ndidi,Nigeria,Leicester City,3,2019-2020
Matt Ritchie,Scotland,Newcastle United,3,2019-2020
Romain Saïss,Morocco,Wolverhampton Wanderers,3,2019-2020
Moussa Sissoko,France,Tottenham Hotspur,3,2019-2020
Matěj Vydra,Czech Republic,Burnley FC,3,2019-2020
Robbie Brady,Ireland,Burnley FC,3,2019-2020
Isaac Hayden,England,Newcastle United,3,2019-2020
Onel Hernández,Cuba,Norwich City,3,2019-2020
Jefferson Lerma,Colombia,AFC Bournemouth,3,2019-2020
Mesut Özil,Germany,Arsenal FC,3,2019-2020
Dennis Praet,Belgium,Leicester City,3,2019-2020
