Player,Country,Team,Goals,Season
Robin van Persie,Netherlands,Arsenal FC,40,2011-2012
Sergio Agüero,Argentina,Manchester City,33,2011-2012
Wayne Rooney,England,Manchester United,32,2011-2012
Emmanuel Adebayor,Togo,Tottenham Hotspur,29,2011-2012
Clint Dempsey,USA,Fulham FC,23,2011-2012
David Silva,Spain,Manchester City,23,2011-2012
Gareth Bale,Wales,Tottenham Hotspur,21,2011-2012
Yakubu Ayegbeni,Nigeria,Blackburn Rovers,19,2011-2012
Edin Džeko,Bosnia-Herzegovina,Manchester City,19,2011-2012
Juan Mata,Spain,Chelsea FC,19,2011-2012
Demba Ba,Senegal,Newcastle United,18,2011-2012
Nani,Portugal,Manchester United,18,2011-2012
Theo Walcott,England,Arsenal FC,18,2011-2012
Antonio Valencia,Ecuador,Manchester United,18,2011-2012
Grant Holt,England,Norwich City,17,2011-2012
Rafael van der Vaart,Netherlands,Tottenham Hotspur,17,2011-2012
Frank Lampard,England,Chelsea FC,16,2011-2012
Luis Suárez,Uruguay,Liverpool FC,16,2011-2012
Stéphane Sessègnon,Benin,Sunderland AFC,16,2011-2012
Mario Balotelli,Italy,Manchester City,15,2011-2012
Papiss Demba Cissé,Senegal,Newcastle United,15,2011-2012
Danny Graham,England,Swansea City,15,2011-2012
Peter Crouch,England,Stoke City,15,2011-2012
Ashley Young,England,Manchester United,15,2011-2012
Steven Fletcher,Scotland,Wolverhampton Wanderers,14,2011-2012
Daniel Sturridge,England,Chelsea FC,14,2011-2012
Peter Odemwingie,Nigeria,West Bromwich Albion,14,2011-2012
Danny Welbeck,England,Manchester United,14,2011-2012
Bobby Zamora,England,Queens Park Rangers,14,2011-2012
Yaya Touré,Ivory Coast,Manchester City,14,2011-2012
Samir Nasri,France,Manchester City,14,2011-2012
Jermain Defoe,England,Tottenham Hotspur,13,2011-2012
Steve Morison,Wales,Norwich City,13,2011-2012
Matthew Jarvis,England,Wolverhampton Wanderers,13,2011-2012
Scott Sinclair,England,Swansea City,13,2011-2012
Jon Walters,Ireland,Stoke City,13,2011-2012
Javier Hernández,Mexico,Manchester United,12,2011-2012
Ivan Klasnić,Croatia,Bolton Wanderers,12,2011-2012
Junior Hoilett,Canada,Blackburn Rovers,12,2011-2012
Fernando Torres,Spain,Chelsea FC,12,2011-2012
Gabriel Agbonlahor,England,Aston Villa,12,2011-2012
Hatem Ben Arfa,France,Newcastle United,12,2011-2012
Kevin Doyle,Ireland,Wolverhampton Wanderers,12,2011-2012
Wes Hoolahan,Ireland,Norwich City,12,2011-2012
Alex Song,Cameroon,Arsenal FC,12,2011-2012
Nicklas Bendtner,Denmark,Arsenal FC,11,2011-2012
Adam Johnson,England,Manchester City,11,2011-2012
Victor Moses,Nigeria,Wigan Athletic,11,2011-2012
Yohan Cabaye,France,Newcastle United,11,2011-2012
Chris Eagles,England,Bolton Wanderers,11,2011-2012
Matthew Etherington,England,Stoke City,11,2011-2012
Darren Bent,England,Aston Villa,10,2011-2012
Heiðar Helguson,Iceland,Queens Park Rangers,10,2011-2012
Jamie Mackie,Scotland,Queens Park Rangers,10,2011-2012
Gylfi Sigurðsson,Iceland,Swansea City,10,2011-2012
Craig Bellamy,Wales,Liverpool FC,10,2011-2012
James Morrison,Scotland,West Bromwich Albion,10,2011-2012
Gervinho,Ivory Coast,Arsenal FC,10,2011-2012
Steven Pienaar,South Africa,Everton FC,10,2011-2012
Ryan Giggs,Wales,Manchester United,10,2011-2012
Nikica Jelavić,Croatia,Everton FC,9,2011-2012
Shane Long,Ireland,West Bromwich Albion,9,2011-2012
Anthony Pilkington,Ireland,Norwich City,9,2011-2012
Franco Di Santo,Argentina,Wigan Athletic,9,2011-2012
Sebastian Larsson,Sweden,Sunderland AFC,9,2011-2012
Mikel Arteta,Spain,Everton FC,9,2011-2012
Martin Petrov,Bulgaria,Bolton Wanderers,9,2011-2012
Aaron Lennon,England,Tottenham Hotspur,9,2011-2012
Danny Murphy,England,Fulham FC,9,2011-2012
David N'Gog,France,Bolton Wanderers,9,2011-2012
Chris Brunt,Northern Ireland,West Bromwich Albion,9,2011-2012
Kevin Davies,England,Bolton Wanderers,8,2011-2012
Nathan Dyer,England,Swansea City,8,2011-2012
James McClean,Ireland,Sunderland AFC,8,2011-2012
Luka Modrić,Croatia,Tottenham Hotspur,8,2011-2012
Royston Drenthe,Netherlands,Everton FC,8,2011-2012
Marouane Fellaini,Belgium,Everton FC,8,2011-2012
Morten Pedersen,Norway,Blackburn Rovers,8,2011-2012
Charlie Adam,Scotland,Liverpool FC,8,2011-2012
Aaron Ramsey,Wales,Arsenal FC,8,2011-2012
Hugo Rodallega,Colombia,Wigan Athletic,8,2011-2012
Wayne Routledge,England,Swansea City,8,2011-2012
