Player,Country,Team,Goals,Season
Cristiano Ronaldo,Portugal,Manchester United,38,2007-2008
Emmanuel Adebayor,Togo,Arsenal FC,28,2007-2008
Fernando Torres,Spain,Liverpool FC,28,2007-2008
Cesc Fàbregas,Spain,Arsenal FC,26,2007-2008
Dimitar Berbatov,Bulgaria,Tottenham Hotspur,25,2007-2008
Roque Santa Cruz,Paraguay,Blackburn Rovers,24,2007-2008
Wayne Rooney,England,Manchester United,23,2007-2008
Robbie Keane,Ireland,Tottenham Hotspur,22,2007-2008
Ashley Young,England,Aston Villa,22,2007-2008
Carlos Tévez,Argentina,Manchester United,20,2007-2008
Steven Gerrard,England,Liverpool FC,20,2007-2008
Gareth Barry,England,Aston Villa,19,2007-2008
Yakubu Ayegbeni,Nigeria,Everton FC,18,2007-2008
Gabriel Agbonlahor,England,Aston Villa,18,2007-2008
Nicolas Anelka,France,Bolton Wanderers,18,2007-2008
Frank Lampard,England,Chelsea FC,18,2007-2008
Benjani,Zimbabwe,Portsmouth FC,16,2007-2008
Elano,Brazil,Manchester City,16,2007-2008
Kenwyne Jones,Trinidad & Tobago,Sunderland AFC,16,2007-2008
David Bentley,England,Blackburn Rovers,16,2007-2008
John Carew,Norway,Aston Villa,15,2007-2008
Salomon Kalou,Ivory Coast,Chelsea FC,15,2007-2008
Jermain Defoe,England,Portsmouth FC,14,2007-2008
Stewart Downing,England,Middlesbrough FC,14,2007-2008
Didier Drogba,Ivory Coast,Chelsea FC,14,2007-2008
Joe Cole,England,Chelsea FC,13,2007-2008
Simon Davies,Wales,Fulham FC,13,2007-2008
Martin Petrov,Bulgaria,Manchester City,13,2007-2008
Obafemi Martins,Nigeria,Newcastle United,12,2007-2008
Nicky Shorey,England,Reading FC,12,2007-2008
Michael Owen,England,Newcastle United,11,2007-2008
Dean Ashton,England,West Ham United,11,2007-2008
Dave Kitson,England,Reading FC,11,2007-2008
Mikael Forssell,Finland,Birmingham City,11,2007-2008
Tuncay Şanlı,Turkey,Middlesbrough FC,11,2007-2008
James McFadden,Scotland,Birmingham City,11,2007-2008
Jérémie Aliadiére,France,Middlesbrough FC,11,2007-2008
Carlton Cole,England,West Ham United,11,2007-2008
El-Hadji Diouf,Senegal,Bolton Wanderers,11,2007-2008
Tim Cahill,Australia,Everton FC,10,2007-2008
Darren Bent,England,Tottenham Hotspur,10,2007-2008
Kevin Doyle,Ireland,Reading FC,10,2007-2008
Andy Johnson,England,Everton FC,10,2007-2008
Stephen Hunt,Ireland,Reading FC,10,2007-2008
John Utaka,Nigeria,Portsmouth FC,10,2007-2008
Tom Huddlestone,England,Tottenham Hotspur,10,2007-2008
Dirk Kuyt,Netherlands,Liverpool FC,10,2007-2008
Nani,Portugal,Manchester United,10,2007-2008
Jason Roberts,Grenada,Blackburn Rovers,10,2007-2008
Joleon Lescott,England,Everton FC,9,2007-2008
Benni McCarthy,South Africa,Blackburn Rovers,9,2007-2008
Marcus Bent,England,Wigan Athletic,9,2007-2008
Robin van Persie,Netherlands,Arsenal FC,9,2007-2008
Michael Essien,Ghana,Chelsea FC,9,2007-2008
Sebastian Larsson,Sweden,Birmingham City,9,2007-2008
Darius Vassell,England,Manchester City,9,2007-2008
Jermaine Jenas,England,Tottenham Hotspur,9,2007-2008
Steed Malbranque,France,Tottenham Hotspur,9,2007-2008
Cameron Jerome,Grenada,Birmingham City,8,2007-2008
Mark Viduka,Australia,Newcastle United,8,2007-2008
Nicklas Bendtner,Denmark,Arsenal FC,8,2007-2008
Kevin Nolan,England,Bolton Wanderers,8,2007-2008
Kevin Davies,England,Bolton Wanderers,8,2007-2008
Eduardo,Croatia,Arsenal FC,8,2007-2008
Sulley Ali Muntari,Ghana,Portsmouth FC,8,2007-2008
Morten Pedersen,Norway,Blackburn Rovers,8,2007-2008
Ryan Giggs,Wales,Manchester United,8,2007-2008
Aliaksandr Hleb,Belarus,Arsenal FC,8,2007-2008
Geremi Njitap,Cameroon,Newcastle United,8,2007-2008
Steven Pienaar,South Africa,Everton FC,8,2007-2008
Mikel Arteta,Spain,Everton FC,8,2007-2008
Michael Ballack,Germany,Chelsea FC,7,2007-2008
