Player,Country,Team,Goals,Season
Thierry Henry,France,Arsenal FC,29,2001-2002
Jimmy Floyd Hasselbaink,Netherlands,Chelsea FC,29,2001-2002
Alan Shearer,England,Newcastle United,27,2001-2002
Ruud van Nistelrooy,Netherlands,Manchester United,27,2001-2002
Ole Gunnar Solskjær,Norway,Manchester United,26,2001-2002
Robert Pirés,France,Arsenal FC,24,2001-2002
Dennis Bergkamp,Netherlands,Arsenal FC,22,2001-2002
Michael Owen,England,Liverpool FC,20,2001-2002
Eiður Guðjohnsen,Iceland,Chelsea FC,20,2001-2002
Robbie Fowler,England,Liverpool FC,19,2001-2002
David Beckham,England,Manchester United,19,2001-2002
Laurent Robert,France,Newcastle United,19,2001-2002
Ryan Giggs,Wales,Manchester United,19,2001-2002
Marians Pahars,Latvia,Southampton FC,18,2001-2002
Andy Cole,England,Blackburn Rovers,18,2001-2002
Mark Viduka,Australia,Leeds United,18,2001-2002
Sylvain Wiltord,France,Arsenal FC,17,2001-2002
Nolberto Solano,Peru,Newcastle United,17,2001-2002
James Beattie,England,Southampton FC,16,2001-2002
Emile Heskey,England,Liverpool FC,16,2001-2002
Steed Malbranque,France,Fulham FC,16,2001-2002
Juan Pablo Ángel,Colombia,Aston Villa,15,2001-2002
Freddie Ljungberg,Sweden,Arsenal FC,15,2001-2002
Kevin Phillips,England,Sunderland AFC,15,2001-2002
Matt Jansen,England,Blackburn Rovers,15,2001-2002
Paolo Di Canio,Italy,West Ham United,15,2001-2002
Michael Ricketts,England,Bolton Wanderers,14,2001-2002
Darius Vassell,England,Aston Villa,14,2001-2002
Frédéric Kanouté,Mali,West Ham United,14,2001-2002
Gustavo Poyet,Uruguay,Tottenham Hotspur,14,2001-2002
Danny Murphy,England,Liverpool FC,14,2001-2002
Jason Euell,Jamaica,Charlton Athletic,13,2001-2002
Teddy Sheringham,England,Tottenham Hotspur,13,2001-2002
Craig Bellamy,Wales,Newcastle United,13,2001-2002
Paul Scholes,England,Manchester United,13,2001-2002
Damien Duff,Ireland,Blackburn Rovers,13,2001-2002
Fabrizio Ravanelli,Italy,Derby County,12,2001-2002
David Dunn,England,Blackburn Rovers,12,2001-2002
Trevor Sinclair,England,West Ham United,12,2001-2002
Marcus Bent,England,Blackburn Rovers,11,2001-2002
Les Ferdinand,England,Tottenham Hotspur,11,2001-2002
Barry Hayles,Jamaica,Fulham FC,11,2001-2002
Harry Kewell,Australia,Leeds United,11,2001-2002
Christian Ziege,Germany,Tottenham Hotspur,11,2001-2002
Jermain Defoe,England,West Ham United,10,2001-2002
Malcolm Christie,England,Derby County,10,2001-2002
John Arne Riise,Norway,Liverpool FC,10,2001-2002
Marcus Stewart,England,Ipswich Town,10,2001-2002
Lee Bowyer,England,Leeds United,10,2001-2002
Vladimír Šmicer,Czech Republic,Liverpool FC,10,2001-2002
Steven Gerrard,England,Liverpool FC,10,2001-2002
Benito Carbone,Italy,Middlesbrough FC,10,2001-2002
Alen Bokšić,Croatia,Middlesbrough FC,9,2001-2002
Kevin Nolan,England,Bolton Wanderers,9,2001-2002
Louis Saha,France,Fulham FC,9,2001-2002
Steve Marlet,France,Fulham FC,9,2001-2002
Niall Quinn,Ireland,Sunderland AFC,9,2001-2002
Tomasz Radzinski,Canada,Everton FC,9,2001-2002
Ian Harte,Ireland,Leeds United,9,2001-2002
Anders Svensson,Sweden,Southampton FC,9,2001-2002
Mark Venus,England,Ipswich Town,9,2001-2002
Brian Deane,England,Leicester City,8,2001-2002
Finidi George,Nigeria,Ipswich Town,8,2001-2002
Jonatan Johansson,Finland,Charlton Athletic,8,2001-2002
Frank Lampard,England,Chelsea FC,8,2001-2002
Darren Anderton,England,Tottenham Hotspur,8,2001-2002
Per Frandsen,Denmark,Bolton Wanderers,8,2001-2002
Ricardo Gardner,Jamaica,Bolton Wanderers,8,2001-2002
Graeme Le Saux,England,Chelsea FC,8,2001-2002
