Player,Country,Team,Goals,Season
Harry Kane,England,Tottenham Hotspur,25,2015-2016
Sergio Agüero,Argentina,Manchester City,24,2015-2016
Jamie Vardy,England,Leicester City,24,2015-2016
Romelu Lukaku,Belgium,Everton FC,18,2015-2016
Riyad Mahrez,Algeria,Leicester City,17,2015-2016
Olivier Giroud,France,Arsenal FC,16,2015-2016
Odion Ighalo,Nigeria,Watford FC,16,2015-2016
Jermain Defoe,England,Sunderland AFC,15,2015-2016
Troy Deeney,England,Watford FC,13,2015-2016
Alexis Sánchez,Chile,Arsenal FC,13,2015-2016
André Ayew,Ghana,Swansea City,12,2015-2016
Diego Costa,Brazil,Chelsea FC,12,2015-2016
Marko Arnautović,Austria,Stoke City,11,2015-2016
Sadio Mané,Senegal,Southampton FC,11,2015-2016
Anthony Martial,France,Manchester United,11,2015-2016
Graziano Pellè,Italy,Southampton FC,11,2015-2016
Gylfi Sigurðsson,Iceland,Swansea City,11,2015-2016
Georginio Wijnaldum,Netherlands,Newcastle United,11,2015-2016
Dele Alli,England,Tottenham Hotspur,10,2015-2016
Shane Long,Ireland,Southampton FC,10,2015-2016
Roberto Firmino,Brazil,Liverpool FC,10,2015-2016
Christian Benteke,Belgium,Liverpool FC,9,2015-2016
Andy Carroll,England,West Ham United,9,2015-2016
Aleksandar Mitrović,Serbia,Newcastle United,9,2015-2016
Dimitri Payet,France,West Ham United,9,2015-2016
Salomón Rondón,Venezuela,West Bromwich Albion,9,2015-2016
Michail Antonio,Jamaica,West Ham United,8,2015-2016
Ross Barkley,England,Everton FC,8,2015-2016
Kelechi Iheanacho,Nigeria,Manchester City,8,2015-2016
Philippe Coutinho,Brazil,Liverpool FC,8,2015-2016
Wayne Rooney,England,Manchester United,8,2015-2016
Daniel Sturridge,England,Liverpool FC,8,2015-2016
Dušan Tadić,Serbia,Southampton FC,8,2015-2016
Jordan Ayew,Ghana,Aston Villa,7,2015-2016
Bojan,Spain,Stoke City,7,2015-2016
Kevin De Bruyne,Belgium,Manchester City,7,2015-2016
Dieumerci Mbokani,Congo DR,Norwich City,7,2015-2016
Mark Noble,England,West Ham United,7,2015-2016
Pedro,Spain,Chelsea FC,7,2015-2016
Ayoze Pérez,Spain,Newcastle United,6,2015-2016
Christian Eriksen,Denmark,Tottenham Hotspur,6,2015-2016
Bafétimbi Gomis,France,Swansea City,6,2015-2016
Juan Mata,Spain,Manchester United,6,2015-2016
Joshua King,Norway,AFC Bournemouth,6,2015-2016
Manuel Lanzini,Argentina,West Ham United,6,2015-2016
Mesut Özil,Germany,Arsenal FC,6,2015-2016
Nathan Redmond,England,Norwich City,6,2015-2016
Raheem Sterling,England,Manchester City,6,2015-2016
Yaya Touré,Ivory Coast,Manchester City,6,2015-2016
Leonardo Ulloa,Argentina,Leicester City,6,2015-2016
Patrick van Aanholt,Netherlands,Sunderland AFC,6,2015-2016
Yannick Bolasie,Congo DR,Crystal Palace,5,2015-2016
Fabio Borini,Italy,Sunderland AFC,5,2015-2016
Yohan Cabaye,France,Crystal Palace,5,2015-2016
Cesc Fàbregas,Spain,Chelsea FC,5,2015-2016
Scott Dann,England,Crystal Palace,5,2015-2016
Steven Davis,Northern Ireland,Southampton FC,5,2015-2016
Mame Diouf,Senegal,Stoke City,5,2015-2016
Rudy Gestede,Benin,Aston Villa,5,2015-2016
Arouna Koné,Ivory Coast,Everton FC,5,2015-2016
Cheikhou Kouyaté,Senegal,West Ham United,5,2015-2016
Érik Lamela,Argentina,Tottenham Hotspur,5,2015-2016
Aaron Lennon,England,Everton FC,5,2015-2016
James Milner,England,Liverpool FC,5,2015-2016
Shinji Okazaki,Japan,Leicester City,5,2015-2016
Divock Origi,Belgium,Liverpool FC,5,2015-2016
Aaron Ramsey,Wales,Arsenal FC,5,2015-2016
Marcus Rashford,England,Manchester United,5,2015-2016
Diafra Sakho,Senegal,West Ham United,5,2015-2016
Theo Walcott,England,Arsenal FC,5,2015-2016
Jon Walters,Ireland,Stoke City,5,2015-2016
Connor Wickham,England,Crystal Palace,5,2015-2016
Willian,Brazil,Chelsea FC,5,2015-2016
Callum Wilson,England,AFC Bournemouth,5,2015-2016
Benik Afobe,Congo DR,AFC Bournemouth,4,2015-2016
Toby Alderweireld,Belgium,Tottenham Hotspur,4,2015-2016
Saido Berahino,Burundi,West Bromwich Albion,4,2015-2016
Wilfried Bony,Ivory Coast,Manchester City,4,2015-2016
Steve Cook,England,AFC Bournemouth,4,2015-2016
Craig Dawson,England,West Bromwich Albion,4,2015-2016
Steven Fletcher,Scotland,Sunderland AFC,4,2015-2016
Ramiro Funes Mori,Argentina,Everton FC,4,2015-2016
Eden Hazard,Belgium,Chelsea FC,4,2015-2016
Wes Hoolahan,Ireland,Norwich City,4,2015-2016
Joselu,Spain,Stoke City,4,2015-2016
Laurent Koscielny,France,Arsenal FC,4,2015-2016
Adam Lallana,England,Liverpool FC,4,2015-2016
Jesse Lingard,England,Manchester United,4,2015-2016
Kevin Mirallas,Belgium,Everton FC,4,2015-2016
Steven Naismith,Scotland,Norwich City,4,2015-2016
Matt Ritchie,Scotland,AFC Bournemouth,4,2015-2016
Heung-min Son,South Korea,Tottenham Hotspur,4,2015-2016
Andros Townsend,England,Tottenham Hotspur,4,2015-2016
Enner Valencia,Ecuador,West Ham United,4,2015-2016
Danny Welbeck,England,Arsenal FC,4,2015-2016
Ander Herrera,Spain,Manchester United,3,2015-2016
Robbie Brady,Ireland,Norwich City,3,2015-2016
