Player,Country,Team,Goals,Season
Joel Campbell,Costa Rica,Arsenal FC,3,2015-2016
Nacer Chadli,Belgium,Tottenham Hotspur,3,2015-2016
Papiss Demba Cissé,Senegal,Newcastle United,3,2015-2016
Charlie Daniels,England,AFC Bournemouth,3,2015-2016
Mousa Dembélé,Belgium,Tottenham Hotspur,3,2015-2016
Eric Dier,England,Tottenham Hotspur,3,2015-2016
Danny Drinkwater,England,Leicester City,3,2015-2016
Craig Gardner,England,West Bromwich Albion,3,2015-2016
Dwight Gayle,England,Crystal Palace,3,2015-2016
Dan Gosling,England,AFC Bournemouth,3,2015-2016
Jonny Howson,England,Norwich City,3,2015-2016
Robert Huth,Germany,Leicester City,3,2015-2016
Cameron Jerome,Grenada,Norwich City,3,2015-2016
Aleksandar Kolarov,Serbia,Manchester City,3,2015-2016
Jeremain Lens,Netherlands,Sunderland AFC,3,2015-2016
Joleon Lescott,England,West Bromwich Albion,3,2015-2016
Russell Martin,Scotland,Norwich City,3,2015-2016
James Morrison,Scotland,West Bromwich Albion,3,2015-2016
Glenn Murray,England,Crystal Palace,3,2015-2016
Oscar,Brazil,Chelsea FC,3,2015-2016
Marc Pugh,England,AFC Bournemouth,3,2015-2016
Xherdan Shaqiri,Switzerland,Stoke City,3,2015-2016
Junior Stanislas,England,AFC Bournemouth,3,2015-2016
Virgil van Dijk,Netherlands,Southampton FC,3,2015-2016
Duncan Watmore,England,Sunderland AFC,3,2015-2016
Mauro Zárate,Argentina,West Ham United,3,2015-2016
Almen Abdi,Switzerland,Watford FC,2,2015-2016
Ibrahim Afellay,Netherlands,Stoke City,2,2015-2016
Marc Albrighton,England,Leicester City,2,2015-2016
Joe Allen,Wales,Liverpool FC,2,2015-2016
Azpilicueta,Spain,Chelsea FC,2,2015-2016
Leighton Baines,England,Everton FC,2,2015-2016
Gary Cahill,England,Chelsea FC,2,2015-2016
Carles Gil,Spain,Aston Villa,2,2015-2016
Tom Cleverley,England,Everton FC,2,2015-2016
Aaron Cresswell,England,West Ham United,2,2015-2016
David Silva,Spain,Manchester City,2,2015-2016
Damien Delaney,Ireland,Crystal Palace,2,2015-2016
Fabian Delph,England,Manchester City,2,2015-2016
Memphis Depay,Netherlands,Manchester United,2,2015-2016
Fernandinho,Brazil,Manchester City,2,2015-2016
Fernando,Brazil,Manchester City,2,2015-2016
Gerard Deulofeu,Spain,Everton FC,2,2015-2016
Jordan Henderson,England,Liverpool FC,2,2015-2016
Giannelli Imbula,France,Stoke City,2,2015-2016
Danny Ings,England,Liverpool FC,2,2015-2016
Branislav Ivanović,Serbia,Chelsea FC,2,2015-2016
Alex Iwobi,Nigeria,Arsenal FC,2,2015-2016
Daryl Janmaat,Netherlands,Newcastle United,2,2015-2016
Carl Jenkinson,England,West Ham United,2,2015-2016
Adam Johnson,England,Sunderland AFC,2,2015-2016
José Fonte,Portugal,Southampton FC,2,2015-2016
Wahbi Khazri,Tunisia,Sunderland AFC,2,2015-2016
Sung-yueng Ki,South Korea,Swansea City,2,2015-2016
Andy King,Wales,Leicester City,2,2015-2016
Vincent Kompany,Belgium,Manchester City,2,2015-2016
Lamine Koné,Ivory Coast,Sunderland AFC,2,2015-2016
Jamaal Lascelles,England,Newcastle United,2,2015-2016
Nemanja Matić,Serbia,Chelsea FC,2,2015-2016
James McArthur,Scotland,Crystal Palace,2,2015-2016
James McCarthy,Ireland,Everton FC,2,2015-2016
James McClean,Ireland,West Bromwich Albion,2,2015-2016
Wes Morgan,Jamaica,Leicester City,2,2015-2016
Samir Nasri,France,Manchester City,2,2015-2016
Alberto Paloschi,Italy,Swansea City,2,2015-2016
Sebastian Prödl,Austria,Watford FC,2,2015-2016
Jason Puncheon,England,Crystal Palace,2,2015-2016
Ramires,Brazil,Chelsea FC,2,2015-2016
Wayne Routledge,England,Swansea City,2,2015-2016
Bakary Sako,Mali,Crystal Palace,2,2015-2016
Stéphane Sessègnon,Benin,West Bromwich Albion,2,2015-2016
Scott Sinclair,England,Aston Villa,2,2015-2016
Adam Smith,England,AFC Bournemouth,2,2015-2016
Alexander Tettey,Norway,Norwich City,2,2015-2016
Bertrand Traoré,Burkina Faso,Chelsea FC,2,2015-2016
Joel Ward,England,Crystal Palace,2,2015-2016
James Ward-Prowse,England,Southampton FC,2,2015-2016
Ashley Westwood,England,Aston Villa,2,2015-2016
Ashley Williams,Wales,Swansea City,2,2015-2016
Wilfried Zaha,Ivory Coast,Crystal Palace,2,2015-2016
Rolando Aarons,Jamaica,Newcastle United,1,2015-2016
Charlie Adam,Scotland,Stoke City,1,2015-2016
Emmanuel Adebayor,Togo,Crystal Palace,1,2015-2016
Gabriel Agbonlahor,England,Aston Villa,1,2015-2016
Nathan Aké,Netherlands,Watford FC,1,2015-2016
Alberto Moreno,Spain,Liverpool FC,1,2015-2016
Alexandre Pato,Brazil,Chelsea FC,1,2015-2016
Vurnon Anita,Curaçao,Newcastle United,1,2015-2016
Harry Arter,Ireland,AFC Bournemouth,1,2015-2016
Charlie Austin,England,Southampton FC,1,2015-2016
Leandro Bacuna,Curaçao,Aston Villa,1,2015-2016
Modou Barrow,Gambia,Swansea City,1,2015-2016
Sébastien Bassong,Cameroon,Norwich City,1,2015-2016
Ryan Bertrand,England,Southampton FC,1,2015-2016
Daley Blind,Netherlands,Manchester United,1,2015-2016
Emre Can,Germany,Liverpool FC,1,2015-2016
Tom Carroll,England,Tottenham Hotspur,1,2015-2016
Craig Cathcart,Northern Ireland,Watford FC,1,2015-2016
José Cholevas,Greece,Watford FC,1,2015-2016
Ciaran Clark,Ireland,Aston Villa,1,2015-2016
Nathaniel Clyne,England,Liverpool FC,1,2015-2016
Jack Colback,England,Newcastle United,1,2015-2016
Séamus Coleman,Ireland,Everton FC,1,2015-2016
Fabricio Coloccini,Argentina,Newcastle United,1,2015-2016
Jack Cork,England,Swansea City,1,2015-2016
Matteo Darmian,Italy,Manchester United,1,2015-2016
Ritchie De Laet,Belgium,Leicester City,1,2015-2016
Paul Dummett,Wales,Newcastle United,1,2015-2016
Nathan Dyer,England,Swansea City,1,2015-2016
Tommy Elphick,England,AFC Bournemouth,1,2015-2016
Jonny Evans,Northern Ireland,West Bromwich Albion,1,2015-2016
Radamel Falcao,Colombia,Chelsea FC,1,2015-2016
Marouane Fellaini,Belgium,Manchester United,1,2015-2016
Federico Fernández,Argentina,Swansea City,1,2015-2016
Darren Fletcher,Scotland,West Bromwich Albion,1,2015-2016
Gabriel Paulista,Brazil,Arsenal FC,1,2015-2016
Kieran Gibbs,England,Arsenal FC,1,2015-2016
Lewis Grabban,Jamaica,Norwich City,1,2015-2016
Max Gradel,Ivory Coast,AFC Bournemouth,1,2015-2016
Jack Grealish,England,Aston Villa,1,2015-2016
Héctor Bellerín,Spain,Arsenal FC,1,2015-2016
Jordon Ibe,England,Liverpool FC,1,2015-2016
Adnan Januzaj,Belgium,Manchester United,1,2015-2016
Matthew Jarvis,England,West Ham United,1,2015-2016
Nikica Jelavić,Croatia,West Ham United,1,2015-2016
Billy Jones,England,Sunderland AFC,1,2015-2016
N'Golo Kanté,France,Leicester City,1,2015-2016
Kenedy,Brazil,Chelsea FC,1,2015-2016
Timm Klose,Switzerland,Norwich City,1,2015-2016
Rickie Lambert,England,West Bromwich Albion,1,2015-2016
Miguel Layún,Mexico,Watford FC,1,2015-2016
Joe Ledley,Wales,Crystal Palace,1,2015-2016
Chung-yong Lee,South Korea,Crystal Palace,1,2015-2016
Ruben Loftus-Cheek,England,Chelsea FC,1,2015-2016
Yann M'Vila,France,Sunderland AFC,1,2015-2016
Modibo Maïga,Mali,West Ham United,1,2015-2016
Cuco Martina,Curaçao,Southampton FC,1,2015-2016
Ryan Mason,England,Tottenham Hotspur,1,2015-2016
Gareth McAuley,Northern Ireland,West Bromwich Albion,1,2015-2016
Victor Moses,Nigeria,West Ham United,1,2015-2016
Dame N'Doye,Senegal,Sunderland AFC,1,2015-2016
Jonas Olsson,Sweden,West Bromwich Albion,1,2015-2016
Martin Olsson,Sweden,Norwich City,1,2015-2016
Oriol Romeu,Spain,Southampton FC,1,2015-2016
Nicolás Otamendi,Argentina,Manchester City,1,2015-2016
Alex Oxlade-Chamberlain,England,Arsenal FC,1,2015-2016
Winston Reid,New Zealand,West Ham United,1,2015-2016
Loïc Rémy,France,Chelsea FC,1,2015-2016
Micah Richards,England,Aston Villa,1,2015-2016
Jack Rodwell,England,Sunderland AFC,1,2015-2016
Danny Rose,England,Tottenham Hotspur,1,2015-2016
Mamadou Sakho,France,Liverpool FC,1,2015-2016
Jeffrey Schlupp,Ghana,Leicester City,1,2015-2016
Morgan Schneiderlin,France,Manchester United,1,2015-2016
Bastian Schweinsteiger,Germany,Manchester United,1,2015-2016
Jonjo Shelvey,England,Swansea City,1,2015-2016
Moussa Sissoko,France,Newcastle United,1,2015-2016
Martin Škrtel,Slovakia,Liverpool FC,1,2015-2016
John Terry,England,Chelsea FC,1,2015-2016
Kolo Touré,Ivory Coast,Liverpool FC,1,2015-2016
Kieran Trippier,England,Tottenham Hotspur,1,2015-2016
Kyle Walker,England,Tottenham Hotspur,1,2015-2016
Victor Wanyama,Kenya,Southampton FC,1,2015-2016
Ben Watson,England,Watford FC,1,2015-2016
Steven Whittaker,Scotland,Norwich City,1,2015-2016
Maya Yoshida,Japan,Southampton FC,1,2015-2016
Ashley Young,England,Manchester United,1,2015-2016
Kurt Zouma,France,Chelsea FC,1,2015-2016
