Player,Country,Team,Goals,Season
Andre Gray,Jamaica,Burnley FC,25,2015-2016
Ross McCormack,Scotland,Fulham FC,21,2015-2016
Abel Hernández,Uruguay,Hull City,20,2015-2016
Jonathan Kodjia,Ivory Coast,Bristol City,19,2015-2016
Tomer Hemed,Israel,Brighton & Hove Albion,17,2015-2016
Nahki Wells,Bermuda,Huddersfield Town,17,2015-2016
Jordan Rhodes,Scotland,Middlesbrough FC,16,2015-2016
Moussa Dembélé,France,Fulham FC,15,2015-2016
Fernando Forestieri,Italy,Sheffield Wednesday,15,2015-2016
Chris Martin,Scotland,Derby County,15,2015-2016
Sam Vokes,Wales,Burnley FC,15,2015-2016
Alan Judge,Ireland,Brentford FC,14,2015-2016
Lasse Vibe,Denmark,Brentford FC,14,2015-2016
Gary Hooper,England,Sheffield Wednesday,13,2015-2016
Chris Wood,New Zealand,Leeds United,13,2015-2016
Tom Ince,England,Derby County,12,2015-2016
Nick Blackman,Barbados,Reading FC,11,2015-2016
Clayton Donaldson,England,Birmingham City,11,2015-2016
Tjaronn Chery,Suriname,Queens Park Rangers,10,2015-2016
Daryl Murphy,Ireland,Ipswich Town,10,2015-2016
Brett Pitman,England,Ipswich Town,10,2015-2016
Benik Afobe,Congo DR,Wolverhampton Wanderers,9,2015-2016
Mirco Antenucci,Italy,Leeds United,9,2015-2016
Charlie Austin,England,Queens Park Rangers,9,2015-2016
Momo Diamé,Senegal,Hull City,9,2015-2016
Joe Mason,Ireland,Wolverhampton Wanderers,9,2015-2016
Nélson Oliveira,Portugal,Nottingham Forest,9,2015-2016
Anthony Pilkington,Ireland,Cardiff City,9,2015-2016
Johnny Russell,Scotland,Derby County,9,2015-2016
Scott Arfield,Canada,Burnley FC,8,2015-2016
Jacob Butterfield,England,Huddersfield Town,8,2015-2016
Tom Cairney,England,Fulham FC,8,2015-2016
Matt Derbyshire,England,Rotherham United,8,2015-2016
Daniel Johnson,Jamaica,Preston North End,8,2015-2016
David Nugent,England,Middlesbrough FC,8,2015-2016
Matthew Phillips,Scotland,Queens Park Rangers,8,2015-2016
Jon Toral,Spain,Birmingham City,8,2015-2016
Aaron Wilbraham,England,Bristol City,8,2015-2016
Zach Clough,England,Bolton Wanderers,7,2015-2016
Danny Graham,England,Blackburn Rovers,7,2015-2016
James Henry,England,Wolverhampton Wanderers,7,2015-2016
Scott Hogan,Ireland,Brentford FC,7,2015-2016
Gastón Ramírez,Uruguay,Middlesbrough FC,7,2015-2016
Sergi Canós,Spain,Brentford FC,7,2015-2016
Dale Stephens,England,Brighton & Hove Albion,7,2015-2016
Cristhian Stuani,Uruguay,Middlesbrough FC,7,2015-2016
John Swift,England,Brentford FC,7,2015-2016
Bobby Zamora,England,Brighton & Hove Albion,7,2015-2016
Albert Adomah,Ghana,Middlesbrough FC,6,2015-2016
Harry Bunn,England,Huddersfield Town,6,2015-2016
Jonson Clarke-Harris,England,Rotherham United,6,2015-2016
Sam Clucas,England,Hull City,6,2015-2016
Liam Feeney,England,Ipswich Town,6,2015-2016
Aden Flint,England,Bristol City,6,2015-2016
Joe Garner,England,Preston North End,6,2015-2016
Jóhann Guðmundsson,Iceland,Charlton Athletic,6,2015-2016
Junior Hoilett,Canada,Queens Park Rangers,6,2015-2016
