Player,Country,Team,Goals,Season
Lucas João,Angola,Sheffield Wednesday,6,2015-2016
Nicky Maynard,England,Milton Keynes Dons,6,2015-2016
Jamie Murphy,Scotland,Brighton & Hove Albion,6,2015-2016
Jamie Paterson,England,Nottingham Forest,6,2015-2016
Sebastian Polter,Germany,Queens Park Rangers,6,2015-2016
Freddie Sears,England,Ipswich Town,6,2015-2016
Lee Tomlin,England,Bristol City,6,2015-2016
Peter Whittingham,England,Cardiff City,6,2015-2016
George Boyd,Scotland,Burnley FC,5,2015-2016
Stuart Dallas,Northern Ireland,Leeds United,5,2015-2016
David Edwards,Wales,Wolverhampton Wanderers,5,2015-2016
Lee Frecklington,Ireland,Rotherham United,5,2015-2016
Paul Gallagher,Scotland,Preston North End,5,2015-2016
Stephen Gleeson,Ireland,Birmingham City,5,2015-2016
Emyr Huws,Wales,Huddersfield Town,5,2015-2016
Lex Immers,Netherlands,Cardiff City,5,2015-2016
Bradley Johnson,England,Derby County,5,2015-2016
Kenwyne Jones,Trinidad & Tobago,Cardiff City,5,2015-2016
Michael Keane,England,Burnley FC,5,2015-2016
Anthony Knockaert,France,Brighton & Hove Albion,5,2015-2016
Kieran Lee,England,Sheffield Wednesday,5,2015-2016
Ademola Lookman,Nigeria,Charlton Athletic,5,2015-2016
Gary Madine,England,Bolton Wanderers,5,2015-2016
Jacques Maghoma,Congo DR,Birmingham City,5,2015-2016
Simon Makienok,Denmark,Charlton Athletic,5,2015-2016
Matt Mills,England,Nottingham Forest,5,2015-2016
Josh Murphy,England,Milton Keynes Dons,5,2015-2016
Joe Newell,England,Rotherham United,5,2015-2016
Craig Noone,England,Cardiff City,5,2015-2016
Orlando Sá,Portugal,Reading FC,5,2015-2016
Adam Reach,England,Preston North End,5,2015-2016
George Saville,Northern Ireland,Wolverhampton Wanderers,5,2015-2016
Tony Watt,Scotland,Charlton Athletic,5,2015-2016
Daniel Williams,USA,Reading FC,5,2015-2016
James Wilson,England,Brighton & Hove Albion,5,2015-2016
Sam Baldock,England,Brighton & Hove Albion,4,2015-2016
Sol Bamba,Ivory Coast,Leeds United,4,2015-2016
Leon Best,Ireland,Rotherham United,4,2015-2016
Dexter Blackstock,Antigua & Barbuda,Nottingham Forest,4,2015-2016
Dean Bowditch,England,Milton Keynes Dons,4,2015-2016
Paul Caddis,Scotland,Birmingham City,4,2015-2016
Mustapha Carayol,Gambia,Middlesbrough FC,4,2015-2016
David Cotterill,Wales,Birmingham City,4,2015-2016
Marco Djuričin,Austria,Brentford FC,4,2015-2016
Stephen Dobbie,Scotland,Bolton Wanderers,4,2015-2016
Shane Duffy,Ireland,Blackburn Rovers,4,2015-2016
Diego Fabbrini,Italy,Middlesbrough FC,4,2015-2016
Ryan Fraser,Scotland,Ipswich Town,4,2015-2016
Philipp Hofmann,Germany,Brentford FC,4,2015-2016
Ola John,Netherlands,Reading FC,4,2015-2016
Kike García,Spain,Middlesbrough FC,4,2015-2016
Henri Lansbury,England,Nottingham Forest,4,2015-2016
Grant Leadbitter,England,Middlesbrough FC,4,2015-2016
Jake Livermore,England,Hull City,4,2015-2016
Joe Lolley,England,Huddersfield Town,4,2015-2016
Garath McCleary,Jamaica,Reading FC,4,2015-2016
David McGoldrick,Ireland,Ipswich Town,4,2015-2016
Ben Pringle,England,Ipswich Town,4,2015-2016
Alex Revell,England,Milton Keynes Dons,4,2015-2016
Matthew Taylor,England,Burnley FC,4,2015-2016
Danny Ward,England,Rotherham United,4,2015-2016
Andreas Weimann,Austria,Derby County,4,2015-2016
Cauley Woodrow,England,Fulham FC,4,2015-2016
Hope Akpan,Nigeria,Blackburn Rovers,3,2015-2016
Chuba Akpom,England,Hull City,3,2015-2016
Sone Aluko,Nigeria,Hull City,3,2015-2016
Carl Baker,England,Milton Keynes Dons,3,2015-2016
Joey Barton,England,Burnley FC,3,2015-2016
Alan Browne,Ireland,Preston North End,3,2015-2016
Craig Bryson,Scotland,Derby County,3,2015-2016
Sam Byram,England,Leeds United,3,2015-2016
Luke Chambers,England,Ipswich Town,3,2015-2016
Craig Conway,Scotland,Blackburn Rovers,3,2015-2016
Adama Diomandé,Norway,Hull City,3,2015-2016
Jonathan Douglas,Ireland,Ipswich Town,3,2015-2016
Souleymane Doukara,Senegal,Leeds United,3,2015-2016
Stewart Downing,England,Middlesbrough FC,3,2015-2016
Eoin Doyle,Ireland,Preston North End,3,2015-2016
Lewis Dunk,England,Brighton & Hove Albion,3,2015-2016
Ahmed Elmohamady,Egypt,Hull City,3,2015-2016
Jay Emmanuel-Thomas,England,Queens Park Rangers,3,2015-2016
Callum Harriott,England,Charlton Athletic,3,2015-2016
Mark Hudson,England,Huddersfield Town,3,2015-2016
Jordan Hugill,England,Preston North End,3,2015-2016
Johnnie Jackson,England,Charlton Athletic,3,2015-2016
Jordi Gómez,Spain,Blackburn Rovers,3,2015-2016
Alexander Kačaniklić,Sweden,Fulham FC,3,2015-2016
Yann Kermorgant,France,Reading FC,3,2015-2016
Maikel Kieftenbeld,Netherlands,Birmingham City,3,2015-2016
Adam Le Fondre,England,Wolverhampton Wanderers,3,2015-2016
Tom Lees,England,Sheffield Wednesday,3,2015-2016
Kazenga LuaLua,England,Brighton & Hove Albion,3,2015-2016
Lucas Piazón,Brazil,Reading FC,3,2015-2016
Solly March,England,Brighton & Hove Albion,3,2015-2016
Marco Matias,Portugal,Sheffield Wednesday,3,2015-2016
Kevin McDonald,Scotland,Wolverhampton Wanderers,3,2015-2016
Lewis McGugan,England,Sheffield Wednesday,3,2015-2016
Michael Morrison,England,Birmingham City,3,2015-2016
Sean Morrison,England,Cardiff City,3,2015-2016
Emilio N'Sue,Equatorial Guinea,Middlesbrough FC,3,2015-2016
Oliver Norwood,Northern Ireland,Reading FC,3,2015-2016
Atdhe Nuhiu,Kosovo,Sheffield Wednesday,3,2015-2016
Ben Osborn,England,Nottingham Forest,3,2015-2016
Deniss Rakels,Latvia,Reading FC,3,2015-2016
Ben Reeves,Northern Ireland,Milton Keynes Dons,3,2015-2016
Paul Robinson,England,Birmingham City,3,2015-2016
Hal Robson-Kanu,Wales,Reading FC,3,2015-2016
Yaya Sanogo,France,Charlton Athletic,3,2015-2016
Sam Saunders,England,Brentford FC,3,2015-2016
Robert Snodgrass,Scotland,Hull City,3,2015-2016
Matěj Vydra,Czech Republic,Reading FC,3,2015-2016
Ross Wallace,Scotland,Sheffield Wednesday,3,2015-2016
Michał Żyro,Poland,Wolverhampton Wanderers,3,2015-2016
Tom Adeyemi,England,Leeds United,2,2015-2016
Kieran Agard,England,Bristol City,2,2015-2016
Shola Ameobi,Nigeria,Bolton Wanderers,2,2015-2016
Tony Andreu,France,Rotherham United,2,2015-2016
Michail Antonio,Jamaica,Nottingham Forest,2,2015-2016
Barry Bannan,Scotland,Sheffield Wednesday,2,2015-2016
Danny Batth,England,Wolverhampton Wanderers,2,2015-2016
Jermaine Beckford,Jamaica,Preston North End,2,2015-2016
Elliott Bennett,Jamaica,Bristol City,2,2015-2016
Darren Bent,England,Derby County,2,2015-2016
Jake Bidwell,England,Brentford FC,2,2015-2016
Kévin Bru,Mauritius,Ipswich Town,2,2015-2016
Joe Bryan,England,Bristol City,2,2015-2016
Chris Burke,Scotland,Rotherham United,2,2015-2016
Oliver Burke,Scotland,Nottingham Forest,2,2015-2016
Nathan Byrne,England,Wolverhampton Wanderers,2,2015-2016
Simon Church,Wales,Milton Keynes Dons,2,2015-2016
Danny Collins,Wales,Rotherham United,2,2015-2016
Jake Cooper,England,Reading FC,2,2015-2016
Jordan Cousins,England,Charlton Athletic,2,2015-2016
Greg Cunningham,Ireland,Preston North End,2,2015-2016
Daniel Ayala,Spain,Middlesbrough FC,2,2015-2016
Neil Danns,Guyana,Bolton Wanderers,2,2015-2016
Curtis Davies,England,Hull City,2,2015-2016
Bobby De Cordova-Reid,Jamaica,Bristol City,2,2015-2016
Toumani Diagouraga,France,Leeds United,2,2015-2016
Matt Doherty,Ireland,Wolverhampton Wanderers,2,2015-2016
Bruno Écuélé Manga,Gabon,Cardiff City,2,2015-2016
Leroy Fer,Netherlands,Queens Park Rangers,2,2015-2016
Adam Forshaw,England,Middlesbrough FC,2,2015-2016
Gary Gardner,England,Nottingham Forest,2,2015-2016
Reza Ghoochannejhad,Iran,Charlton Athletic,2,2015-2016
Connor Goldson,England,Brighton & Hove Albion,2,2015-2016
Aron Gunnarsson,Iceland,Cardiff City,2,2015-2016
Greg Halford,England,Rotherham United,2,2015-2016
Robert Hall,England,Milton Keynes Dons,2,2015-2016
Grant Hanley,Scotland,Blackburn Rovers,2,2015-2016
Jeff Hendrick,Ireland,Derby County,2,2015-2016
Emile Heskey,England,Bolton Wanderers,2,2015-2016
Tom Huddlestone,England,Hull City,2,2015-2016
Simeon Jackson,Canada,Blackburn Rovers,2,2015-2016
Jorge Teixeira,Portugal,Charlton Athletic,2,2015-2016
Antony Kay,England,Milton Keynes Dons,2,2015-2016
Beram Kayal,Israel,Brighton & Hove Albion,2,2015-2016
Tom Lawrence,Wales,Cardiff City,2,2015-2016
Harry Lennon,England,Charlton Athletic,2,2015-2016
Joel Lynch,Wales,Huddersfield Town,2,2015-2016
Scott Malone,England,Cardiff City,2,2015-2016
Ben Marshall,England,Blackburn Rovers,2,2015-2016
Ben Mee,England,Burnley FC,2,2015-2016
Ryan Mendes,Cape Verde,Nottingham Forest,2,2015-2016
David Meyler,Ireland,Hull City,2,2015-2016
Alex Mowatt,England,Leeds United,2,2015-2016
Chris O'Grady,England,Nottingham Forest,2,2015-2016
Stuart O'Keefe,England,Cardiff City,2,2015-2016
Peter Odemwingie,Nigeria,Bristol City,2,2015-2016
Sheyi Ojo,England,Wolverhampton Wanderers,2,2015-2016
Nedum Onuoha,England,Queens Park Rangers,2,2015-2016
Daniel Powell,England,Milton Keynes Dons,2,2015-2016
Daniel Pudil,Czech Republic,Sheffield Wednesday,2,2015-2016
Farrend Rawson,England,Rotherham United,2,2015-2016
Andy Robertson,Scotland,Hull City,2,2015-2016
Callum Robinson,Ireland,Preston North End,2,2015-2016
Jiří Skalák,Czech Republic,Brighton & Hove Albion,2,2015-2016
Matt Smith,England,Fulham FC,2,2015-2016
Tommy Smith,New Zealand,Ipswich Town,2,2015-2016
Modou Sougou,Senegal,Sheffield Wednesday,2,2015-2016
Jay Spearing,England,Bolton Wanderers,2,2015-2016
George Thorne,England,Derby County,2,2015-2016
Tom Thorpe,England,Rotherham United,2,2015-2016
Liam Trotter,England,Nottingham Forest,2,2015-2016
Ryan Tunnicliffe,England,Fulham FC,2,2015-2016
Rajiv van La Parra,Netherlands,Wolverhampton Wanderers,2,2015-2016
Josh Vela,England,Bolton Wanderers,2,2015-2016
Marnick Vermijl,Belgium,Preston North End,2,2015-2016
Grant Ward,England,Rotherham United,2,2015-2016
Jamie Ward,Northern Ireland,Nottingham Forest,2,2015-2016
Wellington Silva,Brazil,Bolton Wanderers,2,2015-2016
Ryan Woods,England,Brentford FC,2,2015-2016
Kaiyne Woolery,England,Bolton Wanderers,2,2015-2016
Nico Yennaris,China,Brentford FC,2,2015-2016
Kenneth Zohoré,Denmark,Cardiff City,2,2015-2016
Sammy Ameobi,England,Cardiff City,1,2015-2016
Gabriele Angella,Italy,Queens Park Rangers,1,2015-2016
Britt Assombalonga,Congo DR,Nottingham Forest,1,2015-2016
Nathan Baker,England,Bristol City,1,2015-2016
Yoann Barbet,France,Brentford FC,1,2015-2016
Brandon Barker,England,Rotherham United,1,2015-2016
Patrick Bauer,Germany,Charlton Athletic,1,2015-2016
Christophe Berra,Scotland,Ipswich Town,1,2015-2016
Philip Billing,Denmark,Huddersfield Town,1,2015-2016
Flo Bojaj,Albania,Huddersfield Town,1,2015-2016
Kirk Broadfoot,Scotland,Rotherham United,1,2015-2016
Alex Bruce,Northern Ireland,Hull City,1,2015-2016
Bruno Saltor,Spain,Brighton & Hove Albion,1,2015-2016
Will Buckley,England,Leeds United,1,2015-2016
Wes Burns,Wales,Bristol City,1,2015-2016
Samir Carruthers,Ireland,Milton Keynes Dons,1,2015-2016
Cyrus Christie,Ireland,Derby County,1,2015-2016
Adam Clayton,England,Middlesbrough FC,1,2015-2016
Chris Cohen,England,Nottingham Forest,1,2015-2016
Matthew Connolly,England,Cardiff City,1,2015-2016
Lewis Cook,England,Leeds United,1,2015-2016
Liam Cooper,Scotland,Leeds United,1,2015-2016
Simon Cox,Ireland,Reading FC,1,2015-2016
Tendayi Darikwa,Zimbabwe,Burnley FC,1,2015-2016
Jason Davidson,Australia,Huddersfield Town,1,2015-2016
David Davis,England,Birmingham City,1,2015-2016
Michael Dawson,England,Hull City,1,2015-2016
Nathan Delfouneso,England,Blackburn Rovers,1,2015-2016
Kyle Dempsey,England,Huddersfield Town,1,2015-2016
Dorian Dervite,France,Bolton Wanderers,1,2015-2016
Andre Dozzell,England,Ipswich Town,1,2015-2016
Ethan Ebanks-Landell,England,Wolverhampton Wanderers,1,2015-2016
Nasser El Khayati,Netherlands,Queens Park Rangers,1,2015-2016
Corry Evans,Northern Ireland,Blackburn Rovers,1,2015-2016
Fábio,Brazil,Cardiff City,1,2015-2016
Jake Forster-Caskey,England,Milton Keynes Dons,1,2015-2016
Morgan Fox,Wales,Charlton Athletic,1,2015-2016
Luke Freeman,England,Bristol City,1,2015-2016
George Friend,England,Middlesbrough FC,1,2015-2016
Luke Garbutt,England,Fulham FC,1,2015-2016
Ben Gibson,England,Middlesbrough FC,1,2015-2016
Jordan Graham,England,Wolverhampton Wanderers,1,2015-2016
Karlan Grant,England,Charlton Athletic,1,2015-2016
Demarai Gray,Jamaica,Birmingham City,1,2015-2016
Jonathan Grounds,England,Birmingham City,1,2015-2016
Grant Hall,England,Queens Park Rangers,1,2015-2016
Isaac Hayden,England,Hull City,1,2015-2016
Michael Hector,Jamaica,Reading FC,1,2015-2016
Rouwen Hennings,Germany,Burnley FC,1,2015-2016
Karl Henry,England,Queens Park Rangers,1,2015-2016
Clint Hill,England,Queens Park Rangers,1,2015-2016
Rob Holding,England,Bolton Wanderers,1,2015-2016
Duane Holmes,USA,Huddersfield Town,1,2015-2016
Emerson Hyndman,USA,Fulham FC,1,2015-2016
Rohan Ince,England,Fulham FC,1,2015-2016
Nikica Jelavić,Croatia,Hull City,1,2015-2016
David Jones,England,Burnley FC,1,2015-2016
Will Keane,Ireland,Preston North End,1,2015-2016
Richard Keogh,Ireland,Derby County,1,2015-2016
Neil Kilkenny,Australia,Preston North End,1,2015-2016
Jonas Knudsen,Denmark,Ipswich Town,1,2015-2016
Kyle Lafferty,Northern Ireland,Birmingham City,1,2015-2016
Dean Lewington,England,Milton Keynes Dons,1,2015-2016
Eric Lichaj,USA,Nottingham Forest,1,2015-2016
Matthew Lowton,England,Burnley FC,1,2015-2016
Jamie Mackie,Scotland,Queens Park Rangers,1,2015-2016
Michael Madl,Austria,Fulham FC,1,2015-2016
Ainsley Maitland-Niles,England,Ipswich Town,1,2015-2016
Shaun Maloney,Scotland,Hull City,1,2015-2016
Karim Matmour,Algeria,Huddersfield Town,1,2015-2016
Joe Mattock,England,Rotherham United,1,2015-2016
Aiden McGeady,Ireland,Sheffield Wednesday,1,2015-2016
Ishmael Miller,England,Huddersfield Town,1,2015-2016
Luke Murphy,England,Leeds United,1,2015-2016
Jack O'Connell,England,Brentford FC,1,2015-2016
Jamie O'Hara,England,Fulham FC,1,2015-2016
Vadis Odjidja-Ofoe,Belgium,Rotherham United,1,2015-2016
Marcus Olsson,Sweden,Derby County,1,2015-2016
Marlon Pack,England,Bristol City,1,2015-2016
Scott Parker,England,Fulham FC,1,2015-2016
Jonathan Parr,Norway,Ipswich Town,1,2015-2016
Darren Pratley,England,Bolton Wanderers,1,2015-2016
Jack Price,England,Wolverhampton Wanderers,1,2015-2016
Stephen Quinn,Ireland,Reading FC,1,2015-2016
Joe Ralls,England,Cardiff City,1,2015-2016
Naby Sarr,Senegal,Charlton Athletic,1,2015-2016
Sean Scannell,Ireland,Huddersfield Town,1,2015-2016
Jason Shackell,England,Derby County,1,2015-2016
Ryan Shotton,England,Derby County,1,2015-2016
Steven Sidwell,England,Brighton & Hove Albion,1,2015-2016
Richard Smallwood,England,Rotherham United,1,2015-2016
Viv Solomon-Otabor,Nigeria,Birmingham City,1,2015-2016
James Tarkowski,England,Burnley FC,1,2015-2016
Charlie Taylor,England,Leeds United,1,2015-2016
Robert Tesche,Germany,Nottingham Forest,1,2015-2016
Dániel Tőzsér,Hungary,Queens Park Rangers,1,2015-2016
Michael Turner,England,Sheffield Wednesday,1,2015-2016
Luke Varney,England,Ipswich Town,1,2015-2016
David Vaughan,Wales,Nottingham Forest,1,2015-2016
Igor Vetokele,Angola,Charlton Athletic,1,2015-2016
Lasse Vigen,Denmark,Fulham FC,1,2015-2016
Scott Wagstaff,England,Bristol City,1,2015-2016
Joe Walsh,Wales,Milton Keynes Dons,1,2015-2016
Elliott Ward,England,Huddersfield Town,1,2015-2016
Stephen Ward,Ireland,Burnley FC,1,2015-2016
David Wheater,England,Bolton Wanderers,1,2015-2016
Derrick Williams,Ireland,Bristol City,1,2015-2016
Lawrie Wilson,England,Bolton Wanderers,1,2015-2016
