Player,Country,Team,Goals,Season
Chris Wood,New Zealand,Leeds United,27,2016-2017
Tammy Abraham,England,Bristol City,23,2016-2017
Dwight Gayle,England,Newcastle United,23,2016-2017
Glenn Murray,England,Brighton & Hove Albion,23,2016-2017
Jonathan Kodjia,Ivory Coast,Bristol City,19,2016-2017
Yann Kermorgant,France,Reading FC,18,2016-2017
Cameron Jerome,Grenada,Norwich City,16,2016-2017
Scott Hogan,Ireland,Brentford FC,15,2016-2017
Anthony Knockaert,France,Brighton & Hove Albion,15,2016-2017
Lasse Vibe,Denmark,Brentford FC,15,2016-2017
Britt Assombalonga,Congo DR,Nottingham Forest,14,2016-2017
Tom Ince,England,Derby County,14,2016-2017
Sam Winnall,England,Sheffield Wednesday,14,2016-2017
Tom Cairney,England,Fulham FC,12,2016-2017
Fernando Forestieri,Italy,Sheffield Wednesday,12,2016-2017
Danny Graham,England,Blackburn Rovers,12,2016-2017
Jordan Hugill,England,Preston North End,12,2016-2017
Elias Kachunga,Congo DR,Huddersfield Town,12,2016-2017
Jota Peleteiro,Spain,Brentford FC,12,2016-2017
Matt Ritchie,Scotland,Newcastle United,12,2016-2017
Kenneth Zohoré,Denmark,Cardiff City,12,2016-2017
Sam Gallagher,England,Blackburn Rovers,11,2016-2017
Tomer Hemed,Israel,Brighton & Hove Albion,11,2016-2017
Stefan Johansen,Norway,Fulham FC,11,2016-2017
Lukas Jutkiewicz,England,Birmingham City,11,2016-2017
Nélson Oliveira,Portugal,Norwich City,11,2016-2017
Danny Ward,England,Rotherham United,11,2016-2017
Sam Baldock,England,Brighton & Hove Albion,10,2016-2017
Darren Bent,England,Derby County,10,2016-2017
David Edwards,Wales,Wolverhampton Wanderers,10,2016-2017
Steven Fletcher,Scotland,Sheffield Wednesday,10,2016-2017
Hélder Costa,Angola,Wolverhampton Wanderers,10,2016-2017
Jackson Irvine,Australia,Burton Albion,10,2016-2017
Chris Martin,Scotland,Fulham FC,10,2016-2017
Callum Robinson,Ireland,Preston North End,10,2016-2017
Idrissa Sylla,Guinea,Queens Park Rangers,10,2016-2017
Marley Watkins,Wales,Barnsley FC,10,2016-2017
Nahki Wells,Bermuda,Huddersfield Town,10,2016-2017
Floyd Ayité,Togo,Fulham FC,9,2016-2017
Ayoze Pérez,Spain,Newcastle United,9,2016-2017
Tom Lawrence,Wales,Ipswich Town,9,2016-2017
Garath McCleary,Jamaica,Reading FC,9,2016-2017
Jacob Murphy,England,Norwich City,9,2016-2017
Sone Aluko,Nigeria,Fulham FC,8,2016-2017
Tom Bradshaw,Wales,Barnsley FC,8,2016-2017
Aiden McGeady,Ireland,Preston North End,8,2016-2017
John Swift,England,Reading FC,8,2016-2017
Ché Adams,Scotland,Birmingham City,7,2016-2017
Izzy Brown,England,Rotherham United,7,2016-2017
Lloyd Dyer,England,Burton Albion,7,2016-2017
Wes Hoolahan,Ireland,Norwich City,7,2016-2017
Conor Hourihane,Ireland,Barnsley FC,7,2016-2017
Anthony Pilkington,Ireland,Cardiff City,7,2016-2017
Freddie Sears,England,Ipswich Town,7,2016-2017
Conor Washington,Northern Ireland,Queens Park Rangers,7,2016-2017
Peter Whittingham,England,Cardiff City,7,2016-2017
Tom Adeyemi,England,Rotherham United,6,2016-2017
Adam Armstrong,England,Newcastle United,6,2016-2017
Tom Barkhuizen,England,Preston North End,6,2016-2017
Kyle Bartley,England,Leeds United,6,2016-2017
Roy Beerens,Netherlands,Reading FC,6,2016-2017
Craig Conway,Scotland,Blackburn Rovers,6,2016-2017
Clayton Donaldson,England,Birmingham City,6,2016-2017
Graham Dorrans,Scotland,Norwich City,6,2016-2017
Souleymane Doukara,Senegal,Leeds United,6,2016-2017
Gary Hooper,England,Sheffield Wednesday,6,2016-2017
Neeskens Kebano,Congo DR,Fulham FC,6,2016-2017
Henri Lansbury,England,Nottingham Forest,6,2016-2017
Scott Malone,England,Fulham FC,6,2016-2017
David Nugent,England,Derby County,6,2016-2017
Pablo Hernández,Spain,Leeds United,6,2016-2017
Nick Powell,England,Wigan Athletic,6,2016-2017
Alex Pritchard,England,Norwich City,6,2016-2017
Joe Ralls,England,Cardiff City,6,2016-2017
Matt Smith,England,Queens Park Rangers,6,2016-2017
Lee Tomlin,England,Bristol City,6,2016-2017
Tolis Vellios,Greece,Nottingham Forest,6,2016-2017
Grant Ward,England,Ipswich Town,6,2016-2017
Nico Yennaris,China,Brentford FC,6,2016-2017
Lucas Akins,England,Burton Albion,5,2016-2017
Christian Atsu,Ghana,Newcastle United,5,2016-2017
Aden Flint,England,Bristol City,5,2016-2017
Yoan Gouffran,France,Newcastle United,5,2016-2017
Jack Grealish,England,Aston Villa,5,2016-2017
Will Grigg,Northern Ireland,Wigan Athletic,5,2016-2017
Jonny Howson,England,Norwich City,5,2016-2017
Ivan Cavaleiro,Portugal,Wolverhampton Wanderers,5,2016-2017
Kieran Lee,England,Sheffield Wednesday,5,2016-2017
Lucas Piazón,Brazil,Fulham FC,5,2016-2017
David McGoldrick,Ireland,Ipswich Town,5,2016-2017
Daryl Murphy,Ireland,Newcastle United,5,2016-2017
Steven Naismith,Scotland,Norwich City,5,2016-2017
Ryan Sessegnon,England,Fulham FC,5,2016-2017
Jonjo Shelvey,England,Newcastle United,5,2016-2017
Matěj Vydra,Czech Republic,Derby County,5,2016-2017
Ross Wallace,Scotland,Sheffield Wednesday,5,2016-2017
Jamie Ward,Northern Ireland,Nottingham Forest,5,2016-2017
Yanic Wildschut,Suriname,Wigan Athletic,5,2016-2017
Cauley Woodrow,England,Fulham FC,5,2016-2017
Danny Batth,England,Wolverhampton Wanderers,4,2016-2017
Robbie Brady,Ireland,Norwich City,4,2016-2017
Oliver Burke,Scotland,Nottingham Forest,4,2016-2017
Luke Chambers,England,Ipswich Town,4,2016-2017
Tjaronn Chery,Suriname,Queens Park Rangers,4,2016-2017
Tom Clarke,England,Preston North End,4,2016-2017
Zach Clough,England,Nottingham Forest,4,2016-2017
Maxime Colin,France,Brentford FC,4,2016-2017
David Davis,England,Birmingham City,4,2016-2017
Matt Doherty,Ireland,Wolverhampton Wanderers,4,2016-2017
John Egan,Ireland,Brentford FC,4,2016-2017
Marvin Emnes,Netherlands,Blackburn Rovers,4,2016-2017
Luke Freeman,England,Queens Park Rangers,4,2016-2017
Rudy Gestede,Benin,Aston Villa,4,2016-2017
Kadeem Harris,England,Cardiff City,4,2016-2017
Daniel Johnson,Jamaica,Preston North End,4,2016-2017
Michael Kightly,England,Burton Albion,4,2016-2017
Rickie Lambert,England,Cardiff City,4,2016-2017
Ross McCormack,Scotland,Nottingham Forest,4,2016-2017
Aleksandar Mitrović,Serbia,Newcastle United,4,2016-2017
Aaron Mooy,Australia,Huddersfield Town,4,2016-2017
Sean Morrison,England,Cardiff City,4,2016-2017
Josh Murphy,England,Norwich City,4,2016-2017
Ben Osborn,England,Nottingham Forest,4,2016-2017
Kasey Palmer,Jamaica,Huddersfield Town,4,2016-2017
Jamie Paterson,England,Nottingham Forest,4,2016-2017
Brett Pitman,England,Ipswich Town,4,2016-2017
Sebastian Polter,Germany,Queens Park Rangers,4,2016-2017
Marc Roberts,England,Barnsley FC,4,2016-2017
Kemar Roofe,Jamaica,Leeds United,4,2016-2017
Sergi Canós,Spain,Norwich City,4,2016-2017
Tommy Smith,England,Huddersfield Town,4,2016-2017
Marvin Sordell,England,Burton Albion,4,2016-2017
Jon Taylor,England,Rotherham United,4,2016-2017
Luke Varney,England,Ipswich Town,4,2016-2017
Aaron Wilbraham,England,Bristol City,4,2016-2017
Daniel Williams,USA,Reading FC,4,2016-2017
Albert Adomah,Ghana,Aston Villa,3,2016-2017
Alex Baptiste,England,Preston North End,3,2016-2017
Elliott Bennett,Jamaica,Blackburn Rovers,3,2016-2017
Joe Bennett,England,Cardiff City,3,2016-2017
Jón Böðvarsson,Iceland,Wolverhampton Wanderers,3,2016-2017
Omar Bogle,England,Wigan Athletic,3,2016-2017
Ben Brereton,Chile,Nottingham Forest,3,2016-2017
James Chester,Wales,Aston Villa,3,2016-2017
Ciaran Clark,Ireland,Newcastle United,3,2016-2017
David Cotterill,Wales,Bristol City,3,2016-2017
Bobby De Cordova-Reid,Jamaica,Bristol City,3,2016-2017
Harlee Dean,England,Brentford FC,3,2016-2017
Momo Diamé,Senegal,Newcastle United,3,2016-2017
Nouha Dicko,Mali,Wolverhampton Wanderers,3,2016-2017
Lewis Grabban,Jamaica,Reading FC,3,2016-2017
Aron Gunnarsson,Iceland,Cardiff City,3,2016-2017
Adam Hammill,England,Barnsley FC,3,2016-2017
Michael Hefele,Germany,Huddersfield Town,3,2016-2017
Emyr Huws,Wales,Ipswich Town,3,2016-2017
Michael Jacobs,England,Wigan Athletic,3,2016-2017
Pontus Jansson,Sweden,Leeds United,3,2016-2017
Bradley Johnson,England,Derby County,3,2016-2017
Jordi Gómez,Spain,Wigan Athletic,3,2016-2017
Sullay Kaikai,Sierra Leone,Brentford FC,3,2016-2017
Ryan Kent,England,Barnsley FC,3,2016-2017
