Player,Country,Team,Goals,Season
Jamie Cureton,England,Colchester United,23,2006-2007
Michael Chopra,England,Cardiff City,22,2006-2007
Diomansy Kamara,Senegal,West Bromwich Albion,20,2006-2007
Robert Earnshaw,Wales,Norwich City,19,2006-2007
Chris Iwelumo,Scotland,Colchester United,18,2006-2007
Grzegorz Rasiak,Poland,Southampton FC,18,2006-2007
Steve Howard,Scotland,Derby County,16,2006-2007
Alan Lee,Ireland,Ipswich Town,16,2006-2007
Kevin Phillips,England,West Bromwich Albion,16,2006-2007
David Nugent,England,Preston North End,15,2006-2007
Andy Gray,Scotland,Burnley FC,14,2006-2007
Kenwyne Jones,Trinidad & Tobago,Southampton FC,14,2006-2007
Gary McSheffrey,England,Coventry City,14,2006-2007
Dexter Blackstock,Antigua & Barbuda,Queens Park Rangers,13,2006-2007
David Connolly,Ireland,Sunderland AFC,13,2006-2007
Barry Hayles,Jamaica,Plymouth Argyle,13,2006-2007
Iain Hume,Canada,Leicester City,13,2006-2007
Rowan Vine,England,Luton Town,13,2006-2007
Deon Burton,Jamaica,Sheffield Wednesday,12,2006-2007
Steven MacLean,Scotland,Sheffield Wednesday,12,2006-2007
Clinton Morrison,Ireland,Crystal Palace,12,2006-2007
Nicklas Bendtner,Denmark,Birmingham City,11,2006-2007
Chris Brunt,Northern Ireland,Sheffield Wednesday,11,2006-2007
Freddy Eastwood,Wales,Southend United,11,2006-2007
Carlos Edwards,Trinidad & Tobago,Sunderland AFC,11,2006-2007
Marcus Tudgay,England,Sheffield Wednesday,11,2006-2007
Sylvain Ebanks-Blake,England,Plymouth Argyle,10,2006-2007
Nathan Ellington,England,West Bromwich Albion,10,2006-2007
Ricardo Fuller,Jamaica,Stoke City,10,2006-2007
David Healy,Northern Ireland,Leeds United,10,2006-2007
Daryl Murphy,Ireland,Sunderland AFC,10,2006-2007
Martin Rowlands,Ireland,Queens Park Rangers,10,2006-2007
Marek Saganowski,Poland,Southampton FC,10,2006-2007
Jay Bothroyd,England,Wolverhampton Wanderers,9,2006-2007
DJ Campbell,England,Birmingham City,9,2006-2007
Stern John,St. Lucia,Sunderland AFC,9,2006-2007
Jason Koumas,Wales,West Bromwich Albion,9,2006-2007
Daniel Nardiello,Wales,Barnsley FC,9,2006-2007
Jon Parkin,England,Stoke City,9,2006-2007
Mamady Sidibe,Mali,Stoke City,9,2006-2007
Dele Adebola,Nigeria,Coventry City,8,2006-2007
Giles Barnes,Jamaica,Derby County,8,2006-2007
Robbie Blake,England,Leeds United,8,2006-2007
Mark Gower,England,Southend United,8,2006-2007
Brian Howard,England,Barnsley FC,8,2006-2007
Darren Huckerby,England,Norwich City,8,2006-2007
Michael Kightly,England,Wolverhampton Wanderers,8,2006-2007
Seyi Olofinjana,Nigeria,Wolverhampton Wanderers,8,2006-2007
Brett Ormerod,England,Preston North End,8,2006-2007
Dean Windass,England,Hull City,8,2006-2007
Bradley Wright-Phillips,England,Southampton FC,8,2006-2007
Patrick Agyemang,Ghana,Preston North End,7,2006-2007
Leon Cort,Guyana,Crystal Palace,7,2006-2007
Craig Fagan,England,Hull City,7,2006-2007
Richard García,Australia,Colchester United,7,2006-2007
Danny Haynes,England,Ipswich Town,7,2006-2007
Danny Higginbotham,Gibraltar,Stoke City,7,2006-2007
Cameron Jerome,Grenada,Birmingham City,7,2006-2007
Shefki Kuqi,Finland,Crystal Palace,7,2006-2007
Grant Leadbitter,England,Sunderland AFC,7,2006-2007
Arturo Lupoli,Italy,Derby County,7,2006-2007
Michael McIndoe,Scotland,Wolverhampton Wanderers,7,2006-2007
Leon McKenzie,England,Norwich City,7,2006-2007
Darel Russell,England,Stoke City,7,2006-2007
Glenn Whelan,Ireland,Sheffield Wednesday,7,2006-2007
Graham Alexander,Scotland,Preston North End,6,2006-2007
Leon Clarke,England,Wolverhampton Wanderers,6,2006-2007
Dickson Etuhu,Nigeria,Norwich City,6,2006-2007
István Ferenczi,Hungary,Barnsley FC,6,2006-2007
Nicky Forster,England,Ipswich Town,6,2006-2007
Radhi Jaïdi,Tunisia,Birmingham City,6,2006-2007
David Jones,England,Derby County,6,2006-2007
David Norris,England,Plymouth Argyle,6,2006-2007
Matt Oakley,England,Derby County,6,2006-2007
Paul Parry,Wales,Cardiff City,6,2006-2007
Marc Richards,England,Barnsley FC,6,2006-2007
Jimmy Smith,England,Queens Park Rangers,6,2006-2007
Steven Thompson,Scotland,Cardiff City,6,2006-2007
Ross Wallace,Scotland,Sunderland AFC,6,2006-2007
Simon Whaley,England,Preston North End,6,2006-2007
Gareth Bale,Wales,Southampton FC,5,2006-2007
Martin Devaney,England,Barnsley FC,5,2006-2007
Danny Dichio,England,Preston North End,5,2006-2007
Dion Dublin,England,Norwich City,5,2006-2007
Karl Duguid,England,Colchester United,5,2006-2007
Stephen Elliott,Ireland,Sunderland AFC,5,2006-2007
Stuart Elliott,Northern Ireland,Hull City,5,2006-2007
Zoltán Gera,Hungary,West Bromwich Albion,5,2006-2007
Elvis Hammond,Ghana,Leicester City,5,2006-2007
John Hartson,Wales,West Bromwich Albion,5,2006-2007
Paul Hayes,England,Barnsley FC,5,2006-2007
Ray Jones,England,Queens Park Rangers,5,2006-2007
Steve Jones,Northern Ireland,Burnley FC,5,2006-2007
Andy Keogh,Ireland,Wolverhampton Wanderers,5,2006-2007
Patrick Kisnorbo,Australia,Leicester City,5,2006-2007
Liam Lawrence,Ireland,Sunderland AFC,5,2006-2007
Sylvain Legwinski,France,Ipswich Town,5,2006-2007
Kevin Maher,Ireland,Southend United,5,2006-2007
Jobi McAnuff,Jamaica,Crystal Palace,5,2006-2007
Chris McCann,Ireland,Burnley FC,5,2006-2007
Gifton Noel-Williams,England,Burnley FC,5,2006-2007
Riccardo Scimeca,England,Cardiff City,5,2006-2007
James Scowcroft,England,Crystal Palace,5,2006-2007
Dwight Yorke,Trinidad & Tobago,Sunderland AFC,5,2006-2007
Nick Barmby,England,Hull City,4,2006-2007
Leon Best,Ireland,Southampton FC,4,2006-2007
Lee Bradbury,England,Southend United,4,2006-2007
Luke Chadwick,England,Stoke City,4,2006-2007
Stephen Clemence,England,Birmingham City,4,2006-2007
Jody Craddock,England,Wolverhampton Wanderers,4,2006-2007
Richard Cresswell,England,Leeds United,4,2006-2007
Wade Elliott,England,Burnley FC,4,2006-2007
Kevin Gallen,England,Queens Park Rangers,4,2006-2007
Péter Halmosi,Hungary,Plymouth Argyle,4,2006-2007
Geoff Horsfield,England,Leicester City,4,2006-2007
Mark Hudson,England,Crystal Palace,4,2006-2007
Tobias Hysén,Sweden,Sunderland AFC,4,2006-2007
Francis Jeffers,England,Ipswich Town,4,2006-2007
Kyle Lafferty,Northern Ireland,Burnley FC,4,2006-2007
Sebastian Larsson,Sweden,Birmingham City,4,2006-2007
David Livermore,England,Hull City,4,2006-2007
Chris Martin,Scotland,Norwich City,4,2006-2007
Michael Mifsud,Malta,Coventry City,4,2006-2007
Dean Morgan,Montserrat,Luton Town,4,2006-2007
Lilian Nalis,France,Plymouth Argyle,4,2006-2007
Danny Pugh,England,Preston North End,4,2006-2007
Darren Purse,England,Cardiff City,4,2006-2007
Jon Stead,England,Sunderland AFC,4,2006-2007
Andrew Surman,England,Southampton FC,4,2006-2007
Jon Walters,Ireland,Ipswich Town,4,2006-2007
Dean Whitehead,England,Sunderland AFC,4,2006-2007
Peter Whittingham,England,Cardiff City,4,2006-2007
Paul Wotton,England,Plymouth Argyle,4,2006-2007
Chris Baird,Northern Ireland,Southampton FC,3,2006-2007
Leon Barnett,England,Luton Town,3,2006-2007
Adam Barrett,England,Southend United,3,2006-2007
David Bell,Ireland,Luton Town,3,2006-2007
Ahmet Brković,Croatia,Luton Town,3,2006-2007
Chris Brown,England,Sunderland AFC,3,2006-2007
Ákos Buzsáky,Hungary,Plymouth Argyle,3,2006-2007
Darren Carter,England,West Bromwich Albion,3,2006-2007
Billy Clarke,Ireland,Ipswich Town,3,2006-2007
Neill Collins,Scotland,Wolverhampton Wanderers,3,2006-2007
Lee Cook,England,Queens Park Rangers,3,2006-2007
Lee Croft,England,Norwich City,3,2006-2007
Neil Danns,Guyana,Birmingham City,3,2006-2007
Bojan Djordjic,Sweden,Plymouth Argyle,3,2006-2007
Michael Doyle,Ireland,Coventry City,3,2006-2007
Carl Fletcher,Wales,Crystal Palace,3,2006-2007
Dougie Freedman,Scotland,Crystal Palace,3,2006-2007
Matty Fryatt,England,Leicester City,3,2006-2007
Jamie Guy,England,Colchester United,3,2006-2007
Greg Halford,England,Colchester United,3,2006-2007
Matt Harrold,England,Southend United,3,2006-2007
Matt Heath,England,Leeds United,3,2006-2007
Lee Hendrie,England,Stoke City,3,2006-2007
Karl Henry,England,Wolverhampton Wanderers,3,2006-2007
Stephen Hughes,Scotland,Leicester City,3,2006-2007
Jemal Johnson,USA,Wolverhampton Wanderers,3,2006-2007
Kevin Kyle,Scotland,Sunderland AFC,3,2006-2007
Joe Ledley,Wales,Cardiff City,3,2006-2007
Eddie Lewis,USA,Leeds United,3,2006-2007
Jon Macken,Ireland,Ipswich Town,3,2006-2007
Gareth McAuley,Northern Ireland,Leicester City,3,2006-2007
Alan McCormack,Ireland,Southend United,3,2006-2007
Kevin McLeod,England,Colchester United,3,2006-2007
Paul McVeigh,Northern Ireland,Norwich City,3,2006-2007
Marc Nygaard,Denmark,Queens Park Rangers,3,2006-2007
James O'Connor,Ireland,Burnley FC,3,2006-2007
Paul Peschisolido,Canada,Derby County,3,2006-2007
Levi Porter,England,Leicester City,3,2006-2007
Gary Roberts,England,Ipswich Town,3,2006-2007
Jason Shackell,England,Norwich City,3,2006-2007
Rudi Skácel,Czech Republic,Southampton FC,3,2006-2007
Tom Soares,England,Crystal Palace,3,2006-2007
Jay Tabb,England,Coventry City,3,2006-2007
Drew Talbot,England,Sheffield Wednesday,3,2006-2007
Michael Turner,England,Hull City,3,2006-2007
Simon Walton,England,Ipswich Town,3,2006-2007
Elliott Ward,England,Coventry City,3,2006-2007
Stephen Ward,Ireland,Wolverhampton Wanderers,3,2006-2007
Ben Watson,England,Crystal Palace,3,2006-2007
Ade Akinbiyi,England,Burnley FC,2,2006-2007
Wayne Andrews,England,Sheffield Wednesday,2,2006-2007
Chris Birchall,Trinidad & Tobago,Coventry City,2,2006-2007
Morten Bisgaard,Denmark,Derby County,2,2006-2007
Madjid Bougherra,Algeria,Sheffield Wednesday,2,2006-2007
Michael Bridges,England,Hull City,2,2006-2007
Colin Cameron,Scotland,Coventry City,2,2006-2007
Jamal Campbell-Ryce,Jamaica,Southend United,2,2006-2007
Nick Chadwick,England,Plymouth Argyle,2,2006-2007
Liam Chilvers,England,Preston North End,2,2006-2007
Peter Clarke,England,Southend United,2,2006-2007
Darren Currie,England,Ipswich Town,2,2006-2007
Andy Dawson,England,Hull City,2,2006-2007
Jason de Vos,Canada,Ipswich Town,2,2006-2007
Michael Duff,Northern Ireland,Burnley FC,2,2006-2007
Lewis Emanuel,England,Luton Town,2,2006-2007
Warren Feeney,Northern Ireland,Luton Town,2,2006-2007
Paul Furlong,England,Queens Park Rangers,2,2006-2007
Lewis Gobern,England,Wolverhampton Wanderers,2,2006-2007
Dan Gosling,England,Plymouth Argyle,2,2006-2007
Stuart Green,England,Crystal Palace,2,2006-2007
Jonathan Greening,England,West Bromwich Albion,2,2006-2007
Andy Griffin,England,Stoke City,2,2006-2007
Bobby Hassell,England,Barnsley FC,2,2006-2007
Clint Hill,England,Stoke City,2,2006-2007
Carl Hoefkens,Belgium,Stoke City,2,2006-2007
Lewis Hunt,England,Southend United,2,2006-2007
Paul Ifill,Barbados,Crystal Palace,2,2006-2007
Iñigo Idiakez,Spain,Southampton FC,2,2006-2007
Johnnie Jackson,England,Colchester United,2,2006-2007
Jermaine Johnson,Jamaica,Sheffield Wednesday,2,2006-2007
Roger Johnson,England,Cardiff City,2,2006-2007
Darren Kenton,England,Leicester City,2,2006-2007
Steve Lomas,Northern Ireland,Queens Park Rangers,2,2006-2007
Alan Mahon,Ireland,Burnley FC,2,2006-2007
Dean Marney,England,Hull City,2,2006-2007
Paul McKenna,England,Preston North End,2,2006-2007
Paul McShane,Ireland,West Bromwich Albion,2,2006-2007
Liam Miller,Ireland,Sunderland AFC,2,2006-2007
Darren Moore,Jamaica,Derby County,2,2006-2007
Lewin Nyatanga,Wales,Sunderland AFC,2,2006-2007
