Player,Country,Team,Goals,Season
Sylvain Ebanks-Blake,England,Wolverhampton Wanderers,23,2007-2008
James Beattie,England,Sheffield United,22,2007-2008
Kevin Phillips,England,West Bromwich Albion,22,2007-2008
Stern John,St. Lucia,Southampton FC,19,2007-2008
Kevin Lisbie,Jamaica,Colchester United,17,2007-2008
Clinton Morrison,Ireland,Crystal Palace,16,2007-2008
Fraizer Campbell,England,Hull City,15,2007-2008
Ricardo Fuller,Jamaica,Stoke City,15,2007-2008
Liam Lawrence,Ireland,Stoke City,14,2007-2008
Andy Gray,Scotland,Charlton Athletic,13,2007-2008
Brian Howard,England,Barnsley FC,13,2007-2008
Martin Paterson,Northern Ireland,Scunthorpe United,13,2007-2008
Jon Walters,Ireland,Ipswich Town,13,2007-2008
Patrick Agyemang,Ghana,Queens Park Rangers,12,2007-2008
Roman Bednář,Czech Republic,West Bromwich Albion,12,2007-2008
Couñago,Spain,Ipswich Town,12,2007-2008
Jamie Cureton,England,Norwich City,12,2007-2008
Darius Henderson,England,Watford FC,12,2007-2008
Richard Cresswell,England,Stoke City,11,2007-2008
Iain Hume,Canada,Leicester City,11,2007-2008
Marlon King,Jamaica,Watford FC,11,2007-2008
Alan Lee,Ireland,Ipswich Town,11,2007-2008
Dean Windass,England,Hull City,11,2007-2008
Dele Adebola,Nigeria,Coventry City,10,2007-2008
Ákos Buzsáky,Hungary,Queens Park Rangers,10,2007-2008
Ched Evans,Wales,Norwich City,10,2007-2008
Chris Iwelumo,Scotland,Charlton Athletic,10,2007-2008
Joe Ledley,Wales,Cardiff City,10,2007-2008
Michael Mifsud,Malta,Coventry City,10,2007-2008
Paul Parry,Wales,Cardiff City,10,2007-2008
Ben Burgess,Ireland,Blackpool FC,9,2007-2008
Robert Koren,Slovenia,West Bromwich Albion,9,2007-2008
Neil Mellor,England,Preston North End,9,2007-2008
Ishmael Miller,England,West Bromwich Albion,9,2007-2008
James Scowcroft,England,Crystal Palace,9,2007-2008
Scott Vernon,England,Colchester United,9,2007-2008
Ade Akinbiyi,England,Burnley FC,8,2007-2008
Leon Best,Ireland,Coventry City,8,2007-2008
Robbie Blake,England,Burnley FC,8,2007-2008
Darren Byfield,England,Bristol City,8,2007-2008
Leon Cort,Guyana,Stoke City,8,2007-2008
Caleb Folan,England,Hull City,8,2007-2008
Zoltán Gera,Hungary,West Bromwich Albion,8,2007-2008
Péter Halmosi,Hungary,Plymouth Argyle,8,2007-2008
Paul Hayes,England,Scunthorpe United,8,2007-2008
Andy Keogh,Ireland,Wolverhampton Wanderers,8,2007-2008
Jon Macken,Ireland,Barnsley FC,8,2007-2008
Clive Platt,England,Colchester United,8,2007-2008
Luke Varney,England,Charlton Athletic,8,2007-2008
Bradley Wright-Phillips,England,Southampton FC,8,2007-2008
Mark Yeates,Ireland,Colchester United,8,2007-2008
Darren Ambrose,England,Charlton Athletic,7,2007-2008
Deon Burton,Jamaica,Sheffield Wednesday,7,2007-2008
Michael Doyle,Ireland,Coventry City,7,2007-2008
Dion Dublin,England,Norwich City,7,2007-2008
Rory Fallon,New Zealand,Plymouth Argyle,7,2007-2008
Jimmy Floyd Hasselbaink,Netherlands,Cardiff City,7,2007-2008
Danny Haynes,England,Ipswich Town,7,2007-2008
Johnnie Jackson,England,Colchester United,7,2007-2008
Ryan Shawcross,England,Stoke City,7,2007-2008
Danny Shittu,Nigeria,Watford FC,7,2007-2008
Tommy Smith,England,Watford FC,7,2007-2008
Akpo Sodje,England,Sheffield Wednesday,7,2007-2008
Marcus Tudgay,England,Sheffield Wednesday,7,2007-2008
Zhi Zheng,China,Charlton Athletic,7,2007-2008
Dexter Blackstock,Antigua & Barbuda,Queens Park Rangers,6,2007-2008
Chris Brown,England,Preston North End,6,2007-2008
Andy Cole,England,Burnley FC,6,2007-2008
Paul Dickov,Scotland,Crystal Palace,6,2007-2008
Jermaine Easter,Wales,Plymouth Argyle,6,2007-2008
Steve Howard,Scotland,Leicester City,6,2007-2008
Dean Marney,England,Hull City,6,2007-2008
Michael McIndoe,Scotland,Bristol City,6,2007-2008
