Player,Country,Team,Goals,Season
Aleksandar Mitrović,Serbia,Fulham FC,43,2021-2022
Dominic Solanke,England,AFC Bournemouth,29,2021-2022
Ben Brereton,Chile,Blackburn Rovers,22,2021-2022
Joël Piroe,Netherlands,Swansea City,22,2021-2022
Andreas Weimann,Austria,Bristol City,22,2021-2022
Karlan Grant,England,West Bromwich Albion,18,2021-2022
Viktor Gyökeres,Sweden,Coventry City,17,2021-2022
Elijah Adebayo,England,Luton Town,16,2021-2022
Brennan Johnson,Wales,Nottingham Forest,16,2021-2022
Emil Riis,Denmark,Preston North End,16,2021-2022
Billy Sharp,England,Sheffield United,14,2021-2022
Danny Ward,England,Huddersfield Town,14,2021-2022
Jacob Brown,Scotland,Stoke City,13,2021-2022
Benik Afobe,Congo DR,Millwall FC,12,2021-2022
Jonson Clarke-Harris,England,Peterborough United,12,2021-2022
Harry Cornick,England,Luton Town,12,2021-2022
Matt Godden,England,Coventry City,12,2021-2022
Lewis Grabban,Jamaica,Nottingham Forest,12,2021-2022
Keane Lewis-Potter,England,Hull City,12,2021-2022
Chris Martin,Scotland,Bristol City,12,2021-2022
Michael Obafemi,Ireland,Swansea City,12,2021-2022
Fabio Carvalho,Portugal,Fulham FC,11,2021-2022
Morgan Gibbs-White,England,Sheffield United,11,2021-2022
Tom Lawrence,Wales,Derby County,11,2021-2022
John Swift,England,Reading FC,11,2021-2022
Philip Billing,Denmark,AFC Bournemouth,10,2021-2022
Matt Crooks,England,Middlesbrough FC,10,2021-2022
Andre Gray,Jamaica,Queens Park Rangers,10,2021-2022
Scott Hogan,Ireland,Birmingham City,10,2021-2022
Lucas João,Angola,Reading FC,10,2021-2022
Harry Wilson,Wales,Fulham FC,10,2021-2022
Tom Bradshaw,Wales,Millwall FC,9,2021-2022
Ilias Chair,Morocco,Queens Park Rangers,9,2021-2022
Sam Gallagher,England,Blackburn Rovers,9,2021-2022
Neeskens Kebano,Congo DR,Fulham FC,9,2021-2022
Gary Madine,England,Blackpool FC,9,2021-2022
Jack Marriott,England,Peterborough United,9,2021-2022
Kieffer Moore,Wales,Cardiff City,9,2021-2022
Jamie Paterson,England,Swansea City,9,2021-2022
Sam Surridge,England,Stoke City,9,2021-2022
Jaidon Anthony,England,AFC Bournemouth,8,2021-2022
Lewis Baker,England,Stoke City,8,2021-2022
Bobby De Cordova-Reid,Jamaica,Fulham FC,8,2021-2022
Lyndon Dykes,Scotland,Queens Park Rangers,8,2021-2022
Shayne Lavery,Northern Ireland,Blackpool FC,8,2021-2022
Antoine Semenyo,Ghana,Bristol City,8,2021-2022
Andraž Šporar,Slovenia,Middlesbrough FC,8,2021-2022
Lyle Taylor,Montserrat,Nottingham Forest,8,2021-2022
Jerry Yates,England,Blackpool FC,8,2021-2022
Ryan Yates,England,Nottingham Forest,8,2021-2022
Cameron Archer,England,Preston North End,7,2021-2022
Josh Bowler,England,Blackpool FC,7,2021-2022
Siriki Dembélé,Scotland,Peterborough United,7,2021-2022
Daniel Johnson,Jamaica,Preston North End,7,2021-2022
Jamal Lowe,Jamaica,Swansea City,7,2021-2022
Carlton Morris,England,Barnsley FC,7,2021-2022
Iliman Ndiaye,Senegal,Sheffield United,7,2021-2022
Callum Robinson,Ireland,West Bromwich Albion,7,2021-2022
Duncan Watmore,England,Middlesbrough FC,7,2021-2022
Chris Willock,England,Queens Park Rangers,7,2021-2022
Luke Amos,England,Queens Park Rangers,6,2021-2022
Luke Berry,England,Luton Town,6,2021-2022
Aden Flint,England,Cardiff City,6,2021-2022
Gary Gardner,England,Birmingham City,6,2021-2022
Nick Powell,England,Stoke City,6,2021-2022
Danel Sinani,Luxembourg,Huddersfield Town,6,2021-2022
Sammie Szmodics,Ireland,Peterborough United,6,2021-2022
Harry Toffolo,England,Huddersfield Town,6,2021-2022
Jed Wallace,England,Millwall FC,6,2021-2022
Philip Zinckernagel,Denmark,Nottingham Forest,6,2021-2022
Charlie Austin,England,Queens Park Rangers,5,2021-2022
Sander Berge,Norway,Sheffield United,5,2021-2022
Andy Carroll,England,West Bromwich Albion,5,2021-2022
Rubin Colwill,Wales,Cardiff City,5,2021-2022
Keinan Davis,England,Nottingham Forest,5,2021-2022
Tom Eaves,England,Hull City,5,2021-2022
Marvin Ekpiteta,England,Blackpool FC,5,2021-2022
Duane Holmes,USA,Huddersfield Town,5,2021-2022
George Honeyman,England,Hull City,5,2021-2022
Jordan Hugill,England,West Bromwich Albion,5,2021-2022
Uche Ikpeazu,Uganda,Middlesbrough FC,5,2021-2022
Tom Ince,England,Stoke City,5,2021-2022
Paddy McNair,Northern Ireland,Middlesbrough FC,5,2021-2022
Callum O'Hare,England,Coventry City,5,2021-2022
Marcus Tavernier,England,Middlesbrough FC,5,2021-2022
Keshi Anderson,England,Blackpool FC,4,2021-2022
Alan Browne,Ireland,Preston North End,4,2021-2022
Allan Campbell,Scotland,Luton Town,4,2021-2022
Tyrese Campbell,England,Stoke City,4,2021-2022
Josh Coburn,England,Middlesbrough FC,4,2021-2022
Jake Cooper,England,Millwall FC,4,2021-2022
Curtis Davies,England,Derby County,4,2021-2022
Troy Deeney,England,Birmingham City,4,2021-2022
Tom Dele-Bashiru,Nigeria,Reading FC,4,2021-2022
Tyrhys Dolan,England,Blackburn Rovers,4,2021-2022
James Garner,England,Nottingham Forest,4,2021-2022
Onel Hernández,Cuba,Middlesbrough FC,4,2021-2022
Danny Hylton,England,Luton Town,4,2021-2022
Reda Khadra,Germany,Blackburn Rovers,4,2021-2022
Josh Koroma,England,Huddersfield Town,4,2021-2022
Ryan Longman,England,Hull City,4,2021-2022
Riley McGree,Australia,Middlesbrough FC,4,2021-2022
Ravel Morrison,Jamaica,Derby County,4,2021-2022
Alex Mowatt,England,West Bromwich Albion,4,2021-2022
Olivier Ntcham,Cameroon,Swansea City,4,2021-2022
Luke Plange,England,Derby County,4,2021-2022
Rodrigo Muniz,Brazil,Fulham FC,4,2021-2022
Alex Scott,England,Bristol City,4,2021-2022
Murray Wallace,Scotland,Millwall FC,4,2021-2022
Ben Whiteman,England,Preston North End,4,2021-2022
Cauley Woodrow,England,Barnsley FC,4,2021-2022
Victor Adeboyejo,Nigeria,Barnsley FC,3,2021-2022
Joel Bagan,Ireland,Cardiff City,3,2021-2022
Folarin Balogun,USA,Middlesbrough FC,3,2021-2022
Patrick Bauer,Germany,Preston North End,3,2021-2022
Mason Bennett,England,Millwall FC,3,2021-2022
Jayden Bogle,England,Sheffield United,3,2021-2022
Rhian Brewster,England,Sheffield United,3,2021-2022
John Buckley,England,Blackburn Rovers,3,2021-2022
Harrison Burrows,England,Peterborough United,3,2021-2022
Tom Cairney,England,Fulham FC,3,2021-2022
Cyrus Christie,Ireland,Swansea City,3,2021-2022
Ryan Christie,Scotland,AFC Bournemouth,3,2021-2022
Jack Colback,England,Nottingham Forest,3,2021-2022
James Collins,England,Cardiff City,3,2021-2022
Rob Dickie,England,Queens Park Rangers,3,2021-2022
Jimmy Dunne,Ireland,Queens Park Rangers,3,2021-2022
Steven Fletcher,Scotland,Stoke City,3,2021-2022
Craig Forsyth,Scotland,Derby County,3,2021-2022
Gustavo Hamer,Netherlands,Coventry City,3,2021-2022
Mark Harris,Wales,Cardiff City,3,2021-2022
Junior Hoilett,Canada,Reading FC,3,2021-2022
Cameron Jerome,Grenada,Luton Town,3,2021-2022
Colin Kâzım-Richards,Turkey,Derby County,3,2021-2022
Tom Lees,England,Huddersfield Town,3,2021-2022
Darragh Lenihan,Ireland,Blackburn Rovers,3,2021-2022
Aaron Leya Iseka,Belgium,Barnsley FC,3,2021-2022
Ian Maatsen,Netherlands,Coventry City,3,2021-2022
Kyle McFadzean,England,Coventry City,3,2021-2022
Mark McGuinness,Ireland,Cardiff City,3,2021-2022
Sean Morrison,England,Cardiff City,3,2021-2022
Lys Mousset,France,Sheffield United,3,2021-2022
Lewis O'Brien,England,Huddersfield Town,3,2021-2022
Fred Onyedinma,Nigeria,Luton Town,3,2021-2022
Ben Osborn,England,Sheffield United,3,2021-2022
Matty Pearson,England,Huddersfield Town,3,2021-2022
Matthew Phillips,Scotland,West Bromwich Albion,3,2021-2022
Jordan Rhodes,Scotland,Huddersfield Town,3,2021-2022
Jack Robinson,England,Sheffield United,3,2021-2022
Michael Rose,Scotland,Coventry City,3,2021-2022
Joe Rothwell,England,Blackburn Rovers,3,2021-2022
Naby Sarr,Senegal,Huddersfield Town,3,2021-2022
Callum Styles,Hungary,Barnsley FC,3,2021-2022
Ivan Šunjić,Croatia,Birmingham City,3,2021-2022
Sorba Thomas,Wales,Huddersfield Town,3,2021-2022
Mario Vrančić,Bosnia-Herzegovina,Stoke City,3,2021-2022
Nahki Wells,Bermuda,Bristol City,3,2021-2022
Mallik Wilks,England,Hull City,3,2021-2022
Jordan Zemura,Zimbabwe,AFC Bournemouth,3,2021-2022
Tosin Adarabioyo,England,Fulham FC,2,2021-2022
Albert Adomah,Ghana,Queens Park Rangers,2,2021-2022
Chuks Aneke,England,Birmingham City,2,2021-2022
Rob Atkinson,England,Bristol City,2,2021-2022
Femi Azeez,England,Reading FC,2,2021-2022
Juninho Bacuna,Curaçao,Birmingham City,2,2021-2022
Sam Baldock,England,Derby County,2,2021-2022
Yoann Barbet,France,Queens Park Rangers,2,2021-2022
Kyle Bartley,England,West Bromwich Albion,2,2021-2022
Amine Bassi,Morocco,Barnsley FC,2,2021-2022
Jake Beesley,England,Blackpool FC,2,2021-2022
Jérémie Bela,Angola,Birmingham City,2,2021-2022
Jake Bidwell,England,Swansea City,2,2021-2022
Max Bird,England,Derby County,2,2021-2022
Sonny Bradley,England,Luton Town,2,2021-2022
Tyler Burey,England,Millwall FC,2,2021-2022
Oliver Burke,Scotland,Sheffield United,2,2021-2022
Jordan Clark,England,Luton Town,2,2021-2022
Jahmari Clarke,Jamaica,Reading FC,2,2021-2022
Sam Clucas,England,Stoke City,2,2021-2022
Levi Colwill,England,Huddersfield Town,2,2021-2022
Aaron Connolly,Ireland,Middlesbrough FC,2,2021-2022
Callum Connolly,England,Blackpool FC,2,2021-2022
Owen Dale,England,Blackpool FC,2,2021-2022
Daniel Ayala,Spain,Blackburn Rovers,2,2021-2022
Scott Dann,England,Reading FC,2,2021-2022
Isaak Davies,Wales,Cardiff City,2,2021-2022
Grady Diangana,Congo DR,West Bromwich Albion,2,2021-2022
Domingos Quina,Portugal,Fulham FC,2,2021-2022
Tommy Doyle,England,Cardiff City,2,2021-2022
Festy Ebosele,Ireland,Derby County,2,2021-2022
John Egan,Ireland,Sheffield United,2,2021-2022
Ovie Ejaria,England,Reading FC,2,2021-2022
Ched Evans,Wales,Preston North End,2,2021-2022
Dominik Frieser,Austria,Barnsley FC,2,2021-2022
Jorge Grant,England,Peterborough United,2,2021-2022
Christopher Hamilton,Ireland,Blackpool FC,2,2021-2022
Jonathan Hogg,England,Huddersfield Town,2,2021-2022
Dominic Hyam,Scotland,Coventry City,2,2021-2022
Ivan Cavaleiro,Portugal,Fulham FC,2,2021-2022
Lukas Jutkiewicz,England,Birmingham City,2,2021-2022
Jason Knight,Ireland,Derby County,2,2021-2022
Josh Laurent,England,Reading FC,2,2021-2022
Josh Magennis,Northern Ireland,Hull City,2,2021-2022
Scott Malone,England,Millwall FC,2,2021-2022
Ryan Manning,Ireland,Swansea City,2,2021-2022
Emiliano Marcondes,Denmark,AFC Bournemouth,2,2021-2022
Sam McCallum,England,Queens Park Rangers,2,2021-2022
David McGoldrick,Ireland,Sheffield United,2,2021-2022
Tom McIntyre,Scotland,Reading FC,2,2021-2022
Scott McKenna,Scotland,Nottingham Forest,2,2021-2022
Danny McNamara,Ireland,Millwall FC,2,2021-2022
Liam Moore,Jamaica,Stoke City,2,2021-2022
Michael Morrison,England,Reading FC,2,2021-2022
Kal Naismith,Scotland,Luton Town,2,2021-2022
Dara O'Shea,Ireland,West Bromwich Albion,2,2021-2022
Kristian Pedersen,Denmark,Birmingham City,2,2021-2022
Harry Pickering,England,Blackburn Rovers,2,2021-2022
Adam Reach,England,West Bromwich Albion,2,2021-2022
Marc Roberts,England,Birmingham City,2,2021-2022
Antonee Robinson,USA,Fulham FC,2,2021-2022
Jon Russell,Jamaica,Huddersfield Town,2,2021-2022
George Saville,Northern Ireland,Millwall FC,2,2021-2022
Romaine Sawyers,St. Kitts & Nevis,Stoke City,2,2021-2022
Ben Sheaf,England,Coventry City,2,2021-2022
Richard Smallwood,England,Hull City,2,2021-2022
Djed Spence,England,Nottingham Forest,2,2021-2022
Jack Taylor,Ireland,Peterborough United,2,2021-2022
Kenny Tete,Netherlands,Fulham FC,2,2021-2022
Will Vaulks,Wales,Cardiff City,2,2021-2022
Tyler Walker,England,Coventry City,2,2021-2022
Scott Wharton,England,Blackburn Rovers,2,2021-2022
Neco Williams,Wales,Fulham FC,2,2021-2022
Hannes Wolf,Austria,Swansea City,2,2021-2022
Semi Ajayi,Nigeria,West Bromwich Albion,1,2021-2022
