Player,Country,Team,Goals,Season
Louis Saha,France,Fulham FC,27,2000-2001
Matt Jansen,England,Blackburn Rovers,23,2000-2001
Lee Hughes,England,West Bromwich Albion,21,2000-2001
Jason Euell,Jamaica,Wimbledon FC,19,2000-2001
Jon Macken,Ireland,Preston North End,19,2000-2001
Tommy Mooney,England,Watford FC,19,2000-2001
Michael Ricketts,England,Bolton Wanderers,19,2000-2001
Boa Morte,Portugal,Fulham FC,18,2000-2001
Barry Hayles,Jamaica,Fulham FC,18,2000-2001
Carl Asaba,England,Sheffield United,15,2000-2001
Marlon King,Jamaica,Gillingham FC,15,2000-2001
Iwan Roberts,Wales,Norwich City,15,2000-2001
Chris Bart-Williams,England,Nottingham Forest,14,2000-2001
Bruce Dyer,England,Barnsley FC,14,2000-2001
Clinton Morrison,Ireland,Crystal Palace,14,2000-2001
Jason Roberts,Grenada,West Bromwich Albion,14,2000-2001
Neil Shipperley,England,Barnsley FC,14,2000-2001
Marcus Bent,England,Sheffield United,13,2000-2001
Mikael Forssell,Finland,Crystal Palace,13,2000-2001
Gerald Sibon,Netherlands,Sheffield Wednesday,13,2000-2001
David Dunn,England,Blackburn Rovers,12,2000-2001
Ian Thomas-Moore,England,Stockport County,12,2000-2001
Aaron Wilbraham,England,Stockport County,12,2000-2001
Steve Claridge,England,Portsmouth FC,11,2000-2001
Dougie Freedman,Scotland,Nottingham Forest,11,2000-2001
Dean Holdsworth,England,Bolton Wanderers,11,2000-2001
Rob Hulse,England,Crewe Alexandra,11,2000-2001
Tommy Smith,England,Watford FC,11,2000-2001
Lee Bradbury,England,Portsmouth FC,10,2000-2001
Peter Crouch,England,Queens Park Rangers,10,2000-2001
Delroy Facey,Grenada,Huddersfield Town,10,2000-2001
Kevin Gallen,England,Huddersfield Town,10,2000-2001
Jason Koumas,Wales,Tranmere Rovers,10,2000-2001
Peter Ndlovu,Zimbabwe,Sheffield United,10,2000-2001
Allan Nielsen,Denmark,Watford FC,10,2000-2001
David Healy,Northern Ireland,Preston North End,9,2000-2001
Iffy Onuora,Scotland,Gillingham FC,9,2000-2001
Andy Payton,England,Burnley FC,9,2000-2001
Andy Thomson,Scotland,Queens Park Rangers,9,2000-2001
Dean Ashton,England,Crewe Alexandra,8,2000-2001
Guðni Bergsson,Iceland,Bolton Wanderers,8,2000-2001
Kevin Cooper,England,Wimbledon FC,8,2000-2001
Damien Francis,Jamaica,Wimbledon FC,8,2000-2001
John Hartson,Wales,Wimbledon FC,8,2000-2001
Heiðar Helguson,Iceland,Watford FC,8,2000-2001
Chris Llewellyn,Wales,Norwich City,8,2000-2001
Gifton Noel-Williams,England,Watford FC,8,2000-2001
Adam Proudlock,England,Wolverhampton Wanderers,8,2000-2001
Martin Smith,England,Huddersfield Town,8,2000-2001
Lee Clark,England,Fulham FC,7,2000-2001
Efan Ekoku,Nigeria,Sheffield Wednesday,7,2000-2001
Per Frandsen,Denmark,Bolton Wanderers,7,2000-2001
Geoff Horsfield,England,Birmingham City,7,2000-2001
Jack Lester,England,Nottingham Forest,7,2000-2001
Steve Livingstone,England,Grimsby Town,7,2000-2001
Marcelo,Brazil,Birmingham City,7,2000-2001
David Nielsen,Denmark,Wimbledon FC,7,2000-2001
Mark Rivers,England,Crewe Alexandra,7,2000-2001
Wayne Allison,England,Tranmere Rovers,6,2000-2001
Iain Anderson,Scotland,Preston North End,6,2000-2001
Nathan Blake,Wales,Blackburn Rovers,6,2000-2001
Andy Booth,England,Sheffield Wednesday,6,2000-2001
Sean Davis,England,Fulham FC,6,2000-2001
Tony Dinning,England,Wolverhampton Wanderers,6,2000-2001
Karim Fradin,France,Stockport County,6,2000-2001
Martin Grainger,England,Birmingham City,6,2000-2001
Micah Hyde,Jamaica,Watford FC,6,2000-2001
David Kelly,Ireland,Sheffield United,6,2000-2001
Chris Kiwomya,England,Queens Park Rangers,6,2000-2001
Shefki Kuqi,Finland,Stockport County,6,2000-2001
Ian Marshall,England,Bolton Wanderers,6,2000-2001
Owen Morrison,Northern Ireland,Sheffield Wednesday,6,2000-2001
George Ndah,England,Wolverhampton Wanderers,6,2000-2001
Mike Panopoulos,Australia,Portsmouth FC,6,2000-2001
Andy Parkinson,England,Tranmere Rovers,6,2000-2001
Mark Williams,Northern Ireland,Wimbledon FC,6,2000-2001
Jarkko Wiss,Finland,Stockport County,6,2000-2001
Dele Adebola,Nigeria,Birmingham City,5,2000-2001
Graham Alexander,Scotland,Preston North End,5,2000-2001
Trond Andersen,Norway,Wimbledon FC,5,2000-2001
Michael Appleton,England,West Bromwich Albion,5,2000-2001
Graham Branch,England,Burnley FC,5,2000-2001
Neil Clement,England,West Bromwich Albion,5,2000-2001
Neil Cox,England,Watford FC,5,2000-2001
Laurent D'Jaffo,Benin,Sheffield United,5,2000-2001
Steve Davis,England,Burnley FC,5,2000-2001
Paul Devlin,Scotland,Sheffield United,5,2000-2001
Kevin Donovan,England,Grimsby Town,5,2000-2001
Bo Hansen,Denmark,Bolton Wanderers,5,2000-2001
Clint Hill,England,Tranmere Rovers,5,2000-2001
Mark Hughes,Wales,Blackburn Rovers,5,2000-2001
Lee Jones,Wales,Barnsley FC,5,2000-2001
Paul McKenna,England,Preston North End,5,2000-2001
Shaun Murphy,Australia,Sheffield United,5,2000-2001
Martin O'Connor,England,Birmingham City,5,2000-2001
Nigel Quashie,Scotland,Portsmouth FC,5,2000-2001
Mark Saunders,England,Gillingham FC,5,2000-2001
Bob Taylor,England,West Bromwich Albion,5,2000-2001
Scott Taylor,England,Tranmere Rovers,5,2000-2001
Patrick Agyemang,Ghana,Wimbledon FC,4,2000-2001
Tommy Black,England,Crystal Palace,4,2000-2001
Michael Branch,England,Wolverhampton Wanderers,4,2000-2001
Mark Burchill,Scotland,Birmingham City,4,2000-2001
Karl Connolly,Wales,Queens Park Rangers,4,2000-2001
Luke Cornwall,England,Grimsby Town,4,2000-2001
Colin Cramb,Scotland,Crewe Alexandra,4,2000-2001
Michele Di Piedi,Italy,Sheffield Wednesday,4,2000-2001
Paul Groves,England,Grimsby Town,4,2000-2001
Bryan Hughes,England,Birmingham City,4,2000-2001
Rodney Jack,St. Vincent/Grenadines,Crewe Alexandra,4,2000-2001
Andy Johnson,England,Birmingham City,4,2000-2001
Colin Little,England,Crewe Alexandra,4,2000-2001
Lee Mills,England,Portsmouth FC,4,2000-2001
Jamie Pollock,England,Crystal Palace,4,2000-2001
Mark Rankine,England,Preston North End,4,2000-2001
Georges Santos,Cape Verde,Sheffield United,4,2000-2001
Riccardo Scimeca,England,Nottingham Forest,4,2000-2001
Shaun Smith,England,Crewe Alexandra,4,2000-2001
Gareth Taylor,Wales,Burnley FC,4,2000-2001
Bradley Allen,England,Grimsby Town,3,2000-2001
Neal Ardley,England,Wimbledon FC,3,2000-2001
Craig Armstrong,England,Huddersfield Town,3,2000-2001
Dean Austin,England,Crystal Palace,3,2000-2001
Guy Butters,England,Gillingham FC,3,2000-2001
Clarke Carlisle,England,Queens Park Rangers,3,2000-2001
John Collins,Scotland,Fulham FC,3,2000-2001
Paul Cook,England,Burnley FC,3,2000-2001
Gilles De Bilde,Belgium,Sheffield Wednesday,3,2000-2001
Jon Dyson,England,Huddersfield Town,3,2000-2001
Nicky Eaden,England,Birmingham City,3,2000-2001
Christian Edwards,Wales,Nottingham Forest,3,2000-2001
Gareth Farrelly,Ireland,Bolton Wanderers,3,2000-2001
Gary Flitcroft,England,Blackburn Rovers,3,2000-2001
Adrian Forbes,England,Norwich City,3,2000-2001
Bobby Ford,England,Sheffield United,3,2000-2001
Ricardo Gardner,Jamaica,Bolton Wanderers,3,2000-2001
Marcus Gayle,Jamaica,Wimbledon FC,3,2000-2001
Marlon Harewood,England,Nottingham Forest,3,2000-2001
Colin Hendry,Scotland,Bolton Wanderers,3,2000-2001
Craig Hignett,England,Blackburn Rovers,3,2000-2001
Andy Johnson,England,Nottingham Forest,3,2000-2001
Temur Ketsbaia,Georgia,Wolverhampton Wanderers,3,2000-2001
Glen Little,England,Burnley FC,3,2000-2001
Lee Marshall,England,Norwich City,3,2000-2001
John Mullin,England,Burnley FC,3,2000-2001
Kevin Muscat,Australia,Wolverhampton Wanderers,3,2000-2001
Michel Ngonge,Congo DR,Watford FC,3,2000-2001
Gavin Peacock,England,Queens Park Rangers,3,2000-2001
Paul Peschisolido,Canada,Sheffield United,3,2000-2001
Darren Purse,England,Birmingham City,3,2000-2001
Isaiah Rankin,England,Bolton Wanderers,3,2000-2001
Carl Robinson,Wales,Wolverhampton Wanderers,3,2000-2001
Alan Rogers,England,Nottingham Forest,3,2000-2001
