Player,Country,Team,Goals,Season
Matěj Vydra,Czech Republic,Derby County,21,2017-2018
Lewis Grabban,Jamaica,Sunderland AFC,20,2017-2018
Leon Clarke,England,Sheffield United,19,2017-2018
Bobby De Cordova-Reid,Jamaica,Bristol City,19,2017-2018
Diogo Jota,Portugal,Wolverhampton Wanderers,17,2017-2018
Martyn Waghorn,England,Ipswich Town,16,2017-2018
Albert Adomah,Ghana,Aston Villa,15,2017-2018
Britt Assombalonga,Congo DR,Middlesbrough FC,15,2017-2018
Ryan Sessegnon,England,Fulham FC,15,2017-2018
Jarrod Bowen,England,Hull City,14,2017-2018
James Maddison,England,Norwich City,14,2017-2018
Famara Diédhiou,Senegal,Bristol City,13,2017-2018
Billy Sharp,England,Sheffield United,13,2017-2018
Léo Bonatini,Brazil,Wolverhampton Wanderers,12,2017-2018
Neal Maupay,France,Brentford FC,12,2017-2018
Aleksandar Mitrović,Serbia,Fulham FC,12,2017-2018
Patrick Bamford,England,Middlesbrough FC,11,2017-2018
Conor Hourihane,Ireland,Aston Villa,11,2017-2018
Atdhe Nuhiu,Kosovo,Sheffield Wednesday,11,2017-2018
Kemar Roofe,Jamaica,Leeds United,11,2017-2018
Matt Smith,England,Queens Park Rangers,11,2017-2018
Modou Barrow,Gambia,Reading FC,10,2017-2018
Joe Garner,England,Ipswich Town,10,2017-2018
Lee Gregory,England,Millwall FC,10,2017-2018
Gary Hooper,England,Sheffield Wednesday,10,2017-2018
Pierre-Michel Lasogga,Germany,Leeds United,10,2017-2018
Gary Madine,England,Cardiff City,10,2017-2018
Seán Maguire,Ireland,Preston North End,10,2017-2018
Callum Paterson,Scotland,Cardiff City,10,2017-2018
George Saville,Northern Ireland,Millwall FC,10,2017-2018
Ollie Watkins,England,Brentford FC,10,2017-2018
Kieran Dowell,England,Nottingham Forest,9,2017-2018
Kamil Grosicki,Poland,Hull City,9,2017-2018
Junior Hoilett,Canada,Cardiff City,9,2017-2018
Ivan Cavaleiro,Portugal,Wolverhampton Wanderers,9,2017-2018
Lucas João,Angola,Sheffield Wednesday,9,2017-2018
Oliver McBurnie,Scotland,Barnsley FC,9,2017-2018
David Nugent,England,Derby County,9,2017-2018
Kenneth Zohoré,Denmark,Cardiff City,9,2017-2018
