Player,Country,Team,Goals,Season
Tom Barkhuizen,England,Preston North End,8,2017-2018
Aden Flint,England,Bristol City,8,2017-2018
Abel Hernández,Uruguay,Hull City,8,2017-2018
Jordan Hugill,England,Preston North End,8,2017-2018
Stefan Johansen,Norway,Fulham FC,8,2017-2018
Nélson Oliveira,Portugal,Norwich City,8,2017-2018
Callum Robinson,Ireland,Preston North End,8,2017-2018
Ezgjan Alioski,North Macedonia,Leeds United,7,2017-2018
Jón Böðvarsson,Iceland,Reading FC,7,2017-2018
Tom Bradshaw,Wales,Barnsley FC,7,2017-2018
Bersant Celina,Kosovo,Ipswich Town,7,2017-2018
Daniel Ayala,Spain,Middlesbrough FC,7,2017-2018
Lloyd Dyer,England,Burton Albion,7,2017-2018
Florian Jozefzoon,Suriname,Brentford FC,7,2017-2018
Aboubakar Kamara,Mauritania,Fulham FC,7,2017-2018
Adam Le Fondre,England,Bolton Wanderers,7,2017-2018
Aiden McGeady,Ireland,Sunderland AFC,7,2017-2018
Sean Morrison,England,Cardiff City,7,2017-2018
Daryl Murphy,Ireland,Nottingham Forest,7,2017-2018
Josh Murphy,England,Norwich City,7,2017-2018
Pablo Hernández,Spain,Leeds United,7,2017-2018
Kalvin Phillips,England,Leeds United,7,2017-2018
Joe Ralls,England,Cardiff City,7,2017-2018
Robert Snodgrass,Scotland,Aston Villa,7,2017-2018
Idrissa Sylla,Guinea,Queens Park Rangers,7,2017-2018
Lasse Vibe,Denmark,Brentford FC,7,2017-2018
Harry Wilson,Wales,Hull City,7,2017-2018
Sam Winnall,England,Sheffield Wednesday,7,2017-2018
Benik Afobe,Congo DR,Wolverhampton Wanderers,6,2017-2018
Alan Browne,Ireland,Preston North End,6,2017-2018
Fraizer Campbell,England,Hull City,6,2017-2018
Sam Gallagher,England,Birmingham City,6,2017-2018
Scott Hogan,Ireland,Aston Villa,6,2017-2018
George Honeyman,England,Sunderland AFC,6,2017-2018
Cameron Jerome,Grenada,Norwich City,6,2017-2018
Tom Lawrence,Wales,Derby County,6,2017-2018
Massimo Luongo,Australia,Queens Park Rangers,6,2017-2018
David McGoldrick,Ireland,Ipswich Town,6,2017-2018
Nathaniel Mendez-Laing,Guatemala,Cardiff City,6,2017-2018
Rúben Neves,Portugal,Wolverhampton Wanderers,6,2017-2018
Jed Wallace,England,Millwall FC,6,2017-2018
Conor Washington,Northern Ireland,Queens Park Rangers,6,2017-2018
Adama Traoré,Spain,Middlesbrough FC,5,2017-2018
Ché Adams,Scotland,Birmingham City,5,2017-2018
Lucas Akins,England,Burton Albion,5,2017-2018
Harvey Barnes,England,Barnsley FC,5,2017-2018
Martin Braithwaite,Denmark,Middlesbrough FC,5,2017-2018
Ben Brereton,Chile,Nottingham Forest,5,2017-2018
Josh Brownhill,England,Bristol City,5,2017-2018
Joe Bryan,England,Bristol City,5,2017-2018
Tom Cairney,England,Fulham FC,5,2017-2018
Nouha Dicko,Mali,Wolverhampton Wanderers,5,2017-2018
Clayton Donaldson,England,Sheffield United,5,2017-2018
Barry Douglas,Scotland,Wolverhampton Wanderers,5,2017-2018
Fernando Forestieri,Italy,Sheffield Wednesday,5,2017-2018
Luke Freeman,England,Queens Park Rangers,5,2017-2018
Hélder Costa,Angola,Wolverhampton Wanderers,5,2017-2018
Lukas Jutkiewicz,England,Birmingham City,5,2017-2018
Liam Kelly,Ireland,Reading FC,5,2017-2018
Lucas Piazón,Brazil,Fulham FC,5,2017-2018
Jacques Maghoma,Congo DR,Birmingham City,5,2017-2018
Barrie McKay,Scotland,Nottingham Forest,5,2017-2018
Paddy McNair,Northern Ireland,Sunderland AFC,5,2017-2018
David Meyler,Ireland,Hull City,5,2017-2018
Steve Morison,Wales,Millwall FC,5,2017-2018
Oliver Norwood,Northern Ireland,Fulham FC,5,2017-2018
Jamie Paterson,England,Bristol City,5,2017-2018
Jota Peleteiro,Spain,Brentford FC,5,2017-2018
Jordan Rhodes,Scotland,Sheffield Wednesday,5,2017-2018
Samu Sáiz,Spain,Leeds United,5,2017-2018
Lee Tomlin,England,Nottingham Forest,5,2017-2018
Andreas Weimann,Austria,Derby County,5,2017-2018
Sammy Ameobi,England,Bolton Wanderers,4,2017-2018
Floyd Ayité,Togo,Fulham FC,4,2017-2018
Sol Bamba,Ivory Coast,Cardiff City,4,2017-2018
James Chester,Wales,Aston Villa,4,2017-2018
Callum Connolly,England,Ipswich Town,4,2017-2018
Jake Cooper,England,Millwall FC,4,2017-2018
Matt Doherty,Ireland,Wolverhampton Wanderers,4,2017-2018
Tom Elliott,England,Millwall FC,4,2017-2018
Bradley Johnson,England,Derby County,4,2017-2018
Timm Klose,Switzerland,Norwich City,4,2017-2018
Jamie Mackie,Scotland,Queens Park Rangers,4,2017-2018
Aiden O'Brien,Ireland,Millwall FC,4,2017-2018
Sheyi Ojo,England,Fulham FC,4,2017-2018
Ben Osborn,England,Nottingham Forest,4,2017-2018
Adam Reach,England,Sheffield Wednesday,4,2017-2018
Johnny Russell,Scotland,Derby County,4,2017-2018
Romain Saïss,Morocco,Wolverhampton Wanderers,4,2017-2018
Romaine Sawyers,St. Kitts & Nevis,Brentford FC,4,2017-2018
Jordan Spence,England,Ipswich Town,4,2017-2018
Danny Ward,England,Cardiff City,4,2017-2018
Nico Yennaris,China,Brentford FC,4,2017-2018
Joel Asoro,Sweden,Sunderland AFC,3,2017-2018
Yoann Barbet,France,Brentford FC,3,2017-2018
Birkir Bjarnason,Iceland,Aston Villa,3,2017-2018
Omar Bogle,England,Cardiff City,3,2017-2018
Willy Boly,Ivory Coast,Wolverhampton Wanderers,3,2017-2018
Liam Boyce,Northern Ireland,Burton Albion,3,2017-2018
David Brooks,Wales,Sheffield United,3,2017-2018
Craig Bryson,Scotland,Derby County,3,2017-2018
Michael Dawson,England,Hull City,3,2017-2018
Stewart Downing,England,Middlesbrough FC,3,2017-2018
Mark Duffy,England,Sheffield United,3,2017-2018
Milan Đurić,Bosnia-Herzegovina,Bristol City,3,2017-2018
David Edwards,Wales,Wolverhampton Wanderers,3,2017-2018
Ashley Fletcher,England,Sunderland AFC,3,2017-2018
Rudy Gestede,Benin,Middlesbrough FC,3,2017-2018
Jack Grealish,England,Aston Villa,3,2017-2018
Jonny Howson,England,Middlesbrough FC,3,2017-2018
Jackson Irvine,Australia,Hull City,3,2017-2018
Pontus Jansson,Sweden,Leeds United,3,2017-2018
Daniel Johnson,Jamaica,Preston North End,3,2017-2018
Neeskens Kebano,Congo DR,Fulham FC,3,2017-2018
Grant Leadbitter,England,Middlesbrough FC,3,2017-2018
Kieran Lee,England,Sheffield Wednesday,3,2017-2018
Joe Lolley,England,Nottingham Forest,3,2017-2018
John Lundstram,England,Sheffield United,3,2017-2018
Ben Marshall,England,Wolverhampton Wanderers,3,2017-2018
Kevin McDonald,Scotland,Fulham FC,3,2017-2018
Kieffer Moore,Wales,Barnsley FC,3,2017-2018
Liam Moore,Jamaica,Reading FC,3,2017-2018
Alfred N'Diaye,Senegal,Wolverhampton Wanderers,3,2017-2018
Tom Naylor,England,Burton Albion,3,2017-2018
Josh Onomah,England,Aston Villa,3,2017-2018
Marlon Pack,England,Bristol City,3,2017-2018
Anthony Pilkington,Ireland,Cardiff City,3,2017-2018
Brad Potts,England,Barnsley FC,3,2017-2018
Rui Fonte,Portugal,Fulham FC,3,2017-2018
Sergi Canós,Spain,Brentford FC,3,2017-2018
Marvin Sordell,England,Burton Albion,3,2017-2018
Tyler Walker,England,Nottingham Forest,3,2017-2018
Hope Akpan,Nigeria,Burton Albion,2,2017-2018
Sone Aluko,Nigeria,Reading FC,2,2017-2018
Chris Basham,England,Sheffield United,2,2017-2018
Roy Beerens,Netherlands,Reading FC,2,2017-2018
Darren Bent,England,Burton Albion,2,2017-2018
Jake Bidwell,England,Queens Park Rangers,2,2017-2018
Jérémie Boga,Ivory Coast,Birmingham City,2,2017-2018
Andreas Bouchalakis,Greece,Nottingham Forest,2,2017-2018
George Boyd,Scotland,Sheffield Wednesday,2,2017-2018
Will Buckley,England,Bolton Wanderers,2,2017-2018
Mustapha Carayol,Gambia,Nottingham Forest,2,2017-2018
Matty Cash,Poland,Nottingham Forest,2,2017-2018
Tom Clarke,England,Preston North End,2,2017-2018
Maxime Colin,France,Brentford FC,2,2017-2018
Stuart Dallas,Northern Ireland,Leeds United,2,2017-2018
David Davis,England,Birmingham City,2,2017-2018
Keinan Davis,England,Aston Villa,2,2017-2018
John Egan,Ireland,Brentford FC,2,2017-2018
Lee Evans,Wales,Sheffield United,2,2017-2018
Eberechi Eze,England,Queens Park Rangers,2,2017-2018
Tom Flanagan,Northern Ireland,Burton Albion,2,2017-2018
John Fleck,Scotland,Sheffield United,2,2017-2018
Steven Fletcher,Scotland,Sheffield Wednesday,2,2017-2018
George Friend,England,Middlesbrough FC,2,2017-2018
Paul Gallagher,Scotland,Preston North End,2,2017-2018
Craig Gardner,England,Birmingham City,2,2017-2018
Gary Gardner,England,Barnsley FC,2,2017-2018
Josh Harrop,England,Preston North End,2,2017-2018
Ryan Hedges,Wales,Barnsley FC,2,2017-2018
Markus Henriksen,Norway,Hull City,2,2017-2018
Tom Huddlestone,England,Derby County,2,2017-2018
Shaun Hutchinson,England,Millwall FC,2,2017-2018
Ivo Pinto,Portugal,Norwich City,2,2017-2018
Yann Kermorgant,France,Reading FC,2,2017-2018
Henri Lansbury,England,Aston Villa,2,2017-2018
Sebastian Larsson,Sweden,Hull City,2,2017-2018
Ryan Manning,Ireland,Queens Park Rangers,2,2017-2018
Chris Martin,Scotland,Reading FC,2,2017-2018
George Moncur,England,Barnsley FC,2,2017-2018
Louis Moult,England,Preston North End,2,2017-2018
Bryan Oviedo,Costa Rica,Sunderland AFC,2,2017-2018
Kasey Palmer,Jamaica,Derby County,2,2017-2018
Ethan Pinnock,Jamaica,Barnsley FC,2,2017-2018
Darren Pratley,England,Bolton Wanderers,2,2017-2018
Omar Richards,England,Reading FC,2,2017-2018
Jack Robinson,England,Queens Park Rangers,2,2017-2018
Freddie Sears,England,Ipswich Town,2,2017-2018
Paul Smyth,Northern Ireland,Queens Park Rangers,2,2017-2018
Richard Stearman,England,Sheffield United,2,2017-2018
John Swift,England,Reading FC,2,2017-2018
Tom Trybull,Germany,Norwich City,2,2017-2018
Ben Turner,England,Burton Albion,2,2017-2018
James Vaughan,England,Sunderland AFC,2,2017-2018
Ross Wallace,Scotland,Sheffield Wednesday,2,2017-2018
Grant Ward,England,Ipswich Town,2,2017-2018
Aaron Wilbraham,England,Bolton Wanderers,2,2017-2018
Shaun Williams,Ireland,Millwall FC,2,2017-2018
Cauley Woodrow,England,Fulham FC,2,2017-2018
Paweł Wszołek,Poland,Queens Park Rangers,2,2017-2018
Gabriel Agbonlahor,England,Aston Villa,1,2017-2018
Jamie Allen,England,Burton Albion,1,2017-2018
Adam Armstrong,England,Bolton Wanderers,1,2017-2018
Leandro Bacuna,Curaçao,Reading FC,1,2017-2018
Lewis Baker,England,Middlesbrough FC,1,2017-2018
George Baldock,Greece,Sheffield United,1,2017-2018
Danny Batth,England,Wolverhampton Wanderers,1,2017-2018
Mark Beevers,England,Bolton Wanderers,1,2017-2018
Joe Bennett,England,Cardiff City,1,2017-2018
Ryan Bennett,England,Wolverhampton Wanderers,1,2017-2018
Muhamed Bešić,Bosnia-Herzegovina,Middlesbrough FC,1,2017-2018
Andreas Bjelland,Denmark,Brentford FC,1,2017-2018
Billy Bodin,Wales,Preston North End,1,2017-2018
Liam Bridcutt,Scotland,Nottingham Forest,1,2017-2018
Reece Burke,England,Bolton Wanderers,1,2017-2018
Oskar Buur,Denmark,Wolverhampton Wanderers,1,2017-2018
Samir Carruthers,Ireland,Sheffield United,1,2017-2018
Cameron Carter-Vickers,USA,Sheffield United,1,2017-2018
Lee Cattermole,England,Sunderland AFC,1,2017-2018
Dimitri Cavaré,Guadeloupe,Barnsley FC,1,2017-2018
Ilias Chair,Morocco,Queens Park Rangers,1,2017-2018
Luke Chambers,England,Ipswich Town,1,2017-2018
Cyrus Christie,Ireland,Middlesbrough FC,1,2017-2018
Sean Clare,England,Sheffield Wednesday,1,2017-2018
Josh Clarke,England,Brentford FC,1,2017-2018
Zach Clough,England,Nottingham Forest,1,2017-2018
Conor Coady,England,Wolverhampton Wanderers,1,2017-2018
Jack Colback,England,Nottingham Forest,1,2017-2018
Liam Cooper,Scotland,Leeds United,1,2017-2018
Paul Coutts,Scotland,Sheffield United,1,2017-2018
Jason Cummings,Australia,Nottingham Forest,1,2017-2018
Greg Cunningham,Ireland,Preston North End,1,2017-2018
Henrik Dalsgaard,Denmark,Brentford FC,1,2017-2018
Jacob Davenport,England,Burton Albion,1,2017-2018
Ben Davies,England,Preston North End,1,2017-2018
Curtis Davies,England,Derby County,1,2017-2018
Harlee Dean,England,Brentford FC,1,2017-2018
Adama Diomandé,Norway,Hull City,1,2017-2018
Ovie Ejaria,England,Sunderland AFC,1,2017-2018
Caleb Ekuban,Ghana,Leeds United,1,2017-2018
Bright Enobakhare,Nigeria,Wolverhampton Wanderers,1,2017-2018
Evandro,Brazil,Hull City,1,2017-2018
George Evans,England,Reading FC,1,2017-2018
Fábio,Brazil,Middlesbrough FC,1,2017-2018
Filipe Morais,Portugal,Bolton Wanderers,1,2017-2018
Frederico Venâncio,Portugal,Sheffield Wednesday,1,2017-2018
Kieron Freeman,Wales,Sheffield United,1,2017-2018
Ezekiel Fryers,England,Barnsley FC,1,2017-2018
Ben Gibson,England,Middlesbrough FC,1,2017-2018
Lynden Gooch,USA,Sunderland AFC,1,2017-2018
Andre Green,England,Aston Villa,1,2017-2018
Jay-Roy Grot,Netherlands,Leeds United,1,2017-2018
Marko Grujić,Serbia,Cardiff City,1,2017-2018
Aron Gunnarsson,Iceland,Cardiff City,1,2017-2018
Chris Gunter,Wales,Reading FC,1,2017-2018
Grant Hanley,Scotland,Norwich City,1,2017-2018
Michael Hector,Jamaica,Hull City,1,2017-2018
Karl Henry,England,Bolton Wanderers,1,2017-2018
Wes Hoolahan,Ireland,Norwich City,1,2017-2018
Daryl Horgan,Ireland,Preston North End,1,2017-2018
Paul Huntington,England,Preston North End,1,2017-2018
Dominic Iorfa,England,Ipswich Town,1,2017-2018
Lloyd Isgrove,Wales,Barnsley FC,1,2017-2018
Adam Jackson,England,Barnsley FC,1,2017-2018
Mile Jedinak,Australia,Aston Villa,1,2017-2018
Marvin Johnson,England,Middlesbrough FC,1,2017-2018
Billy Jones,England,Sunderland AFC,1,2017-2018
David Jones,England,Sheffield Wednesday,1,2017-2018
Will Keane,Ireland,Hull City,1,2017-2018
Lloyd Kelly,England,Bristol City,1,2017-2018
Richard Keogh,Ireland,Derby County,1,2017-2018
Jonas Knudsen,Denmark,Ipswich Town,1,2017-2018
Jonathan Kodjia,Ivory Coast,Aston Villa,1,2017-2018
Joe Ledley,Wales,Derby County,1,2017-2018
Tom Lees,England,Sheffield Wednesday,1,2017-2018
Eric Lichaj,USA,Nottingham Forest,1,2017-2018
Liam Lindsay,Scotland,Barnsley FC,1,2017-2018
Mark Little,England,Bolton Wanderers,1,2017-2018
Matthew Lund,Northern Ireland,Burton Albion,1,2017-2018
Joel Lynch,Wales,Queens Park Rangers,1,2017-2018
Lewis MacLeod,Scotland,Brentford FC,1,2017-2018
Josh Maja,Nigeria,Sunderland AFC,1,2017-2018
Joe Mason,Ireland,Burton Albion,1,2017-2018
Adam Matthews,Wales,Sunderland AFC,1,2017-2018
Cameron McGeehan,Northern Ireland,Barnsley FC,1,2017-2018
Conor McLaughlin,Northern Ireland,Millwall FC,1,2017-2018
Callum McManaman,England,Sunderland AFC,1,2017-2018
Chris Mepham,Wales,Brentford FC,1,2017-2018
Kamohelo Mokotjo,South Africa,Brentford FC,1,2017-2018
Michael Morrison,England,Birmingham City,1,2017-2018
Luke Murphy,England,Burton Albion,1,2017-2018
Craig Noone,England,Bolton Wanderers,1,2017-2018
Callum O'Dowda,Ireland,Bristol City,1,2017-2018
John O'Shea,Ireland,Sunderland AFC,1,2017-2018
Denis Odoi,Belgium,Fulham FC,1,2017-2018
Fred Onyedinma,Nigeria,Millwall FC,1,2017-2018
Bright Osayi-Samuel,Nigeria,Queens Park Rangers,1,2017-2018
Aramide Oteh,England,Queens Park Rangers,1,2017-2018
Matt Palmer,England,Burton Albion,1,2017-2018
Alex Pearce,Ireland,Derby County,1,2017-2018
Tom Pearce,England,Leeds United,1,2017-2018
Matty Pearson,England,Barnsley FC,1,2017-2018
Joey Pelupessy,Netherlands,Sheffield Wednesday,1,2017-2018
Pinillos,Spain,Barnsley FC,1,2017-2018
Alex Pritchard,England,Norwich City,1,2017-2018
Tim Ream,USA,Fulham FC,1,2017-2018
Harrison Reed,England,Norwich City,1,2017-2018
Marc Roberts,England,Birmingham City,1,2017-2018
Jack Rodwell,England,Sunderland AFC,1,2017-2018
Mahlon Romeo,Antigua & Barbuda,Millwall FC,1,2017-2018
Rúben Vinagre,Portugal,Wolverhampton Wanderers,1,2017-2018
Christopher Samba,Congo,Aston Villa,1,2017-2018
Josh Scowen,England,Queens Park Rangers,1,2017-2018
Ryan Shotton,England,Middlesbrough FC,1,2017-2018
Cole Skuse,England,Ipswich Town,1,2017-2018
Korey Smith,England,Bristol City,1,2017-2018
Sam Smith,England,Reading FC,1,2017-2018
Dennis Srbeny,Germany,Norwich City,1,2017-2018
Enda Stevens,Ireland,Sheffield United,1,2017-2018
Marco Stiepermann,Germany,Norwich City,1,2017-2018
Matt Targett,England,Fulham FC,1,2017-2018
Marcus Tavernier,England,Middlesbrough FC,1,2017-2018
Matty Taylor,England,Bristol City,1,2017-2018
John Terry,England,Aston Villa,1,2017-2018
Mamadou Thiam,Senegal,Barnsley FC,1,2017-2018
Jon Toral,Spain,Hull City,1,2017-2018
Armand Traoré,Senegal,Nottingham Forest,1,2017-2018
Ryan Tunnicliffe,England,Millwall FC,1,2017-2018
Iké Ugbo,Canada,Barnsley FC,1,2017-2018
Joey van den Berg,Netherlands,Reading FC,1,2017-2018
Isaac Vassell,England,Birmingham City,1,2017-2018
Josh Vela,England,Bolton Wanderers,1,2017-2018
Tolis Vellios,Greece,Nottingham Forest,1,2017-2018
Mario Vrančić,Bosnia-Herzegovina,Norwich City,1,2017-2018
Stephen Warnock,England,Burton Albion,1,2017-2018
David Wheater,England,Bolton Wanderers,1,2017-2018
David Wheeler,England,Queens Park Rangers,1,2017-2018
Glenn Whelan,Ireland,Aston Villa,1,2017-2018
Yanic Wildschut,Suriname,Norwich City,1,2017-2018
Joe Williams,England,Barnsley FC,1,2017-2018
Jonny Williams,Wales,Sunderland AFC,1,2017-2018
James Wilson,England,Sheffield United,1,2017-2018
Chris Wood,New Zealand,Leeds United,1,2017-2018
Ryan Woods,England,Brentford FC,1,2017-2018
Joe Worrall,England,Nottingham Forest,1,2017-2018
Christoph Zimmermann,Germany,Norwich City,1,2017-2018
