Player,Country,Team,Goals,Season
Nicky Maynard,England,Bristol City,20,2009-2010
Peter Whittingham,England,Cardiff City,20,2009-2010
Gary Hooper,England,Scunthorpe United,19,2009-2010
Andy Carroll,England,Newcastle United,17,2009-2010
Kevin Nolan,England,Newcastle United,17,2009-2010
Charlie Adam,Scotland,Blackpool FC,16,2009-2010
Michael Chopra,England,Cardiff City,16,2009-2010
Gylfi Sigurðsson,Iceland,Reading FC,16,2009-2010
Darren Ambrose,England,Crystal Palace,15,2009-2010
Robert Earnshaw,Wales,Nottingham Forest,15,2009-2010
Billy Sharp,England,Sheffield United,15,2009-2010
Danny Graham,England,Watford FC,14,2009-2010
Chris Brunt,Northern Ireland,West Bromwich Albion,13,2009-2010
Graham Dorrans,Scotland,West Bromwich Albion,13,2009-2010
Peter Løvenkrands,Denmark,Newcastle United,13,2009-2010
Dexter Blackstock,Antigua & Barbuda,Nottingham Forest,12,2009-2010
Richard Cresswell,England,Sheffield United,12,2009-2010
Heiðar Helguson,Iceland,Watford FC,12,2009-2010
Darius Henderson,England,Sheffield United,12,2009-2010
Rob Hulse,England,Derby County,12,2009-2010
Jay Simpson,England,Queens Park Rangers,12,2009-2010
Martyn Waghorn,England,Leicester City,12,2009-2010
Roman Bednář,Czech Republic,West Bromwich Albion,11,2009-2010
Daniel Bogdanović,Malta,Barnsley FC,11,2009-2010
Jay Bothroyd,England,Cardiff City,11,2009-2010
DJ Campbell,England,Leicester City,11,2009-2010
Tom Cleverley,England,Watford FC,11,2009-2010
Adam Johnson,England,Middlesbrough FC,11,2009-2010
Clinton Morrison,Ireland,Coventry City,11,2009-2010
Brett Ormerod,England,Blackpool FC,11,2009-2010
Shola Ameobi,Nigeria,Newcastle United,10,2009-2010
George Boyd,Scotland,Peterborough United,10,2009-2010
Ákos Buzsáky,Hungary,Queens Park Rangers,10,2009-2010
Simon Church,Wales,Reading FC,10,2009-2010
Matty Fryatt,England,Leicester City,10,2009-2010
