Player,Country,Team,Goals,Season
Svetoslav Todorov,Bulgaria,Portsmouth FC,26,2002-2003
David Johnson,Jamaica,Nottingham Forest,25,2002-2003
David Connolly,Ireland,Wimbledon FC,24,2002-2003
Marlon Harewood,England,Nottingham Forest,20,2002-2003
Neil Shipperley,England,Wimbledon FC,20,2002-2003
Kenny Miller,Scotland,Wolverhampton Wanderers,19,2002-2003
Couñago,Spain,Ipswich Town,17,2002-2003
Paul Dickov,Scotland,Leicester City,17,2002-2003
Michael Brown,England,Sheffield United,16,2002-2003
Richard Cresswell,England,Preston North End,16,2002-2003
Nicky Forster,England,Reading FC,16,2002-2003
Gareth Taylor,Wales,Burnley FC,16,2002-2003
Andy Gray,Scotland,Bradford City,15,2002-2003
José Júnior,Brazil,Walsall FC,15,2002-2003
Alan Lee,Ireland,Rotherham United,15,2002-2003
Steve Kabba,England,Sheffield United,14,2002-2003
Paul McVeigh,Northern Ireland,Norwich City,14,2002-2003
Bobby Zamora,England,Brighton & Hove Albion,14,2002-2003
Robbie Blake,England,Burnley FC,13,2002-2003
Darren Byfield,England,Rotherham United,13,2002-2003
Brian Deane,England,Leicester City,13,2002-2003
Darren Bent,England,Ipswich Town,12,2002-2003
Nathan Blake,Wales,Wolverhampton Wanderers,12,2002-2003
Neil Harris,England,Millwall FC,12,2002-2003
Paul Merson,England,Portsmouth FC,12,2002-2003
Paul Shaw,England,Gillingham FC,12,2002-2003
Carl Asaba,England,Sheffield United,11,2002-2003
Marcus Bent,England,Ipswich Town,11,2002-2003
Heiðar Helguson,Iceland,Watford FC,11,2002-2003
Andy Johnson,England,Crystal Palace,11,2002-2003
Jorge Leitão,Portugal,Walsall FC,11,2002-2003
Claus Jørgensen,Faroe Islands,Bradford City,11,2002-2003
Dean Sturridge,England,Wolverhampton Wanderers,11,2002-2003
Rodney Wallace,England,Gillingham FC,11,2002-2003
Graham Alexander,Scotland,Preston North End,10,2002-2003
James Scowcroft,England,Leicester City,10,2002-2003
Steve Claridge,England,Millwall FC,9,2002-2003
Neil Cox,England,Watford FC,9,2002-2003
Jamie Cureton,England,Reading FC,9,2002-2003
Dougie Freedman,Scotland,Crystal Palace,9,2002-2003
Ricardo Fuller,Jamaica,Preston North End,9,2002-2003
Andy Hughes,England,Reading FC,9,2002-2003
Vincent Péricard,France,Portsmouth FC,9,2002-2003
Darren Ambrose,England,Ipswich Town,8,2002-2003
Trevor Benjamin,Jamaica,Leicester City,8,2002-2003
Jay Bothroyd,England,Coventry City,8,2002-2003
Malcolm Christie,England,Derby County,8,2002-2003
Shefki Kuqi,Finland,Sheffield Wednesday,8,2002-2003
Lee Morris,England,Derby County,8,2002-2003
Peter Ndlovu,Zimbabwe,Sheffield United,8,2002-2003
Ian Thomas-Moore,England,Burnley FC,8,2002-2003
Yakubu Ayegbeni,Nigeria,Portsmouth FC,7,2002-2003
Richie Barker,England,Rotherham United,7,2002-2003
Deon Burton,Jamaica,Portsmouth FC,7,2002-2003
Colin Cameron,Scotland,Wolverhampton Wanderers,7,2002-2003
Andrew Cooke,England,Stoke City,7,2002-2003
David Healy,Northern Ireland,Preston North End,7,2002-2003
Matt Holland,Ireland,Ipswich Town,7,2002-2003
Jack Lester,England,Nottingham Forest,7,2002-2003
Gary McAllister,Scotland,Coventry City,7,2002-2003
George Ndah,England,Wolverhampton Wanderers,7,2002-2003
Iwan Roberts,Wales,Norwich City,7,2002-2003
Steven Sidwell,England,Reading FC,7,2002-2003
Tommy Smith,England,Watford FC,7,2002-2003
Matthew Taylor,England,Portsmouth FC,7,2002-2003
Wayne Allison,England,Sheffield United,6,2002-2003
Tommy Black,England,Crystal Palace,6,2002-2003
Adam Bolder,England,Derby County,6,2002-2003
Paul Brooker,England,Brighton & Hove Albion,6,2002-2003
Stuart Campbell,England,Grimsby Town,6,2002-2003
Dickson Etuhu,Nigeria,Preston North End,6,2002-2003
Damien Francis,Jamaica,Wimbledon FC,6,2002-2003
Paul Ifill,Barbados,Millwall FC,6,2002-2003
Glen Little,England,Reading FC,6,2002-2003
Malky Mackay,Scotland,Norwich City,6,2002-2003
Tommy Miller,Scotland,Ipswich Town,6,2002-2003
Phil Mulryne,Northern Ireland,Norwich City,6,2002-2003
David Nielsen,Denmark,Norwich City,6,2002-2003
John Oster,Wales,Grimsby Town,6,2002-2003
Steven Reid,Ireland,Millwall FC,6,2002-2003
Gerald Sibon,Netherlands,Sheffield Wednesday,6,2002-2003
Michael Tonge,England,Sheffield United,6,2002-2003
Dean Windass,England,Sheffield United,6,2002-2003
Darren Wrack,England,Walsall FC,6,2002-2003
Zema Abbey,England,Norwich City,5,2002-2003
Dele Adebola,Nigeria,Crystal Palace,5,2002-2003
Patrick Agyemang,Ghana,Wimbledon FC,5,2002-2003
Michael Chopra,England,Watford FC,5,2002-2003
Michael Dawson,England,Nottingham Forest,5,2002-2003
Matt Elliott,Scotland,Leicester City,5,2002-2003
Julian Gray,England,Crystal Palace,5,2002-2003
Brynjar Gunnarsson,Iceland,Stoke City,5,2002-2003
Darren Huckerby,England,Nottingham Forest,5,2002-2003
Eddie Lewis,USA,Preston North End,5,2002-2003
Martin McIntosh,Scotland,Rotherham United,5,2002-2003
Alan Pouton,England,Grimsby Town,5,2002-2003
Nigel Quashie,Scotland,Portsmouth FC,5,2002-2003
Alan Quinn,Ireland,Sheffield Wednesday,5,2002-2003
Fabrizio Ravanelli,Italy,Derby County,5,2002-2003
Mark Robins,England,Rotherham United,5,2002-2003
Anthony Rougier,Trinidad & Tobago,Reading FC,5,2002-2003
Michael Boulding,England,Sheffield United,4,2002-2003
Lee Bradbury,England,Sheffield Wednesday,4,2002-2003
Mark Burchill,Scotland,Portsmouth FC,4,2002-2003
Steve Corica,Australia,Walsall FC,4,2002-2003
Jason Crowe,England,Portsmouth FC,4,2002-2003
Steve Davis,England,Burnley FC,4,2002-2003
John Eustace,England,Coventry City,4,2002-2003
Thomas Gaardsøe,Denmark,Ipswich Town,4,2002-2003
Kevin Harper,Scotland,Portsmouth FC,4,2002-2003
Gary Hart,England,Brighton & Hove Albion,4,2002-2003
Darius Henderson,England,Reading FC,4,2002-2003
Peter Hoekstra,Netherlands,Stoke City,4,2002-2003
Micah Hyde,Jamaica,Watford FC,4,2002-2003
