Player,Country,Team,Goals,Season
Sammie Szmodics,Ireland,Blackburn Rovers,27,2023-2024
Adam Armstrong,England,Southampton FC,21,2023-2024
Crysencio Summerville,Netherlands,Leeds United,19,2023-2024
Morgan Whittaker,England,Plymouth Argyle,19,2023-2024
Jamie Vardy,England,Leicester City,18,2023-2024
Emmanuel Latte Lath,Ivory Coast,Middlesbrough FC,16,2023-2024
Josh Sargent,USA,Norwich City,16,2023-2024
Haji Wright,USA,Coventry City,16,2023-2024
Ché Adams,Scotland,Southampton FC,15,2023-2024
Jack Clarke,England,Sunderland AFC,15,2023-2024
Nathan Broadhead,Wales,Ipswich Town,13,2023-2024
Conor Chaplin,England,Ipswich Town,13,2023-2024
Gabriel Sara,Brazil,Norwich City,13,2023-2024
Dan James,Wales,Leeds United,13,2023-2024
Will Keane,Ireland,Preston North End,13,2023-2024
Joël Piroe,Netherlands,Swansea City,13,2023-2024
Ellis Simms,England,Coventry City,13,2023-2024
Kiernan Dewsbury-Hall,England,Leicester City,12,2023-2024
Ryan Hardie,Scotland,Plymouth Argyle,12,2023-2024
Stephy Mavididi,England,Leicester City,12,2023-2024
Jaden Philogene,England,Hull City,12,2023-2024
Jonathan Rowe,England,Norwich City,12,2023-2024
Jay Stansfield,England,Birmingham City,12,2023-2024
Finn Azaz,Ireland,Plymouth Argyle,11,2023-2024
Brandon Thomas-Asante,Ghana,West Bromwich Albion,11,2023-2024
Iké Ugbo,Canada,Sheffield Wednesday,11,2023-2024
Tommy Conway,Scotland,Bristol City,10,2023-2024
Omari Hutchinson,Jamaica,Ipswich Town,10,2023-2024
Mileta Rajović,Denmark,Watford FC,10,2023-2024
Ozan Tufan,Turkey,Hull City,10,2023-2024
Fabio Carvalho,Portugal,Hull City,9,2023-2024
Michał Helik,Poland,Huddersfield Town,9,2023-2024
Jamal Lowe,Jamaica,Swansea City,9,2023-2024
John Swift,England,West Bromwich Albion,9,2023-2024
Patrick Bamford,England,Leeds United,8,2023-2024
Aaron Connolly,Ireland,Hull City,8,2023-2024
Liam Delap,England,Hull City,8,2023-2024
Wilfried Gnonto,Italy,Leeds United,8,2023-2024
Jordan James,Wales,Birmingham City,8,2023-2024
Isaiah Jones,England,Middlesbrough FC,8,2023-2024
Milutin Osmajić,Montenegro,Preston North End,8,2023-2024
Jerry Yates,England,Swansea City,8,2023-2024
Juninho Bacuna,Curaçao,Birmingham City,7,2023-2024
Jobe Bellingham,England,Sunderland AFC,7,2023-2024
Delano Burgzorg,Netherlands,Huddersfield Town,7,2023-2024
Ilias Chair,Morocco,Queens Park Rangers,7,2023-2024
Liam Cullen,Wales,Swansea City,7,2023-2024
Patson Daka,Zambia,Leicester City,7,2023-2024
Grady Diangana,Congo DR,West Bromwich Albion,7,2023-2024
Zian Flemming,Netherlands,Millwall FC,7,2023-2024
Marcus Forss,Finland,Middlesbrough FC,7,2023-2024
George Hirst,England,Ipswich Town,7,2023-2024
Mikey Johnston,Ireland,West Bromwich Albion,7,2023-2024
Kieffer Moore,Wales,Ipswich Town,7,2023-2024
Anthony Musaba,Netherlands,Sheffield Wednesday,7,2023-2024
Jamie Paterson,England,Swansea City,7,2023-2024
Tatsuhiro Sakamoto,Japan,Coventry City,7,2023-2024
Nahki Wells,Bermuda,Bristol City,7,2023-2024
André Vidigal,Portugal,Stoke City,6,2023-2024
Yáser Asprilla,Colombia,Watford FC,6,2023-2024
Ashley Barnes,England,Norwich City,6,2023-2024
Vakoun Bayo,Ivory Coast,Watford FC,6,2023-2024
Borja Sainz,Spain,Norwich City,6,2023-2024
Wes Burns,Wales,Ipswich Town,6,2023-2024
Siriki Dembélé,Scotland,Birmingham City,6,2023-2024
Lyndon Dykes,Scotland,Queens Park Rangers,6,2023-2024
Tom Eaves,England,Rotherham United,6,2023-2024
Samuel Edozie,England,Southampton FC,6,2023-2024
Christian Fassnacht,Switzerland,Norwich City,6,2023-2024
Abdul Fatawu,Ghana,Leicester City,6,2023-2024
Ryan Fraser,Scotland,Southampton FC,6,2023-2024
Matt Godden,England,Coventry City,6,2023-2024
Karlan Grant,England,Cardiff City,6,2023-2024
Adam Idah,Ireland,Norwich City,6,2023-2024
Josh Koroma,England,Huddersfield Town,6,2023-2024
Kasey McAteer,Ireland,Leicester City,6,2023-2024
Koji Miyoshi,Japan,Birmingham City,6,2023-2024
Perry Ng,England,Cardiff City,6,2023-2024
Callum O'Hare,England,Coventry City,6,2023-2024
Emil Riis,Denmark,Preston North End,6,2023-2024
Georginio Rutter,France,Leeds United,6,2023-2024
Will Smallbone,Ireland,Southampton FC,6,2023-2024
Scott Twine,England,Hull City,6,2023-2024
Jed Wallace,England,West Bromwich Albion,6,2023-2024
Josh Windass,England,Sheffield Wednesday,6,2023-2024
Stuart Armstrong,Scotland,Southampton FC,5,2023-2024
Sam Bell,England,Bristol City,5,2023-2024
Josh Bowler,England,Cardiff City,5,2023-2024
Luke Cundle,England,Stoke City,5,2023-2024
Rob Dickie,England,Bristol City,5,2023-2024
Tyrhys Dolan,England,Blackburn Rovers,5,2023-2024
Pierre Ekwah,France,Sunderland AFC,5,2023-2024
Darnell Furlong,England,West Bromwich Albion,5,2023-2024
Sam Greenwood,England,Middlesbrough FC,5,2023-2024
Rhys Healey,England,Watford FC,5,2023-2024
Jordan Hugill,England,Rotherham United,5,2023-2024
