Player,Country,Team,Goals,Season
Teemu Pukki,Finland,Norwich City,29,2018-2019
Tammy Abraham,England,Aston Villa,25,2018-2019
Neal Maupay,France,Brentford FC,25,2018-2019
Dwight Gayle,England,West Bromwich Albion,23,2018-2019
Billy Sharp,England,Sheffield United,23,2018-2019
Ché Adams,Scotland,Birmingham City,22,2018-2019
Jarrod Bowen,England,Hull City,22,2018-2019
Oliver McBurnie,Scotland,Swansea City,22,2018-2019
Jay Rodriguez,England,West Bromwich Albion,22,2018-2019
Lewis Grabban,Jamaica,Nottingham Forest,16,2018-2019
Bradley Dack,England,Blackburn Rovers,15,2018-2019
Danny Graham,England,Blackburn Rovers,15,2018-2019
David McGoldrick,Ireland,Sheffield United,15,2018-2019
Harry Wilson,Wales,Derby County,15,2018-2019
Britt Assombalonga,Congo DR,Middlesbrough FC,14,2018-2019
Lukas Jutkiewicz,England,Birmingham City,14,2018-2019
Kemar Roofe,Jamaica,Leeds United,14,2018-2019
Famara Diédhiou,Senegal,Bristol City,13,2018-2019
Alan Browne,Ireland,Preston North End,12,2018-2019
Fraizer Campbell,England,Hull City,12,2018-2019
Yakou Meïté,Ivory Coast,Reading FC,12,2018-2019
Pablo Hernández,Spain,Leeds United,12,2018-2019
Callum Robinson,Ireland,Preston North End,12,2018-2019
Steven Fletcher,Scotland,Sheffield Wednesday,11,2018-2019
Lee Gregory,England,Millwall FC,11,2018-2019
Joe Lolley,England,Nottingham Forest,11,2018-2019
Saïd Benrahma,Algeria,Brentford FC,10,2018-2019
Mateusz Klich,Poland,Leeds United,10,2018-2019
Lucas João,Angola,Sheffield Wednesday,10,2018-2019
Charlie Mulgrew,Scotland,Blackburn Rovers,10,2018-2019
Mario Vrančić,Bosnia-Herzegovina,Norwich City,10,2018-2019
Ollie Watkins,England,Brentford FC,10,2018-2019
Andreas Weimann,Austria,Bristol City,10,2018-2019
Patrick Bamford,England,Leeds United,9,2018-2019
Harvey Barnes,England,West Bromwich Albion,9,2018-2019
Kamil Grosicki,Poland,Hull City,9,2018-2019
Jonathan Kodjia,Ivory Coast,Aston Villa,9,2018-2019
Marco Stiepermann,Germany,Norwich City,9,2018-2019
Martyn Waghorn,England,Derby County,9,2018-2019
Benik Afobe,Congo DR,Stoke City,8,2018-2019
Emiliano Buendia,Argentina,Norwich City,8,2018-2019
Joe Garner,England,Wigan Athletic,8,2018-2019
Onel Hernández,Cuba,Norwich City,8,2018-2019
Mason Mount,England,Derby County,8,2018-2019
Nick Powell,England,Wigan Athletic,8,2018-2019
Adam Reach,England,Sheffield Wednesday,8,2018-2019
Michael Smith,England,Rotherham United,8,2018-2019
Semi Ajayi,Nigeria,Rotherham United,7,2018-2019
Ezgjan Alioski,North Macedonia,Leeds United,7,2018-2019
Luke Freeman,England,Queens Park Rangers,7,2018-2019
Tomer Hemed,Israel,Queens Park Rangers,7,2018-2019
Conor Hourihane,Ireland,Aston Villa,7,2018-2019
Jack Marriott,England,Derby County,7,2018-2019
Sergi Canós,Spain,Brentford FC,7,2018-2019
Will Vaulks,Wales,Rotherham United,7,2018-2019
Nahki Wells,Bermuda,Queens Park Rangers,7,2018-2019
Joe Allen,Wales,Stoke City,6,2018-2019
Tom Barkhuizen,England,Preston North End,6,2018-2019
Jón Böðvarsson,Iceland,Reading FC,6,2018-2019
Matty Cash,Poland,Nottingham Forest,6,2018-2019
Leon Clarke,England,Wigan Athletic,6,2018-2019
Mark Duffy,England,Sheffield United,6,2018-2019
Gwion Edwards,Wales,Ipswich Town,6,2018-2019
Fernando Forestieri,Italy,Sheffield Wednesday,6,2018-2019
Paul Gallagher,Scotland,Preston North End,6,2018-2019
Jack Grealish,England,Aston Villa,6,2018-2019
Jordan Hugill,England,Middlesbrough FC,6,2018-2019
