Player,Country,Team,Goals,Season
Andy Hunt,England,Charlton Athletic,24,1999-2000
Shaun Goater,Bermuda,Manchester City,23,1999-2000
David Johnson,Jamaica,Ipswich Town,22,1999-2000
Craig Hignett,England,Barnsley FC,19,1999-2000
Iwan Roberts,Wales,Norwich City,19,1999-2000
Ade Akinbiyi,England,Wolverhampton Wanderers,16,1999-2000
Wayne Allison,England,Tranmere Rovers,16,1999-2000
Marcus Bent,England,Sheffield United,16,1999-2000
Marcus Stewart,England,Ipswich Town,16,1999-2000
Clyde Wijnhard,Netherlands,Huddersfield Town,15,1999-2000
Steve Claridge,England,Portsmouth FC,14,1999-2000
Martin Smith,England,Sheffield United,14,1999-2000
Darren Barnard,Wales,Barnsley FC,13,1999-2000
Eiður Guðjohnsen,Iceland,Bolton Wanderers,13,1999-2000
Lee Hughes,England,West Bromwich Albion,13,1999-2000
Chris Kiwomya,England,Queens Park Rangers,13,1999-2000
James Scowcroft,England,Ipswich Town,13,1999-2000
Neil Shipperley,England,Barnsley FC,13,1999-2000
Lee Ashcroft,England,Grimsby Town,12,1999-2000
Lee Bradbury,England,Portsmouth FC,12,1999-2000
Tony Dinning,England,Stockport County,12,1999-2000
Clinton Morrison,Ireland,Crystal Palace,12,1999-2000
Paul Devlin,Scotland,Sheffield United,11,1999-2000
Paul Furlong,England,Birmingham City,11,1999-2000
Dean Holdsworth,England,Bolton Wanderers,11,1999-2000
Michael Ricketts,England,Walsall FC,11,1999-2000
Mathias Svensson,Sweden,Crystal Palace,11,1999-2000
Stewart Wardley,England,Queens Park Rangers,11,1999-2000
Lee Carsley,Ireland,Blackburn Rovers,10,1999-2000
Chris Hay,Scotland,Swindon Town,10,1999-2000
Matt Holland,Ireland,Ipswich Town,10,1999-2000
Kevin Horlock,Northern Ireland,Manchester City,10,1999-2000
Bryan Hughes,England,Birmingham City,10,1999-2000
Hayden Mullins,England,Crystal Palace,10,1999-2000
Ian Thomas-Moore,England,Stockport County,10,1999-2000
Chris Beech,England,Huddersfield Town,9,1999-2000
Dougie Freedman,Scotland,Nottingham Forest,9,1999-2000
Bo Hansen,Denmark,Bolton Wanderers,9,1999-2000
Clive Mendonca,England,Charlton Athletic,9,1999-2000
Alan Rogers,England,Nottingham Forest,9,1999-2000
Mike Sheron,England,Barnsley FC,9,1999-2000
Bradley Allen,England,Grimsby Town,8,1999-2000
Lee Clark,England,Fulham FC,8,1999-2000
Laurent D'Jaffo,Benin,Stockport County,8,1999-2000
Giuliano Grazioli,England,Swindon Town,8,1999-2000
Mark Kennedy,Ireland,Manchester City,8,1999-2000
Marcelo,Brazil,Sheffield United,8,1999-2000
Richard Naylor,England,Ipswich Town,8,1999-2000
Egil Østenstad,Norway,Blackburn Rovers,8,1999-2000
Gavin Peacock,England,Queens Park Rangers,8,1999-2000
John Robinson,Wales,Charlton Athletic,8,1999-2000
Anthony Rougier,Trinidad & Tobago,Port Vale FC,8,1999-2000
Bob Taylor,England,West Bromwich Albion,8,1999-2000
Ashley Ward,England,Blackburn Rovers,8,1999-2000
Geoff Horsfield,England,Fulham FC,7,1999-2000
Andy Parkinson,England,Tranmere Rovers,7,1999-2000
Mark Rivers,England,Crewe Alexandra,7,1999-2000
Graham Stuart,England,Charlton Athletic,7,1999-2000
Michael Branch,England,Wolverhampton Wanderers,6,1999-2000
Colin Cramb,Scotland,Crewe Alexandra,6,1999-2000
Bruce Dyer,England,Barnsley FC,6,1999-2000
Martin Foyle,England,Port Vale FC,6,1999-2000
Per Frandsen,Denmark,Bolton Wanderers,6,1999-2000
Claus Jensen,Denmark,Bolton Wanderers,6,1999-2000
David Kelly,Ireland,Tranmere Rovers,6,1999-2000
Jack Lester,England,Nottingham Forest,6,1999-2000
Matias,Spain,Walsall FC,6,1999-2000
Tony Naylor,England,Port Vale FC,6,1999-2000
Mark Robins,England,Walsall FC,6,1999-2000
Richard Rufus,England,Charlton Athletic,6,1999-2000
Neil Sorvel,England,Crewe Alexandra,6,1999-2000
Robert Steiner,Sweden,Queens Park Rangers,6,1999-2000
Paul Tait,England,Crewe Alexandra,6,1999-2000
Gareth Taylor,Wales,Queens Park Rangers,6,1999-2000
Dele Adebola,Nigeria,Birmingham City,5,1999-2000
Matthew Appleby,England,Barnsley FC,5,1999-2000
Chris Bart-Williams,England,Nottingham Forest,5,1999-2000
Mikkel Beck,Denmark,Queens Park Rangers,5,1999-2000
Paul Dickov,Scotland,Manchester City,5,1999-2000
Damien Duff,Ireland,Blackburn Rovers,5,1999-2000
Neil Emblen,England,Wolverhampton Wanderers,5,1999-2000
Ricardo Gardner,Jamaica,Bolton Wanderers,5,1999-2000
Martin Grainger,England,Birmingham City,5,1999-2000
Paul Hall,Jamaica,West Bromwich Albion,5,1999-2000
Barry Hayles,Jamaica,Fulham FC,5,1999-2000
Clint Hill,England,Tranmere Rovers,5,1999-2000
David Holdsworth,England,Birmingham City,5,1999-2000
Kevin Kilbane,Ireland,West Bromwich Albion,5,1999-2000
Lee Marshall,England,Norwich City,5,1999-2000
Alan McLoughlin,Ireland,Portsmouth FC,5,1999-2000
Ludovic Pollet,France,Wolverhampton Wanderers,5,1999-2000
Andy Rammell,England,Walsall FC,5,1999-2000
Karl-Heinz Riedle,Germany,Fulham FC,5,1999-2000
Steve Sedgley,England,Wolverhampton Wanderers,5,1999-2000
Robert Taylor,England,Manchester City,5,1999-2000
Thomas Thøgersen,Denmark,Portsmouth FC,5,1999-2000
Tommy Widdrington,England,Port Vale FC,5,1999-2000
Ian Wright,England,Nottingham Forest,5,1999-2000
Tony Barras,England,Walsall FC,4,1999-2000
Guðni Bergsson,Iceland,Bolton Wanderers,4,1999-2000
Kevin Cooper,England,Stockport County,4,1999-2000
Christian Dailly,Scotland,Blackburn Rovers,4,1999-2000
Håvard Flo,Norway,Wolverhampton Wanderers,4,1999-2000
Kevin Gallen,England,Queens Park Rangers,4,1999-2000
Dean Gorré,Netherlands,Huddersfield Town,4,1999-2000
Marlon Harewood,England,Nottingham Forest,4,1999-2000
Georgi Hristov,North Macedonia,Barnsley FC,4,1999-2000
Rodney Jack,St. Vincent/Grenadines,Crewe Alexandra,4,1999-2000
Matt Jansen,England,Blackburn Rovers,4,1999-2000
Ian Lawson,England,Stockport County,4,1999-2000
Colin Little,England,Crewe Alexandra,4,1999-2000
Steve Macauley,England,Crewe Alexandra,4,1999-2000
Jim Magilton,Northern Ireland,Ipswich Town,4,1999-2000
Alan Mahon,Ireland,Tranmere Rovers,4,1999-2000
Jon McCarthy,Northern Ireland,Birmingham City,4,1999-2000
Leon McKenzie,England,Crystal Palace,4,1999-2000
Kevin Muscat,Australia,Wolverhampton Wanderers,4,1999-2000
Shaun Newton,England,Charlton Athletic,4,1999-2000
Iffy Onuora,Scotland,Swindon Town,4,1999-2000
Paul Peschisolido,Canada,Fulham FC,4,1999-2000
Martin Pringle,Sweden,Charlton Athletic,4,1999-2000
Isaiah Rankin,England,Birmingham City,4,1999-2000
Geoff Thomas,England,Barnsley FC,4,1999-2000
Eric Tinkler,South Africa,Barnsley FC,4,1999-2000
Ville Viljanen,Finland,Port Vale FC,4,1999-2000
Jeff Whitley,Northern Ireland,Manchester City,4,1999-2000
Guy Whittingham,England,Portsmouth FC,4,1999-2000
Aaron Wilbraham,England,Stockport County,4,1999-2000
Darren Wrack,England,Walsall FC,4,1999-2000
Rory Allen,England,Portsmouth FC,3,1999-2000
Darren Bazeley,England,Wolverhampton Wanderers,3,1999-2000
Tom Bennett,Scotland,Walsall FC,3,1999-2000
Nathan Blake,Wales,Blackburn Rovers,3,1999-2000
Michael Brown,England,Sheffield United,3,1999-2000
Wayne Carlisle,Northern Ireland,Crystal Palace,3,1999-2000
Dave Challinor,England,Tranmere Rovers,3,1999-2000
Steve Chettle,England,Nottingham Forest,3,1999-2000
Daryl Clare,Ireland,Grimsby Town,3,1999-2000
Chris Coleman,Wales,Fulham FC,3,1999-2000
Sean Connelly,England,Stockport County,3,1999-2000
Kevin Donovan,England,Grimsby Town,3,1999-2000
David Dunn,England,Blackburn Rovers,3,1999-2000
Robbie Elliott,England,Bolton Wanderers,3,1999-2000
Micky Evans,Ireland,West Bromwich Albion,3,1999-2000
Craig Fleming,England,Norwich City,3,1999-2000
Sean Flynn,England,West Bromwich Albion,3,1999-2000
Mikael Forssell,Finland,Crystal Palace,3,1999-2000
Anthony Gardner,England,Port Vale FC,3,1999-2000
Bjarne Goldbæk,Denmark,Fulham FC,3,1999-2000
Paul Groves,England,Grimsby Town,3,1999-2000
Kevin Harper,Scotland,Walsall FC,3,1999-2000
David Healy,Northern Ireland,Port Vale FC,3,1999-2000
Kenny Irons,England,Huddersfield Town,3,1999-2000
Richard Jobson,England,Manchester City,3,1999-2000
Michael Johansen,Denmark,Bolton Wanderers,3,1999-2000
Stern John,St. Lucia,Nottingham Forest,3,1999-2000
Allan Johnston,Scotland,Bolton Wanderers,3,1999-2000
Gary Jones,England,Tranmere Rovers,3,1999-2000
Mark Kinsella,Ireland,Charlton Athletic,3,1999-2000
Richard Langley,Jamaica,Queens Park Rangers,3,1999-2000
Andy Linighan,England,Crystal Palace,3,1999-2000
Chris Llewellyn,Wales,Norwich City,3,1999-2000
Kenny Lunt,England,Crewe Alexandra,3,1999-2000
Enzo Maresca,Italy,West Bromwich Albion,3,1999-2000
Andy Melville,Wales,Fulham FC,3,1999-2000
Jeff Minton,England,Port Vale FC,3,1999-2000
Alex Notman,Scotland,Sheffield United,3,1999-2000
Jamie Pollock,England,Manchester City,3,1999-2000
Spencer Prior,England,Manchester City,3,1999-2000
Carl Robinson,Wales,Wolverhampton Wanderers,3,1999-2000
Richard Sneekes,Netherlands,West Bromwich Albion,3,1999-2000
Scott Taylor,England,Tranmere Rovers,3,1999-2000
Scott Taylor,England,Wolverhampton Wanderers,3,1999-2000
Robin van der Laan,Netherlands,Barnsley FC,3,1999-2000
Curtis Woodhouse,England,Sheffield United,3,1999-2000
Dean Austin,England,Crystal Palace,2,1999-2000
Craig Bellamy,Wales,Norwich City,2,1999-2000
Ian Bishop,England,Manchester City,2,1999-2000
Kingsley Black,Northern Ireland,Grimsby Town,2,1999-2000
Thierry Bonalair,France,Nottingham Forest,2,1999-2000
Steve Brown,England,Charlton Athletic,2,1999-2000
Gábor Bukrán,Hungary,Walsall FC,2,1999-2000
Sagi Burton,St. Kitts & Nevis,Port Vale FC,2,1999-2000
Chris Byrne,England,Stockport County,2,1999-2000
Matt Carbon,England,West Bromwich Albion,2,1999-2000
Michael Carrick,England,Swindon Town,2,1999-2000
Jamie Clapham,England,Ipswich Town,2,1999-2000
Stacy Coldicott,England,Grimsby Town,2,1999-2000
Neil Cox,England,Bolton Wanderers,2,1999-2000
Keith Curle,England,Wolverhampton Wanderers,2,1999-2000
John Curtis,England,Barnsley FC,2,1999-2000
Paul Dalglish,Scotland,Norwich City,2,1999-2000
Jermaine Darlington,England,Queens Park Rangers,2,1999-2000
Jon Dyson,England,Huddersfield Town,2,1999-2000
Steve Finnan,Ireland,Fulham FC,2,1999-2000
Bobby Ford,England,Sheffield United,2,1999-2000
Keith Gillespie,Northern Ireland,Blackburn Rovers,2,1999-2000
Danny Granville,England,Manchester City,2,1999-2000
Kevin Gray,England,Huddersfield Town,2,1999-2000
Wayne Gray,England,Swindon Town,2,1999-2000
Gareth Hall,Wales,Swindon Town,2,1999-2000
Ceri Hughes,Wales,Portsmouth FC,2,1999-2000
Andy Johnson,England,Nottingham Forest,2,1999-2000
Michael Johnson,Jamaica,Birmingham City,2,1999-2000
Robbie Keane,Ireland,Wolverhampton Wanderers,2,1999-2000
Jason Koumas,Wales,Tranmere Rovers,2,1999-2000
Stan Lazaridis,Australia,Birmingham City,2,1999-2000
Andrew Martin,Wales,Crystal Palace,2,1999-2000
Jason McAteer,Ireland,Blackburn Rovers,2,1999-2000
Sean McClare,England,Barnsley FC,2,1999-2000
Shaun Murphy,Australia,Sheffield United,2,1999-2000
Lee Naylor,England,Wolverhampton Wanderers,2,1999-2000
Allan Nielsen,Denmark,Wolverhampton Wanderers,2,1999-2000
Martin O'Connor,England,Birmingham City,2,1999-2000
Jean-François Péron,France,Portsmouth FC,2,1999-2000
Terry Phelan,Ireland,Fulham FC,2,1999-2000
David Prutton,England,Nottingham Forest,2,1999-2000
Darren Purse,England,Birmingham City,2,1999-2000
Nigel Quashie,Scotland,Nottingham Forest,2,1999-2000
Karl Ready,Wales,Queens Park Rangers,2,1999-2000
Martijn Reuser,Netherlands,Ipswich Town,2,1999-2000
Simon Rodger,England,Crystal Palace,2,1999-2000
Darel Russell,England,Norwich City,2,1999-2000
John Salako,England,Charlton Athletic,2,1999-2000
Greg Shields,Scotland,Charlton Athletic,2,1999-2000
Shaun Smith,England,Crewe Alexandra,2,1999-2000
Stefani Miglioranzi,Brazil,Portsmouth FC,2,1999-2000
Mick Stockwell,England,Ipswich Town,2,1999-2000
Daryl Sutch,England,Norwich City,2,1999-2000
Kit Symons,Wales,Fulham FC,2,1999-2000
Mark Venus,England,Ipswich Town,2,1999-2000
Jamie Vincent,England,Huddersfield Town,2,1999-2000
Michalis Vlachos,Greece,Walsall FC,2,1999-2000
Mark Walters,England,Swindon Town,2,1999-2000
Steve Yates,England,Tranmere Rovers,2,1999-2000
Bernard Allou,France,Nottingham Forest,1,1999-2000
Andy Awford,England,Portsmouth FC,1,1999-2000
Alan Bailey,England,Stockport County,1,1999-2000
Simon Baldry,England,Huddersfield Town,1,1999-2000
Tim Breacker,England,Queens Park Rangers,1,1999-2000
Keith Briggs,England,Stockport County,1,1999-2000
Marlon Broomes,England,Blackburn Rovers,1,1999-2000
Bruno Ribeiro,Portugal,Sheffield United,1,1999-2000
Martin Bullock,England,Port Vale FC,1,1999-2000
Daryl Burgess,England,West Bromwich Albion,1,1999-2000
Adam Burley,England,Sheffield United,1,1999-2000
Danny Cadamarteri,England,Fulham FC,1,1999-2000
Matt Carragher,England,Port Vale FC,1,1999-2000
Phil Charnock,England,Crewe Alexandra,1,1999-2000
Ashley Cole,England,Crystal Palace,1,1999-2000
Lee Collins,Scotland,Swindon Town,1,1999-2000
Wayne Collins,England,Fulham FC,1,1999-2000
Adrian Coote,Northern Ireland,Norwich City,1,1999-2000
Steve Corica,Australia,Wolverhampton Wanderers,1,1999-2000
Steve Cowe,England,Swindon Town,1,1999-2000
Gary Croft,England,Ipswich Town,1,1999-2000
Lee Crooks,England,Manchester City,1,1999-2000
Michael Cummins,Ireland,Port Vale FC,1,1999-2000
Fabian de Freitas,Netherlands,West Bromwich Albion,1,1999-2000
Shaun Derry,England,Sheffield United,1,1999-2000
Nicky Eaden,England,Barnsley FC,1,1999-2000
Darren Eadie,England,Norwich City,1,1999-2000
Richard Edghill,England,Manchester City,1,1999-2000
Rob Edwards,England,Huddersfield Town,1,1999-2000
Sigurður Eyjólfsson,Iceland,Walsall FC,1,1999-2000
Richard Eyre,England,Port Vale FC,1,1999-2000
Zhiyi Fan,China,Crystal Palace,1,1999-2000
Gareth Farrelly,Ireland,Bolton Wanderers,1,1999-2000
Graham Fenton,England,Walsall FC,1,1999-2000
Mike Flynn,England,Stockport County,1,1999-2000
Adrian Forbes,England,Norwich City,1,1999-2000
Craig Foster,Australia,Crystal Palace,1,1999-2000
Karim Fradin,France,Stockport County,1,1999-2000
Charlie Griffin,England,Swindon Town,1,1999-2000
Ian Hamilton,England,Sheffield United,1,1999-2000
Reuben Hazell,England,Tranmere Rovers,1,1999-2000
Nick Henry,England,Tranmere Rovers,1,1999-2000
Chris Holland,England,Huddersfield Town,1,1999-2000
Bobby Howe,England,Swindon Town,1,1999-2000
Rob Hulse,England,Crewe Alexandra,1,1999-2000
Graham Hyde,England,Birmingham City,1,1999-2000
Sammy Igoe,England,Portsmouth FC,1,1999-2000
Andy Johnson,England,Birmingham City,1,1999-2000
Damien Johnson,Northern Ireland,Blackburn Rovers,1,1999-2000
Keith Jones,England,Charlton Athletic,1,1999-2000
Petr Kachuro,Belarus,Sheffield United,1,1999-2000
Dean Keates,England,Walsall FC,1,1999-2000
Darren Kenton,England,Norwich City,1,1999-2000
Paul Kitson,England,Charlton Athletic,1,1999-2000
Samuel Koejoe,Netherlands,Queens Park Rangers,1,1999-2000
Chris Lightfoot,England,Crewe Alexandra,1,1999-2000
Danny Maddix,England,Queens Park Rangers,1,1999-2000
Rob Matthews,England,Stockport County,1,1999-2000
Andy McDermott,Australia,West Bromwich Albion,1,1999-2000
Neil Midgley,England,Ipswich Town,1,1999-2000
Kenneth Monkou,Netherlands,Huddersfield Town,1,1999-2000
Darren Moore,Jamaica,Portsmouth FC,1,1999-2000
Tony Mowbray,England,Ipswich Town,1,1999-2000
George Ndah,England,Wolverhampton Wanderers,1,1999-2000
Peter Ndlovu,Zimbabwe,Birmingham City,1,1999-2000
Alan Neilson,Wales,Fulham FC,1,1999-2000
Shane Nicholson,England,Stockport County,1,1999-2000
John O'Kane,England,Bolton Wanderers,1,1999-2000
Adam Oliver,England,West Bromwich Albion,1,1999-2000
Carlton Palmer,England,Nottingham Forest,1,1999-2000
Scott Parker,England,Charlton Athletic,1,1999-2000
Jimmy Phillips,England,Bolton Wanderers,1,1999-2000
Alan Pouton,England,Grimsby Town,1,1999-2000
Wayne Quinn,England,Sheffield United,1,1999-2000
Paul Raven,England,West Bromwich Albion,1,1999-2000
Alan Reeves,England,Swindon Town,1,1999-2000
Gareth Roberts,Wales,Tranmere Rovers,1,1999-2000
Ian Roper,England,Walsall FC,1,1999-2000
Matthew Rose,England,Queens Park Rangers,1,1999-2000
Gary Rowett,England,Birmingham City,1,1999-2000
Lee Sandford,England,Sheffield United,1,1999-2000
Georges Santos,Cape Verde,West Bromwich Albion,1,1999-2000
Scott Sellars,England,Huddersfield Town,1,1999-2000
Steve Slade,England,Queens Park Rangers,1,1999-2000
Dave Smith,England,Stockport County,1,1999-2000
David Smith,England,Grimsby Town,1,1999-2000
Kevin Street,England,Crewe Alexandra,1,1999-2000
Allen Tankard,England,Port Vale FC,1,1999-2000
Ben Thornley,England,Huddersfield Town,1,1999-2000
Carl Tiler,England,Charlton Athletic,1,1999-2000
Jason Van Blerk,Australia,West Bromwich Albion,1,1999-2000
Adrian Viveash,England,Walsall FC,1,1999-2000
Michael Walsh,England,Port Vale FC,1,1999-2000
Adrian Whitbread,England,Portsmouth FC,1,1999-2000
Mike Whitlow,England,Bolton Wanderers,1,1999-2000
Gerard Wiekens,Netherlands,Manchester City,1,1999-2000
Andrew Williams,Wales,Swindon Town,1,1999-2000
James Williams,England,Swindon Town,1,1999-2000
Christopher Wreh,Liberia,Birmingham City,1,1999-2000
Jermaine Wright,England,Ipswich Town,1,1999-2000
