Player,Country,Team,Goals,Season
Daryl Murphy,Ireland,Ipswich Town,27,2014-2015
Troy Deeney,England,Watford FC,21,2014-2015
Jordan Rhodes,Scotland,Blackburn Rovers,21,2014-2015
Rudy Gestede,Benin,Blackburn Rovers,20,2014-2015
Odion Ighalo,Nigeria,Watford FC,20,2014-2015
Callum Wilson,England,AFC Bournemouth,20,2014-2015
Cameron Jerome,Grenada,Norwich City,18,2014-2015
Chris Martin,Scotland,Derby County,18,2014-2015
Patrick Bamford,England,Middlesbrough FC,17,2014-2015
Ross McCormack,Scotland,Fulham FC,17,2014-2015
Andre Gray,Jamaica,Brentford FC,16,2014-2015
Matěj Vydra,Czech Republic,Watford FC,16,2014-2015
Britt Assombalonga,Congo DR,Nottingham Forest,15,2014-2015
Clayton Donaldson,England,Birmingham City,15,2014-2015
Bradley Johnson,England,Norwich City,15,2014-2015
Yann Kermorgant,France,AFC Bournemouth,15,2014-2015
Matt Ritchie,Scotland,AFC Bournemouth,15,2014-2015
Bakary Sako,Mali,Wolverhampton Wanderers,15,2014-2015
Michail Antonio,Jamaica,Nottingham Forest,14,2014-2015
Nouha Dicko,Mali,Wolverhampton Wanderers,14,2014-2015
Benik Afobe,Congo DR,Wolverhampton Wanderers,13,2014-2015
Brett Pitman,England,AFC Bournemouth,13,2014-2015
Darren Bent,England,Derby County,12,2014-2015
Lewis Grabban,Jamaica,Norwich City,12,2014-2015
Gary Hooper,England,Norwich City,12,2014-2015
Kenwyne Jones,Trinidad & Tobago,Cardiff City,12,2014-2015
Grant Leadbitter,England,Middlesbrough FC,12,2014-2015
Alex Pritchard,England,Brentford FC,12,2014-2015
Tom Ince,England,Nottingham Forest,11,2014-2015
Adam Le Fondre,England,Cardiff City,11,2014-2015
Jota Peleteiro,Spain,Brentford FC,11,2014-2015
Igor Vetokele,Angola,Charlton Athletic,11,2014-2015
Nahki Wells,Bermuda,Huddersfield Town,11,2014-2015
Mirco Antenucci,Italy,Leeds United,10,2014-2015
Jóhann Guðmundsson,Iceland,Charlton Athletic,10,2014-2015
Henri Lansbury,England,Nottingham Forest,10,2014-2015
Hugo Rodallega,Colombia,Fulham FC,10,2014-2015
Almen Abdi,Switzerland,Watford FC,9,2014-2015
Harry Arter,Ireland,AFC Bournemouth,9,2014-2015
Harry Bunn,England,Huddersfield Town,9,2014-2015
David Cotterill,Wales,Birmingham City,9,2014-2015
Matt Derbyshire,England,Rotherham United,9,2014-2015
Lee Gregory,England,Millwall FC,9,2014-2015
Kike García,Spain,Middlesbrough FC,9,2014-2015
Alex Mowatt,England,Leeds United,9,2014-2015
Marc Pugh,England,AFC Bournemouth,9,2014-2015
Freddie Sears,England,Ipswich Town,9,2014-2015
Yoni Buyens,Belgium,Charlton Athletic,8,2014-2015
Simon Cox,Ireland,Reading FC,8,2014-2015
Jonathan Douglas,Ireland,Brentford FC,8,2014-2015
Jonny Howson,England,Norwich City,8,2014-2015
Chris Maguire,Scotland,Sheffield Wednesday,8,2014-2015
Glenn Murray,England,Reading FC,8,2014-2015
Atdhe Nuhiu,Kosovo,Sheffield Wednesday,8,2014-2015
Jeff Hendrick,Ireland,Derby County,7,2014-2015
Stevie May,Scotland,Sheffield Wednesday,7,2014-2015
David McGoldrick,Ireland,Ipswich Town,7,2014-2015
Sean Morrison,England,Reading FC,7,2014-2015
Lee Tomlin,England,Middlesbrough FC,7,2014-2015
James Vaughan,England,Huddersfield Town,7,2014-2015
Jelle Vossen,Belgium,Middlesbrough FC,7,2014-2015
Chris Burke,Scotland,Nottingham Forest,6,2014-2015
Jacob Butterfield,England,Huddersfield Town,6,2014-2015
Paul Caddis,Scotland,Birmingham City,6,2014-2015
Stuart Dallas,Northern Ireland,Brentford FC,6,2014-2015
Craig Davies,Wales,Bolton Wanderers,6,2014-2015
David Edwards,Wales,Wolverhampton Wanderers,6,2014-2015
Matty Fryatt,England,Nottingham Forest,6,2014-2015
Gary Gardner,England,Nottingham Forest,6,2014-2015
Demarai Gray,Jamaica,Birmingham City,6,2014-2015
João Carlos Teixeira,Portugal,Brighton & Hove Albion,6,2014-2015
Kieran Lee,England,Sheffield Wednesday,6,2014-2015
Federico Macheda,Italy,Cardiff City,6,2014-2015
Ben Marshall,England,Blackburn Rovers,6,2014-2015
James McClean,Ireland,Wigan Athletic,6,2014-2015
Pavel Pogrebnyak,Russia,Reading FC,6,2014-2015
Alex Revell,England,Rotherham United,6,2014-2015
