Player,Country,Team,Goals,Season
Sylvain Ebanks-Blake,England,Wolverhampton Wanderers,25,2008-2009
Ross McCormack,Scotland,Cardiff City,21,2008-2009
Jason Scotland,Trinidad & Tobago,Swansea City,21,2008-2009
Kevin Doyle,Ireland,Reading FC,18,2008-2009
Tommy Smith,England,Watford FC,17,2008-2009
Rob Hulse,England,Derby County,15,2008-2009
Chris Iwelumo,Scotland,Wolverhampton Wanderers,14,2008-2009
Kevin Phillips,England,Birmingham City,14,2008-2009
Marcus Tudgay,England,Sheffield Wednesday,14,2008-2009
Nicky Bailey,England,Charlton Athletic,13,2008-2009
Dexter Blackstock,Antigua & Barbuda,Queens Park Rangers,13,2008-2009
Paul Gallagher,Scotland,Plymouth Argyle,13,2008-2009
James Beattie,England,Sheffield United,12,2008-2009
Jay Bothroyd,England,Cardiff City,12,2008-2009
Robert Earnshaw,Wales,Nottingham Forest,12,2008-2009
Jordi Gómez,Spain,Swansea City,12,2008-2009
David McGoldrick,Ireland,Southampton FC,12,2008-2009
Martin Paterson,Northern Ireland,Burnley FC,12,2008-2009
Tamás Priskin,Hungary,Watford FC,12,2008-2009
Jon Stead,England,Sheffield United,12,2008-2009
Noel Hunt,Ireland,Reading FC,11,2008-2009
Nicky Maynard,England,Bristol City,11,2008-2009
Jon Parkin,England,Preston North End,11,2008-2009
Dele Adebola,Nigeria,Bristol City,10,2008-2009
Paul Heffernan,Ireland,Doncaster Rovers,10,2008-2009
Shefki Kuqi,Finland,Crystal Palace,10,2008-2009
Neil Mellor,England,Preston North End,10,2008-2009
Clinton Morrison,Ireland,Coventry City,10,2008-2009
Graham Alexander,Scotland,Burnley FC,9,2008-2009
DJ Campbell,England,Blackpool FC,9,2008-2009
Jamal Campbell-Ryce,Jamaica,Barnsley FC,9,2008-2009
Michael Chopra,England,Cardiff City,9,2008-2009
Couñago,Spain,Ipswich Town,9,2008-2009
Cameron Jerome,Grenada,Birmingham City,9,2008-2009
Shane Long,Ireland,Reading FC,9,2008-2009
Jon Macken,Ireland,Barnsley FC,9,2008-2009
Robbie Blake,England,Burnley FC,8,2008-2009
Leon Clarke,England,Sheffield Wednesday,8,2008-2009
Michael Kightly,England,Wolverhampton Wanderers,8,2008-2009
Leroy Lita,England,Reading FC,8,2008-2009
John-Joe O'Toole,Ireland,Watford FC,8,2008-2009
Grzegorz Rasiak,Poland,Watford FC,8,2008-2009
Steven Thompson,Scotland,Cardiff City,8,2008-2009
