Player,Country,Team,Goals,Season
Ivan Toney,England,Brentford FC,30,2020-2021
Adam Armstrong,England,Blackburn Rovers,28,2020-2021
Teemu Pukki,Finland,Norwich City,26,2020-2021
Kieffer Moore,Wales,Cardiff City,20,2020-2021
Lucas João,Angola,Reading FC,19,2020-2021
André Ayew,Ghana,Swansea City,16,2020-2021
Emiliano Buendia,Argentina,Norwich City,15,2020-2021
Arnaut Danjuma,Netherlands,AFC Bournemouth,15,2020-2021
Dominic Solanke,England,AFC Bournemouth,15,2020-2021
Jamal Lowe,Jamaica,Swansea City,14,2020-2021
Ismaïla Sarr,Senegal,Watford FC,13,2020-2021
Lyndon Dykes,Scotland,Queens Park Rangers,12,2020-2021
Yakou Meïté,Ivory Coast,Reading FC,12,2020-2021
Nick Powell,England,Stoke City,12,2020-2021
Cauley Woodrow,England,Barnsley FC,12,2020-2021
Jed Wallace,England,Millwall FC,11,2020-2021
James Collins,England,Luton Town,10,2020-2021
Michael Smith,England,Rotherham United,10,2020-2021
Nahki Wells,Bermuda,Bristol City,10,2020-2021
Daryl Dike,USA,Barnsley FC,9,2020-2021
Steven Fletcher,Scotland,Stoke City,9,2020-2021
João Pedro,Brazil,Watford FC,9,2020-2021
Freddie Ladapo,Nigeria,Rotherham United,9,2020-2021
Sergi Canós,Spain,Brentford FC,9,2020-2021
Scott Sinclair,England,Preston North End,9,2020-2021
Junior Stanislas,England,AFC Bournemouth,9,2020-2021
Duncan Watmore,England,Middlesbrough FC,9,2020-2021
Josh Windass,England,Sheffield Wednesday,9,2020-2021
Charlie Austin,England,Queens Park Rangers,8,2020-2021
Philip Billing,Denmark,AFC Bournemouth,8,2020-2021
Ilias Chair,Morocco,Queens Park Rangers,8,2020-2021
Famara Diédhiou,Senegal,Bristol City,8,2020-2021
Sam Gallagher,England,Blackburn Rovers,8,2020-2021
Lukas Jutkiewicz,England,Birmingham City,8,2020-2021
Colin Kâzım-Richards,Turkey,Derby County,8,2020-2021
Josh Koroma,England,Huddersfield Town,8,2020-2021
Bryan Mbeumo,Cameroon,Brentford FC,8,2020-2021
Alex Mowatt,England,Barnsley FC,8,2020-2021
Callum Paterson,Scotland,Sheffield Wednesday,8,2020-2021
Ben Brereton,Chile,Blackburn Rovers,7,2020-2021
Fraizer Campbell,England,Huddersfield Town,7,2020-2021
Troy Deeney,England,Watford FC,7,2020-2021
Harvey Elliott,England,Blackburn Rovers,7,2020-2021
Marcus Forss,Finland,Brentford FC,7,2020-2021
Scott Hogan,Ireland,Birmingham City,7,2020-2021
Carlton Morris,England,Barnsley FC,7,2020-2021
Michael Olise,France,Reading FC,7,2020-2021
Jordan Rhodes,Scotland,Sheffield Wednesday,7,2020-2021
Tyler Walker,England,Coventry City,7,2020-2021
Harry Wilson,Wales,Cardiff City,7,2020-2021
Mason Bennett,England,Millwall FC,6,2020-2021
Tyrese Campbell,England,Stoke City,6,2020-2021
Todd Cantwell,England,Norwich City,6,2020-2021
Matt Crooks,England,Rotherham United,6,2020-2021
Matt Godden,England,Coventry City,6,2020-2021
Lewis Grabban,Jamaica,Nottingham Forest,6,2020-2021
Uche Ikpeazu,Uganda,Wycombe Wanderers,6,2020-2021
George Saville,Northern Ireland,Middlesbrough FC,6,2020-2021
Elijah Adebayo,England,Luton Town,5,2020-2021
Chuba Akpom,England,Middlesbrough FC,5,2020-2021
Britt Assombalonga,Congo DR,Middlesbrough FC,5,2020-2021
Juninho Bacuna,Curaçao,Huddersfield Town,5,2020-2021
Maxime Biamou,France,Coventry City,5,2020-2021
Tom Bradshaw,Wales,Millwall FC,5,2020-2021
David Brooks,Wales,AFC Bournemouth,5,2020-2021
Jacob Brown,Scotland,Stoke City,5,2020-2021
Joshua Dasilva,England,Brentford FC,5,2020-2021
Kieran Dowell,England,Norwich City,5,2020-2021
Ched Evans,Wales,Preston North End,5,2020-2021
Tariqe Fosu,Ghana,Brentford FC,5,2020-2021
Andre Gray,Jamaica,Watford FC,5,2020-2021
Gustavo Hamer,Netherlands,Coventry City,5,2020-2021
Michał Helik,Poland,Barnsley FC,5,2020-2021
Conor Hourihane,Ireland,Swansea City,5,2020-2021
Scott Malone,England,Millwall FC,5,2020-2021
Isaac Mbenza,Belgium,Huddersfield Town,5,2020-2021
Sean Morrison,England,Cardiff City,5,2020-2021
Sheyi Ojo,England,Cardiff City,5,2020-2021
Brad Potts,England,Preston North End,5,2020-2021
Joe Ralls,England,Cardiff City,5,2020-2021
