Player,Country,Team,Goals,Season
Andy Johnson,England,Crystal Palace,27,2003-2004
Marlon Harewood,England,West Ham United,25,2003-2004
Robert Earnshaw,Wales,Cardiff City,21,2003-2004
Dean Ashton,England,Crewe Alexandra,19,2003-2004
Robbie Blake,England,Burnley FC,19,2003-2004
Nathan Ellington,England,Wigan Athletic,18,2003-2004
Ricardo Fuller,Jamaica,Preston North End,17,2003-2004
Darren Bent,England,Ipswich Town,16,2003-2004
Martin Butler,England,Rotherham United,15,2003-2004
David Healy,Northern Ireland,Preston North End,15,2003-2004
Steve Jones,Northern Ireland,Crewe Alexandra,15,2003-2004
Andy Gray,Scotland,Sheffield United,14,2003-2004
Geoff Horsfield,England,Wigan Athletic,14,2003-2004
Darren Huckerby,England,Norwich City,14,2003-2004
Marcus Stewart,England,Sunderland AFC,14,2003-2004
Dougie Freedman,Scotland,Crystal Palace,13,2003-2004
Andy Reid,Ireland,Nottingham Forest,13,2003-2004
Peter Thorne,England,Cardiff City,13,2003-2004
Patrick Agyemang,Ghana,Wimbledon FC,12,2003-2004
Darren Byfield,England,Sunderland AFC,12,2003-2004
Shaun Goater,Bermuda,Reading FC,12,2003-2004
Jack Lester,England,Sheffield United,12,2003-2004
Paul Peschisolido,Canada,Sheffield United,12,2003-2004
Couñago,Spain,Ipswich Town,11,2003-2004
Jermain Defoe,England,West Ham United,11,2003-2004
Lee Hughes,England,West Bromwich Albion,11,2003-2004
Shefki Kuqi,Finland,Ipswich Town,11,2003-2004
Gary McSheffrey,England,Coventry City,11,2003-2004
Tommy Miller,Scotland,Ipswich Town,11,2003-2004
Ian Taylor,England,Derby County,11,2003-2004
Ade Akinbiyi,England,Stoke City,10,2003-2004
David Connolly,Ireland,West Ham United,10,2003-2004
Scott Fitzgerald,England,Watford FC,10,2003-2004
Rob Hulse,England,West Bromwich Albion,10,2003-2004
Jason Koumas,Wales,West Bromwich Albion,10,2003-2004
Kevin Kyle,Scotland,Sunderland AFC,10,2003-2004
Gifton Noel-Williams,England,Stoke City,10,2003-2004
Mathias Svensson,Sweden,Norwich City,10,2003-2004
Graham Alexander,Scotland,Preston North End,9,2003-2004
Tim Cahill,Australia,Millwall FC,9,2003-2004
Neil Harris,England,Millwall FC,9,2003-2004
Marlon King,Jamaica,Nottingham Forest,9,2003-2004
Andy Liddell,Scotland,Wigan Athletic,9,2003-2004
Leon McKenzie,England,Norwich City,9,2003-2004
Andy Morrell,England,Coventry City,9,2003-2004
Peter Ndlovu,Zimbabwe,Sheffield United,9,2003-2004
Ian Thomas-Moore,England,Burnley FC,9,2003-2004
Carl Asaba,England,Stoke City,8,2003-2004
Danny Dichio,England,West Bromwich Albion,8,2003-2004
Heiðar Helguson,Iceland,Watford FC,8,2003-2004
Paul Ifill,Barbados,Millwall FC,8,2003-2004
Julian Joachim,England,Coventry City,8,2003-2004
Iwan Roberts,Wales,Norwich City,8,2003-2004
Jason Roberts,Grenada,Wigan Athletic,8,2003-2004
