Player,Country,Team,Goals,Season
Shaun Goater,Bermuda,Manchester City,28,2001-2002
Clinton Morrison,Ireland,Crystal Palace,22,2001-2002
Dougie Freedman,Scotland,Crystal Palace,20,2001-2002
Darren Huckerby,England,Manchester City,20,2001-2002
Stern John,St. Lucia,Nottingham Forest,20,2001-2002
Dean Sturridge,England,Wolverhampton Wanderers,20,2001-2002
David Connolly,Ireland,Wimbledon FC,18,2001-2002
Peter Crouch,England,Portsmouth FC,18,2001-2002
Steve Claridge,England,Millwall FC,17,2001-2002
Marlon King,Jamaica,Gillingham FC,17,2001-2002
Gareth Taylor,Wales,Burnley FC,16,2001-2002
Mark Robins,England,Rotherham United,15,2001-2002
Bruce Dyer,England,Barnsley FC,14,2001-2002
Lee Hughes,England,Coventry City,14,2001-2002
Eoin Jess,Scotland,Bradford City,14,2001-2002
Richard Sadlier,Ireland,Millwall FC,14,2001-2002
Tim Cahill,Australia,Millwall FC,13,2001-2002
Jon Macken,Ireland,Preston North End,13,2001-2002
Marcelo,Brazil,Walsall FC,13,2001-2002
Tommy Mooney,England,Birmingham City,13,2001-2002
Iwan Roberts,Wales,Norwich City,13,2001-2002
Richard Cresswell,England,Preston North End,12,2001-2002
Mike Sheron,England,Barnsley FC,12,2001-2002
Neil Shipperley,England,Wimbledon FC,12,2001-2002
Gerald Sibon,Netherlands,Sheffield Wednesday,12,2001-2002
David Thompson,England,Coventry City,12,2001-2002
Paulo Wanchope,Costa Rica,Manchester City,12,2001-2002
Nathan Blake,Wales,Wolverhampton Wanderers,11,2001-2002
Michael Boulding,England,Grimsby Town,11,2001-2002
Scott Dobie,Scotland,West Bromwich Albion,11,2001-2002
Marlon Harewood,England,Nottingham Forest,11,2001-2002
Geoff Horsfield,England,Birmingham City,11,2001-2002
Rob Hulse,England,Crewe Alexandra,11,2001-2002
Shefki Kuqi,Finland,Stockport County,11,2001-2002
Iffy Onuora,Scotland,Gillingham FC,11,2001-2002
Tommy Smith,England,Watford FC,11,2001-2002
Ian Thomas-Moore,England,Burnley FC,11,2001-2002
Robbie Blake,England,Burnley FC,10,2001-2002
Kevin Cooper,England,Wolverhampton Wanderers,10,2001-2002
David Healy,Northern Ireland,Preston North End,10,2001-2002
David Johnson,Jamaica,Sheffield Wednesday,10,2001-2002
David Nielsen,Denmark,Wimbledon FC,10,2001-2002
Ashley Ward,England,Bradford City,10,2001-2002
Danny Dichio,England,West Bromwich Albion,9,2001-2002
Alan Lee,Ireland,Rotherham United,9,2001-2002
Glen Little,England,Burnley FC,9,2001-2002
Robert Prosinečki,Croatia,Portsmouth FC,9,2001-2002
Ali Benarbia,Algeria,Manchester City,8,2001-2002
Guy Ipoua,Cameroon,Gillingham FC,8,2001-2002
Jorge Leitão,Portugal,Walsall FC,8,2001-2002
Paul McVeigh,Northern Ireland,Norwich City,8,2001-2002
Shaun Newton,England,Wolverhampton Wanderers,8,2001-2002
Shaun Wright-Phillips,England,Manchester City,8,2001-2002
Carl Asaba,England,Sheffield United,7,2001-2002
Dean Ashton,England,Crewe Alexandra,7,2001-2002
Darren Barnard,Wales,Barnsley FC,7,2001-2002
Luke Beckett,England,Stockport County,7,2001-2002
Lee Bradbury,England,Portsmouth FC,7,2001-2002
Efan Ekoku,Nigeria,Sheffield Wednesday,7,2001-2002
Kevin Horlock,Northern Ireland,Manchester City,7,2001-2002
Bryan Hughes,England,Birmingham City,7,2001-2002
Rodney Jack,St. Vincent/Grenadines,Crewe Alexandra,7,2001-2002
Marc Libbra,France,Norwich City,7,2001-2002
Chris Lumsdon,England,Barnsley FC,7,2001-2002
Alex Rae,Scotland,Wolverhampton Wanderers,7,2001-2002
Jason Roberts,Grenada,West Bromwich Albion,7,2001-2002
Paul Shaw,England,Gillingham FC,7,2001-2002
Bob Taylor,England,West Bromwich Albion,7,2001-2002
Graham Alexander,Scotland,Preston North End,6,2001-2002
Eyal Berkovic,Israel,Manchester City,6,2001-2002
Jay Bothroyd,England,Coventry City,6,2001-2002
Michael Brown,England,Sheffield United,6,2001-2002
Darren Byfield,England,Walsall FC,6,2001-2002
Neil Clement,England,West Bromwich Albion,6,2001-2002
Heiðar Helguson,Iceland,Watford FC,6,2001-2002
Phil Jevons,England,Grimsby Town,6,2001-2002
Phil Mulryne,Northern Ireland,Norwich City,6,2001-2002
Allan Nielsen,Denmark,Watford FC,6,2001-2002
Gifton Noel-Williams,England,Watford FC,6,2001-2002
Chris Swailes,England,Rotherham United,6,2001-2002
