Player,Country,Team,Goals,Season
Stephen Dobbie,Scotland,Crystal Palace,5,2012-2013
Wade Elliott,England,Birmingham City,5,2012-2013
Marvin Emnes,Netherlands,Middlesbrough FC,5,2012-2013
Ricardo Fuller,Jamaica,Charlton Athletic,5,2012-2013
Gedo,Egypt,Hull City,5,2012-2013
Rudy Gestede,Benin,Cardiff City,5,2012-2013
James Henry,England,Millwall FC,5,2012-2013
Henri Lansbury,England,Nottingham Forest,5,2012-2013
Kazenga LuaLua,England,Brighton & Hove Albion,5,2012-2013
Radosław Majewski,Poland,Nottingham Forest,5,2012-2013
Ross McCormack,Scotland,Leeds United,5,2012-2013
Jacob Mellis,England,Barnsley FC,5,2012-2013
David Meyler,Ireland,Hull City,5,2012-2013
Ishmael Miller,England,Nottingham Forest,5,2012-2013
Andy Reid,Ireland,Nottingham Forest,5,2012-2013
Tommy Rowe,England,Peterborough United,5,2012-2013
Rubén Rochina,Spain,Blackburn Rovers,5,2012-2013
Björn Sigurðarson,Iceland,Wolverhampton Wanderers,5,2012-2013
Junior Stanislas,England,Burnley FC,5,2012-2013
Jon Stead,England,Bristol City,5,2012-2013
Ludovic Sylvestre,France,Blackpool FC,5,2012-2013
Gary Taylor-Fletcher,England,Blackpool FC,5,2012-2013
Keith Andrews,Ireland,Bolton Wanderers,4,2012-2013
Ross Barkley,England,Sheffield Wednesday,4,2012-2013
Craig Bellamy,Wales,Cardiff City,4,2012-2013
Robbie Brady,Ireland,Hull City,4,2012-2013
Michael Chopra,England,Ipswich Town,4,2012-2013
Adam Clayton,England,Huddersfield Town,4,2012-2013
Scott Dann,England,Blackburn Rovers,4,2012-2013
Neil Danns,Guyana,Leicester City,4,2012-2013
Ben Davies,Wales,Derby County,4,2012-2013
Craig Dawson,England,Bolton Wanderers,4,2012-2013
Stephen Dawson,Ireland,Barnsley FC,4,2012-2013
Kagisho Dikgacoi,South Africa,Crystal Palace,4,2012-2013
Abdoulaye Faye,Senegal,Hull City,4,2012-2013
Owen Garvan,Ireland,Crystal Palace,4,2012-2013
Paul Green,Ireland,Leeds United,4,2012-2013
Faris Haroun,Belgium,Middlesbrough FC,4,2012-2013
Mark Hudson,England,Cardiff City,4,2012-2013
Richard Keogh,Ireland,Derby County,4,2012-2013
Chung-yong Lee,South Korea,Bolton Wanderers,4,2012-2013
Marcos Alonso,Spain,Bolton Wanderers,4,2012-2013
Ben Marshall,England,Leicester City,4,2012-2013
Chris McCann,Ireland,Burnley FC,4,2012-2013
David McGoldrick,Ireland,Nottingham Forest,4,2012-2013
Lee Novak,England,Huddersfield Town,4,2012-2013
Nuno Gomes,Portugal,Blackburn Rovers,4,2012-2013
Matthew Phillips,Scotland,Blackpool FC,4,2012-2013
Peter Ramage,England,Crystal Palace,4,2012-2013
Marvin Sordell,England,Bolton Wanderers,4,2012-2013
Michael Tonge,England,Leeds United,4,2012-2013
Nathan Tyson,England,Millwall FC,4,2012-2013
Jamie Vardy,England,Leicester City,4,2012-2013
Luke Varney,England,Leeds United,4,2012-2013
Sam Vokes,Wales,Burnley FC,4,2012-2013
Martyn Woolford,England,Millwall FC,4,2012-2013
Mark Yeates,Ireland,Watford FC,4,2012-2013
Paul Anderson,England,Bristol City,3,2012-2013
Ikechi Anya,Scotland,Watford FC,3,2012-2013
Yannick Bolasie,Congo DR,Crystal Palace,3,2012-2013
Wayne Bridge,England,Brighton & Hove Albion,3,2012-2013
Jake Buxton,England,Derby County,3,2012-2013
Sam Byram,England,Leeds United,3,2012-2013
Mustapha Carayol,Gambia,Middlesbrough FC,3,2012-2013
Luke Chambers,England,Ipswich Town,3,2012-2013
Paul Coutts,Scotland,Derby County,3,2012-2013
Aaron Cresswell,England,Ipswich Town,3,2012-2013
Damien Delaney,Ireland,Ipswich Town,3,2012-2013
Dorian Dervite,France,Charlton Athletic,3,2012-2013
Lloyd Dyer,England,Leicester City,3,2012-2013
Carlos Edwards,Trinidad & Tobago,Ipswich Town,3,2012-2013
Ahmed Elmohamady,Egypt,Hull City,3,2012-2013
Elliot Grandin,France,Blackpool FC,3,2012-2013
Adlène Guédioura,Algeria,Nottingham Forest,3,2012-2013
Greg Halford,England,Nottingham Forest,3,2012-2013
Rob Hulse,England,Millwall FC,3,2012-2013
Danny Ings,England,Burnley FC,3,2012-2013
Matty James,England,Leicester City,3,2012-2013
Mile Jedinak,Australia,Crystal Palace,3,2012-2013
Colin Kâzım-Richards,Turkey,Blackburn Rovers,3,2012-2013
Grant Leadbitter,England,Middlesbrough FC,3,2012-2013
Peter Løvenkrands,Denmark,Birmingham City,3,2012-2013
Gary Madine,England,Sheffield Wednesday,3,2012-2013
Curtis Main,England,Middlesbrough FC,3,2012-2013
Nathaniel Mendez-Laing,Guatemala,Peterborough United,3,2012-2013
Steve Morison,Wales,Leeds United,3,2012-2013
Ravel Morrison,Jamaica,Birmingham City,3,2012-2013
David Norris,England,Leeds United,3,2012-2013
Oliver Norwood,Northern Ireland,Huddersfield Town,3,2012-2013
Jonathan Obika,England,Charlton Athletic,3,2012-2013
Stephen Pearson,Scotland,Bristol City,3,2012-2013
Martin Petrov,Bulgaria,Bolton Wanderers,3,2012-2013
Bradley Pritchard,Zimbabwe,Charlton Athletic,3,2012-2013
Nick Proschwitz,Germany,Hull City,3,2012-2013
Stephen Quinn,Ireland,Hull City,3,2012-2013
Jeffrey Schlupp,Ghana,Leicester City,3,2012-2013
Emile Sinclair,England,Peterborough United,3,2012-2013
Tommy Smith,New Zealand,Ipswich Town,3,2012-2013
Chris Taylor,England,Millwall FC,3,2012-2013
Marcus Tudgay,England,Nottingham Forest,3,2012-2013
Martyn Waghorn,England,Leicester City,3,2012-2013
Ross Wallace,Scotland,Burnley FC,3,2012-2013
Elliott Ward,England,Nottingham Forest,3,2012-2013
Benik Afobe,Congo DR,Millwall FC,2,2012-2013
Rodolph Austin,Jamaica,Leeds United,2,2012-2013
Nicky Bailey,England,Middlesbrough FC,2,2012-2013
Cristian Battocchio,Italy,Watford FC,2,2012-2013
Saido Berahino,Burundi,Peterborough United,2,2012-2013
Kirk Broadfoot,Scotland,Blackpool FC,2,2012-2013
Chris Cohen,England,Nottingham Forest,2,2012-2013
Craig Conway,Scotland,Cardiff City,2,2012-2013
Leon Cort,Guyana,Charlton Athletic,2,2012-2013
Don Cowie,Scotland,Cardiff City,2,2012-2013
Tongo Doumbia,Mali,Wolverhampton Wanderers,2,2012-2013
Kieron Dyer,England,Middlesbrough FC,2,2012-2013
Jermaine Easter,Wales,Millwall FC,2,2012-2013
David Edgar,Canada,Burnley FC,2,2012-2013
David Edwards,Wales,Wolverhampton Wanderers,2,2012-2013
Marvin Elliott,Jamaica,Bristol City,2,2012-2013
Jay Emmanuel-Thomas,England,Ipswich Town,2,2012-2013
Stephen Foster,England,Barnsley FC,2,2012-2013
Geijo,Spain,Watford FC,2,2012-2013
Adam Hammill,England,Wolverhampton Wanderers,2,2012-2013
Dean Hammond,England,Brighton & Hove Albion,2,2012-2013
Grant Hanley,Scotland,Blackburn Rovers,2,2012-2013
Marlon Harewood,England,Barnsley FC,2,2012-2013
Callum Harriott,England,Charlton Athletic,2,2012-2013
Tommie Hoban,Ireland,Watford FC,2,2012-2013
Will Hughes,England,Derby County,2,2012-2013
Michael Jacobs,England,Derby County,2,2012-2013
Roger Johnson,England,Wolverhampton Wanderers,2,2012-2013
David Jones,England,Blackburn Rovers,2,2012-2013
Harry Kane,England,Leicester City,2,2012-2013
Michael Keane,England,Leicester City,2,2012-2013
Bo-kyung Kim,South Korea,Cardiff City,2,2012-2013
Joshua King,Norway,Blackburn Rovers,2,2012-2013
Emmanuel Ledesma,Argentina,Middlesbrough FC,2,2012-2013
Alan Lee,Ireland,Huddersfield Town,2,2012-2013
Gary MacKenzie,Scotland,Blackpool FC,2,2012-2013
Dean Marney,England,Burnley FC,2,2012-2013
Chris Martin,Scotland,Derby County,2,2012-2013
Aaron McLean,England,Ipswich Town,2,2012-2013
Paul McShane,Ireland,Hull City,2,2012-2013
Hayden Mullins,England,Birmingham City,2,2012-2013
Frank Nouble,England,Wolverhampton Wanderers,2,2012-2013
Lewin Nyatanga,Wales,Bristol City,2,2012-2013
Jim O'Brien,Ireland,Barnsley FC,2,2012-2013
Dominic Poleon,St. Lucia,Leeds United,2,2012-2013
Darren Pratley,England,Bolton Wanderers,2,2012-2013
Adam Reach,England,Middlesbrough FC,2,2012-2013
Nathan Redmond,England,Birmingham City,2,2012-2013
Sean Scannell,Ireland,Huddersfield Town,2,2012-2013
Jason Shackell,England,Burnley FC,2,2012-2013
Richard Smallwood,England,Middlesbrough FC,2,2012-2013
Jay Spearing,England,Bolton Wanderers,2,2012-2013
Dale Stephens,England,Charlton Athletic,2,2012-2013
Danny Swanson,Scotland,Peterborough United,2,2012-2013
Vicente,Spain,Brighton & Hove Albion,2,2012-2013
Danny Ward,England,Huddersfield Town,2,2012-2013
Stephen Ward,Ireland,Wolverhampton Wanderers,2,2012-2013
Luke Williams,England,Middlesbrough FC,2,2012-2013
Lawrie Wilson,England,Charlton Athletic,2,2012-2013
Nadjim Abdou,Comoros,Millwall FC,1,2012-2013
Sammy Ameobi,England,Middlesbrough FC,1,2012-2013
Scott Arfield,Canada,Huddersfield Town,1,2012-2013
Chris Atkinson,England,Huddersfield Town,1,2012-2013
Alex Baptiste,England,Blackpool FC,1,2012-2013
Tyrone Barnett,England,Peterborough United,1,2012-2013
Chris Basham,England,Blackpool FC,1,2012-2013
Shaun Batt,England,Millwall FC,1,2012-2013
Danny Batth,England,Wolverhampton Wanderers,1,2012-2013
Mark Beevers,England,Sheffield Wednesday,1,2012-2013
André Bikey,Cameroon,Middlesbrough FC,1,2012-2013
Jay Bothroyd,England,Sheffield Wednesday,1,2012-2013
John Brayford,England,Derby County,1,2012-2013
Matthew Briggs,Guyana,Watford FC,1,2012-2013
Bruno Saltor,Spain,Brighton & Hove Albion,1,2012-2013
Steven Caldwell,Scotland,Birmingham City,1,2012-2013
Craig Cathcart,Northern Ireland,Blackpool FC,1,2012-2013
James Chester,Wales,Hull City,1,2012-2013
Simon Church,Wales,Huddersfield Town,1,2012-2013
Greg Cunningham,Ireland,Bristol City,1,2012-2013
Daniel Ayala,Spain,Nottingham Forest,1,2012-2013
Bobby De Cordova-Reid,Jamaica,Bristol City,1,2012-2013
Ritchie De Laet,Belgium,Leicester City,1,2012-2013
Papa Bouba Diop,Senegal,Birmingham City,1,2012-2013
Matt Doherty,Ireland,Wolverhampton Wanderers,1,2012-2013
Lloyd Doyley,England,Watford FC,1,2012-2013
Danny Drinkwater,England,Leicester City,1,2012-2013
Michael Duff,Northern Ireland,Burnley FC,1,2012-2013
David Dunn,England,Blackburn Rovers,1,2012-2013
Alan Dunne,Ireland,Millwall FC,1,2012-2013
Nathan Eccleston,England,Blackpool FC,1,2012-2013
Joel Ekstrand,Sweden,Watford FC,1,2012-2013
Adam El-Abd,Egypt,Brighton & Hove Albion,1,2012-2013
Dickson Etuhu,Nigeria,Blackburn Rovers,1,2012-2013
Kelvin Etuhu,Nigeria,Barnsley FC,1,2012-2013
Corry Evans,Northern Ireland,Hull City,1,2012-2013
Liam Feeney,England,Millwall FC,1,2012-2013
Kane Ferdinand,Ireland,Peterborough United,1,2012-2013
Shane Ferguson,Northern Ireland,Birmingham City,1,2012-2013
Liam Fontaine,England,Bristol City,1,2012-2013
Mauro Formica,Argentina,Blackburn Rovers,1,2012-2013
Márkó Futács,Hungary,Leicester City,1,2012-2013
Daniel Gabbidon,Wales,Crystal Palace,1,2012-2013
Anthony Gerrard,Ireland,Huddersfield Town,1,2012-2013
Scott Golbourne,England,Barnsley FC,1,2012-2013
Andy Gray,Scotland,Leeds United,1,2012-2013
Danny Green,England,Charlton Athletic,1,2012-2013
Jonathan Greening,England,Nottingham Forest,1,2012-2013
Gordon Greer,Scotland,Brighton & Hove Albion,1,2012-2013
Fitz Hall,England,Watford FC,1,2012-2013
Bobby Hassell,England,Barnsley FC,1,2012-2013
Jérémy Helan,France,Sheffield Wednesday,1,2012-2013
Seb Hines,England,Middlesbrough FC,1,2012-2013
Steve Howard,Scotland,Sheffield Wednesday,1,2012-2013
Justin Hoyte,Trinidad & Tobago,Middlesbrough FC,1,2012-2013
Stephen Hunt,Ireland,Wolverhampton Wanderers,1,2012-2013
Sam Hutchinson,England,Nottingham Forest,1,2012-2013
Luke Hyam,England,Ipswich Town,1,2012-2013
Jermaine Jenas,England,Nottingham Forest,1,2012-2013
Salim Kerkar,France,Charlton Athletic,1,2012-2013
Paul Konchesky,England,Leicester City,1,2012-2013
Tom Lees,England,Leeds United,1,2012-2013
Mark Little,England,Peterborough United,1,2012-2013
Shane Lowry,Australia,Millwall FC,1,2012-2013
Joel Lynch,Wales,Huddersfield Town,1,2012-2013
Chris Maguire,Scotland,Sheffield Wednesday,1,2012-2013
Scott Malone,England,Millwall FC,1,2012-2013
Nicky Maynard,England,Cardiff City,1,2012-2013
Rhys McCabe,Scotland,Sheffield Wednesday,1,2012-2013
Stephen McManus,Scotland,Middlesbrough FC,1,2012-2013
Medo,Sierra Leone,Bolton Wanderers,1,2012-2013
Ben Mee,England,Burnley FC,1,2012-2013
Matt Mills,England,Bolton Wanderers,1,2012-2013
Wes Morgan,Jamaica,Leicester City,1,2012-2013
Michael Morrison,England,Charlton Athletic,1,2012-2013
Danny Murphy,England,Blackburn Rovers,1,2012-2013
Sean Murray,Ireland,Watford FC,1,2012-2013
Guirane N'Daw,Senegal,Ipswich Town,1,2012-2013
Dany N'Guessan,France,Millwall FC,1,2012-2013
Reuben Noble-Lazarus,England,Barnsley FC,1,2012-2013
Kgosi Ntlhe,South Africa,Peterborough United,1,2012-2013
Ben Nugent,England,Cardiff City,1,2012-2013
James O'Connor,England,Derby County,1,2012-2013
Marcus Olsson,Sweden,Blackburn Rovers,1,2012-2013
Karleigh Osborne,England,Millwall FC,1,2012-2013
Isaiah Osbourne,England,Blackpool FC,1,2012-2013
Morten Pedersen,Norway,Blackburn Rovers,1,2012-2013
David Perkins,England,Barnsley FC,1,2012-2013
Davide Petrucci,Italy,Peterborough United,1,2012-2013
Daniel Pudil,Czech Republic,Watford FC,1,2012-2013
Danny Pugh,England,Sheffield Wednesday,1,2012-2013
Callum Reilly,Ireland,Birmingham City,1,2012-2013
Rodri,Spain,Sheffield Wednesday,1,2012-2013
Danny Rose,England,Barnsley FC,1,2012-2013
Mamady Sidibe,Mali,Sheffield Wednesday,1,2012-2013
Adam Smith,England,Millwall FC,1,2012-2013
Tommy Smith,England,Cardiff City,1,2012-2013
Chris Solly,England,Charlton Athletic,1,2012-2013
Davide Somma,South Africa,Leeds United,1,2012-2013
Keith Southern,England,Huddersfield Town,1,2012-2013
Richard Stearman,England,Wolverhampton Wanderers,1,2012-2013
Jay Tabb,England,Ipswich Town,1,2012-2013
Martin Taylor,England,Watford FC,1,2012-2013
Ryan Taylor,England,Bristol City,1,2012-2013
Jerome Thomas,England,Leeds United,1,2012-2013
George Thorne,England,Peterborough United,1,2012-2013
Keith Treacy,Ireland,Burnley FC,1,2012-2013
Ben Turner,England,Cardiff City,1,2012-2013
Matthew Upson,England,Brighton & Hove Albion,1,2012-2013
Scott Wagstaff,England,Charlton Athletic,1,2012-2013
Murray Wallace,Scotland,Huddersfield Town,1,2012-2013
Stephen Warnock,England,Leeds United,1,2012-2013
Zak Whitbread,USA,Leicester City,1,2012-2013
Aidy White,Ireland,Leeds United,1,2012-2013
Connor Wickham,England,Sheffield Wednesday,1,2012-2013
Jonathan Woodgate,England,Middlesbrough FC,1,2012-2013
Scott Wootton,England,Peterborough United,1,2012-2013
Tony Wordsworth,England,Ipswich Town,1,2012-2013
Bradley Wright-Phillips,England,Charlton Athletic,1,2012-2013
Gabriel Zakuani,Congo DR,Peterborough United,1,2012-2013
Merouane Zemmama,Morocco,Middlesbrough FC,1,2012-2013
