Player,Country,Team,Goals,Season
Glenn Murray,England,Crystal Palace,30,2012-2013
Jordan Rhodes,Scotland,Huddersfield Town,29,2012-2013
Charlie Austin,England,Burnley FC,24,2012-2013
Matěj Vydra,Czech Republic,Watford FC,20,2012-2013
Chris Wood,New Zealand,Millwall FC,20,2012-2013
Troy Deeney,England,Watford FC,19,2012-2013
Tom Ince,England,Blackpool FC,18,2012-2013
Luciano Becchio,Argentina,Leeds United,16,2012-2013
Sylvain Ebanks-Blake,England,Wolverhampton Wanderers,14,2012-2013
David Nugent,England,Leicester City,14,2012-2013
James Vaughan,England,Huddersfield Town,14,2012-2013
Steve Davies,England,Bristol City,13,2012-2013
Dwight Gayle,England,Peterborough United,13,2012-2013
Marlon King,Jamaica,Birmingham City,13,2012-2013
Almen Abdi,Switzerland,Watford FC,12,2012-2013
Craig Davies,Wales,Bolton Wanderers,12,2012-2013
Chris Eagles,England,Bolton Wanderers,12,2012-2013
Johnnie Jackson,England,Charlton Athletic,12,2012-2013
Yann Kermorgant,France,Charlton Athletic,12,2012-2013
Scott McDonald,Australia,Middlesbrough FC,12,2012-2013
Jamie Ward,Northern Ireland,Derby County,12,2012-2013
Craig Mackail-Smith,Scotland,Brighton & Hove Albion,11,2012-2013
Lee Tomlin,England,Peterborough United,11,2012-2013
Sam Baldock,England,Bristol City,10,2012-2013
George Boyd,Scotland,Peterborough United,10,2012-2013
DJ Campbell,England,Ipswich Town,10,2012-2013
Leroy Lita,England,Sheffield Wednesday,10,2012-2013
Chris O'Grady,England,Sheffield Wednesday,10,2012-2013
Billy Sharp,England,Nottingham Forest,10,2012-2013
David López,Spain,Brighton & Hove Albion,9,2012-2013
Kevin Doyle,Ireland,Wolverhampton Wanderers,9,2012-2013
Darius Henderson,England,Nottingham Forest,9,2012-2013
Robert Koren,Slovenia,Hull City,9,2012-2013
Bakary Sako,Mali,Wolverhampton Wanderers,9,2012-2013
Leonardo Ulloa,Argentina,Brighton & Hove Albion,9,2012-2013
Nikola Žigić,Serbia,Birmingham City,9,2012-2013
Sone Aluko,Nigeria,Hull City,8,2012-2013
Ashley Barnes,England,Brighton & Hove Albion,8,2012-2013
Jermaine Beckford,Jamaica,Leicester City,8,2012-2013
Will Buckley,England,Brighton & Hove Albion,8,2012-2013
Chris Burke,Scotland,Birmingham City,8,2012-2013
Fernando Forestieri,Italy,Watford FC,8,2012-2013
Aron Gunnarsson,Iceland,Cardiff City,8,2012-2013
Heiðar Helguson,Iceland,Cardiff City,8,2012-2013
Lukas Jutkiewicz,England,Middlesbrough FC,8,2012-2013
Anthony Knockaert,France,Leicester City,8,2012-2013
Grant McCann,Northern Ireland,Peterborough United,8,2012-2013
Lewis McGugan,England,Nottingham Forest,8,2012-2013
David N'Gog,France,Bolton Wanderers,8,2012-2013
Martin Paterson,Northern Ireland,Burnley FC,8,2012-2013
Kevin Phillips,England,Crystal Palace,8,2012-2013
Theo Robinson,Jamaica,Huddersfield Town,8,2012-2013
Conor Sammon,Ireland,Derby County,8,2012-2013
Peter Whittingham,England,Cardiff City,8,2012-2013
Albert Adomah,Ghana,Bristol City,7,2012-2013
Michail Antonio,Jamaica,Sheffield Wednesday,7,2012-2013
Fraizer Campbell,England,Cardiff City,7,2012-2013
Danny Haynes,England,Charlton Athletic,7,2012-2013
Andy King,Wales,Leicester City,7,2012-2013
Daryl Murphy,Ireland,Ipswich Town,7,2012-2013
Craig Noone,England,Cardiff City,7,2012-2013
Jason Scotland,Trinidad & Tobago,Ipswich Town,7,2012-2013
Dexter Blackstock,Antigua & Barbuda,Nottingham Forest,6,2012-2013
Curtis Davies,England,Birmingham City,6,2012-2013
Kevin Davies,England,Bolton Wanderers,6,2012-2013
Mark Davies,England,Bolton Wanderers,6,2012-2013
Nathan Delfouneso,England,Blackpool FC,6,2012-2013
Nouha Dicko,Mali,Wolverhampton Wanderers,6,2012-2013
Jeff Hendrick,Ireland,Derby County,6,2012-2013
Jermaine Johnson,Jamaica,Sheffield Wednesday,6,2012-2013
Réda Johnson,Benin,Sheffield Wednesday,6,2012-2013
Andy Keogh,Ireland,Millwall FC,6,2012-2013
Llera,Spain,Sheffield Wednesday,6,2012-2013
Joe Mason,Ireland,Cardiff City,6,2012-2013
Orlandi,Spain,Brighton & Hove Albion,6,2012-2013
Jay Simpson,England,Hull City,6,2012-2013
Wes Thomas,England,Blackpool FC,6,2012-2013
Liam Trotter,England,Millwall FC,6,2012-2013
Wilfried Zaha,Ivory Coast,Crystal Palace,6,2012-2013
André Moritz,Brazil,Crystal Palace,5,2012-2013
Michael Bostwick,England,Peterborough United,5,2012-2013
Craig Bryson,Scotland,Derby County,5,2012-2013
Nathaniel Chalobah,England,Watford FC,5,2012-2013
Matthew Connolly,England,Cardiff City,5,2012-2013
Simon Cox,Ireland,Nottingham Forest,5,2012-2013
Tomasz Cywka,Poland,Barnsley FC,5,2012-2013
Chris Dagnall,Northern Ireland,Barnsley FC,5,2012-2013
El-Hadji Diouf,Senegal,Leeds United,5,2012-2013
