Player,Country,Team,Goals,Season
Nathan Ellington,England,Wigan Athletic,24,2004-2005
Jason Roberts,Grenada,Wigan Athletic,21,2004-2005
Darren Bent,England,Ipswich Town,20,2004-2005
Teddy Sheringham,England,West Ham United,20,2004-2005
Dave Kitson,England,Reading FC,19,2004-2005
Shefki Kuqi,Finland,Ipswich Town,19,2004-2005
Kenny Miller,Scotland,Wolverhampton Wanderers,19,2004-2005
Paul Furlong,England,Queens Park Rangers,18,2004-2005
Dean Ashton,England,Crewe Alexandra,17,2004-2005
Marlon Harewood,England,West Ham United,17,2004-2005
Richard Cresswell,England,Preston North End,16,2004-2005
Heiðar Helguson,Iceland,Watford FC,16,2004-2005
Grzegorz Rasiak,Poland,Derby County,16,2004-2005
Marcus Stewart,England,Sunderland AFC,16,2004-2005
Carl Cort,Guyana,Wolverhampton Wanderers,15,2004-2005
Stephen Elliott,Ireland,Sunderland AFC,15,2004-2005
Andy Gray,Scotland,Sheffield United,15,2004-2005
Danny Webber,England,Watford FC,15,2004-2005
Lee McCulloch,Scotland,Wigan Athletic,14,2004-2005
David Connolly,Ireland,Leicester City,13,2004-2005
Tommy Miller,Scotland,Ipswich Town,13,2004-2005
Gifton Noel-Williams,England,Stoke City,13,2004-2005
Barry Hayles,Jamaica,Sheffield United,12,2004-2005
David Healy,Northern Ireland,Preston North End,12,2004-2005
Gary McSheffrey,England,Coventry City,12,2004-2005
Peter Thorne,England,Cardiff City,12,2004-2005
Paul Wotton,England,Plymouth Argyle,12,2004-2005
Ade Akinbiyi,England,Stoke City,11,2004-2005
Stern John,St. Lucia,Coventry City,11,2004-2005
Tommy Smith,England,Derby County,11,2004-2005
Robbie Blake,England,Burnley FC,10,2004-2005
Danny Dichio,England,Millwall FC,10,2004-2005
Kevin Gallen,England,Queens Park Rangers,10,2004-2005
Steve Jones,Northern Ireland,Crewe Alexandra,10,2004-2005
Julio Arca,Argentina,Sunderland AFC,9,2004-2005
Bruce Dyer,England,Watford FC,9,2004-2005
Darius Henderson,England,Gillingham FC,9,2004-2005
Iñigo Idiakez,Spain,Derby County,9,2004-2005
Paul Shaw,England,Sheffield United,9,2004-2005
Marcus Tudgay,England,Derby County,9,2004-2005
David Nugent,England,Preston North End,8,2004-2005
Paul Peschisolido,Canada,Derby County,8,2004-2005
Adam Virgo,England,Brighton & Hove Albion,8,2004-2005
Graham Alexander,Scotland,Preston North End,7,2004-2005
Leon Clarke,England,Wolverhampton Wanderers,7,2004-2005
Nicky Forster,England,Reading FC,7,2004-2005
Liam Lawrence,Ireland,Sunderland AFC,7,2004-2005
Alan Mahon,Ireland,Wigan Athletic,7,2004-2005
Alan Quinn,Ireland,Sheffield United,7,2004-2005
Mark Rivers,England,Crewe Alexandra,7,2004-2005
Gareth Taylor,Wales,Nottingham Forest,7,2004-2005
Ian Westlake,England,Ipswich Town,7,2004-2005
Bobby Zamora,England,West Ham United,7,2004-2005
Patrick Agyemang,Ghana,Preston North End,6,2004-2005
Martin Butler,England,Rotherham United,6,2004-2005
Darren Byfield,England,Gillingham FC,6,2004-2005
Kris Commons,Scotland,Nottingham Forest,6,2004-2005
Kevin Cooper,England,Wolverhampton Wanderers,6,2004-2005
Stevie Crawford,Scotland,Plymouth Argyle,6,2004-2005
Brian Deane,England,Sunderland AFC,6,2004-2005
David Friio,France,Plymouth Argyle,6,2004-2005
Rob Hulse,England,Leeds United,6,2004-2005
Cameron Jerome,Grenada,Cardiff City,6,2004-2005
David Johnson,Jamaica,Sheffield United,6,2004-2005
Andy Morrell,England,Coventry City,6,2004-2005
Richard Naylor,England,Ipswich Town,6,2004-2005
Lloyd Owusu,Ghana,Reading FC,6,2004-2005
Marco Reich,Germany,Derby County,6,2004-2005
David Vaughan,Wales,Crewe Alexandra,6,2004-2005
Dele Adebola,Nigeria,Coventry City,5,2004-2005
Neal Ardley,England,Watford FC,5,2004-2005
Leigh Bromby,England,Sheffield United,5,2004-2005
Chris Brown,England,Sunderland AFC,5,2004-2005
Darren Currie,England,Ipswich Town,5,2004-2005
Dion Dublin,England,Leicester City,5,2004-2005
Eddie Johnson,England,Coventry City,5,2004-2005
Marlon King,Jamaica,Nottingham Forest,5,2004-2005
Alan Lee,Ireland,Cardiff City,5,2004-2005
Kenny Lunt,England,Crewe Alexandra,5,2004-2005
Martin McIntosh,Scotland,Rotherham United,5,2004-2005
Jody Morris,England,Millwall FC,5,2004-2005
Lilian Nalis,France,Leicester City,5,2004-2005
Seyi Olofinjana,Nigeria,Wolverhampton Wanderers,5,2004-2005
Danny Pugh,England,Leeds United,5,2004-2005
Andy Reid,Ireland,Nottingham Forest,5,2004-2005
Georges Santos,Cape Verde,Queens Park Rangers,5,2004-2005
Chris Sedgwick,England,Rotherham United,5,2004-2005
Steven Sidwell,England,Reading FC,5,2004-2005
Dean Whitehead,England,Sunderland AFC,5,2004-2005
Graham Barrett,Ireland,Coventry City,4,2004-2005
Morten Bisgaard,Denmark,Derby County,4,2004-2005
Dexter Blackstock,Antigua & Barbuda,Plymouth Argyle,4,2004-2005
Dean Bowditch,England,Ipswich Town,4,2004-2005
Steven Caldwell,Scotland,Sunderland AFC,4,2004-2005
Clarke Carlisle,England,Leeds United,4,2004-2005
Jamie Cureton,England,Queens Park Rangers,4,2004-2005
Scott Dobie,Scotland,Nottingham Forest,4,2004-2005
Matthew Etherington,England,West Ham United,4,2004-2005
Micky Evans,Ireland,Plymouth Argyle,4,2004-2005
Paul Evans,Wales,Nottingham Forest,4,2004-2005
Michael Flynn,Wales,Wigan Athletic,4,2004-2005
Dean Hammond,England,Brighton & Hove Albion,4,2004-2005
Stephen Hughes,England,Coventry City,4,2004-2005
Paul Ifill,Barbados,Millwall FC,4,2004-2005
Leon Knight,England,Brighton & Hove Albion,4,2004-2005
Joleon Lescott,England,Wolverhampton Wanderers,4,2004-2005
Eddie Lewis,USA,Preston North End,4,2004-2005
Chris Lucketti,England,Preston North End,4,2004-2005
Paul Parry,Wales,Cardiff City,4,2004-2005
Carl Robinson,Wales,Sunderland AFC,4,2004-2005
James Scowcroft,England,Leicester City,4,2004-2005
Ki-hyeon Seol,South Korea,Wolverhampton Wanderers,4,2004-2005
Danny Shittu,Nigeria,Queens Park Rangers,4,2004-2005
Ian Thomas-Moore,England,Leeds United,4,2004-2005
Sean Thornton,Ireland,Sunderland AFC,4,2004-2005
Luke Varney,England,Crewe Alexandra,4,2004-2005
Andy White,England,Crewe Alexandra,4,2004-2005
Trevor Benjamin,Jamaica,Leicester City,3,2004-2005
Eugen Bopp,Germany,Nottingham Forest,3,2004-2005
Graham Branch,England,Burnley FC,3,2004-2005
Jimmy Bullard,England,Wigan Athletic,3,2004-2005
Lee Bullock,England,Cardiff City,3,2004-2005
Colin Cameron,Scotland,Wolverhampton Wanderers,3,2004-2005
Richard Carpenter,England,Brighton & Hove Albion,3,2004-2005
Couñago,Spain,Ipswich Town,3,2004-2005
Jason de Vos,Canada,Ipswich Town,3,2004-2005
Jay DeMerit,USA,Watford FC,3,2004-2005
Alan Dunne,Ireland,Millwall FC,3,2004-2005
Dickson Etuhu,Nigeria,Preston North End,3,2004-2005
Brynjar Gunnarsson,Iceland,Watford FC,3,2004-2005
James Harper,England,Reading FC,3,2004-2005
Matt Heath,England,Leicester City,3,2004-2005
Michael Higdon,England,Crewe Alexandra,3,2004-2005
Paul Ince,England,Wolverhampton Wanderers,3,2004-2005
Ívar Ingimarsson,Iceland,Reading FC,3,2004-2005
Matthew Jarvis,England,Gillingham FC,3,2004-2005
Kenwyne Jones,Trinidad & Tobago,Stoke City,3,2004-2005
Claus Jørgensen,Faroe Islands,Coventry City,3,2004-2005
Graham Kavanagh,Ireland,Wigan Athletic,3,2004-2005
Joe Ledley,Wales,Cardiff City,3,2004-2005
Andy Liddell,Scotland,Sheffield United,3,2004-2005
Jim Magilton,Northern Ireland,Ipswich Town,3,2004-2005
Mark McCammon,Barbados,Millwall FC,3,2004-2005
Paul McKenna,England,Preston North End,3,2004-2005
David Norris,England,Plymouth Argyle,3,2004-2005
Brian O'Neil,Scotland,Preston North End,3,2004-2005
Nigel Reo-Coker,England,West Ham United,3,2004-2005
Iwan Roberts,Wales,Gillingham FC,3,2004-2005
Martin Rowlands,Ireland,Queens Park Rangers,3,2004-2005
Nicky Shorey,England,Reading FC,3,2004-2005
Paul Smith,England,Gillingham FC,3,2004-2005
Neil Sorvel,England,Crewe Alexandra,3,2004-2005
Patrick Suffo,Cameroon,Coventry City,3,2004-2005
Ian Taylor,England,Derby County,3,2004-2005
Scott Taylor,England,Plymouth Argyle,3,2004-2005
Gary Teale,Scotland,Wigan Athletic,3,2004-2005
Jean-Louis Valois,France,Burnley FC,3,2004-2005
Simon Walton,England,Leeds United,3,2004-2005
Dennis Wise,England,Millwall FC,3,2004-2005
Jermaine Wright,England,Leeds United,3,2004-2005
Gareth Ainsworth,England,Queens Park Rangers,2,2004-2005
Shaun Barker,England,Rotherham United,2,2004-2005
Adam Bolder,England,Derby County,2,2004-2005
Gary Breen,Ireland,Sunderland AFC,2,2004-2005
Guy Butters,England,Brighton & Hove Albion,2,2004-2005
Tony Capaldi,Northern Ireland,Plymouth Argyle,2,2004-2005
Richard Chaplow,England,Burnley FC,2,2004-2005
Lee Cook,England,Queens Park Rangers,2,2004-2005
Graham Coughlan,Ireland,Plymouth Argyle,2,2004-2005
Ian Cox,Trinidad & Tobago,Gillingham FC,2,2004-2005
Andrew Crofts,Wales,Gillingham FC,2,2004-2005
Shaun Derry,England,Nottingham Forest,2,2004-2005
Michael Doyle,Ireland,Coventry City,2,2004-2005
Carl Fletcher,Wales,West Ham United,2,2004-2005
Keith Gillespie,Northern Ireland,Leicester City,2,2004-2005
Tony Grant,England,Burnley FC,2,2004-2005
Jóhannes Guðjónsson,Iceland,Leicester City,2,2004-2005
Jon Harley,England,Sheffield United,2,2004-2005
Neil Harris,England,Nottingham Forest,2,2004-2005
Gary Hart,England,Brighton & Hove Albion,2,2004-2005
Chris Hope,England,Gillingham FC,2,2004-2005
Will Hoskins,England,Rotherham United,2,2004-2005
Eoin Jess,Scotland,Nottingham Forest,2,2004-2005
Julian Joachim,England,Leeds United,2,2004-2005
Tommy Johnson,England,Sheffield United,2,2004-2005
José Júnior,Brazil,Rotherham United,2,2004-2005
Steve Kabba,England,Sheffield United,2,2004-2005
Matthias Kouo-Doumbé,France,Plymouth Argyle,2,2004-2005
Richard Langley,Jamaica,Cardiff City,2,2004-2005
David Livermore,England,Millwall FC,2,2004-2005
Malky Mackay,Scotland,West Ham United,2,2004-2005
Youl Mawéné,France,Preston North End,2,2004-2005
