Player,Country,Team,Goals,Season
Jamie Ward,Northern Ireland,Sheffield United,5,2010-2011
Mark Yeates,Ireland,Sheffield United,5,2010-2011
Craig Beattie,Scotland,Swansea City,4,2010-2011
Will Buckley,England,Watford FC,4,2010-2011
Simon Church,Wales,Reading FC,4,2010-2011
Don Cowie,Scotland,Watford FC,4,2010-2011
Tomasz Cywka,Poland,Derby County,4,2010-2011
Aron Gunnarsson,Iceland,Coventry City,4,2010-2011
Marlon Harewood,England,Barnsley FC,4,2010-2011
Steve Howard,Scotland,Leicester City,4,2010-2011
Tarmo Kink,Estonia,Middlesbrough FC,4,2010-2011
Henri Lansbury,England,Norwich City,4,2010-2011
Kevin Lisbie,Jamaica,Millwall FC,4,2010-2011
Matthew Lowton,England,Sheffield United,4,2010-2011
John Marquis,England,Millwall FC,4,2010-2011
Chris Martin,Scotland,Norwich City,4,2010-2011
Jobi McAnuff,Jamaica,Reading FC,4,2010-2011
Barry Nicholson,Scotland,Preston North End,4,2010-2011
Garry O'Connor,Scotland,Barnsley FC,4,2010-2011
Robbie Savage,Wales,Derby County,4,2010-2011
Andrew Taylor,England,Watford FC,4,2010-2011
Ben Turner,England,Coventry City,4,2010-2011
Darius Vassell,England,Leicester City,4,2010-2011
Martyn Waghorn,England,Leicester City,4,2010-2011
Andreas Weimann,Austria,Watford FC,4,2010-2011
Graham Alexander,Scotland,Burnley FC,3,2010-2011
Paul Anderson,England,Nottingham Forest,3,2010-2011
Julio Arca,Argentina,Middlesbrough FC,3,2010-2011
Matthew Bates,England,Middlesbrough FC,3,2010-2011
Josh Carson,Northern Ireland,Ipswich Town,3,2010-2011
Jack Cork,England,Burnley FC,3,2010-2011
Callum Davidson,Scotland,Preston North End,3,2010-2011
Troy Deeney,England,Watford FC,3,2010-2011
Lloyd Dyer,England,Leicester City,3,2010-2011
Carlos Edwards,Trinidad & Tobago,Ipswich Town,3,2010-2011
Hogan Ephraim,England,Queens Park Rangers,3,2010-2011
Jason Euell,Jamaica,Doncaster Rovers,3,2010-2011
Corry Evans,Northern Ireland,Hull City,3,2010-2011
Alejandro Faurlín,Argentina,Queens Park Rangers,3,2010-2011
Jonathan Forte,Barbados,Scunthorpe United,3,2010-2011
Owen Garvan,Ireland,Crystal Palace,3,2010-2011
Kaspars Gorkšs,Latvia,Queens Park Rangers,3,2010-2011
Rob Hulse,England,Queens Park Rangers,3,2010-2011
Jem Karacan,Turkey,Reading FC,3,2010-2011
Andy Keogh,Ireland,Cardiff City,3,2010-2011
Dean Marney,England,Burnley FC,3,2010-2011
Aaron McLean,England,Hull City,3,2010-2011
Miguel Vítor,Israel,Leicester City,3,2010-2011
David Mirfin,England,Scunthorpe United,3,2010-2011
Franck Moussa,Belgium,Leicester City,3,2010-2011
Dean Moxey,England,Derby County,3,2010-2011
Ramón Nuñez,Honduras,Scunthorpe United,3,2010-2011
Clive Platt,England,Coventry City,3,2010-2011
Paul Robinson,England,Millwall FC,3,2010-2011
Jason Shackell,England,Barnsley FC,3,2010-2011
Dean Shiels,Northern Ireland,Doncaster Rovers,3,2010-2011
Tommy Smith,New Zealand,Ipswich Town,3,2010-2011
Andrew Surman,England,Norwich City,3,2010-2011
Andros Townsend,England,Watford FC,3,2010-2011
John Utaka,Nigeria,Portsmouth FC,3,2010-2011
Ross Wallace,Scotland,Burnley FC,3,2010-2011
Joel Ward,England,Portsmouth FC,3,2010-2011
David Wheater,England,Middlesbrough FC,3,2010-2011
Matt Whichelow,Montserrat,Watford FC,3,2010-2011
Ashley Williams,Wales,Swansea City,3,2010-2011
Lee Williamson,Jamaica,Sheffield United,3,2010-2011
Dele Adebola,Nigeria,Nottingham Forest,2,2010-2011
Patrick Agyemang,Ghana,Queens Park Rangers,2,2010-2011
Joe Allen,Wales,Swansea City,2,2010-2011
Àngel Rangel,Spain,Swansea City,2,2010-2011
Sol Bamba,Ivory Coast,Leicester City,2,2010-2011
Scott Barron,England,Millwall FC,2,2010-2011
David Bell,Ireland,Coventry City,2,2010-2011
André Bikey,Cameroon,Burnley FC,2,2010-2011
John Bostock,Trinidad & Tobago,Hull City,2,2010-2011
Michael Brown,England,Portsmouth FC,2,2010-2011
Jeffrey Bruma,Netherlands,Leicester City,2,2010-2011
Jacob Butterfield,England,Barnsley FC,2,2010-2011
Cliff Byrne,Ireland,Scunthorpe United,2,2010-2011
Jamal Campbell-Ryce,Jamaica,Bristol City,2,2010-2011
Steven Caulker,Sierra Leone,Bristol City,2,2010-2011
Chris Cohen,England,Nottingham Forest,2,2010-2011
David Cotterill,Wales,Swansea City,2,2010-2011
Couñago,Spain,Crystal Palace,2,2010-2011
Dani Pacheco,Spain,Norwich City,2,2010-2011
Damien Delaney,Ireland,Ipswich Town,2,2010-2011
Nathan Doyle,England,Barnsley FC,2,2010-2011
Nathan Dyer,England,Swansea City,2,2010-2011
Jermaine Easter,Wales,Swansea City,2,2010-2011
Nathan Ellington,England,Preston North End,2,2010-2011
Wade Elliott,England,Burnley FC,2,2010-2011
Jay Emmanuel-Thomas,England,Cardiff City,2,2010-2011
Richard García,Australia,Hull City,2,2010-2011
Mark Gower,England,Swansea City,2,2010-2011
Paul Green,Ireland,Derby County,2,2010-2011
Neil Harris,England,Millwall FC,2,2010-2011
Paul Hayes,England,Preston North End,2,2010-2011
Colin Healy,Ireland,Ipswich Town,2,2010-2011
David Healy,Northern Ireland,Doncaster Rovers,2,2010-2011
Darius Henderson,England,Sheffield United,2,2010-2011
Clint Hill,England,Queens Park Rangers,2,2010-2011
Matt Hill,England,Barnsley FC,2,2010-2011
Steffen Iversen,Norway,Crystal Palace,2,2010-2011
Diomansy Kamara,Senegal,Leicester City,2,2010-2011
Nwankwo Kanu,Nigeria,Portsmouth FC,2,2010-2011
Dekel Keinan,Israel,Cardiff City,2,2010-2011
Jason Koumas,Wales,Cardiff City,2,2010-2011
Shefki Kuqi,Finland,Swansea City,2,2010-2011
Goran Lovre,Serbia,Barnsley FC,2,2010-2011
Radosław Majewski,Poland,Nottingham Forest,2,2010-2011
Mathieu Manset,France,Reading FC,2,2010-2011
Gareth McAuley,Northern Ireland,Ipswich Town,2,2010-2011
Garath McCleary,Jamaica,Nottingham Forest,2,2010-2011
Ross McCormack,Scotland,Leeds United,2,2010-2011
Stephen McGinn,Scotland,Watford FC,2,2010-2011
Paul McKenna,England,Nottingham Forest,2,2010-2011
Tony McMahon,England,Middlesbrough FC,2,2010-2011
Jacob Mellis,England,Barnsley FC,2,2010-2011
Joseph Mills,England,Doncaster Rovers,2,2010-2011
Matt Mills,England,Reading FC,2,2010-2011
Aaron Mokoena,South Africa,Portsmouth FC,2,2010-2011
Craig Morgan,Wales,Preston North End,2,2010-2011
Hayden Mullins,England,Portsmouth FC,2,2010-2011
Lee Naylor,England,Cardiff City,2,2010-2011
Michael Nelson,England,Scunthorpe United,2,2010-2011
Andy O'Brien,Ireland,Leeds United,2,2010-2011
James O'Connor,England,Doncaster Rovers,2,2010-2011
Matt Oakley,England,Leicester City,2,2010-2011
Martin Paterson,Northern Ireland,Burnley FC,2,2010-2011
Chris Porter,England,Derby County,2,2010-2011
Andy Reid,Ireland,Sheffield United,2,2010-2011
Lloyd Sam,Ghana,Leeds United,2,2010-2011
Sean Scannell,Ireland,Crystal Palace,2,2010-2011
Danny Schofield,England,Millwall FC,2,2010-2011
Gylfi Sigurðsson,Iceland,Reading FC,2,2010-2011
Jordan Slew,England,Sheffield United,2,2010-2011
Brian Stock,Wales,Doncaster Rovers,2,2010-2011
Steven Thompson,Scotland,Burnley FC,2,2010-2011
Kieran Trippier,England,Barnsley FC,2,2010-2011
Nathan Tyson,England,Nottingham Forest,2,2010-2011
Sam Vokes,Wales,Sheffield United,2,2010-2011
Richie Wellens,England,Leicester City,2,2010-2011
Yuki Abe,Japan,Leicester City,1,2010-2011
David Amoo,England,Hull City,1,2010-2011
Michail Antonio,Jamaica,Reading FC,1,2010-2011
Diego Arismendi,Uruguay,Barnsley FC,1,2010-2011
Ian Ashbee,England,Preston North End,1,2010-2011
James Bailey,England,Derby County,1,2010-2011
Carl Baker,England,Coventry City,1,2010-2011
Shaun Barker,England,Derby County,1,2010-2011
Leon Barnett,England,Norwich City,1,2010-2011
Adam Barton,Northern Ireland,Preston North End,1,2010-2011
Julian Bennett,England,Nottingham Forest,1,2010-2011
Bruno Berner,Switzerland,Leicester City,1,2010-2011
Hameur Bouazza,Algeria,Millwall FC,1,2010-2011
John Brayford,England,Derby County,1,2010-2011
Leon Britton,England,Swansea City,1,2010-2011
Steve Brooker,England,Doncaster Rovers,1,2010-2011
Chris Brown,England,Preston North End,1,2010-2011
Alex Bruce,Northern Ireland,Leeds United,1,2010-2011
Kieron Cadogan,England,Crystal Palace,1,2010-2011
Tom Cairney,England,Hull City,1,2010-2011
Jean Calvé,France,Sheffield United,1,2010-2011
DJ Campbell,England,Leicester City,1,2010-2011
Clarke Carlisle,England,Burnley FC,1,2010-2011
James Chester,Wales,Hull City,1,2010-2011
Nadir Çiftçi,Turkey,Portsmouth FC,1,2010-2011
Jordan Clarke,England,Coventry City,1,2010-2011
Leon Clarke,England,Queens Park Rangers,1,2010-2011
Hugo Colace,Argentina,Barnsley FC,1,2010-2011
Michael Collins,Ireland,Scunthorpe United,1,2010-2011
Paul Coutts,Scotland,Preston North End,1,2010-2011
Daniel Ayala,Spain,Hull City,1,2010-2011
Ben Davies,Wales,Derby County,1,2010-2011
Nathan Delfouneso,England,Burnley FC,1,2010-2011
Kagisho Dikgacoi,South Africa,Crystal Palace,1,2010-2011
Andy Dorman,Wales,Crystal Palace,1,2010-2011
Michael Doyle,Ireland,Sheffield United,1,2010-2011
Adam Drury,England,Norwich City,1,2010-2011
Michael Duff,Northern Ireland,Burnley FC,1,2010-2011
Mark Duffy,England,Scunthorpe United,1,2010-2011
Brian Easton,Scotland,Burnley FC,1,2010-2011
Rory Fallon,New Zealand,Ipswich Town,1,2010-2011
Stephen Foster,England,Barnsley FC,1,2010-2011
David Fox,England,Norwich City,1,2010-2011
George Friend,England,Doncaster Rovers,1,2010-2011
Anthony Gardner,England,Hull City,1,2010-2011
Simon Gillett,England,Doncaster Rovers,1,2010-2011
Jonathan Grounds,England,Middlesbrough FC,1,2010-2011
John Guidetti,Sweden,Burnley FC,1,2010-2011
Gábor Gyepes,Hungary,Cardiff City,1,2010-2011
Fitz Hall,England,Queens Park Rangers,1,2010-2011
Andy Halliday,Scotland,Middlesbrough FC,1,2010-2011
James Harper,England,Hull City,1,2010-2011
Bobby Hassell,England,Barnsley FC,1,2010-2011
Seb Hines,England,Middlesbrough FC,1,2010-2011
Lee Hodson,Northern Ireland,Watford FC,1,2010-2011
Hermann Hreiðarsson,Iceland,Portsmouth FC,1,2010-2011
Ross Jenkins,England,Watford FC,1,2010-2011
Lee Johnson,England,Bristol City,1,2010-2011
Robert Jones,England,Scunthorpe United,1,2010-2011
Richard Keogh,Ireland,Coventry City,1,2010-2011
Kevin Kilbane,Ireland,Hull City,1,2010-2011
Neil Kilkenny,Australia,Leeds United,1,2010-2011
Paul Konchesky,England,Nottingham Forest,1,2010-2011
Rob Kozluk,England,Sheffield United,1,2010-2011
Dean Leacock,England,Derby County,1,2010-2011
Mikele Leigertwood,Antigua & Barbuda,Reading FC,1,2010-2011
Adam Lockwood,England,Doncaster Rovers,1,2010-2011
Adrian Mariappa,Jamaica,Watford FC,1,2010-2011
Shelton Martis,Curaçao,Doncaster Rovers,1,2010-2011
David McAllister,Ireland,Sheffield United,1,2010-2011
Jamie McAllister,Scotland,Bristol City,1,2010-2011
Chris McCann,Ireland,Burnley FC,1,2010-2011
Paddy McCarthy,Ireland,Crystal Palace,1,2010-2011
Kevin McDonald,Scotland,Scunthorpe United,1,2010-2011
Jay McEveley,England,Barnsley FC,1,2010-2011
Stephen McManus,Scotland,Middlesbrough FC,1,2010-2011
Josh McQuoid,Northern Ireland,Millwall FC,1,2010-2011
Paul McShane,Ireland,Hull City,1,2010-2011
Tyrone Mears,Jamaica,Burnley FC,1,2010-2011
Ishmael Miller,England,Queens Park Rangers,1,2010-2011
Lee Miller,Scotland,Scunthorpe United,1,2010-2011
Tamika Mkandawire,England,Millwall FC,1,2010-2011
Wes Morgan,Jamaica,Nottingham Forest,1,2010-2011
Dany N'Guessan,France,Scunthorpe United,1,2010-2011
Richard Naylor,England,Leeds United,1,2010-2011
Reuben Noble-Lazarus,England,Barnsley FC,1,2010-2011
Frank Nouble,England,Swansea City,1,2010-2011
Lewin Nyatanga,Wales,Bristol City,1,2010-2011
Jim O'Brien,Ireland,Barnsley FC,1,2010-2011
Bradley Orr,England,Queens Park Rangers,1,2010-2011
Billy Paynter,England,Leeds United,1,2010-2011
Alex Pearce,Ireland,Reading FC,1,2010-2011
Stephen Pearson,Scotland,Derby County,1,2010-2011
Jaime Peters,Canada,Ipswich Town,1,2010-2011
Jamie Proctor,England,Preston North End,1,2010-2011
Darren Purse,England,Millwall FC,1,2010-2011
Paul Quinn,Scotland,Cardiff City,1,2010-2011
Stephen Quinn,Ireland,Sheffield United,1,2010-2011
Gavin Rae,Scotland,Cardiff City,1,2010-2011
Aaron Ramsey,Wales,Nottingham Forest,1,2010-2011
Adam Reach,England,Middlesbrough FC,1,2010-2011
Bjørn Helge Riise,Norway,Sheffield United,1,2010-2011
Ibra Sekajja,England,Crystal Palace,1,2010-2011
Cole Skuse,England,Bristol City,1,2010-2011
Richard Smallwood,England,Middlesbrough FC,1,2010-2011
Jack Smith,England,Millwall FC,1,2010-2011
Ibrahima Sonko,Senegal,Portsmouth FC,1,2010-2011
Sean St Ledger,Ireland,Preston North End,1,2010-2011
Damion Stewart,Jamaica,Bristol City,1,2010-2011
Adam Thompson,Northern Ireland,Watford FC,1,2010-2011
Garry Thompson,England,Scunthorpe United,1,2010-2011
Michael Tonge,England,Preston North End,1,2010-2011
Patrick van Aanholt,Netherlands,Leicester City,1,2010-2011
Cedric van der Gun,Netherlands,Swansea City,1,2010-2011
Darren Ward,England,Millwall FC,1,2010-2011
Elliott Ward,England,Norwich City,1,2010-2011
Sanchez Watt,England,Leeds United,1,2010-2011
Zak Whitbread,USA,Norwich City,1,2010-2011
Aaron Wilbraham,England,Norwich City,1,2010-2011
Rhys Williams,Australia,Middlesbrough FC,1,2010-2011
Richard Wood,England,Coventry City,1,2010-2011
Martin Woods,Scotland,Doncaster Rovers,1,2010-2011
Wilfried Zaha,Ivory Coast,Crystal Palace,1,2010-2011
Merouane Zemmama,Morocco,Middlesbrough FC,1,2010-2011
