Player,Country,Team,Goals,Season
Danny Graham,England,Watford FC,23,2010-2011
Grant Holt,England,Norwich City,21,2010-2011
Shane Long,Ireland,Reading FC,21,2010-2011
Luciano Becchio,Argentina,Leeds United,19,2010-2011
Scott Sinclair,England,Swansea City,19,2010-2011
Adel Taarabt,Morocco,Queens Park Rangers,19,2010-2011
Jay Bothroyd,England,Cardiff City,18,2010-2011
Max Gradel,Ivory Coast,Leeds United,18,2010-2011
Andy King,Wales,Leicester City,15,2010-2011
Steve Morison,Wales,Millwall FC,15,2010-2011
Billy Sharp,England,Doncaster Rovers,15,2010-2011
Jay Rodriguez,England,Burnley FC,14,2010-2011
Kris Commons,Scotland,Derby County,13,2010-2011
Heiðar Helguson,Iceland,Queens Park Rangers,13,2010-2011
Simeon Jackson,Canada,Norwich City,13,2010-2011
Lewis McGugan,England,Nottingham Forest,13,2010-2011
David Nugent,England,Portsmouth FC,13,2010-2011
Brett Pitman,England,Bristol City,13,2010-2011
Kris Boyd,Scotland,Nottingham Forest,12,2010-2011
Iain Hume,Canada,Preston North End,12,2010-2011
Marlon King,Jamaica,Coventry City,12,2010-2011
Leroy Lita,England,Middlesbrough FC,12,2010-2011
Scott McDonald,Australia,Middlesbrough FC,12,2010-2011
Marvin Sordell,England,Watford FC,12,2010-2011
Yakubu Ayegbeni,Nigeria,Leicester City,11,2010-2011
Craig Bellamy,Wales,Cardiff City,11,2010-2011
Chris Eagles,England,Burnley FC,11,2010-2011
Matty Fryatt,England,Leicester City,11,2010-2011
Ian Harte,Ireland,Reading FC,11,2010-2011
Chris Iwelumo,Scotland,Burnley FC,11,2010-2011
Davide Somma,South Africa,Leeds United,11,2010-2011
Peter Whittingham,England,Cardiff City,11,2010-2011
Paul Gallagher,Scotland,Leicester City,10,2010-2011
Wes Hoolahan,Ireland,Norwich City,10,2010-2011
Jonny Howson,England,Leeds United,10,2010-2011
Noel Hunt,Ireland,Reading FC,10,2010-2011
Jason Scotland,Trinidad & Tobago,Ipswich Town,10,2010-2011
Jon Stead,England,Ipswich Town,10,2010-2011
Michael Chopra,England,Cardiff City,9,2010-2011
Stephen Dobbie,Scotland,Swansea City,9,2010-2011
Ched Evans,Wales,Sheffield United,9,2010-2011
James Hayter,England,Doncaster Rovers,9,2010-2011
Lukas Jutkiewicz,England,Coventry City,9,2010-2011
Jimmy Kébé,France,Reading FC,9,2010-2011
Jamie Mackie,Scotland,Queens Park Rangers,9,2010-2011
Darren Pratley,England,Swansea City,9,2010-2011
James Vaughan,England,Crystal Palace,9,2010-2011
Connor Wickham,England,Ipswich Town,9,2010-2011
Darren Ambrose,England,Crystal Palace,8,2010-2011
Andrew Crofts,Wales,Norwich City,8,2010-2011
Neil Danns,Guyana,Crystal Palace,8,2010-2011
Robert Earnshaw,Wales,Nottingham Forest,8,2010-2011
Marvin Elliott,Jamaica,Bristol City,8,2010-2011
Adam Hammill,England,Barnsley FC,8,2010-2011
Dave Kitson,England,Portsmouth FC,8,2010-2011
Gary McSheffrey,England,Coventry City,8,2010-2011
David Norris,England,Ipswich Town,8,2010-2011
Michael O'Connor,Northern Ireland,Scunthorpe United,8,2010-2011
Jon Parkin,England,Preston North End,8,2010-2011
Jimmy Bullard,England,Ipswich Town,7,2010-2011
David Clarkson,Scotland,Bristol City,7,2010-2011
James Coppinger,England,Doncaster Rovers,7,2010-2011
Andy Gray,Scotland,Barnsley FC,7,2010-2011
Danny Haynes,England,Bristol City,7,2010-2011
Robert Koren,Slovenia,Hull City,7,2010-2011
Liam Lawrence,Ireland,Portsmouth FC,7,2010-2011
Luke Moore,England,Swansea City,7,2010-2011
Keith Treacy,Ireland,Preston North End,7,2010-2011
Liam Trotter,England,Millwall FC,7,2010-2011
Marcus Tudgay,England,Nottingham Forest,7,2010-2011
Fabio Borini,Italy,Swansea City,6,2010-2011
Luke Chambers,England,Nottingham Forest,6,2010-2011
John Eustace,England,Watford FC,6,2010-2011
Joe Garner,England,Scunthorpe United,6,2010-2011
Billy Jones,England,Preston North End,6,2010-2011
Nicky Maynard,England,Bristol City,6,2010-2011
Seyi Olofinjana,Nigeria,Cardiff City,6,2010-2011
Jay Simpson,England,Hull City,6,2010-2011
Tommy Smith,England,Queens Park Rangers,6,2010-2011
Robert Snodgrass,Scotland,Leeds United,6,2010-2011
Martin Taylor,England,Watford FC,6,2010-2011
Martyn Woolford,England,Scunthorpe United,6,2010-2011
Albert Adomah,Ghana,Bristol City,5,2010-2011
Nick Barmby,England,Hull City,5,2010-2011
Dexter Blackstock,Antigua & Barbuda,Nottingham Forest,5,2010-2011
Daniel Bogdanović,Malta,Sheffield United,5,2010-2011
Bueno,Spain,Derby County,5,2010-2011
Chris Burke,Scotland,Cardiff City,5,2010-2011
Richard Cresswell,England,Sheffield United,5,2010-2011
Chris Dagnall,Northern Ireland,Scunthorpe United,5,2010-2011
Steve Davies,England,Derby County,5,2010-2011
Freddy Eastwood,Wales,Coventry City,5,2010-2011
Marvin Emnes,Netherlands,Swansea City,5,2010-2011
Anthony Gerrard,Ireland,Hull City,5,2010-2011
Greg Halford,England,Portsmouth FC,5,2010-2011
James Henry,England,Millwall FC,5,2010-2011
Bradley Johnson,England,Leeds United,5,2010-2011
Grant Leadbitter,England,Ipswich Town,5,2010-2011
Russell Martin,Scotland,Norwich City,5,2010-2011
David McGoldrick,Ireland,Nottingham Forest,5,2010-2011
Jordon Mutch,England,Watford FC,5,2010-2011
Kyle Naughton,England,Leicester City,5,2010-2011
Tamás Priskin,Hungary,Swansea City,5,2010-2011
Jason Puncheon,England,Millwall FC,5,2010-2011
Theo Robinson,Jamaica,Millwall FC,5,2010-2011
Barry Robson,Scotland,Middlesbrough FC,5,2010-2011
Hal Robson-Kanu,Wales,Reading FC,5,2010-2011
Wayne Routledge,England,Queens Park Rangers,5,2010-2011
