Player,Country,Team,Assists,Season
Emiliano Buendia,Argentina,Norwich City,15,2020-2021
Michael Olise,France,Reading FC,12,2020-2021
Harvey Elliott,England,Blackburn Rovers,11,2020-2021
Bryan Mbeumo,Cameroon,Brentford FC,10,2020-2021
Ivan Toney,England,Brentford FC,10,2020-2021
Harry Wilson,Wales,Cardiff City,10,2020-2021
Jake Bidwell,England,Swansea City,8,2020-2021
Callum O'Hare,England,Coventry City,8,2020-2021
Dominic Solanke,England,AFC Bournemouth,8,2020-2021
Arnaut Danjuma,Netherlands,AFC Bournemouth,7,2020-2021
Iván Sánchez,Spain,Birmingham City,7,2020-2021
Mathias Jensen,Denmark,Brentford FC,7,2020-2021
Lucas João,Angola,Reading FC,7,2020-2021
Isaac Mbenza,Belgium,Huddersfield Town,7,2020-2021
Paddy McNair,Northern Ireland,Middlesbrough FC,7,2020-2021
Alex Mowatt,England,Barnsley FC,7,2020-2021
Sheyi Ojo,England,Cardiff City,7,2020-2021
Connor Roberts,Wales,Swansea City,7,2020-2021
Jérémie Bela,Angola,Birmingham City,6,2020-2021
Todd Cantwell,England,Norwich City,6,2020-2021
Harry Cornick,England,Luton Town,6,2020-2021
Kiernan Dewsbury-Hall,England,Luton Town,6,2020-2021
Joe Jacobson,Wales,Wycombe Wanderers,6,2020-2021
Kenny McLean,Scotland,Norwich City,6,2020-2021
Sergi Canós,Spain,Brentford FC,6,2020-2021
Albert Adomah,Ghana,Queens Park Rangers,5,2020-2021
Mads Andersen,Denmark,Barnsley FC,5,2020-2021
Adam Armstrong,England,Blackburn Rovers,5,2020-2021
Barry Bannan,Scotland,Sheffield Wednesday,5,2020-2021
David Brooks,Wales,AFC Bournemouth,5,2020-2021
Tyrese Campbell,England,Stoke City,5,2020-2021
Lyndon Dykes,Scotland,Queens Park Rangers,5,2020-2021
Ovie Ejaria,England,Reading FC,5,2020-2021
Marvin Johnson,England,Middlesbrough FC,5,2020-2021
Ryan Ledson,England,Preston North End,5,2020-2021
Chris Martin,Scotland,Bristol City,5,2020-2021
Sam Morsy,Egypt,Middlesbrough FC,5,2020-2021
Josh Murphy,England,Cardiff City,5,2020-2021
Ken Sema,Sweden,Watford FC,5,2020-2021
Harry Toffolo,England,Huddersfield Town,5,2020-2021
Mario Vrančić,Bosnia-Herzegovina,Norwich City,5,2020-2021
Jed Wallace,England,Millwall FC,5,2020-2021
Chris Willock,England,Queens Park Rangers,5,2020-2021
